Value,AFRICA_2024_DynamicWorld_2024_38PLT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLT_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLT_M_R,AFRICA_2024_GSW_Yearly_2021_38PLT_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLT_M_R,AFRICA_2024_WorldCover_2021_38PLT_M_R
440,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
441,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
442,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
443,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
444,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
445,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
446,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
447,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
448,NULL,Forest,Wetland,NULL,NULL,NULL
449,NULL,Forest,Wetland,NULL,NULL,Wetland
450,NULL,Forest,Wetland,NULL,NULL,Forest
451,NULL,Forest,Wetland,NULL,Wetland,NULL
452,NULL,Forest,Wetland,NULL,Wetland,Cropland
453,NULL,Forest,Wetland,NULL,Wetland,Wetland
454,NULL,Forest,Wetland,NULL,Wetland,Bareland
455,NULL,Forest,Wetland,NULL,Wetland,Water
456,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
457,NULL,Forest,Wetland,Water,Wetland,Wetland
458,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
459,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
460,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
461,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
462,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
463,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
464,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
465,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
466,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
467,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
468,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
469,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
470,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
471,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
472,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
473,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
474,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
475,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
476,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
477,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
478,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
479,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
480,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
481,Cropland,NULL,Wetland,NULL,Wetland,Wetland
482,Cropland,NULL,Wetland,NULL,Wetland,Bareland
483,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
484,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
485,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland
486,Cropland,NULL,Wetland,Water,Wetland,Bareland
487,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
488,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
489,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
490,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
491,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
492,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
493,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
494,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
495,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
496,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
497,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
498,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
499,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
500,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
501,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
502,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
503,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
504,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
505,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
506,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
507,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
508,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
509,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
510,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
511,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
512,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
513,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
514,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
515,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
516,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
517,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
518,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
519,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
520,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
521,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
522,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
523,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
524,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
525,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
526,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
527,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
528,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
529,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
530,Cropland,Water,Wetland,Non_Water,Wetland,Wetland
531,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
532,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
533,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
534,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
535,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
536,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
537,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
538,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
539,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
540,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
541,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
542,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
543,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
544,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
545,Wetland,NULL,Wetland,NULL,Wetland,NULL
546,Wetland,NULL,Wetland,NULL,Wetland,Wetland
547,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
548,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
549,Wetland,NULL,Wetland,Water,Wetland,Wetland
550,Wetland,NULL,Wetland,Water,Wetland,Bareland
551,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
552,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
553,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
554,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
555,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
556,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
557,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
558,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
559,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
560,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
561,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
562,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
563,Wetland,Wetland,Cropland,NULL,Non_Wetland,Bareland
564,Wetland,Wetland,Wetland,NULL,NULL,NULL
565,Wetland,Wetland,Wetland,NULL,NULL,Wetland
566,Wetland,Wetland,Wetland,NULL,NULL,Bareland
567,Wetland,Wetland,Wetland,NULL,NULL,Water
568,Wetland,Wetland,Wetland,NULL,NULL,Forest
569,Wetland,Wetland,Wetland,NULL,Wetland,NULL
570,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
571,Wetland,Wetland,Wetland,Water,NULL,NULL
572,Wetland,Wetland,Wetland,Water,NULL,Wetland
573,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
574,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
575,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
576,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
577,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
578,Wetland,Bareland,Grassland,NULL,Non_Wetland,Wetland
579,Wetland,Bareland,Grassland,NULL,Non_Wetland,Bareland
580,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
581,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
582,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
583,Wetland,Water,Wetland,NULL,NULL,Wetland
584,Wetland,Water,Wetland,NULL,Wetland,Wetland
585,Wetland,Water,Wetland,NULL,Wetland,Bareland
586,Wetland,Water,Wetland,Non_Water,NULL,Wetland
587,Wetland,Water,Wetland,Non_Water,Wetland,NULL
588,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
589,Wetland,Water,Wetland,Water,Wetland,Wetland
590,Wetland,Water,Wetland,Water,Wetland,Bareland
591,Wetland,Water,Wetland,Water,Wetland,Water
592,Wetland,Water,Bareland,NULL,Non_Wetland,Cropland
593,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
594,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland
595,Wetland,Water,Bareland,Water,Non_Wetland,Wetland
596,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
597,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland
598,Wetland,Water,Forest,NULL,Non_Wetland,Wetland
599,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
600,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
601,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
602,Wetland,Forest,Wetland,NULL,NULL,NULL
603,Wetland,Forest,Wetland,NULL,NULL,Bareland
604,Wetland,Forest,Wetland,NULL,Wetland,NULL
605,Wetland,Forest,Wetland,NULL,Wetland,Grassland
606,Wetland,Forest,Wetland,NULL,Wetland,Wetland
607,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
608,Wetland,Forest,Wetland,Water,Wetland,Wetland
609,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
610,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
611,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
612,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
613,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
614,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
615,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
616,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
617,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
618,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
619,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
620,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
621,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
622,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
623,Bareland,NULL,Shrubland,Water,Non_Wetland,Cropland
624,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
625,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
626,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
627,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
628,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
629,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
630,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
631,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
632,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
633,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
634,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
635,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
636,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
637,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
638,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
639,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
640,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
641,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
642,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
643,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL
644,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Forest
645,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
646,Bareland,NULL,Wetland,NULL,Wetland,NULL
647,Bareland,NULL,Wetland,NULL,Wetland,Wetland
648,Bareland,NULL,Wetland,NULL,Wetland,Bareland
649,Bareland,NULL,Wetland,Water,Wetland,Wetland
650,Bareland,NULL,Wetland,Water,Wetland,Bareland
651,Bareland,NULL,Wetland,Water,Wetland,Water
652,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
653,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
654,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
655,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
656,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
657,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
658,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
659,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
660,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
661,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
662,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
663,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
664,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL
665,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
666,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
667,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
668,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
669,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
670,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
671,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
672,Bareland,NULL,Bareland,Water,Non_Wetland,Water
673,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
674,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
675,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
676,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
677,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
678,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
679,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
680,Bareland,NULL,Built-up,Water,Non_Wetland,NULL
681,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
682,Bareland,NULL,Water,Water,Water,Bareland
683,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
684,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
685,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
686,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
687,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
688,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
689,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
690,Bareland,Cropland,Grassland,Water,Non_Wetland,Bareland
691,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
692,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
693,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
694,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest
695,Bareland,Cropland,Wetland,NULL,NULL,NULL
696,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
697,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
698,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
699,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL
700,Bareland,Wetland,Wetland,NULL,Wetland,NULL
701,Bareland,Wetland,Wetland,NULL,Wetland,Bareland
702,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
703,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
704,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
705,Bareland,Bareland,NULL,NULL,Non_Wetland,Cropland
706,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
707,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
708,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
709,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
710,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
711,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Built-up
712,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
713,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL
714,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
715,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
716,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
717,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
718,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
719,Bareland,Bareland,Grassland,NULL,Non_Wetland,Built-up
720,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
721,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
722,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL
723,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
724,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
725,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
726,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
727,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
728,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up
729,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
730,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
731,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
732,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
733,Bareland,Bareland,Wetland,NULL,Wetland,NULL
734,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
735,Bareland,Bareland,Wetland,NULL,Wetland,Wetland
736,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
737,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
738,Bareland,Bareland,Wetland,Water,NULL,Bareland
739,Bareland,Bareland,Wetland,Water,Wetland,NULL
740,Bareland,Bareland,Wetland,Water,Wetland,Bareland
741,Bareland,Bareland,Wetland,Water,Wetland,Water
742,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
743,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
744,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
745,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
746,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
747,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland
748,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
749,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
750,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
751,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
752,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
753,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
754,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
755,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
756,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
757,Bareland,Bareland,Bareland,Water,Non_Wetland,Built-up
758,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
759,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
760,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
761,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
762,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
763,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
764,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
765,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
766,Bareland,Bareland,Water,NULL,Water,Bareland
767,Bareland,Bareland,Water,NULL,Water,Water
768,Bareland,Bareland,Water,Water,NULL,Bareland
769,Bareland,Bareland,Water,Water,Water,Bareland
770,Bareland,Bareland,Water,Water,Water,Built-up
771,Bareland,Bareland,Water,Water,Water,Water
772,Bareland,Built-up,NULL,NULL,Non_Wetland,NULL
773,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
774,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
775,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
776,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
777,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
778,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
779,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
780,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
781,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
782,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
783,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
784,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
785,Bareland,Built-up,Grassland,Water,Non_Wetland,Bareland
786,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
787,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
788,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
789,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
790,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
791,Bareland,Built-up,Cropland,NULL,Non_Wetland,Forest
792,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
793,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
794,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
795,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
796,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
797,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
798,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
799,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
800,Bareland,Built-up,Bareland,Water,Non_Wetland,Bareland
801,Bareland,Built-up,Bareland,Water,Non_Wetland,Built-up
802,Bareland,Built-up,Bareland,Water,Non_Wetland,Water
803,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
804,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
805,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
806,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
807,Bareland,Built-up,Built-up,Water,Non_Wetland,Bareland
808,Bareland,Built-up,Water,Water,Water,Bareland
809,Bareland,Built-up,Water,Water,Water,Built-up
810,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
811,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
812,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
813,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
814,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
815,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
816,Bareland,Water,Grassland,Water,Non_Wetland,Water
817,Bareland,Water,Cropland,NULL,Non_Wetland,NULL
818,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
819,Bareland,Water,Cropland,NULL,Non_Wetland,Water
820,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
821,Bareland,Water,Wetland,NULL,NULL,Bareland
822,Bareland,Water,Wetland,NULL,Wetland,Grassland
823,Bareland,Water,Wetland,NULL,Wetland,Wetland
824,Bareland,Water,Wetland,NULL,Wetland,Bareland
825,Bareland,Water,Wetland,NULL,Wetland,Water
826,Bareland,Water,Wetland,Non_Water,NULL,Wetland
827,Bareland,Water,Wetland,Non_Water,Wetland,NULL
828,Bareland,Water,Wetland,Water,NULL,Bareland
829,Bareland,Water,Wetland,Water,NULL,Water
830,Bareland,Water,Wetland,Water,Wetland,NULL
831,Bareland,Water,Wetland,Water,Wetland,Cropland
832,Bareland,Water,Wetland,Water,Wetland,Wetland
833,Bareland,Water,Wetland,Water,Wetland,Bareland
834,Bareland,Water,Wetland,Water,Wetland,Water
835,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
836,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
837,Bareland,Water,Bareland,NULL,Non_Wetland,Wetland
838,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
839,Bareland,Water,Bareland,NULL,Non_Wetland,Water
840,Bareland,Water,Bareland,Non_Water,Non_Wetland,Wetland
841,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
842,Bareland,Water,Bareland,Water,Non_Wetland,NULL
843,Bareland,Water,Bareland,Water,Non_Wetland,Grassland
844,Bareland,Water,Bareland,Water,Non_Wetland,Cropland
845,Bareland,Water,Bareland,Water,Non_Wetland,Wetland
846,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
847,Bareland,Water,Bareland,Water,Non_Wetland,Water
848,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
849,Bareland,Water,Built-up,Water,Non_Wetland,Water
850,Bareland,Water,Water,Water,Water,Bareland
851,Bareland,Water,Water,Water,Water,Water
852,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
853,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
854,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
855,Bareland,Forest,Wetland,NULL,NULL,NULL
856,Bareland,Forest,Wetland,NULL,Wetland,NULL
857,Bareland,Forest,Wetland,NULL,Wetland,Bareland
858,Water,NULL,NULL,NULL,Non_Wetland,NULL
859,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
860,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
861,Water,NULL,Grassland,NULL,Non_Wetland,NULL
862,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
863,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
864,Water,NULL,Grassland,NULL,Non_Wetland,Forest
865,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL
866,Water,NULL,Grassland,Water,Non_Wetland,Bareland
867,Water,NULL,Cropland,NULL,Non_Wetland,NULL
868,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
