Value,AFRICA_2024_DynamicWorld_2024_35NNG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNG_M_R,AFRICA_2024_GSW_Yearly_2021_35NNG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNG_M_R,AFRICA_2024_WorldCover_2021_35NNG_M_R
440,Forest,NULL,Wetland,NULL,Wetland,Forest
441,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
442,Forest,NULL,Wetland,Non_Water,Wetland,Forest
443,Forest,NULL,Wetland,Water,Wetland,Forest
444,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
445,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
446,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
447,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
448,Forest,NULL,Built-up,NULL,Non_Wetland,Cropland
449,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
450,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
451,Forest,NULL,Water,NULL,Water,NULL
452,Forest,NULL,Water,NULL,Water,Forest
453,Forest,NULL,Forest,NULL,Non_Wetland,NULL
454,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
455,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
456,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
457,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
458,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
459,Forest,NULL,Forest,NULL,Non_Wetland,Forest
460,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
461,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
462,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
463,Forest,NULL,Forest,Water,Non_Wetland,Forest
464,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
465,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
466,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
467,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
468,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
469,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
470,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
471,Forest,Cropland,Forest,NULL,Non_Wetland,Built-up
472,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
473,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
474,Forest,Wetland,Wetland,NULL,Wetland,Forest
475,Forest,Wetland,Water,NULL,Water,Forest
476,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
477,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
478,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
479,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up
480,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
481,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
482,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
483,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland
484,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
485,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
486,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
487,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
488,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
489,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
490,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
491,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
492,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
493,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
494,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
495,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
496,Forest,Built-up,Forest,NULL,Non_Wetland,Cropland
497,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
498,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
499,Forest,Water,NULL,NULL,Non_Wetland,Grassland
500,Forest,Water,NULL,NULL,Non_Wetland,Forest
501,Forest,Water,NULL,Non_Water,Non_Wetland,Forest
502,Forest,Water,NULL,Water,Non_Wetland,Forest
503,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
504,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
505,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
506,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
507,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
508,Forest,Water,Shrubland,Water,Non_Wetland,NULL
509,Forest,Water,Shrubland,Water,Non_Wetland,Grassland
510,Forest,Water,Shrubland,Water,Non_Wetland,Forest
511,Forest,Water,Wetland,NULL,Wetland,NULL
512,Forest,Water,Wetland,NULL,Wetland,Grassland
513,Forest,Water,Wetland,NULL,Wetland,Forest
514,Forest,Water,Wetland,Non_Water,Wetland,NULL
515,Forest,Water,Wetland,Non_Water,Wetland,Grassland
516,Forest,Water,Wetland,Non_Water,Wetland,Forest
517,Forest,Water,Wetland,Water,Wetland,Grassland
518,Forest,Water,Wetland,Water,Wetland,Forest
519,Forest,Water,Bareland,NULL,Non_Wetland,Forest
520,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest
521,Forest,Water,Bareland,Water,Non_Wetland,Forest
522,Forest,Water,Built-up,NULL,Non_Wetland,Forest
523,Forest,Water,Water,NULL,Water,NULL
524,Forest,Water,Water,NULL,Water,Forest
525,Forest,Water,Water,Non_Water,Water,Forest
526,Forest,Water,Water,Water,Water,Forest
527,Forest,Water,Forest,NULL,Non_Wetland,NULL
528,Forest,Water,Forest,NULL,Non_Wetland,Grassland
529,Forest,Water,Forest,NULL,Non_Wetland,Forest
530,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
531,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
532,Forest,Water,Forest,Water,Non_Wetland,Grassland
533,Forest,Water,Forest,Water,Non_Wetland,Forest
534,Forest,Forest,NULL,NULL,Non_Wetland,NULL
535,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
536,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
537,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
538,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
539,Forest,Forest,NULL,NULL,Non_Wetland,Forest
540,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
541,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
542,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
543,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
544,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
545,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
546,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
547,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
548,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
549,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
550,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
551,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
552,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
553,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
554,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
555,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
556,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
557,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
558,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
559,Forest,Forest,Wetland,NULL,Wetland,NULL
560,Forest,Forest,Wetland,NULL,Wetland,Grassland
561,Forest,Forest,Wetland,NULL,Wetland,Forest
562,Forest,Forest,Wetland,Non_Water,Wetland,NULL
563,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
564,Forest,Forest,Wetland,Non_Water,Wetland,Forest
565,Forest,Forest,Wetland,Water,Wetland,Forest
566,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
567,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
568,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
569,Forest,Forest,Bareland,Water,Non_Wetland,Forest
570,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
571,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
572,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
573,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
574,Forest,Forest,Water,NULL,Water,NULL
575,Forest,Forest,Water,NULL,Water,Grassland
576,Forest,Forest,Water,NULL,Water,Forest
577,Forest,Forest,Water,Non_Water,Water,Forest
578,Forest,Forest,Forest,NULL,Non_Wetland,NULL
579,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
580,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
581,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
582,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
583,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
584,Forest,Forest,Forest,NULL,Non_Wetland,Forest
585,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
586,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
587,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
588,Forest,Forest,Forest,Water,Non_Wetland,Forest
