Value,AFRICA_2024_DynamicWorld_2024_35NRF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRF_M_R,AFRICA_2024_GSW_Yearly_2021_35NRF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRF_M_R,AFRICA_2024_WorldCover_2021_35NRF_M_R
444,Water,Water,Forest,Water,Non_Wetland,Water
445,Water,Water,Forest,Water,Non_Wetland,Forest
446,Water,Forest,NULL,NULL,Non_Wetland,Grassland
447,Water,Forest,NULL,NULL,Non_Wetland,Forest
448,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
449,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland
450,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
451,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
452,Water,Forest,Wetland,NULL,Wetland,Grassland
453,Water,Forest,Wetland,NULL,Wetland,Forest
454,Water,Forest,Wetland,Non_Water,Wetland,Forest
455,Water,Forest,Wetland,Water,Wetland,Forest
456,Water,Forest,Bareland,NULL,Non_Wetland,Grassland
457,Water,Forest,Built-up,NULL,Non_Wetland,Grassland
458,Water,Forest,Water,NULL,Water,Forest
459,Water,Forest,Water,Water,Water,NULL
460,Water,Forest,Water,Water,Water,Forest
461,Water,Forest,Forest,NULL,Non_Wetland,NULL
462,Water,Forest,Forest,NULL,Non_Wetland,Grassland
463,Water,Forest,Forest,NULL,Non_Wetland,Forest
464,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
465,Forest,NULL,NULL,NULL,Non_Wetland,NULL
466,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
467,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
468,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
469,Forest,NULL,NULL,NULL,Non_Wetland,Forest
470,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
471,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
472,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
473,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
474,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
475,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
476,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
477,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
478,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
479,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
480,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
481,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
482,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
483,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
484,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
485,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
486,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
487,Forest,NULL,Wetland,NULL,Wetland,NULL
488,Forest,NULL,Wetland,NULL,Wetland,Grassland
489,Forest,NULL,Wetland,NULL,Wetland,Forest
490,Forest,NULL,Wetland,Water,Wetland,Forest
491,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
492,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
493,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
494,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
495,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
496,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
497,Forest,NULL,Built-up,NULL,Non_Wetland,Cropland
498,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
499,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
500,Forest,NULL,Water,NULL,Water,NULL
501,Forest,NULL,Water,NULL,Water,Grassland
502,Forest,NULL,Forest,NULL,Non_Wetland,NULL
503,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
504,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
505,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
506,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
507,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
508,Forest,NULL,Forest,NULL,Non_Wetland,Forest
509,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
510,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
511,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
512,Forest,NULL,Forest,Water,Non_Wetland,Grassland
513,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
514,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
515,Forest,Cropland,NULL,NULL,Non_Wetland,Built-up
516,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
517,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
518,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
519,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
520,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
521,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
522,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
523,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
524,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
525,Forest,Cropland,Forest,NULL,Non_Wetland,Built-up
526,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
527,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
528,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland
529,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
530,Forest,Wetland,Wetland,NULL,Wetland,Forest
531,Forest,Wetland,Bareland,NULL,Non_Wetland,Forest
532,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
533,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
534,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
535,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
536,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
537,Forest,Built-up,NULL,NULL,Non_Wetland,Cropland
538,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up
539,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
540,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
541,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
542,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland
543,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
544,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
545,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
546,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
547,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
548,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
549,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
550,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
551,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
552,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
553,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
554,Forest,Built-up,Built-up,NULL,Non_Wetland,Cropland
555,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
556,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
557,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
558,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
559,Forest,Built-up,Forest,NULL,Non_Wetland,Cropland
560,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
561,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
562,Forest,Water,NULL,NULL,Non_Wetland,Forest
563,Forest,Water,NULL,Non_Water,Non_Wetland,Forest
564,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
565,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
566,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
567,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
568,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
569,Forest,Water,Shrubland,Water,Non_Wetland,Grassland
570,Forest,Water,Shrubland,Water,Non_Wetland,Forest
571,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest
572,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
573,Forest,Water,Cropland,NULL,Non_Wetland,Forest
574,Forest,Water,Wetland,NULL,Wetland,NULL
575,Forest,Water,Wetland,NULL,Wetland,Grassland
576,Forest,Water,Wetland,NULL,Wetland,Forest
577,Forest,Water,Wetland,Non_Water,Wetland,Grassland
578,Forest,Water,Wetland,Non_Water,Wetland,Forest
579,Forest,Water,Wetland,Water,Wetland,Forest
580,Forest,Water,Bareland,NULL,Non_Wetland,Grassland
581,Forest,Water,Bareland,NULL,Non_Wetland,Forest
582,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest
583,Forest,Water,Bareland,Water,Non_Wetland,Forest
584,Forest,Water,Built-up,NULL,Non_Wetland,Grassland
585,Forest,Water,Built-up,NULL,Non_Wetland,Forest
586,Forest,Water,Built-up,Water,Non_Wetland,Forest
587,Forest,Water,Water,NULL,Water,NULL
588,Forest,Water,Water,NULL,Water,Grassland
589,Forest,Water,Water,NULL,Water,Water
590,Forest,Water,Water,NULL,Water,Forest
591,Forest,Water,Water,Non_Water,Water,Forest
592,Forest,Water,Water,Water,Water,Grassland
593,Forest,Water,Water,Water,Water,Water
594,Forest,Water,Water,Water,Water,Forest
595,Forest,Water,Forest,NULL,Non_Wetland,NULL
596,Forest,Water,Forest,NULL,Non_Wetland,Grassland
597,Forest,Water,Forest,NULL,Non_Wetland,Water
598,Forest,Water,Forest,NULL,Non_Wetland,Forest
599,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
600,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
601,Forest,Water,Forest,Water,Non_Wetland,Grassland
602,Forest,Water,Forest,Water,Non_Wetland,Forest
603,Forest,Forest,NULL,NULL,Non_Wetland,NULL
604,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
605,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
606,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
607,Forest,Forest,NULL,NULL,Non_Wetland,Forest
608,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
609,Forest,Forest,NULL,Water,Non_Wetland,Forest
610,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
611,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
612,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
613,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
614,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
615,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
616,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
617,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
618,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
619,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
620,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
621,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
622,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
623,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
624,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
625,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
626,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
627,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
628,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
629,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
630,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
631,Forest,Forest,Wetland,NULL,Wetland,NULL
632,Forest,Forest,Wetland,NULL,Wetland,Grassland
633,Forest,Forest,Wetland,NULL,Wetland,Wetland
634,Forest,Forest,Wetland,NULL,Wetland,Forest
635,Forest,Forest,Wetland,Non_Water,Wetland,Forest
636,Forest,Forest,Wetland,Water,Wetland,NULL
637,Forest,Forest,Wetland,Water,Wetland,Forest
638,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
639,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
640,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
641,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
642,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
643,Forest,Forest,Bareland,Water,Non_Wetland,Forest
644,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
645,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
646,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
647,Forest,Forest,Built-up,Non_Water,Non_Wetland,Grassland
648,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
649,Forest,Forest,Built-up,Water,Non_Wetland,Forest
650,Forest,Forest,Water,NULL,Water,NULL
651,Forest,Forest,Water,NULL,Water,Forest
652,Forest,Forest,Water,Non_Water,Water,Forest
653,Forest,Forest,Water,Water,Water,Forest
654,Forest,Forest,Forest,NULL,Non_Wetland,NULL
655,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
656,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
657,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
658,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
659,Forest,Forest,Forest,NULL,Non_Wetland,Water
660,Forest,Forest,Forest,NULL,Non_Wetland,Forest
661,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
662,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
663,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
664,Forest,Forest,Forest,Water,Non_Wetland,NULL
665,Forest,Forest,Forest,Water,Non_Wetland,Grassland
666,Forest,Forest,Forest,Water,Non_Wetland,Forest
