Value,AFRICA_2024_DynamicWorld_2024_35NRD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRD_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRD_M_R,AFRICA_2024_GSW_Yearly_2021_35NRD_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRD_M_R,AFRICA_2024_WorldCover_2021_35NRD_M_R
445,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
446,Water,NULL,Grassland,NULL,Non_Wetland,NULL
447,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
448,Water,NULL,Grassland,NULL,Non_Wetland,Forest
449,Water,NULL,Cropland,NULL,Non_Wetland,NULL
450,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
451,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
452,Water,NULL,Cropland,NULL,Non_Wetland,Built-up
453,Water,NULL,Cropland,NULL,Non_Wetland,Forest
454,Water,NULL,Wetland,NULL,Wetland,Forest
455,Water,NULL,Bareland,NULL,Non_Wetland,NULL
456,Water,NULL,Bareland,NULL,Non_Wetland,Forest
457,Water,NULL,Built-up,NULL,Non_Wetland,NULL
458,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
459,Water,NULL,Built-up,NULL,Non_Wetland,Cropland
460,Water,NULL,Built-up,NULL,Non_Wetland,Built-up
461,Water,NULL,Forest,NULL,Non_Wetland,NULL
462,Water,NULL,Forest,NULL,Non_Wetland,Grassland
463,Water,NULL,Forest,NULL,Non_Wetland,Cropland
464,Water,NULL,Forest,NULL,Non_Wetland,Wetland
465,Water,NULL,Forest,NULL,Non_Wetland,Bareland
466,Water,NULL,Forest,NULL,Non_Wetland,Built-up
467,Water,NULL,Forest,NULL,Non_Wetland,Forest
468,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
469,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
470,Water,Cropland,NULL,NULL,Non_Wetland,NULL
471,Water,Cropland,Cropland,NULL,Non_Wetland,NULL
472,Water,Cropland,Forest,NULL,Non_Wetland,NULL
473,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
474,Water,Cropland,Forest,NULL,Non_Wetland,Forest
475,Water,Built-up,Cropland,NULL,Non_Wetland,NULL
476,Water,Built-up,Cropland,NULL,Non_Wetland,Grassland
477,Water,Built-up,Cropland,NULL,Non_Wetland,Cropland
478,Water,Built-up,Cropland,NULL,Non_Wetland,Built-up
479,Water,Built-up,Cropland,NULL,Non_Wetland,Forest
480,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
481,Water,Built-up,Built-up,NULL,Non_Wetland,Built-up
482,Water,Built-up,Forest,NULL,Non_Wetland,NULL
483,Water,Built-up,Forest,NULL,Non_Wetland,Built-up
484,Water,Forest,NULL,NULL,Non_Wetland,NULL
485,Water,Forest,NULL,NULL,Non_Wetland,Grassland
486,Water,Forest,NULL,NULL,Non_Wetland,Forest
487,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
488,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
489,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
490,Water,Forest,Grassland,NULL,Non_Wetland,NULL
491,Water,Forest,Grassland,NULL,Non_Wetland,Grassland
492,Water,Forest,Grassland,NULL,Non_Wetland,Forest
493,Water,Forest,Cropland,NULL,Non_Wetland,NULL
494,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
495,Water,Forest,Cropland,NULL,Non_Wetland,Cropland
496,Water,Forest,Cropland,NULL,Non_Wetland,Built-up
497,Water,Forest,Cropland,NULL,Non_Wetland,Forest
498,Water,Forest,Wetland,NULL,Wetland,NULL
499,Water,Forest,Wetland,NULL,Wetland,Forest
500,Water,Forest,Built-up,NULL,Non_Wetland,Forest
501,Water,Forest,Forest,NULL,Non_Wetland,NULL
502,Water,Forest,Forest,NULL,Non_Wetland,Grassland
503,Water,Forest,Forest,NULL,Non_Wetland,Cropland
504,Water,Forest,Forest,NULL,Non_Wetland,Wetland
505,Water,Forest,Forest,NULL,Non_Wetland,Built-up
506,Water,Forest,Forest,NULL,Non_Wetland,Forest
507,Water,Forest,Forest,Non_Water,Non_Wetland,NULL
508,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
509,Forest,NULL,NULL,NULL,Non_Wetland,NULL
510,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
511,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
512,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
513,Forest,NULL,NULL,NULL,Non_Wetland,Forest
514,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
515,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
516,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
517,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
518,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
519,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
520,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
521,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
522,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
523,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
524,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
525,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
526,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
527,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL
528,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
529,Forest,NULL,Wetland,NULL,Wetland,NULL
530,Forest,NULL,Wetland,NULL,Wetland,Forest
531,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
532,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
533,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
534,Forest,NULL,Forest,NULL,Non_Wetland,NULL
535,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
536,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
537,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
538,Forest,NULL,Forest,NULL,Non_Wetland,Forest
539,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
540,Forest,NULL,Forest,Non_Water,Non_Wetland,Cropland
541,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
542,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
543,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
544,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
545,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
546,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
547,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
548,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
549,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
550,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
551,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
552,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up
553,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
554,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
555,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
556,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
557,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
558,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
559,Forest,Built-up,Forest,NULL,Non_Wetland,Cropland
560,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
561,Forest,Forest,NULL,NULL,Non_Wetland,NULL
562,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
563,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
564,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
565,Forest,Forest,NULL,NULL,Non_Wetland,Forest
566,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
567,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
568,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
569,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
570,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
571,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
572,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
573,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
574,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
575,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
576,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
577,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
578,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL
579,Forest,Forest,Wetland,NULL,Wetland,Forest
580,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
581,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
582,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
583,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
584,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
585,Forest,Forest,Forest,NULL,Non_Wetland,NULL
586,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
587,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
588,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
589,Forest,Forest,Forest,NULL,Non_Wetland,Forest
590,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
591,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
