Value,AFRICA_2024_DynamicWorld_2024_36NYM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYM_M_R,AFRICA_2024_GSW_Yearly_2021_36NYM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYM_M_R,AFRICA_2024_WorldCover_2021_36NYM_M_R
416,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
417,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
418,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
419,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
420,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
421,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
422,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
423,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
424,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
425,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
426,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
427,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
428,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
429,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
430,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
431,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
432,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
433,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
434,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
435,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
436,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
437,Cropland,Water,NULL,NULL,Non_Wetland,Forest
438,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
439,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
440,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
441,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
442,Cropland,Water,Grassland,NULL,Non_Wetland,Wetland
443,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
444,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
445,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
446,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
447,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
448,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
449,Cropland,Water,Built-up,NULL,Non_Wetland,Grassland
450,Cropland,Water,Forest,NULL,Non_Wetland,NULL
451,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
452,Cropland,Water,Forest,NULL,Non_Wetland,Forest
453,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
454,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
455,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
456,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
457,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
458,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
459,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
460,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
461,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
462,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
463,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
464,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
465,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
466,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
467,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
468,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
469,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
470,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
471,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
472,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
473,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
474,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
475,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
476,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
477,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
478,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
479,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
480,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
481,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
482,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
483,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
484,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
485,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
486,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
487,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
488,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
489,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
490,Wetland,Cropland,Grassland,NULL,Non_Wetland,Grassland
491,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland
492,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
493,Wetland,Cropland,Bareland,NULL,Non_Wetland,Grassland
494,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
495,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
496,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
497,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
498,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
499,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
500,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
501,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
502,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
503,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
504,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
505,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
506,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
507,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
508,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
509,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
510,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
511,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
512,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
513,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
514,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
515,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
516,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
517,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
518,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
519,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
520,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
521,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
522,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
523,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
524,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
525,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest
526,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
527,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
528,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
529,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
530,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
531,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
532,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
533,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL
534,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
535,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland
536,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest
537,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
538,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
539,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
540,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
541,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
542,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
543,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
544,Bareland,Water,NULL,NULL,Non_Wetland,Grassland
545,Bareland,Water,NULL,NULL,Non_Wetland,Forest
546,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
547,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
548,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
549,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
550,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
551,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
552,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
553,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
554,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
555,Bareland,Water,Wetland,NULL,Wetland,Grassland
556,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
557,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
558,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland
559,Bareland,Water,Forest,NULL,Non_Wetland,NULL
560,Bareland,Water,Forest,NULL,Non_Wetland,Grassland
561,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
562,Bareland,Water,Forest,NULL,Non_Wetland,Forest
563,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
564,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
565,Bareland,Forest,NULL,NULL,Non_Wetland,Forest
566,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
567,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
568,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
569,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
570,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
571,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
572,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
573,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
574,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
575,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
576,Bareland,Forest,Wetland,NULL,Wetland,Grassland
577,Bareland,Forest,Bareland,NULL,Non_Wetland,Forest
578,Bareland,Forest,Built-up,NULL,Non_Wetland,Grassland
579,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
580,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
581,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland
582,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
583,Water,NULL,NULL,NULL,Non_Wetland,NULL
584,Water,NULL,NULL,NULL,Non_Wetland,Grassland
585,Water,NULL,NULL,NULL,Non_Wetland,Forest
586,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
587,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
588,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
589,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
590,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
591,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
592,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
593,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
594,Water,NULL,Grassland,NULL,Non_Wetland,Forest
595,Water,NULL,Cropland,NULL,Non_Wetland,NULL
596,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
597,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
598,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
599,Water,NULL,Cropland,NULL,Non_Wetland,Forest
600,Water,NULL,Wetland,NULL,Wetland,Grassland
601,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
602,Water,NULL,Bareland,NULL,Non_Wetland,NULL
603,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
604,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
605,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
606,Water,NULL,Bareland,NULL,Non_Wetland,Water
607,Water,NULL,Bareland,NULL,Non_Wetland,Forest
608,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
609,Water,NULL,Built-up,NULL,Non_Wetland,Wetland
610,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
611,Water,NULL,Water,NULL,Water,Grassland
612,Water,NULL,Forest,NULL,Non_Wetland,NULL
613,Water,NULL,Forest,NULL,Non_Wetland,Grassland
614,Water,NULL,Forest,NULL,Non_Wetland,Wetland
615,Water,NULL,Forest,NULL,Non_Wetland,Bareland
616,Water,NULL,Forest,NULL,Non_Wetland,Forest
617,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL
618,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
619,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland
620,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland
621,Water,Cropland,Shrubland,NULL,Non_Wetland,Forest
622,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
623,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland
624,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland
625,Water,Cropland,Grassland,NULL,Non_Wetland,Forest
626,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland
627,Water,Cropland,Cropland,NULL,Non_Wetland,Wetland
628,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland
629,Water,Cropland,Cropland,NULL,Non_Wetland,Forest
630,Water,Cropland,Cropland,Water,Non_Wetland,Grassland
631,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland
632,Water,Cropland,Built-up,NULL,Non_Wetland,Bareland
633,Water,Cropland,Built-up,NULL,Non_Wetland,Water
634,Water,Cropland,Forest,NULL,Non_Wetland,NULL
635,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
636,Water,Cropland,Forest,NULL,Non_Wetland,Bareland
637,Water,Cropland,Forest,NULL,Non_Wetland,Forest
638,Water,Water,NULL,NULL,Non_Wetland,NULL
639,Water,Water,NULL,NULL,Non_Wetland,Grassland
640,Water,Water,NULL,NULL,Non_Wetland,Bareland
641,Water,Water,NULL,NULL,Non_Wetland,Forest
642,Water,Water,Shrubland,NULL,Non_Wetland,NULL
643,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
644,Water,Water,Shrubland,NULL,Non_Wetland,Cropland
645,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
646,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
647,Water,Water,Shrubland,NULL,Non_Wetland,Water
648,Water,Water,Shrubland,NULL,Non_Wetland,Forest
649,Water,Water,Shrubland,Water,Non_Wetland,Water
650,Water,Water,Grassland,NULL,Non_Wetland,NULL
651,Water,Water,Grassland,NULL,Non_Wetland,Grassland
652,Water,Water,Grassland,NULL,Non_Wetland,Wetland
653,Water,Water,Grassland,NULL,Non_Wetland,Bareland
654,Water,Water,Grassland,NULL,Non_Wetland,Water
655,Water,Water,Grassland,NULL,Non_Wetland,Forest
656,Water,Water,Grassland,Water,Non_Wetland,Grassland
657,Water,Water,Grassland,Water,Non_Wetland,Bareland
658,Water,Water,Cropland,NULL,Non_Wetland,NULL
659,Water,Water,Cropland,NULL,Non_Wetland,Grassland
660,Water,Water,Cropland,NULL,Non_Wetland,Wetland
661,Water,Water,Cropland,NULL,Non_Wetland,Bareland
662,Water,Water,Cropland,NULL,Non_Wetland,Water
663,Water,Water,Cropland,NULL,Non_Wetland,Forest
664,Water,Water,Cropland,Water,Non_Wetland,Wetland
665,Water,Water,Cropland,Water,Non_Wetland,Water
666,Water,Water,Wetland,NULL,Wetland,Grassland
667,Water,Water,Wetland,NULL,Wetland,Water
668,Water,Water,Wetland,NULL,Wetland,Forest
669,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
670,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
671,Water,Water,Bareland,NULL,Non_Wetland,NULL
672,Water,Water,Bareland,NULL,Non_Wetland,Grassland
673,Water,Water,Bareland,NULL,Non_Wetland,Wetland
674,Water,Water,Bareland,NULL,Non_Wetland,Bareland
675,Water,Water,Bareland,NULL,Non_Wetland,Water
676,Water,Water,Bareland,NULL,Non_Wetland,Forest
677,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland
678,Water,Water,Bareland,Water,Non_Wetland,Water
679,Water,Water,Built-up,NULL,Non_Wetland,NULL
680,Water,Water,Built-up,NULL,Non_Wetland,Grassland
681,Water,Water,Built-up,NULL,Non_Wetland,Wetland
682,Water,Water,Built-up,NULL,Non_Wetland,Bareland
683,Water,Water,Built-up,NULL,Non_Wetland,Water
684,Water,Water,Built-up,NULL,Non_Wetland,Forest
685,Water,Water,Water,NULL,Water,Grassland
686,Water,Water,Water,NULL,Water,Wetland
687,Water,Water,Water,NULL,Water,Water
688,Water,Water,Water,Water,Water,Wetland
689,Water,Water,Water,Water,Water,Water
690,Water,Water,Forest,NULL,Non_Wetland,NULL
691,Water,Water,Forest,NULL,Non_Wetland,Grassland
692,Water,Water,Forest,NULL,Non_Wetland,Bareland
693,Water,Water,Forest,NULL,Non_Wetland,Water
694,Water,Water,Forest,NULL,Non_Wetland,Forest
695,Water,Forest,NULL,NULL,Non_Wetland,Grassland
696,Water,Forest,NULL,NULL,Non_Wetland,Forest
697,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
698,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
699,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland
700,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
701,Water,Forest,Grassland,NULL,Non_Wetland,Grassland
702,Water,Forest,Grassland,NULL,Non_Wetland,Forest
703,Water,Forest,Cropland,NULL,Non_Wetland,NULL
704,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
705,Water,Forest,Cropland,NULL,Non_Wetland,Forest
706,Water,Forest,Wetland,NULL,Wetland,Forest
707,Water,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
708,Water,Forest,Bareland,NULL,Non_Wetland,Grassland
709,Water,Forest,Bareland,NULL,Non_Wetland,Wetland
710,Water,Forest,Bareland,NULL,Non_Wetland,Forest
711,Water,Forest,Forest,NULL,Non_Wetland,NULL
712,Water,Forest,Forest,NULL,Non_Wetland,Grassland
713,Water,Forest,Forest,NULL,Non_Wetland,Cropland
714,Water,Forest,Forest,NULL,Non_Wetland,Forest
715,Forest,NULL,NULL,NULL,Non_Wetland,NULL
716,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
717,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
718,Forest,NULL,NULL,NULL,Non_Wetland,Forest
719,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
720,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
721,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
722,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
723,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
724,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
725,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
726,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
727,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
728,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
729,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
730,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up
731,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
732,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
733,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
734,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
735,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
736,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
737,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
738,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
739,Forest,NULL,Wetland,NULL,Wetland,NULL
740,Forest,NULL,Wetland,NULL,Wetland,Grassland
741,Forest,NULL,Wetland,NULL,Wetland,Forest
742,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
743,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
744,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
745,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
746,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
747,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
748,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
749,Forest,NULL,Bareland,NULL,Non_Wetland,Built-up
750,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
751,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
752,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
753,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
754,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
755,Forest,NULL,Water,NULL,Water,Grassland
756,Forest,NULL,Water,NULL,Water,Forest
757,Forest,NULL,Forest,NULL,Non_Wetland,NULL
758,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
759,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
760,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
761,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
762,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
763,Forest,NULL,Forest,NULL,Non_Wetland,Forest
764,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
765,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
766,Forest,Cropland,NULL,NULL,Non_Wetland,Cropland
767,Forest,Cropland,NULL,NULL,Non_Wetland,Bareland
768,Forest,Cropland,NULL,NULL,Non_Wetland,Built-up
769,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
770,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
771,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
772,Forest,Cropland,Shrubland,NULL,Non_Wetland,Cropland
773,Forest,Cropland,Shrubland,NULL,Non_Wetland,Bareland
774,Forest,Cropland,Shrubland,NULL,Non_Wetland,Built-up
775,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
776,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
777,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
778,Forest,Cropland,Grassland,NULL,Non_Wetland,Cropland
779,Forest,Cropland,Grassland,NULL,Non_Wetland,Bareland
780,Forest,Cropland,Grassland,NULL,Non_Wetland,Built-up
781,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
782,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
783,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
784,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
785,Forest,Cropland,Cropland,NULL,Non_Wetland,Wetland
786,Forest,Cropland,Cropland,NULL,Non_Wetland,Bareland
787,Forest,Cropland,Cropland,NULL,Non_Wetland,Built-up
788,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
789,Forest,Cropland,Wetland,NULL,Wetland,Forest
790,Forest,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
791,Forest,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
792,Forest,Cropland,Bareland,NULL,Non_Wetland,NULL
793,Forest,Cropland,Bareland,NULL,Non_Wetland,Grassland
794,Forest,Cropland,Bareland,NULL,Non_Wetland,Bareland
795,Forest,Cropland,Bareland,NULL,Non_Wetland,Built-up
796,Forest,Cropland,Bareland,NULL,Non_Wetland,Forest
797,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL
798,Forest,Cropland,Built-up,NULL,Non_Wetland,Grassland
799,Forest,Cropland,Built-up,NULL,Non_Wetland,Bareland
800,Forest,Cropland,Built-up,NULL,Non_Wetland,Built-up
801,Forest,Cropland,Built-up,NULL,Non_Wetland,Forest
802,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
803,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
804,Forest,Cropland,Forest,NULL,Non_Wetland,Cropland
805,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland
806,Forest,Cropland,Forest,NULL,Non_Wetland,Bareland
807,Forest,Cropland,Forest,NULL,Non_Wetland,Built-up
808,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
809,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
810,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
811,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
812,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
813,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
814,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
815,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland
816,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
817,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
818,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
819,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
820,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest
821,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
822,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
823,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
824,Forest,Built-up,Forest,NULL,Non_Wetland,Cropland
825,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
826,Forest,Water,NULL,NULL,Non_Wetland,NULL
827,Forest,Water,NULL,NULL,Non_Wetland,Grassland
828,Forest,Water,NULL,NULL,Non_Wetland,Bareland
829,Forest,Water,NULL,NULL,Non_Wetland,Forest
830,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
831,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
832,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland
833,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
834,Forest,Water,Grassland,NULL,Non_Wetland,NULL
835,Forest,Water,Grassland,NULL,Non_Wetland,Grassland
836,Forest,Water,Grassland,NULL,Non_Wetland,Wetland
837,Forest,Water,Grassland,NULL,Non_Wetland,Bareland
838,Forest,Water,Grassland,NULL,Non_Wetland,Water
839,Forest,Water,Grassland,NULL,Non_Wetland,Forest
840,Forest,Water,Cropland,NULL,Non_Wetland,NULL
841,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
842,Forest,Water,Cropland,NULL,Non_Wetland,Wetland
843,Forest,Water,Cropland,NULL,Non_Wetland,Bareland
844,Forest,Water,Cropland,NULL,Non_Wetland,Forest
845,Forest,Water,Wetland,NULL,Wetland,Grassland
846,Forest,Water,Wetland,NULL,Wetland,Forest
847,Forest,Water,Bareland,NULL,Non_Wetland,NULL
848,Forest,Water,Bareland,NULL,Non_Wetland,Grassland
849,Forest,Water,Bareland,NULL,Non_Wetland,Bareland
850,Forest,Water,Bareland,NULL,Non_Wetland,Forest
851,Forest,Water,Built-up,NULL,Non_Wetland,NULL
852,Forest,Water,Built-up,NULL,Non_Wetland,Grassland
