Value,AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,AFRICA_2024_WorldCover_2021_35NRJ_M_R
436,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
437,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
438,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
439,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
440,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
441,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
442,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
443,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
444,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
445,Grassland,Wetland,Wetland,NULL,Wetland,NULL
446,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
447,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
448,Grassland,Wetland,Wetland,NULL,Wetland,Water
449,Grassland,Wetland,Wetland,NULL,Wetland,Forest
450,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
451,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
452,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
453,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
454,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
455,Grassland,Wetland,Wetland,Water,Wetland,Grassland
456,Grassland,Wetland,Wetland,Water,Wetland,Wetland
457,Grassland,Wetland,Wetland,Water,Wetland,Water
458,Grassland,Wetland,Wetland,Water,Wetland,Forest
459,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
460,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
461,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
462,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
463,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
464,Grassland,Wetland,Water,NULL,Water,Grassland
465,Grassland,Wetland,Water,NULL,Water,Wetland
466,Grassland,Wetland,Water,NULL,Water,Water
467,Grassland,Wetland,Water,NULL,Water,Forest
468,Grassland,Wetland,Water,Non_Water,Water,Wetland
469,Grassland,Wetland,Water,Non_Water,Water,Forest
470,Grassland,Wetland,Water,Water,Water,Grassland
471,Grassland,Wetland,Water,Water,Water,Wetland
472,Grassland,Wetland,Water,Water,Water,Water
473,Grassland,Wetland,Water,Water,Water,Forest
474,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
475,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
476,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
477,Grassland,Wetland,Forest,NULL,Non_Wetland,Water
478,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
479,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
480,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
481,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
482,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
483,Grassland,Wetland,Forest,Water,Non_Wetland,Water
484,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
485,Grassland,Bareland,Wetland,NULL,Wetland,Wetland
486,Grassland,Bareland,Wetland,Water,Wetland,Wetland
487,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
488,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland
489,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
490,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
491,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
492,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
493,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
494,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
495,Grassland,Water,Wetland,NULL,Wetland,Grassland
496,Grassland,Water,Wetland,NULL,Wetland,Wetland
497,Grassland,Water,Wetland,NULL,Wetland,Water
498,Grassland,Water,Wetland,NULL,Wetland,Forest
499,Grassland,Water,Wetland,Non_Water,Wetland,NULL
500,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
501,Grassland,Water,Wetland,Water,Wetland,Wetland
502,Grassland,Water,Wetland,Water,Wetland,Water
503,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
504,Grassland,Water,Water,NULL,Water,Wetland
505,Grassland,Water,Water,NULL,Water,Forest
506,Grassland,Water,Water,Non_Water,Water,Wetland
507,Grassland,Water,Water,Non_Water,Water,Forest
508,Grassland,Water,Water,Water,Water,Wetland
509,Grassland,Water,Water,Water,Water,Forest
510,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
511,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
512,Grassland,Water,Forest,Water,Non_Wetland,Wetland
513,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
514,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
515,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
516,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
517,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
518,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
519,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
520,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water
521,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
522,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
523,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
524,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Water
525,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
526,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
527,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
528,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
529,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
530,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
531,Grassland,Forest,Wetland,NULL,Wetland,NULL
532,Grassland,Forest,Wetland,NULL,Wetland,Grassland
533,Grassland,Forest,Wetland,NULL,Wetland,Wetland
534,Grassland,Forest,Wetland,NULL,Wetland,Forest
535,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
536,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
537,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
538,Grassland,Forest,Wetland,Water,Wetland,Grassland
539,Grassland,Forest,Wetland,Water,Wetland,Wetland
540,Grassland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
541,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
542,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
543,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
544,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
545,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
546,Grassland,Forest,Water,NULL,Water,Grassland
547,Grassland,Forest,Water,NULL,Water,Wetland
548,Grassland,Forest,Water,NULL,Water,Water
549,Grassland,Forest,Water,NULL,Water,Forest
550,Grassland,Forest,Water,Non_Water,Water,Wetland
551,Grassland,Forest,Water,Water,Water,Grassland
552,Grassland,Forest,Water,Water,Water,Wetland
553,Grassland,Forest,Water,Water,Water,Water
554,Grassland,Forest,Water,Water,Water,Forest
555,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
556,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
557,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
558,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
559,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
560,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
561,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
562,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
563,Grassland,Forest,Forest,Water,Non_Wetland,Water
564,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
565,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
566,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
567,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
568,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
569,Cropland,NULL,NULL,Water,Non_Wetland,Water
570,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
571,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
572,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
573,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
574,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
575,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
576,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
577,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
578,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
579,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
580,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
581,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
582,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
583,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
584,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
585,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
586,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
587,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
588,Cropland,NULL,Grassland,Water,Non_Wetland,Water
589,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
590,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
591,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
592,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
593,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
594,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
595,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
596,Cropland,NULL,Cropland,Water,Non_Wetland,Water
597,Cropland,NULL,Wetland,NULL,Wetland,Grassland
598,Cropland,NULL,Wetland,NULL,Wetland,Wetland
599,Cropland,NULL,Wetland,NULL,Wetland,Forest
600,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
601,Cropland,NULL,Wetland,Water,Wetland,Wetland
602,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
603,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
604,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
605,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
606,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
607,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
608,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
609,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
610,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
611,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
612,Cropland,NULL,Built-up,Water,Non_Wetland,Water
613,Cropland,NULL,Water,NULL,Water,Wetland
614,Cropland,NULL,Water,Non_Water,Water,Wetland
615,Cropland,NULL,Water,Water,Water,Grassland
616,Cropland,NULL,Water,Water,Water,Wetland
617,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
618,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
619,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
620,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
621,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
622,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
623,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
624,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
625,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
626,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
627,Cropland,Cropland,NULL,Water,Non_Wetland,Water
628,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
629,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
630,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
631,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
632,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
633,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Water
634,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
635,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
636,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
637,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
638,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
639,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
640,Cropland,Cropland,Wetland,NULL,Wetland,NULL
641,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
642,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
643,Cropland,Cropland,Wetland,NULL,Wetland,Forest
644,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
645,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
646,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
647,Cropland,Cropland,Built-up,NULL,Non_Wetland,Wetland
648,Cropland,Cropland,Built-up,Water,Non_Wetland,Wetland
649,Cropland,Cropland,Water,NULL,Water,Grassland
650,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
651,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
652,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
653,Cropland,Cropland,Forest,Water,Non_Wetland,Water
654,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
655,Cropland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
656,Cropland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
657,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
658,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
659,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
660,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
661,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
662,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
663,Cropland,Wetland,Shrubland,Water,Non_Wetland,Grassland
664,Cropland,Wetland,Shrubland,Water,Non_Wetland,Water
665,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
666,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
667,Cropland,Wetland,Cropland,Water,Non_Wetland,Grassland
668,Cropland,Wetland,Wetland,NULL,Wetland,NULL
669,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
670,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
671,Cropland,Wetland,Wetland,NULL,Wetland,Water
672,Cropland,Wetland,Wetland,NULL,Wetland,Forest
673,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland
674,Cropland,Wetland,Wetland,Non_Water,Wetland,Forest
675,Cropland,Wetland,Wetland,Water,Wetland,Wetland
676,Cropland,Wetland,Bareland,NULL,Non_Wetland,Wetland
677,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
678,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
679,Cropland,Wetland,Water,NULL,Water,Wetland
680,Cropland,Wetland,Water,NULL,Water,Forest
681,Cropland,Wetland,Water,Non_Water,Water,Wetland
682,Cropland,Wetland,Water,Water,Water,Wetland
683,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
684,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
685,Cropland,Wetland,Forest,NULL,Non_Wetland,Water
686,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
687,Cropland,Wetland,Forest,Water,Non_Wetland,Wetland
688,Cropland,Built-up,NULL,Non_Water,Non_Wetland,Grassland
689,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
690,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
691,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
692,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
693,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
694,Cropland,Built-up,Shrubland,Water,Non_Wetland,Grassland
695,Cropland,Built-up,Shrubland,Water,Non_Wetland,Bareland
696,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
697,Cropland,Built-up,Grassland,NULL,Non_Wetland,Wetland
698,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
699,Cropland,Built-up,Grassland,Water,Non_Wetland,Grassland
700,Cropland,Built-up,Grassland,Water,Non_Wetland,Bareland
701,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
702,Cropland,Built-up,Cropland,NULL,Non_Wetland,Wetland
703,Cropland,Built-up,Bareland,Water,Non_Wetland,Grassland
704,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
705,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
706,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
707,Cropland,Built-up,Built-up,NULL,Non_Wetland,Water
708,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
709,Cropland,Water,Wetland,NULL,Wetland,Wetland
710,Cropland,Water,Water,NULL,Water,Wetland
711,Cropland,Water,Water,Water,Water,Wetland
712,Cropland,Water,Forest,NULL,Non_Wetland,Wetland
713,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
714,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
715,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
716,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
717,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
718,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
719,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
720,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
721,Cropland,Forest,Shrubland,Water,Non_Wetland,Wetland
722,Cropland,Forest,Shrubland,Water,Non_Wetland,Water
723,Cropland,Forest,Wetland,NULL,Wetland,Grassland
724,Cropland,Forest,Wetland,NULL,Wetland,Wetland
725,Cropland,Forest,Wetland,NULL,Wetland,Forest
726,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland
727,Cropland,Forest,Wetland,Water,Wetland,Wetland
728,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
729,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
730,Cropland,Forest,Water,NULL,Water,Wetland
731,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
732,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
733,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
734,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
735,Cropland,Forest,Forest,Non_Water,Non_Wetland,Wetland
736,Cropland,Forest,Forest,Water,Non_Wetland,Wetland
737,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
738,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
739,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
740,Wetland,NULL,NULL,NULL,Non_Wetland,Built-up
741,Wetland,NULL,NULL,NULL,Non_Wetland,Water
742,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
743,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
744,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
745,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
746,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
747,Wetland,NULL,NULL,Water,Non_Wetland,Water
748,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
749,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
750,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
751,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
752,Wetland,NULL,Shrubland,NULL,Non_Wetland,Built-up
753,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
754,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
755,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
756,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
757,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
758,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
759,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
760,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
761,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
762,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
763,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
764,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
765,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
766,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
767,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
768,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
769,Wetland,NULL,Grassland,Water,Non_Wetland,Water
770,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
771,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
772,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
773,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
774,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
775,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
776,Wetland,NULL,Wetland,NULL,Wetland,NULL
777,Wetland,NULL,Wetland,NULL,Wetland,Grassland
778,Wetland,NULL,Wetland,NULL,Wetland,Wetland
779,Wetland,NULL,Wetland,NULL,Wetland,Water
780,Wetland,NULL,Wetland,NULL,Wetland,Forest
781,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
782,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
783,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
784,Wetland,NULL,Wetland,Non_Water,Wetland,Water
785,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
786,Wetland,NULL,Wetland,Water,Wetland,Grassland
787,Wetland,NULL,Wetland,Water,Wetland,Wetland
788,Wetland,NULL,Wetland,Water,Wetland,Water
789,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
790,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
791,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
792,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
793,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
794,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
795,Wetland,NULL,Bareland,Water,Non_Wetland,Water
796,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
797,Wetland,NULL,Built-up,Water,Non_Wetland,Grassland
798,Wetland,NULL,Water,NULL,Water,Grassland
799,Wetland,NULL,Water,NULL,Water,Wetland
800,Wetland,NULL,Water,NULL,Water,Water
801,Wetland,NULL,Water,Non_Water,Water,Grassland
802,Wetland,NULL,Water,Non_Water,Water,Wetland
803,Wetland,NULL,Water,Water,Water,Grassland
804,Wetland,NULL,Water,Water,Water,Wetland
805,Wetland,NULL,Water,Water,Water,Water
806,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
807,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
808,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
809,Wetland,NULL,Forest,NULL,Non_Wetland,Water
810,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
811,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
812,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
813,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
814,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
815,Wetland,NULL,Forest,Water,Non_Wetland,Water
816,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
817,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland
818,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
819,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
820,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Water
821,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
822,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
823,Wetland,Cropland,Shrubland,Water,Non_Wetland,Grassland
824,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland
825,Wetland,Cropland,Shrubland,Water,Non_Wetland,Water
826,Wetland,Cropland,Grassland,NULL,Non_Wetland,Grassland
827,Wetland,Cropland,Grassland,NULL,Non_Wetland,Wetland
828,Wetland,Cropland,Wetland,NULL,Wetland,NULL
829,Wetland,Cropland,Wetland,NULL,Wetland,Grassland
830,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
831,Wetland,Cropland,Wetland,NULL,Wetland,Forest
832,Wetland,Cropland,Wetland,Non_Water,Wetland,Grassland
833,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland
834,Wetland,Cropland,Wetland,Water,Wetland,Wetland
835,Wetland,Cropland,Wetland,Water,Wetland,Water
836,Wetland,Cropland,Bareland,NULL,Non_Wetland,Grassland
837,Wetland,Cropland,Bareland,NULL,Non_Wetland,Wetland
838,Wetland,Cropland,Bareland,NULL,Non_Wetland,Bareland
839,Wetland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
840,Wetland,Cropland,Water,NULL,Water,Grassland
841,Wetland,Cropland,Water,NULL,Water,Wetland
842,Wetland,Cropland,Water,NULL,Water,Water
843,Wetland,Cropland,Water,Non_Water,Water,Grassland
844,Wetland,Cropland,Water,Non_Water,Water,Wetland
845,Wetland,Cropland,Water,Water,Water,Grassland
846,Wetland,Cropland,Water,Water,Water,Wetland
847,Wetland,Cropland,Water,Water,Water,Water
848,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
849,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland
850,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
851,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
852,Wetland,Wetland,NULL,NULL,Non_Wetland,Built-up
853,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
854,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
855,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
856,Wetland,Wetland,NULL,Water,Non_Wetland,Grassland
857,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland
858,Wetland,Wetland,NULL,Water,Non_Wetland,Water
859,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
860,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
861,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
862,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
863,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Built-up
864,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water
865,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
866,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
867,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
868,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
869,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water
870,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
