Value,AFRICA_2024_DynamicWorld_2024_36NUK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUK_M_R,AFRICA_2024_GSW_Yearly_2021_36NUK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUK_M_R,AFRICA_2024_WorldCover_2021_36NUK_M_R
427,Grassland,Forest,Wetland,NULL,Wetland,Grassland
428,Grassland,Forest,Wetland,NULL,Wetland,Wetland
429,Grassland,Forest,Wetland,NULL,Wetland,Forest
430,Grassland,Forest,Wetland,Non_Water,Wetland,NULL
431,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
432,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
433,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
434,Grassland,Forest,Wetland,Water,Wetland,Forest
435,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
436,Grassland,Forest,Bareland,Water,Non_Wetland,Forest
437,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
438,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
439,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
440,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
441,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
442,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
443,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
444,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
445,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
446,Grassland,Forest,Forest,Water,Non_Wetland,NULL
447,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
448,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
449,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
450,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
451,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
452,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
453,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
454,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
455,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
456,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
457,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
458,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
459,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
460,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
461,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
462,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
463,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
464,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
465,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
466,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
467,Cropland,NULL,Wetland,NULL,Wetland,NULL
468,Cropland,NULL,Wetland,NULL,Wetland,Grassland
469,Cropland,NULL,Wetland,NULL,Wetland,Wetland
470,Cropland,NULL,Wetland,NULL,Wetland,Forest
471,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
472,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
473,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
474,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
475,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
476,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
477,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
478,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
479,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
480,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
481,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
482,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
483,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
484,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
485,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
486,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
487,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
488,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
489,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
490,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
491,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
492,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
493,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
494,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
495,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
496,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
497,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
498,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
499,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
500,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
501,Cropland,Wetland,NULL,NULL,Non_Wetland,Forest
502,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
503,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
504,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
505,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL
506,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
507,Cropland,Wetland,Cropland,NULL,Non_Wetland,Forest
508,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
509,Cropland,Wetland,Wetland,NULL,Wetland,Forest
510,Cropland,Wetland,Water,Water,Water,Water
511,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
512,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
513,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
514,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
515,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
516,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
517,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
518,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
519,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
520,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
521,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
522,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
523,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
524,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
525,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
526,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
527,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
528,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
529,Cropland,Water,Shrubland,Water,Non_Wetland,Built-up
530,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
531,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
532,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
533,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
534,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
535,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
536,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
537,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
538,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
539,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
540,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
541,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
542,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
543,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
544,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
545,Cropland,Forest,Wetland,NULL,Wetland,Grassland
546,Cropland,Forest,Wetland,NULL,Wetland,Wetland
547,Cropland,Forest,Wetland,NULL,Wetland,Forest
548,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
549,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
550,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
551,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
552,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
553,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
554,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
555,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
556,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
557,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
558,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
559,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
560,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
561,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
562,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
563,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
564,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
565,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
566,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
567,Wetland,NULL,Wetland,NULL,Wetland,Wetland
568,Wetland,NULL,Wetland,NULL,Wetland,Forest
569,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
570,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
571,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
572,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
573,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
574,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
575,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
576,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
577,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
578,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Forest
579,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland
580,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland
581,Wetland,Cropland,Wetland,NULL,Wetland,Forest
582,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
583,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
584,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland
585,Wetland,Cropland,Forest,NULL,Non_Wetland,Forest
586,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
587,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
588,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
589,Wetland,Wetland,NULL,NULL,Non_Wetland,Water
590,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
591,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland
592,Wetland,Wetland,NULL,Water,Non_Wetland,Forest
593,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
594,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
595,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
596,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
597,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water
598,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
599,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
600,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water
601,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
602,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland
603,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland
604,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water
605,Wetland,Wetland,Shrubland,Water,Non_Wetland,Forest
606,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
607,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
608,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
609,Wetland,Wetland,Wetland,NULL,Wetland,NULL
610,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
611,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
612,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
613,Wetland,Wetland,Wetland,NULL,Wetland,Water
614,Wetland,Wetland,Wetland,NULL,Wetland,Forest
615,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
616,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
617,Wetland,Wetland,Wetland,Non_Water,Wetland,Bareland
618,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
619,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
620,Wetland,Wetland,Wetland,Water,Wetland,Grassland
621,Wetland,Wetland,Wetland,Water,Wetland,Wetland
622,Wetland,Wetland,Wetland,Water,Wetland,Water
623,Wetland,Wetland,Wetland,Water,Wetland,Forest
624,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
625,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
626,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
627,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water
628,Wetland,Wetland,Bareland,Water,Non_Wetland,Grassland
629,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
630,Wetland,Wetland,Bareland,Water,Non_Wetland,Water
631,Wetland,Wetland,Bareland,Water,Non_Wetland,Forest
632,Wetland,Wetland,Built-up,NULL,Non_Wetland,Grassland
633,Wetland,Wetland,Built-up,NULL,Non_Wetland,Wetland
634,Wetland,Wetland,Built-up,NULL,Non_Wetland,Water
635,Wetland,Wetland,Built-up,NULL,Non_Wetland,Forest
636,Wetland,Wetland,Water,NULL,Water,Grassland
637,Wetland,Wetland,Water,NULL,Water,Wetland
638,Wetland,Wetland,Water,NULL,Water,Water
639,Wetland,Wetland,Water,NULL,Water,Forest
640,Wetland,Wetland,Water,Non_Water,Water,Wetland
641,Wetland,Wetland,Water,Non_Water,Water,Bareland
642,Wetland,Wetland,Water,Non_Water,Water,Water
643,Wetland,Wetland,Water,Non_Water,Water,Forest
644,Wetland,Wetland,Water,Water,Water,Grassland
645,Wetland,Wetland,Water,Water,Water,Wetland
646,Wetland,Wetland,Water,Water,Water,Bareland
647,Wetland,Wetland,Water,Water,Water,Water
648,Wetland,Wetland,Water,Water,Water,Forest
649,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
650,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
651,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
652,Wetland,Wetland,Forest,NULL,Non_Wetland,Bareland
653,Wetland,Wetland,Forest,NULL,Non_Wetland,Water
654,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
655,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
656,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water
657,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
658,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland
659,Wetland,Wetland,Forest,Water,Non_Wetland,Water
660,Wetland,Wetland,Forest,Water,Non_Wetland,Forest
661,Wetland,Built-up,Shrubland,NULL,Non_Wetland,NULL
662,Wetland,Built-up,Cropland,NULL,Non_Wetland,NULL
663,Wetland,Built-up,Cropland,NULL,Non_Wetland,Grassland
664,Wetland,Water,NULL,NULL,Non_Wetland,Grassland
665,Wetland,Water,NULL,NULL,Non_Wetland,Wetland
666,Wetland,Water,NULL,NULL,Non_Wetland,Water
667,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
668,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
669,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
670,Wetland,Water,Shrubland,NULL,Non_Wetland,Bareland
671,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
672,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
673,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
674,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland
675,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
676,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
677,Wetland,Water,Wetland,NULL,Wetland,Grassland
678,Wetland,Water,Wetland,NULL,Wetland,Wetland
679,Wetland,Water,Wetland,NULL,Wetland,Water
680,Wetland,Water,Wetland,NULL,Wetland,Forest
681,Wetland,Water,Wetland,Non_Water,Wetland,NULL
682,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
683,Wetland,Water,Wetland,Non_Water,Wetland,Water
684,Wetland,Water,Wetland,Non_Water,Wetland,Forest
685,Wetland,Water,Wetland,Water,Wetland,Wetland
686,Wetland,Water,Wetland,Water,Wetland,Water
687,Wetland,Water,Wetland,Water,Wetland,Forest
688,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
689,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
690,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
691,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
692,Wetland,Water,Bareland,Non_Water,Non_Wetland,Grassland
693,Wetland,Water,Bareland,Non_Water,Non_Wetland,Forest
694,Wetland,Water,Bareland,Water,Non_Wetland,Grassland
695,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
696,Wetland,Water,Water,NULL,Water,Water
697,Wetland,Water,Water,NULL,Water,Forest
698,Wetland,Water,Water,Water,Water,Wetland
699,Wetland,Water,Water,Water,Water,Water
700,Wetland,Water,Water,Water,Water,Forest
701,Wetland,Water,Forest,NULL,Non_Wetland,NULL
702,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
703,Wetland,Water,Forest,NULL,Non_Wetland,Wetland
704,Wetland,Water,Forest,NULL,Non_Wetland,Water
705,Wetland,Water,Forest,NULL,Non_Wetland,Forest
706,Wetland,Water,Forest,Water,Non_Wetland,Wetland
707,Wetland,Water,Forest,Water,Non_Wetland,Water
708,Wetland,Water,Forest,Water,Non_Wetland,Forest
709,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
710,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland
711,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
712,Wetland,Forest,NULL,Water,Non_Wetland,Wetland
713,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
714,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
715,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
716,Wetland,Forest,Shrubland,NULL,Non_Wetland,Water
717,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
718,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
719,Wetland,Forest,Shrubland,Water,Non_Wetland,Wetland
720,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
721,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
722,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
723,Wetland,Forest,Wetland,NULL,Wetland,NULL
724,Wetland,Forest,Wetland,NULL,Wetland,Grassland
725,Wetland,Forest,Wetland,NULL,Wetland,Forest
726,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
727,Wetland,Forest,Bareland,Water,Non_Wetland,Grassland
728,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
729,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
730,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
731,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
732,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
733,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
734,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
735,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
736,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
737,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
738,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
739,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
740,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
741,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
742,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
743,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
744,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
745,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
746,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
747,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
748,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
749,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
750,Bareland,Cropland,Built-up,NULL,Non_Wetland,Built-up
751,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
752,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
753,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
754,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
755,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
756,Bareland,Water,Grassland,NULL,Non_Wetland,Water
757,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
758,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
759,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
760,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
761,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
762,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
763,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
764,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
765,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
766,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
767,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
768,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
769,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland
770,Water,NULL,NULL,NULL,Non_Wetland,NULL
771,Water,NULL,NULL,NULL,Non_Wetland,Grassland
772,Water,NULL,NULL,NULL,Non_Wetland,Forest
773,Water,NULL,NULL,Non_Water,Non_Wetland,Forest
774,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
775,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
776,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
777,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
778,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
779,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
780,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
781,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
782,Water,NULL,Shrubland,Water,Non_Wetland,Bareland
783,Water,NULL,Grassland,NULL,Non_Wetland,NULL
784,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
785,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
786,Water,NULL,Cropland,NULL,Non_Wetland,NULL
787,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
788,Water,NULL,Cropland,NULL,Non_Wetland,Forest
789,Water,NULL,Cropland,Non_Water,Non_Wetland,Grassland
790,Water,NULL,Cropland,Non_Water,Non_Wetland,Forest
791,Water,NULL,Wetland,NULL,Wetland,Grassland
792,Water,NULL,Wetland,NULL,Wetland,Wetland
793,Water,NULL,Wetland,NULL,Wetland,Forest
794,Water,NULL,Wetland,Non_Water,Wetland,Grassland
795,Water,NULL,Wetland,Non_Water,Wetland,Forest
796,Water,NULL,Wetland,Water,Wetland,Grassland
797,Water,NULL,Wetland,Water,Wetland,Forest
798,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
799,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
800,Water,NULL,Bareland,NULL,Non_Wetland,Forest
801,Water,NULL,Built-up,NULL,Non_Wetland,NULL
802,Water,NULL,Water,Non_Water,Water,Grassland
803,Water,NULL,Water,Non_Water,Water,Water
804,Water,NULL,Water,Water,Water,Grassland
805,Water,NULL,Water,Water,Water,Wetland
806,Water,NULL,Forest,NULL,Non_Wetland,NULL
807,Water,NULL,Forest,NULL,Non_Wetland,Grassland
808,Water,NULL,Forest,NULL,Non_Wetland,Cropland
809,Water,NULL,Forest,NULL,Non_Wetland,Water
810,Water,NULL,Forest,NULL,Non_Wetland,Forest
811,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
812,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
813,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
814,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland
815,Water,Cropland,Forest,NULL,Non_Wetland,NULL
816,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
817,Water,Cropland,Forest,NULL,Non_Wetland,Forest
818,Water,Wetland,NULL,NULL,Non_Wetland,Grassland
819,Water,Wetland,NULL,NULL,Non_Wetland,Wetland
820,Water,Wetland,NULL,NULL,Non_Wetland,Water
821,Water,Wetland,NULL,NULL,Non_Wetland,Forest
822,Water,Wetland,NULL,Water,Non_Wetland,Wetland
823,Water,Wetland,NULL,Water,Non_Wetland,Water
824,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
825,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland
826,Water,Wetland,Shrubland,NULL,Non_Wetland,Bareland
827,Water,Wetland,Shrubland,NULL,Non_Wetland,Water
828,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
829,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
830,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water
831,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland
832,Water,Wetland,Shrubland,Water,Non_Wetland,Water
833,Water,Wetland,Grassland,NULL,Non_Wetland,Grassland
834,Water,Wetland,Cropland,NULL,Non_Wetland,NULL
835,Water,Wetland,Cropland,NULL,Non_Wetland,Grassland
836,Water,Wetland,Cropland,NULL,Non_Wetland,Wetland
837,Water,Wetland,Cropland,NULL,Non_Wetland,Forest
838,Water,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
839,Water,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
840,Water,Wetland,Cropland,Non_Water,Non_Wetland,Water
841,Water,Wetland,Cropland,Non_Water,Non_Wetland,Forest
842,Water,Wetland,Wetland,NULL,Wetland,Grassland
843,Water,Wetland,Wetland,NULL,Wetland,Wetland
844,Water,Wetland,Wetland,NULL,Wetland,Water
845,Water,Wetland,Wetland,NULL,Wetland,Forest
846,Water,Wetland,Wetland,Non_Water,Wetland,Grassland
847,Water,Wetland,Wetland,Non_Water,Wetland,Wetland
848,Water,Wetland,Wetland,Non_Water,Wetland,Water
849,Water,Wetland,Wetland,Non_Water,Wetland,Forest
850,Water,Wetland,Wetland,Water,Wetland,Grassland
851,Water,Wetland,Wetland,Water,Wetland,Wetland
852,Water,Wetland,Wetland,Water,Wetland,Water
853,Water,Wetland,Wetland,Water,Wetland,Forest
854,Water,Wetland,Bareland,NULL,Non_Wetland,Grassland
855,Water,Wetland,Bareland,NULL,Non_Wetland,Bareland
856,Water,Wetland,Bareland,NULL,Non_Wetland,Water
857,Water,Wetland,Bareland,NULL,Non_Wetland,Forest
858,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water
859,Water,Wetland,Built-up,NULL,Non_Wetland,Water
860,Water,Wetland,Built-up,Non_Water,Non_Wetland,Water
861,Water,Wetland,Water,NULL,Water,Grassland
862,Water,Wetland,Water,NULL,Water,Wetland
863,Water,Wetland,Water,NULL,Water,Water
864,Water,Wetland,Water,NULL,Water,Forest
865,Water,Wetland,Water,Non_Water,Water,Wetland
