Value,AFRICA_2024_DynamicWorld_2024_37NDH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NDH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NDH_M_R,AFRICA_2024_GSW_Yearly_2021_37NDH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NDH_M_R,AFRICA_2024_WorldCover_2021_37NDH_M_R
424,NULL,Forest,Forest,NULL,Non_Wetland,Forest
425,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
426,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
427,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
428,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
429,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
430,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
431,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
432,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
433,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
434,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
435,Grassland,NULL,NULL,Water,Non_Wetland,NULL
436,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
437,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
438,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
439,Grassland,NULL,NULL,Water,Non_Wetland,Water
440,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
441,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
442,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
443,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
444,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
445,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
446,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
447,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
448,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
449,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
450,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
451,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
452,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
453,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
454,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
455,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
456,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
457,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
458,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
459,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
460,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
461,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
462,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
463,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
464,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
465,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
466,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
467,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
468,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
469,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
470,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
471,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
472,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
473,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
474,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
475,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
476,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
477,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
478,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
479,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
480,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
481,Grassland,NULL,Cropland,Water,Non_Wetland,NULL
482,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
483,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
484,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
485,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland
486,Grassland,NULL,Cropland,Water,Non_Wetland,Water
487,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
488,Grassland,NULL,Wetland,NULL,Wetland,NULL
489,Grassland,NULL,Wetland,NULL,Wetland,Grassland
490,Grassland,NULL,Wetland,NULL,Wetland,Cropland
491,Grassland,NULL,Wetland,NULL,Wetland,Wetland
492,Grassland,NULL,Wetland,NULL,Wetland,Water
493,Grassland,NULL,Wetland,NULL,Wetland,Forest
494,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
495,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
496,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
497,Grassland,NULL,Wetland,Non_Water,Wetland,Water
498,Grassland,NULL,Wetland,Water,Wetland,Cropland
499,Grassland,NULL,Wetland,Water,Wetland,Wetland
500,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
501,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
502,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
503,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
504,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
505,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
506,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL
507,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
508,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
509,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
510,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water
511,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
512,Grassland,NULL,Bareland,Water,Non_Wetland,NULL
513,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
514,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland
515,Grassland,NULL,Bareland,Water,Non_Wetland,Water
516,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
517,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
518,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
519,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
520,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
521,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
522,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL
523,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
524,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
525,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
526,Grassland,NULL,Water,NULL,Water,Grassland
527,Grassland,NULL,Water,NULL,Water,Cropland
528,Grassland,NULL,Water,NULL,Water,Wetland
529,Grassland,NULL,Water,NULL,Water,Water
530,Grassland,NULL,Water,NULL,Water,Forest
531,Grassland,NULL,Water,Non_Water,Water,Grassland
532,Grassland,NULL,Water,Non_Water,Water,Cropland
533,Grassland,NULL,Water,Non_Water,Water,Water
534,Grassland,NULL,Water,Water,Water,Wetland
535,Grassland,NULL,Water,Water,Water,Water
536,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
537,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
538,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
539,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
540,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
541,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
542,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
543,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
544,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
545,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
546,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
547,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
548,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
549,Grassland,NULL,Forest,Water,Non_Wetland,NULL
550,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
551,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
552,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
553,Grassland,NULL,Forest,Water,Non_Wetland,Bareland
554,Grassland,NULL,Forest,Water,Non_Wetland,Water
555,Grassland,NULL,Forest,Water,Non_Wetland,Forest
556,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
557,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
558,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
559,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
560,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
561,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
562,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL
563,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
564,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
565,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
566,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
567,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
568,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
569,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
570,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
571,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
572,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
573,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
574,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
575,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
576,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
577,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
578,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
579,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
580,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
581,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
582,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
583,Grassland,Cropland,Grassland,Water,Non_Wetland,Wetland
584,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
585,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
586,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
587,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
588,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
589,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
590,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
591,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
592,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
593,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
594,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
595,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
596,Grassland,Cropland,Cropland,Water,Non_Wetland,Wetland
597,Grassland,Cropland,Wetland,NULL,Wetland,NULL
598,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
599,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
600,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
601,Grassland,Cropland,Wetland,NULL,Wetland,Forest
602,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
603,Grassland,Cropland,Wetland,Water,Wetland,Cropland
604,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
605,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
606,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
607,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
608,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
609,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
610,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
611,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
612,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
613,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland
614,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
615,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
616,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
617,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
618,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
619,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
620,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
621,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
622,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
623,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL
624,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
625,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
626,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
627,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
628,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
629,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
630,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
631,Grassland,Wetland,NULL,NULL,Non_Wetland,Cropland
632,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
633,Grassland,Wetland,NULL,NULL,Non_Wetland,Water
634,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
635,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL
636,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
637,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Cropland
638,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
639,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
640,Grassland,Wetland,NULL,Water,Non_Wetland,NULL
641,Grassland,Wetland,NULL,Water,Non_Wetland,Cropland
642,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
643,Grassland,Wetland,NULL,Water,Non_Wetland,Bareland
644,Grassland,Wetland,NULL,Water,Non_Wetland,Water
645,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
646,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
647,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
648,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
649,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
650,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
651,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
652,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
653,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
654,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
655,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL
656,Grassland,Wetland,Shrubland,Water,Non_Wetland,Cropland
657,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
658,Grassland,Wetland,Shrubland,Water,Non_Wetland,Bareland
659,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
660,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
661,Grassland,Wetland,Grassland,NULL,Non_Wetland,Cropland
662,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
663,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
664,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
665,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
666,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
667,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
668,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
669,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
670,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
671,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
672,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
673,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL
674,Grassland,Wetland,Cropland,Water,Non_Wetland,Cropland
675,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
676,Grassland,Wetland,Wetland,NULL,Wetland,NULL
677,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
678,Grassland,Wetland,Wetland,NULL,Wetland,Cropland
679,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
680,Grassland,Wetland,Wetland,NULL,Wetland,Forest
681,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
682,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
683,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
684,Grassland,Wetland,Wetland,Water,Wetland,NULL
685,Grassland,Wetland,Wetland,Water,Wetland,Cropland
686,Grassland,Wetland,Wetland,Water,Wetland,Wetland
687,Grassland,Wetland,Wetland,Water,Wetland,Water
688,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
689,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
690,Grassland,Wetland,Bareland,NULL,Non_Wetland,Cropland
691,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
692,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water
693,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
694,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
695,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
696,Grassland,Wetland,Bareland,Water,Non_Wetland,Cropland
697,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
698,Grassland,Wetland,Water,NULL,Water,Wetland
699,Grassland,Wetland,Water,Non_Water,Water,Wetland
700,Grassland,Wetland,Water,Water,Water,NULL
701,Grassland,Wetland,Water,Water,Water,Wetland
702,Grassland,Wetland,Water,Water,Water,Water
703,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
704,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
705,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland
706,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
707,Grassland,Wetland,Forest,NULL,Non_Wetland,Water
708,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
709,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL
710,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
711,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
712,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
713,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
714,Grassland,Wetland,Forest,Water,Non_Wetland,NULL
715,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
716,Grassland,Wetland,Forest,Water,Non_Wetland,Cropland
717,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
718,Grassland,Wetland,Forest,Water,Non_Wetland,Bareland
719,Grassland,Wetland,Forest,Water,Non_Wetland,Water
720,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
721,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
722,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
723,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
724,Grassland,Built-up,NULL,NULL,Non_Wetland,Wetland
725,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland
726,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
727,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
728,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
729,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
730,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
731,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
732,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL
733,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
734,Grassland,Built-up,Grassland,NULL,Non_Wetland,Cropland
735,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland
736,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
737,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
738,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
739,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
740,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
741,Grassland,Built-up,Cropland,NULL,Non_Wetland,Wetland
742,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland
743,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up
744,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
745,Grassland,Built-up,Wetland,NULL,Wetland,Forest
746,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL
747,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
748,Grassland,Built-up,Built-up,NULL,Non_Wetland,Cropland
749,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
750,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
751,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
752,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland
753,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland
754,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
755,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
756,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
757,Grassland,Water,NULL,NULL,Non_Wetland,Cropland
758,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
759,Grassland,Water,NULL,Non_Water,Non_Wetland,Grassland
760,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland
761,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
762,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
763,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
764,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
765,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
766,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
767,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
768,Grassland,Water,Cropland,NULL,Non_Wetland,NULL
769,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
770,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
771,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
772,Grassland,Water,Cropland,Non_Water,Non_Wetland,NULL
773,Grassland,Water,Cropland,Non_Water,Non_Wetland,Grassland
774,Grassland,Water,Wetland,NULL,Wetland,NULL
775,Grassland,Water,Wetland,NULL,Wetland,Wetland
776,Grassland,Water,Wetland,NULL,Wetland,Forest
777,Grassland,Water,Wetland,Water,Wetland,Wetland
778,Grassland,Water,Bareland,NULL,Non_Wetland,NULL
779,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
780,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
781,Grassland,Water,Water,Non_Water,Water,Water
782,Grassland,Water,Water,Water,Water,Wetland
783,Grassland,Water,Forest,NULL,Non_Wetland,NULL
784,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
785,Grassland,Water,Forest,NULL,Non_Wetland,Cropland
786,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
787,Grassland,Water,Forest,NULL,Non_Wetland,Forest
788,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL
789,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
790,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
791,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
792,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
793,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
794,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
795,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up
796,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
797,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
798,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
799,Grassland,Forest,NULL,Water,Non_Wetland,Wetland
800,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
801,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
802,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
803,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
804,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
805,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
806,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
807,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
808,Grassland,Forest,Shrubland,Water,Non_Wetland,Cropland
809,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
810,Grassland,Forest,Shrubland,Water,Non_Wetland,Bareland
811,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
812,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
813,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
814,Grassland,Forest,Grassland,NULL,Non_Wetland,Built-up
815,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
816,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
817,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
818,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
819,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
820,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland
821,Grassland,Forest,Cropland,NULL,Non_Wetland,Built-up
822,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
823,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL
824,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
825,Grassland,Forest,Wetland,NULL,Wetland,NULL
826,Grassland,Forest,Wetland,NULL,Wetland,Grassland
827,Grassland,Forest,Wetland,NULL,Wetland,Cropland
828,Grassland,Forest,Wetland,NULL,Wetland,Wetland
829,Grassland,Forest,Wetland,NULL,Wetland,Forest
830,Grassland,Forest,Wetland,Water,Wetland,Cropland
831,Grassland,Forest,Wetland,Water,Wetland,Wetland
832,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
833,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
834,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
835,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
836,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
837,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
838,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
839,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
840,Grassland,Forest,Built-up,NULL,Non_Wetland,Cropland
841,Grassland,Forest,Built-up,NULL,Non_Wetland,Built-up
842,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
843,Grassland,Forest,Water,NULL,Water,Grassland
844,Grassland,Forest,Water,NULL,Water,Wetland
845,Grassland,Forest,Water,Water,Water,Water
846,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
847,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
848,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
