Value,AFRICA_2024_DynamicWorld_2024_35PQT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQT_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQT_M_R,AFRICA_2024_GSW_Yearly_2021_35PQT_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQT_M_R,AFRICA_2024_WorldCover_2021_35PQT_M_R
415,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
416,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
417,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL
418,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
419,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
420,Water,NULL,Cropland,Non_Water,Non_Wetland,Cropland
421,Water,NULL,Cropland,Non_Water,Non_Wetland,Forest
422,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
423,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
424,Water,NULL,Built-up,NULL,Non_Wetland,NULL
425,Water,NULL,Built-up,Non_Water,Non_Wetland,Grassland
426,Water,NULL,Forest,NULL,Non_Wetland,Grassland
427,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
428,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
429,Water,NULL,Forest,Non_Water,Non_Wetland,Cropland
430,Water,NULL,Forest,Non_Water,Non_Wetland,Bareland
431,Forest,NULL,NULL,NULL,Non_Wetland,NULL
432,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
433,Forest,NULL,NULL,NULL,Non_Wetland,Forest
434,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
435,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
436,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
437,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
438,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
439,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
440,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
441,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
442,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
443,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
444,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
445,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
446,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
447,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
448,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
449,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
450,Forest,NULL,Forest,NULL,Non_Wetland,NULL
451,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
452,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
453,Forest,NULL,Forest,NULL,Non_Wetland,Forest
454,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
455,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
456,Forest,Forest,NULL,NULL,Non_Wetland,NULL
457,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
458,Forest,Forest,NULL,NULL,Non_Wetland,Forest
459,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
460,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
461,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
462,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
463,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
464,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
465,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
466,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
467,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
468,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL
469,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
470,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
471,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
472,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
473,Forest,Forest,Forest,NULL,Non_Wetland,NULL
474,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
475,Forest,Forest,Forest,NULL,Non_Wetland,Forest
476,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
477,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
