Value,AFRICA_2024_DynamicWorld_2024_35PQM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQM_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQM_M_R,AFRICA_2024_GSW_Yearly_2021_35PQM_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQM_M_R,AFRICA_2024_WorldCover_2021_35PQM_M_R
424,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
425,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
426,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
427,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
428,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
429,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
430,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
431,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
432,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
433,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
434,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
435,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
436,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
437,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
438,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
439,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
440,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
441,Grassland,NULL,Wetland,NULL,Wetland,NULL
442,Grassland,NULL,Wetland,NULL,Wetland,Grassland
443,Grassland,NULL,Wetland,NULL,Wetland,Cropland
444,Grassland,NULL,Wetland,NULL,Wetland,Wetland
445,Grassland,NULL,Wetland,NULL,Wetland,Forest
446,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
447,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
448,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
449,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
450,Grassland,NULL,Wetland,Water,Wetland,Grassland
451,Grassland,NULL,Wetland,Water,Wetland,Wetland
452,Grassland,NULL,Wetland,Water,Wetland,Forest
453,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
454,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
455,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
456,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
457,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
458,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
459,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
460,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
461,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
462,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
463,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
464,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
465,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
466,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
467,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
468,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
469,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
470,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
471,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
472,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
473,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL
474,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
475,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Forest
476,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
477,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
478,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
479,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
480,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
481,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
482,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
483,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
484,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
485,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
486,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
487,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
488,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
489,Grassland,Cropland,Wetland,NULL,Wetland,NULL
490,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
491,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
492,Grassland,Cropland,Wetland,NULL,Wetland,Forest
493,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL
494,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
495,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
496,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
497,Grassland,Cropland,Wetland,Water,Wetland,Wetland
498,Grassland,Cropland,Wetland,Water,Wetland,Forest
499,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
500,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Forest
501,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
502,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
503,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
504,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
505,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
506,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
507,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
508,Grassland,Wetland,NULL,Water,Non_Wetland,Water
509,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
510,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
511,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
512,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
513,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
514,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
515,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
516,Grassland,Wetland,Shrubland,Water,Non_Wetland,Cropland
517,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
518,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
519,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
520,Grassland,Wetland,Wetland,NULL,Wetland,Cropland
521,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
522,Grassland,Wetland,Wetland,NULL,Wetland,Forest
523,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
524,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland
525,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
526,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
527,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
528,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
529,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
530,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
531,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
532,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
533,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
534,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
535,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
536,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
537,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
538,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
539,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
540,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
541,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
542,Grassland,Forest,Wetland,NULL,Wetland,NULL
543,Grassland,Forest,Wetland,NULL,Wetland,Grassland
544,Grassland,Forest,Wetland,NULL,Wetland,Wetland
545,Grassland,Forest,Wetland,NULL,Wetland,Forest
546,Grassland,Forest,Wetland,Water,Wetland,Wetland
547,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
548,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
549,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
550,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
551,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
552,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
553,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
554,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
555,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
556,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
557,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
558,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
559,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
560,Cropland,NULL,NULL,NULL,Non_Wetland,Water
561,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
562,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
563,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
564,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
565,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
566,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
567,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
568,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
569,Cropland,NULL,NULL,Water,Non_Wetland,Water
570,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
571,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
572,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
573,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
574,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
575,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
576,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
577,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
578,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
579,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
580,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
581,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
582,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
583,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
584,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
585,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
586,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
587,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
588,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
589,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
590,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
591,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
592,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
593,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
594,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
595,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
596,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
597,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
598,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
599,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
600,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
601,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
602,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
603,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
604,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
605,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
606,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
607,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
608,Cropland,NULL,Wetland,NULL,Wetland,NULL
609,Cropland,NULL,Wetland,NULL,Wetland,Grassland
610,Cropland,NULL,Wetland,NULL,Wetland,Cropland
611,Cropland,NULL,Wetland,NULL,Wetland,Wetland
612,Cropland,NULL,Wetland,NULL,Wetland,Bareland
613,Cropland,NULL,Wetland,NULL,Wetland,Forest
614,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
615,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
616,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
617,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
618,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
619,Cropland,NULL,Wetland,Water,Wetland,Grassland
620,Cropland,NULL,Wetland,Water,Wetland,Cropland
621,Cropland,NULL,Wetland,Water,Wetland,Wetland
622,Cropland,NULL,Wetland,Water,Wetland,Bareland
623,Cropland,NULL,Wetland,Water,Wetland,Forest
624,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
625,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
626,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
627,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
628,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
629,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
630,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
631,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
632,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
633,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
634,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
635,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
636,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
637,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
638,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
639,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
640,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
641,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
642,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
643,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
644,Cropland,NULL,Water,NULL,Water,Grassland
645,Cropland,NULL,Water,NULL,Water,Wetland
646,Cropland,NULL,Water,NULL,Water,Bareland
647,Cropland,NULL,Water,Non_Water,Water,Wetland
648,Cropland,NULL,Water,Water,Water,Grassland
649,Cropland,NULL,Water,Water,Water,Wetland
650,Cropland,NULL,Water,Water,Water,Bareland
651,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
652,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
653,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
654,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
655,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
656,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
657,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
658,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
659,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
660,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
661,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
662,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
663,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
664,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
665,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
666,Cropland,NULL,Forest,Water,Non_Wetland,Water
667,Cropland,NULL,Forest,Water,Non_Wetland,Forest
668,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
669,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
670,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
671,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
672,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
673,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
674,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
675,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
676,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
677,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
678,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
679,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
680,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
681,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
682,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
683,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
684,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
685,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
686,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
687,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
688,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Water
689,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
690,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
691,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
692,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
693,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
694,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
695,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
696,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
697,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
698,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
699,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
700,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
701,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
702,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
703,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
704,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
705,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
706,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
707,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
708,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
709,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
710,Cropland,Cropland,Wetland,NULL,Wetland,NULL
711,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
712,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
713,Cropland,Cropland,Wetland,NULL,Wetland,Forest
714,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL
715,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
716,Cropland,Cropland,Wetland,Non_Water,Wetland,Wetland
717,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
718,Cropland,Cropland,Wetland,Water,Wetland,Grassland
719,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
720,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
721,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water
722,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
723,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
724,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
725,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
726,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
727,Cropland,Cropland,Built-up,NULL,Non_Wetland,Wetland
728,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
729,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
730,Cropland,Cropland,Built-up,Water,Non_Wetland,Grassland
731,Cropland,Cropland,Water,NULL,Water,Grassland
732,Cropland,Cropland,Water,Non_Water,Water,Grassland
733,Cropland,Cropland,Water,Non_Water,Water,Wetland
734,Cropland,Cropland,Water,Water,Water,Grassland
735,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
736,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
737,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
738,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
739,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
740,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL
741,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
742,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
743,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
744,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
745,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
746,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
747,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
748,Cropland,Wetland,NULL,NULL,Non_Wetland,Forest
749,Cropland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
750,Cropland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
751,Cropland,Wetland,NULL,Water,Non_Wetland,Wetland
752,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
753,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
754,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
755,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
756,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
757,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
758,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
759,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
760,Cropland,Wetland,Shrubland,Water,Non_Wetland,Grassland
761,Cropland,Wetland,Shrubland,Water,Non_Wetland,Cropland
762,Cropland,Wetland,Shrubland,Water,Non_Wetland,Wetland
763,Cropland,Wetland,Shrubland,Water,Non_Wetland,Water
764,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
765,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
766,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
767,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
768,Cropland,Wetland,Wetland,NULL,Wetland,Cropland
769,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
770,Cropland,Wetland,Wetland,NULL,Wetland,Forest
771,Cropland,Wetland,Wetland,Non_Water,Wetland,Grassland
772,Cropland,Wetland,Wetland,Non_Water,Wetland,Cropland
773,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland
774,Cropland,Wetland,Wetland,Non_Water,Wetland,Bareland
775,Cropland,Wetland,Wetland,Non_Water,Wetland,Forest
776,Cropland,Wetland,Built-up,NULL,Non_Wetland,Grassland
777,Cropland,Wetland,Built-up,NULL,Non_Wetland,Cropland
778,Cropland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
779,Cropland,Wetland,Water,NULL,Water,Grassland
780,Cropland,Wetland,Water,Non_Water,Water,Bareland
781,Cropland,Wetland,Water,Water,Water,Bareland
782,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
783,Cropland,Wetland,Forest,NULL,Non_Wetland,Cropland
784,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
785,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
786,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
787,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Forest
788,Cropland,Wetland,Forest,Water,Non_Wetland,Cropland
789,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
790,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
791,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
792,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
793,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
794,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
795,Cropland,Water,Wetland,Non_Water,Wetland,Wetland
796,Cropland,Water,Water,NULL,Water,Grassland
797,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
798,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
799,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
800,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
801,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
802,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
803,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
804,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
805,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
806,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
807,Cropland,Forest,Grassland,NULL,Non_Wetland,Wetland
808,Cropland,Forest,Wetland,NULL,Wetland,NULL
809,Cropland,Forest,Wetland,NULL,Wetland,Grassland
810,Cropland,Forest,Wetland,NULL,Wetland,Wetland
811,Cropland,Forest,Wetland,NULL,Wetland,Forest
812,Cropland,Forest,Wetland,Water,Wetland,Wetland
813,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
814,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
815,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
816,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
817,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
818,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
819,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
820,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
821,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
822,Wetland,NULL,NULL,NULL,Non_Wetland,Water
823,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
824,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
825,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
826,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
827,Wetland,NULL,NULL,Water,Non_Wetland,Cropland
828,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
829,Wetland,NULL,NULL,Water,Non_Wetland,Water
830,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
831,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
832,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
833,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
834,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
835,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
836,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
837,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
838,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
839,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
840,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
841,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
842,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
843,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
844,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
845,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
