Value,AFRICA_2024_DynamicWorld_2024_35PQL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQL_M_R,AFRICA_2024_GSW_Yearly_2021_35PQL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQL_M_R,AFRICA_2024_WorldCover_2021_35PQL_M_R
428,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
429,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
430,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
431,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
432,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
433,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
434,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
435,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
436,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
437,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
438,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
439,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
440,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
441,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
442,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
443,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
444,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
445,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
446,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
447,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
448,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
449,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
450,Grassland,NULL,Wetland,NULL,Wetland,NULL
451,Grassland,NULL,Wetland,NULL,Wetland,Grassland
452,Grassland,NULL,Wetland,NULL,Wetland,Cropland
453,Grassland,NULL,Wetland,NULL,Wetland,Wetland
454,Grassland,NULL,Wetland,NULL,Wetland,Built-up
455,Grassland,NULL,Wetland,NULL,Wetland,Forest
456,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
457,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
458,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
459,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
460,Grassland,NULL,Wetland,Water,Wetland,NULL
461,Grassland,NULL,Wetland,Water,Wetland,Grassland
462,Grassland,NULL,Wetland,Water,Wetland,Wetland
463,Grassland,NULL,Wetland,Water,Wetland,Bareland
464,Grassland,NULL,Wetland,Water,Wetland,Water
465,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
466,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
467,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
468,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
469,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
470,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
471,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
472,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
473,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
474,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
475,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
476,Grassland,NULL,Water,NULL,Water,Wetland
477,Grassland,NULL,Water,Non_Water,Water,Wetland
478,Grassland,NULL,Water,Water,Water,Wetland
479,Grassland,NULL,Water,Water,Water,Water
480,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
481,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
482,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
483,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
484,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
485,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
486,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
487,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
488,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
489,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
490,Grassland,NULL,Forest,Water,Non_Wetland,Water
491,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
492,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
493,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
494,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
495,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
496,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland
497,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
498,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
499,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
500,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
501,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
502,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
503,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
504,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
505,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
506,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
507,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
508,Grassland,Cropland,Wetland,NULL,Wetland,NULL
509,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
510,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
511,Grassland,Cropland,Wetland,NULL,Wetland,Bareland
512,Grassland,Cropland,Wetland,NULL,Wetland,Built-up
513,Grassland,Cropland,Wetland,NULL,Wetland,Forest
514,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
515,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
516,Grassland,Cropland,Wetland,Non_Water,Wetland,Built-up
517,Grassland,Cropland,Wetland,Water,Wetland,Wetland
518,Grassland,Cropland,Wetland,Water,Wetland,Built-up
519,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
520,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
521,Grassland,Cropland,Bareland,Water,Non_Wetland,Wetland
522,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
523,Grassland,Cropland,Built-up,NULL,Non_Wetland,Wetland
524,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
525,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
526,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
527,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
528,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
529,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
530,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
531,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
532,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
533,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
534,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
535,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
536,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
537,Grassland,Wetland,NULL,Water,Non_Wetland,Water
538,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
539,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
540,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
541,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
542,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Built-up
543,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
544,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
545,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
546,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
547,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
548,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
549,Grassland,Wetland,Shrubland,Water,Non_Wetland,Cropland
550,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
551,Grassland,Wetland,Shrubland,Water,Non_Wetland,Bareland
552,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
553,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
554,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
555,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
556,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
557,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
558,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
559,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
560,Grassland,Wetland,Wetland,NULL,Wetland,NULL
561,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
562,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
563,Grassland,Wetland,Wetland,NULL,Wetland,Built-up
564,Grassland,Wetland,Wetland,NULL,Wetland,Forest
565,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
566,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
567,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
568,Grassland,Wetland,Wetland,Water,Wetland,Grassland
569,Grassland,Wetland,Wetland,Water,Wetland,Wetland
570,Grassland,Wetland,Wetland,Water,Wetland,Water
571,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
572,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
573,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
574,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
575,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
576,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
577,Grassland,Wetland,Built-up,Water,Non_Wetland,Grassland
578,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland
579,Grassland,Wetland,Built-up,Water,Non_Wetland,Water
580,Grassland,Wetland,Water,NULL,Water,Wetland
581,Grassland,Wetland,Water,Non_Water,Water,Wetland
582,Grassland,Wetland,Water,Water,Water,Grassland
583,Grassland,Wetland,Water,Water,Water,Wetland
584,Grassland,Wetland,Water,Water,Water,Water
585,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
586,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
587,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
588,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
589,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
590,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
591,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
592,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
593,Grassland,Wetland,Forest,Water,Non_Wetland,Water
594,Grassland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
595,Grassland,Built-up,Wetland,Non_Water,Wetland,Grassland
596,Grassland,Built-up,Wetland,Non_Water,Wetland,Wetland
597,Grassland,Water,NULL,NULL,Non_Wetland,NULL
598,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
599,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
600,Grassland,Water,NULL,NULL,Non_Wetland,Forest
601,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
602,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
603,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
604,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
605,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
606,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
607,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
608,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
609,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
610,Grassland,Water,Wetland,NULL,Wetland,NULL
611,Grassland,Water,Wetland,NULL,Wetland,Grassland
612,Grassland,Water,Wetland,NULL,Wetland,Wetland
613,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
614,Grassland,Water,Wetland,Water,Wetland,Wetland
615,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
616,Grassland,Water,Forest,NULL,Non_Wetland,NULL
617,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
618,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
619,Grassland,Water,Forest,NULL,Non_Wetland,Forest
620,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
621,Grassland,Water,Forest,Water,Non_Wetland,Wetland
622,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
623,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
624,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
625,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
626,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
627,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
628,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
629,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
630,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
631,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
632,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water
633,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
634,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
635,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
636,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
637,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
638,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
639,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
640,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
641,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
642,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
643,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
644,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
645,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
646,Grassland,Forest,Wetland,NULL,Wetland,NULL
647,Grassland,Forest,Wetland,NULL,Wetland,Grassland
648,Grassland,Forest,Wetland,NULL,Wetland,Wetland
649,Grassland,Forest,Wetland,NULL,Wetland,Forest
650,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
651,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
652,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
653,Grassland,Forest,Wetland,Water,Wetland,Grassland
654,Grassland,Forest,Wetland,Water,Wetland,Wetland
655,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
656,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
657,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
658,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
659,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
660,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
661,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
662,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
663,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
664,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
665,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
666,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
667,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
668,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
669,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
670,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
671,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
672,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
673,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
674,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
675,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
676,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
677,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
678,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
679,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
680,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
681,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
682,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
683,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
684,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
685,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
686,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
687,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
688,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
689,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
690,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
691,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
692,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
693,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
694,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
695,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
696,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
697,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
698,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
699,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
700,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
701,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
702,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
703,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
704,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
705,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
706,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
707,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
708,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
709,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
710,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
711,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
712,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
713,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
714,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
715,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
716,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
717,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
718,Cropland,NULL,Wetland,NULL,Wetland,NULL
719,Cropland,NULL,Wetland,NULL,Wetland,Grassland
720,Cropland,NULL,Wetland,NULL,Wetland,Wetland
721,Cropland,NULL,Wetland,NULL,Wetland,Built-up
722,Cropland,NULL,Wetland,NULL,Wetland,Forest
723,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
724,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
725,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
726,Cropland,NULL,Wetland,Water,Wetland,Grassland
727,Cropland,NULL,Wetland,Water,Wetland,Wetland
728,Cropland,NULL,Wetland,Water,Wetland,Forest
729,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
730,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
731,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
732,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
733,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
734,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
735,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
736,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
737,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
738,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
739,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
740,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
741,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
742,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
743,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
744,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
745,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
746,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
747,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
748,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
749,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
750,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
751,Cropland,NULL,Water,NULL,Water,Wetland
752,Cropland,NULL,Water,Non_Water,Water,Wetland
753,Cropland,NULL,Water,Water,Water,Grassland
754,Cropland,NULL,Water,Water,Water,Wetland
755,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
756,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
757,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
758,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
759,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
760,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
761,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
762,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
763,Cropland,NULL,Forest,Water,Non_Wetland,Water
764,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
765,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
766,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
767,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
768,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
769,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
770,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
771,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
772,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
773,Cropland,Cropland,NULL,Water,Non_Wetland,Wetland
774,Cropland,Cropland,NULL,Water,Non_Wetland,Bareland
775,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
776,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
777,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
778,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
779,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
780,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
781,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
782,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
783,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
784,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
785,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Built-up
786,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Water
787,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
788,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
789,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
790,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
791,Cropland,Cropland,Shrubland,Water,Non_Wetland,Built-up
792,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
793,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
794,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
795,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
796,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
797,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
798,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
799,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
800,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
801,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
802,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
803,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
804,Cropland,Cropland,Wetland,NULL,Wetland,NULL
805,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
806,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
807,Cropland,Cropland,Wetland,NULL,Wetland,Built-up
808,Cropland,Cropland,Wetland,NULL,Wetland,Forest
809,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
810,Cropland,Cropland,Wetland,Non_Water,Wetland,Wetland
811,Cropland,Cropland,Wetland,Non_Water,Wetland,Built-up
812,Cropland,Cropland,Wetland,Water,Wetland,Grassland
813,Cropland,Cropland,Wetland,Water,Wetland,Wetland
814,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
815,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
816,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
817,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
818,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water
819,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
820,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
821,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
822,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
823,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
824,Cropland,Cropland,Built-up,NULL,Non_Wetland,Wetland
825,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
826,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
827,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
828,Cropland,Cropland,Built-up,Water,Non_Wetland,Grassland
829,Cropland,Cropland,Water,Non_Water,Water,Grassland
830,Cropland,Cropland,Water,Non_Water,Water,Wetland
831,Cropland,Cropland,Water,Water,Water,Grassland
832,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
833,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
834,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
835,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
836,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
837,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
838,Cropland,Cropland,Forest,Water,Non_Wetland,Wetland
839,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL
840,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
841,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
842,Cropland,Wetland,NULL,NULL,Non_Wetland,Forest
843,Cropland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
844,Cropland,Wetland,NULL,Water,Non_Wetland,Grassland
845,Cropland,Wetland,NULL,Water,Non_Wetland,Wetland
846,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
847,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
848,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
849,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
850,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Built-up
851,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
