Value,AFRICA_2024_DynamicWorld_2024_37NEE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEE_M_R,AFRICA_2024_GSW_Yearly_2021_37NEE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEE_M_R,AFRICA_2024_WorldCover_2021_37NEE_M_R
427,Water,Water,Bareland,Water,Non_Wetland,Bareland
428,Water,Water,Bareland,Water,Non_Wetland,Water
429,Water,Water,Built-up,NULL,Non_Wetland,Grassland
430,Water,Water,Built-up,Non_Water,Non_Wetland,Grassland
431,Water,Water,Built-up,Water,Non_Wetland,Grassland
432,Water,Water,Built-up,Water,Non_Wetland,Bareland
433,Water,Water,Built-up,Water,Non_Wetland,Water
434,Water,Water,Water,Water,Water,Grassland
435,Water,Water,Water,Water,Water,Bareland
436,Water,Water,Water,Water,Water,Water
437,Water,Water,Forest,Water,Non_Wetland,Grassland
438,Water,Water,Forest,Water,Non_Wetland,Water
439,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
440,Water,Forest,Shrubland,NULL,Non_Wetland,Bareland
441,Water,Forest,Cropland,NULL,Non_Wetland,NULL
442,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,Grassland
443,Forest,NULL,NULL,NULL,Non_Wetland,NULL
444,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
445,Forest,NULL,NULL,NULL,Non_Wetland,Forest
446,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
447,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
448,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
449,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
450,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
451,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
452,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
453,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
454,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
455,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
456,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
457,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
458,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
459,Forest,NULL,Grassland,Water,Non_Wetland,NULL
460,Forest,NULL,Grassland,Water,Non_Wetland,Grassland
461,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
462,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
463,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
464,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
465,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL
466,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
467,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
468,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
469,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
470,Forest,NULL,Bareland,Water,Non_Wetland,NULL
471,Forest,NULL,Bareland,Water,Non_Wetland,Grassland
472,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
473,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
474,Forest,NULL,Forest,NULL,Non_Wetland,NULL
475,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
476,Forest,NULL,Forest,NULL,Non_Wetland,Forest
477,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
478,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
479,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
480,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
481,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
482,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
483,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
484,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
485,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
486,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
487,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
488,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
489,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
490,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
491,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland
492,Forest,Water,Bareland,NULL,Non_Wetland,Grassland
493,Forest,Forest,NULL,NULL,Non_Wetland,NULL
494,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
495,Forest,Forest,NULL,NULL,Non_Wetland,Forest
496,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
497,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
498,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
499,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
500,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
501,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
502,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
503,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
504,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
505,Forest,Forest,Grassland,Water,Non_Wetland,Grassland
506,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
507,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
508,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
509,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
510,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
511,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
512,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
513,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
514,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
515,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
516,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
517,Forest,Forest,Water,NULL,Water,Grassland
518,Forest,Forest,Water,NULL,Water,Forest
519,Forest,Forest,Forest,NULL,Non_Wetland,NULL
520,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
521,Forest,Forest,Forest,NULL,Non_Wetland,Forest
