Value,AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQQ_M_R,AFRICA_2024_WorldCover_2021_35PQQ_M_R
420,Forest,Cropland,Grassland,NULL,Non_Wetland,Cropland
421,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
422,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
423,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
424,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
425,Forest,Forest,NULL,NULL,Non_Wetland,NULL
426,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
427,Forest,Forest,NULL,NULL,Non_Wetland,Forest
428,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
429,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
430,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
431,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
432,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
433,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
434,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
435,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
436,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
437,Forest,Forest,Wetland,NULL,Wetland,Forest
438,Forest,Forest,Forest,NULL,Non_Wetland,NULL
439,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
440,Forest,Forest,Forest,NULL,Non_Wetland,Forest
