Value,AFRICA_2024_DynamicWorld_2024_38QLD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38QLD_M_R,AFRICA_2024_GLC_FCS30D_2022_38QLD_M_R,AFRICA_2024_GSW_Yearly_2021_38QLD_M_R,AFRICA_2024_GWL_FCS30D_2022_38QLD_M_R,AFRICA_2024_WorldCover_2021_38QLD_M_R
422,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
423,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
424,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
425,Water,NULL,Cropland,NULL,Non_Wetland,Forest
426,Water,NULL,Cropland,Non_Water,Non_Wetland,NULL
427,Water,NULL,Cropland,Non_Water,Non_Wetland,Cropland
428,Water,NULL,Cropland,Non_Water,Non_Wetland,Bareland
429,Water,NULL,Cropland,Water,Non_Wetland,NULL
430,Water,NULL,Cropland,Water,Non_Wetland,Cropland
431,Water,NULL,Cropland,Water,Non_Wetland,Bareland
432,Water,NULL,Cropland,Water,Non_Wetland,Water
433,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
434,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
435,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
436,Water,NULL,Bareland,NULL,Non_Wetland,NULL
437,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
438,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
439,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
440,Water,NULL,Bareland,NULL,Non_Wetland,Forest
441,Water,NULL,Bareland,Water,Non_Wetland,NULL
442,Water,NULL,Bareland,Water,Non_Wetland,Cropland
443,Water,NULL,Bareland,Water,Non_Wetland,Bareland
444,Water,NULL,Built-up,NULL,Non_Wetland,NULL
445,Water,NULL,Built-up,NULL,Non_Wetland,Cropland
446,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
447,Water,NULL,Forest,NULL,Non_Wetland,NULL
448,Water,NULL,Forest,NULL,Non_Wetland,Forest
449,Water,Cropland,Cropland,NULL,Non_Wetland,NULL
450,Water,Cropland,Cropland,NULL,Non_Wetland,Cropland
451,Water,Cropland,Cropland,NULL,Non_Wetland,Forest
452,Water,Cropland,Bareland,NULL,Non_Wetland,Cropland
453,Water,Bareland,NULL,NULL,Non_Wetland,Bareland
454,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
455,Water,Bareland,Cropland,NULL,Non_Wetland,NULL
456,Water,Bareland,Cropland,NULL,Non_Wetland,Cropland
457,Water,Bareland,Cropland,NULL,Non_Wetland,Bareland
458,Water,Bareland,Bareland,NULL,Non_Wetland,NULL
459,Water,Bareland,Bareland,NULL,Non_Wetland,Cropland
460,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
461,Water,Bareland,Built-up,NULL,Non_Wetland,Cropland
462,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
463,Water,Water,Cropland,NULL,Non_Wetland,Cropland
464,Water,Water,Cropland,NULL,Non_Wetland,Bareland
465,Water,Water,Cropland,NULL,Non_Wetland,Forest
466,Water,Water,Bareland,NULL,Non_Wetland,Cropland
467,Water,Water,Bareland,NULL,Non_Wetland,Bareland
468,Water,Forest,Grassland,NULL,Non_Wetland,NULL
469,Water,Forest,Cropland,NULL,Non_Wetland,NULL
470,Water,Forest,Cropland,NULL,Non_Wetland,Cropland
471,Water,Forest,Cropland,NULL,Non_Wetland,Bareland
472,Water,Forest,Cropland,NULL,Non_Wetland,Forest
473,Water,Forest,Bareland,NULL,Non_Wetland,Bareland
474,Water,Forest,Forest,NULL,Non_Wetland,NULL
475,Forest,NULL,NULL,NULL,Non_Wetland,NULL
476,Forest,NULL,NULL,NULL,Non_Wetland,Forest
477,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
478,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
479,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
480,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
481,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
482,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
483,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
484,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
485,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
486,Forest,NULL,Forest,NULL,Non_Wetland,NULL
487,Forest,NULL,Forest,NULL,Non_Wetland,Forest
488,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
489,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
490,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
491,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
492,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
493,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
494,Forest,Forest,Forest,NULL,Non_Wetland,NULL
495,Forest,Forest,Forest,NULL,Non_Wetland,Forest
