Value,AFRICA_2024_DynamicWorld_2024_38PLB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLB_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLB_M_R,AFRICA_2024_GSW_Yearly_2021_38PLB_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLB_M_R,AFRICA_2024_WorldCover_2021_38PLB_M_R
424,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
425,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
426,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
427,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
428,Cropland,Cropland,Wetland,NULL,Wetland,Forest
429,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
430,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
431,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
432,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
433,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
434,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
435,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
436,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
437,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
438,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
439,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
440,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
441,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
442,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
443,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
444,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
445,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
446,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
447,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL
448,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
449,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
450,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
451,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
452,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
453,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Built-up
454,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
455,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
456,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
457,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
458,Cropland,Bareland,Grassland,NULL,Non_Wetland,Built-up
459,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
460,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
461,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
462,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
463,Cropland,Bareland,Cropland,NULL,Non_Wetland,Forest
464,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
465,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
466,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
467,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
468,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
469,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
470,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
471,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
472,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
473,Cropland,Bareland,Built-up,NULL,Non_Wetland,Built-up
474,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
475,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
476,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
477,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
478,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
479,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
480,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
481,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
482,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
483,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
484,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
485,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
486,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
487,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
488,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
489,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
490,Cropland,Built-up,Bareland,NULL,Non_Wetland,Built-up
491,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
492,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
493,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
494,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
495,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
496,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
497,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
498,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
499,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
500,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
501,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
502,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
503,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
504,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
505,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
506,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
507,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
508,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
509,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
510,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
511,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
512,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
513,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
514,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
515,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
516,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
517,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
518,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
519,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
520,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
521,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
522,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
523,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
524,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
525,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
526,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
527,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
528,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
529,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
530,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
531,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
532,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
533,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
534,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
535,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
536,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
537,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
538,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
539,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
540,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
541,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
542,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
543,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
544,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
545,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
546,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
547,Bareland,Cropland,NULL,NULL,Non_Wetland,Built-up
548,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
549,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
550,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
551,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
552,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
553,Bareland,Cropland,Shrubland,Water,Non_Wetland,Bareland
554,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
555,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
556,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
557,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
558,Bareland,Cropland,Grassland,NULL,Non_Wetland,Built-up
559,Bareland,Cropland,Grassland,NULL,Non_Wetland,Water
560,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
561,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
562,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
563,Bareland,Cropland,Grassland,Water,Non_Wetland,Cropland
564,Bareland,Cropland,Grassland,Water,Non_Wetland,Bareland
565,Bareland,Cropland,Grassland,Water,Non_Wetland,Water
566,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
567,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
568,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
569,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
570,Bareland,Cropland,Cropland,NULL,Non_Wetland,Built-up
571,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest
572,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
573,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
574,Bareland,Cropland,Cropland,Water,Non_Wetland,Cropland
575,Bareland,Cropland,Cropland,Water,Non_Wetland,Bareland
576,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
577,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
578,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
579,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
580,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
581,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
582,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
583,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
584,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
585,Bareland,Cropland,Bareland,NULL,Non_Wetland,Built-up
586,Bareland,Cropland,Bareland,NULL,Non_Wetland,Water
587,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
588,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
589,Bareland,Cropland,Bareland,Water,Non_Wetland,Cropland
590,Bareland,Cropland,Bareland,Water,Non_Wetland,Bareland
591,Bareland,Cropland,Bareland,Water,Non_Wetland,Water
592,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
593,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
594,Bareland,Cropland,Built-up,NULL,Non_Wetland,Cropland
595,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
596,Bareland,Cropland,Built-up,NULL,Non_Wetland,Built-up
597,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
598,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
599,Bareland,Bareland,NULL,NULL,Non_Wetland,Cropland
600,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
601,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
602,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
603,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
604,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
605,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
606,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
607,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
608,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
609,Bareland,Bareland,Grassland,NULL,Non_Wetland,Built-up
610,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
611,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
612,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
613,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
614,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
615,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up
616,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
617,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
618,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
619,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
620,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
621,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
622,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
623,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
624,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
625,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
626,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
627,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
628,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
629,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
630,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
631,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
632,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
633,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
634,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
635,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
636,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
637,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
638,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
639,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
640,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
641,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
642,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
643,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
644,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
645,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
646,Bareland,Built-up,Cropland,NULL,Non_Wetland,Forest
647,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
648,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
649,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
650,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
651,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
652,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
653,Bareland,Built-up,Bareland,NULL,Non_Wetland,Forest
654,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
655,Bareland,Built-up,Built-up,NULL,Non_Wetland,Cropland
656,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
657,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
658,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
659,Bareland,Water,Bareland,NULL,Non_Wetland,Water
660,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
661,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
662,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
663,Water,NULL,Grassland,NULL,Non_Wetland,NULL
664,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
665,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
666,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
667,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
668,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
669,Water,NULL,Cropland,NULL,Non_Wetland,Forest
670,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
671,Water,NULL,Bareland,NULL,Non_Wetland,NULL
672,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
673,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
674,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
675,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
676,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
677,Water,NULL,Built-up,NULL,Non_Wetland,Wetland
678,Water,Cropland,Grassland,NULL,Non_Wetland,Water
679,Water,Cropland,Cropland,NULL,Non_Wetland,Cropland
680,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland
681,Water,Cropland,Bareland,NULL,Non_Wetland,Cropland
682,Water,Bareland,Bareland,NULL,Non_Wetland,Grassland
683,Water,Built-up,Cropland,NULL,Non_Wetland,Cropland
684,Water,Water,Shrubland,NULL,Non_Wetland,Cropland
685,Water,Water,Cropland,NULL,Non_Wetland,Wetland
686,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
687,Water,Water,Bareland,NULL,Non_Wetland,Wetland
688,Water,Water,Bareland,NULL,Non_Wetland,Water
689,Forest,NULL,NULL,NULL,Non_Wetland,NULL
690,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
691,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
692,Forest,NULL,NULL,NULL,Non_Wetland,Forest
693,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
694,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
695,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
696,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
697,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
698,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
699,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
700,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
701,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
702,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
703,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
704,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
705,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
706,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
707,Forest,NULL,Bareland,NULL,Non_Wetland,Cropland
708,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
709,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
710,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
711,Forest,NULL,Forest,NULL,Non_Wetland,NULL
712,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
713,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
714,Forest,NULL,Forest,NULL,Non_Wetland,Forest
715,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
716,Forest,Cropland,NULL,NULL,Non_Wetland,Cropland
717,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
718,Forest,Cropland,Grassland,NULL,Non_Wetland,Cropland
719,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
720,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
721,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
722,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
723,Forest,Cropland,Bareland,NULL,Non_Wetland,NULL
724,Forest,Cropland,Bareland,NULL,Non_Wetland,Forest
725,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
726,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
727,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
728,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
729,Forest,Forest,NULL,NULL,Non_Wetland,NULL
730,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
731,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
732,Forest,Forest,NULL,NULL,Non_Wetland,Forest
733,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
734,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
735,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
736,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
737,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
738,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
739,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
740,Forest,Forest,Bareland,NULL,Non_Wetland,Cropland
741,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
742,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
743,Forest,Forest,Forest,NULL,Non_Wetland,NULL
744,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
745,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
746,Forest,Forest,Forest,NULL,Non_Wetland,Forest
