Value,AFRICA_2024_DynamicWorld_2024_35PPQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PPQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPQ_M_R,AFRICA_2024_WorldCover_2021_35PPQ_M_R
421,Water,NULL,Bareland,NULL,Non_Wetland,Forest
422,Water,NULL,Bareland,Water,Non_Wetland,Wetland
423,Water,NULL,Bareland,Water,Non_Wetland,Water
424,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
425,Water,NULL,Forest,NULL,Non_Wetland,Grassland
426,Water,NULL,Forest,NULL,Non_Wetland,Water
427,Water,NULL,Forest,NULL,Non_Wetland,Forest
428,Water,NULL,Forest,Water,Non_Wetland,Wetland
429,Water,Bareland,NULL,NULL,Non_Wetland,Bareland
430,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
431,Water,Bareland,Grassland,NULL,Non_Wetland,Wetland
432,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland
433,Water,Bareland,Grassland,Water,Non_Wetland,Bareland
434,Water,Bareland,Wetland,Water,Wetland,Grassland
435,Water,Bareland,Built-up,NULL,Non_Wetland,Grassland
436,Water,Bareland,Built-up,NULL,Non_Wetland,Forest
437,Water,Bareland,Built-up,Water,Non_Wetland,Grassland
438,Water,Bareland,Built-up,Water,Non_Wetland,Bareland
439,Water,Bareland,Built-up,Water,Non_Wetland,Water
440,Water,Bareland,Water,NULL,Water,Water
441,Water,Bareland,Forest,NULL,Non_Wetland,Bareland
442,Water,Built-up,NULL,NULL,Non_Wetland,Grassland
443,Water,Built-up,NULL,Water,Non_Wetland,Forest
444,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland
445,Water,Built-up,Grassland,NULL,Non_Wetland,Bareland
446,Water,Built-up,Grassland,NULL,Non_Wetland,Water
447,Water,Built-up,Grassland,Water,Non_Wetland,Water
448,Water,Built-up,Wetland,NULL,Wetland,Forest
449,Water,Built-up,Wetland,Water,Wetland,Grassland
450,Water,Built-up,Wetland,Water,Wetland,Bareland
451,Water,Built-up,Wetland,Water,Wetland,Water
452,Water,Built-up,Wetland,Water,Wetland,Forest
453,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
454,Water,Built-up,Built-up,NULL,Non_Wetland,Water
455,Water,Built-up,Built-up,NULL,Non_Wetland,Forest
456,Water,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
457,Water,Built-up,Built-up,Water,Non_Wetland,Grassland
458,Water,Built-up,Built-up,Water,Non_Wetland,Bareland
459,Water,Built-up,Built-up,Water,Non_Wetland,Forest
460,Water,Built-up,Water,Water,Water,Water
461,Water,Built-up,Forest,NULL,Non_Wetland,Forest
462,Water,Water,NULL,NULL,Non_Wetland,Water
463,Water,Water,Grassland,NULL,Non_Wetland,Water
464,Water,Water,Grassland,NULL,Non_Wetland,Forest
465,Water,Water,Grassland,Water,Non_Wetland,Water
466,Water,Water,Wetland,NULL,Wetland,Water
467,Water,Water,Wetland,Water,Wetland,Water
468,Water,Water,Wetland,Water,Wetland,Forest
469,Water,Water,Built-up,NULL,Non_Wetland,Water
470,Water,Water,Forest,NULL,Non_Wetland,Water
471,Water,Water,Forest,NULL,Non_Wetland,Forest
472,Forest,NULL,NULL,NULL,Non_Wetland,NULL
473,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
474,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
475,Forest,NULL,NULL,NULL,Non_Wetland,Forest
476,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
477,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
478,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
479,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
480,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
481,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
482,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
483,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
484,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
485,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
486,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
487,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up
488,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
489,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
490,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest
491,Forest,NULL,Grassland,Water,Non_Wetland,NULL
492,Forest,NULL,Grassland,Water,Non_Wetland,Forest
493,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
494,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
495,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
496,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest
497,Forest,NULL,Wetland,NULL,Wetland,Forest
498,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
499,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
500,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
501,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
502,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
503,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
504,Forest,NULL,Forest,NULL,Non_Wetland,NULL
505,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
506,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
507,Forest,NULL,Forest,NULL,Non_Wetland,Forest
508,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
509,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
510,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
511,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
512,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
513,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
514,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
515,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
516,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
517,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
518,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
519,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
520,Forest,Forest,NULL,NULL,Non_Wetland,NULL
521,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
522,Forest,Forest,NULL,NULL,Non_Wetland,Forest
523,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
524,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
525,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
526,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
527,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
528,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
529,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
530,Forest,Forest,Wetland,NULL,Wetland,Forest
531,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
532,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
533,Forest,Forest,Forest,NULL,Non_Wetland,NULL
534,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
535,Forest,Forest,Forest,NULL,Non_Wetland,Forest
