Value,AFRICA_2024_DynamicWorld_2024_36PUA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,AFRICA_2024_WorldCover_2021_36PUA_M_R
412,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
413,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
414,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
415,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
416,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
417,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
418,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
419,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
420,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
421,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
422,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
423,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
424,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
425,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
426,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
427,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
428,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
429,Cropland,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
430,Cropland,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
431,Cropland,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
432,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
433,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
434,Cropland,Water,Grassland,Non_Water,Non_Wetland,Grassland
435,Cropland,Water,Grassland,Non_Water,Non_Wetland,Cropland
436,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
437,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
438,Cropland,Water,Cropland,Non_Water,Non_Wetland,Bareland
439,Cropland,Water,Wetland,Non_Water,Wetland,Cropland
440,Cropland,Water,Bareland,Non_Water,Non_Wetland,Grassland
441,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
442,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
443,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
444,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
445,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
446,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
447,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
448,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
449,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
450,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
451,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
452,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
453,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
454,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
455,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
456,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
457,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
458,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
459,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
460,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
461,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
462,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
463,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
464,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
465,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
466,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
467,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
468,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
469,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
470,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
471,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
472,Wetland,NULL,Grassland,Water,Non_Wetland,Cropland
473,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
474,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
475,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
476,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
477,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
478,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
479,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
480,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
481,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
482,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
483,Wetland,NULL,Cropland,Water,Non_Wetland,Cropland
484,Wetland,NULL,Wetland,NULL,Wetland,NULL
485,Wetland,NULL,Wetland,NULL,Wetland,Cropland
486,Wetland,NULL,Wetland,NULL,Wetland,Wetland
487,Wetland,NULL,Wetland,NULL,Wetland,Forest
488,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
489,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
490,Wetland,NULL,Wetland,Non_Water,Wetland,Cropland
491,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
492,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
493,Wetland,NULL,Wetland,Water,Wetland,Wetland
494,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
495,Wetland,NULL,Built-up,NULL,Non_Wetland,Cropland
496,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
497,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Forest
498,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
499,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
500,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
501,Wetland,NULL,Forest,Non_Water,Non_Wetland,Cropland
502,Wetland,Cropland,NULL,NULL,Non_Wetland,Forest
503,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
504,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
505,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
506,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
507,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
508,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
509,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Forest
510,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
511,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
512,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
513,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
514,Wetland,Cropland,Grassland,NULL,Non_Wetland,Grassland
515,Wetland,Cropland,Grassland,NULL,Non_Wetland,Cropland
516,Wetland,Cropland,Grassland,NULL,Non_Wetland,Forest
517,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
518,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
519,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
520,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL
521,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland
522,Wetland,Cropland,Cropland,NULL,Non_Wetland,Cropland
523,Wetland,Cropland,Cropland,NULL,Non_Wetland,Wetland
524,Wetland,Cropland,Cropland,NULL,Non_Wetland,Forest
525,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
526,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
527,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
528,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
529,Wetland,Cropland,Cropland,Water,Non_Wetland,Cropland
530,Wetland,Cropland,Wetland,NULL,Wetland,NULL
531,Wetland,Cropland,Wetland,NULL,Wetland,Grassland
532,Wetland,Cropland,Wetland,NULL,Wetland,Cropland
533,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
534,Wetland,Cropland,Wetland,NULL,Wetland,Forest
535,Wetland,Cropland,Wetland,Non_Water,Wetland,Grassland
536,Wetland,Cropland,Wetland,Non_Water,Wetland,Cropland
537,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland
538,Wetland,Cropland,Wetland,Non_Water,Wetland,Forest
539,Wetland,Cropland,Wetland,Water,Wetland,Cropland
540,Wetland,Cropland,Wetland,Water,Wetland,Wetland
541,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
542,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
543,Wetland,Cropland,Forest,NULL,Non_Wetland,Cropland
544,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland
545,Wetland,Cropland,Forest,NULL,Non_Wetland,Forest
546,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
547,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
548,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
549,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Forest
550,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
551,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
552,Wetland,Wetland,NULL,NULL,Non_Wetland,Cropland
553,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
554,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
555,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
556,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Cropland
557,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
558,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Forest
559,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
560,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
561,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
562,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
563,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
564,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
565,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
566,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
567,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
568,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
569,Wetland,Wetland,Shrubland,Water,Non_Wetland,Cropland
570,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland
571,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
572,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
573,Wetland,Wetland,Grassland,NULL,Non_Wetland,Cropland
574,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
575,Wetland,Wetland,Grassland,NULL,Non_Wetland,Forest
576,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
577,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
578,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
579,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
580,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
581,Wetland,Wetland,Grassland,Water,Non_Wetland,Grassland
582,Wetland,Wetland,Grassland,Water,Non_Wetland,Cropland
583,Wetland,Wetland,Grassland,Water,Non_Wetland,Wetland
584,Wetland,Wetland,Grassland,Water,Non_Wetland,Water
585,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
586,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
587,Wetland,Wetland,Cropland,NULL,Non_Wetland,Cropland
588,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
589,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
590,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
591,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
592,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
593,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
594,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
595,Wetland,Wetland,Cropland,Water,Non_Wetland,Cropland
596,Wetland,Wetland,Cropland,Water,Non_Wetland,Wetland
597,Wetland,Wetland,Cropland,Water,Non_Wetland,Water
598,Wetland,Wetland,Wetland,NULL,Wetland,NULL
599,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
600,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
601,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
602,Wetland,Wetland,Wetland,NULL,Wetland,Forest
603,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
604,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
605,Wetland,Wetland,Wetland,Non_Water,Wetland,Cropland
606,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
607,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
608,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
609,Wetland,Wetland,Wetland,Water,Wetland,Grassland
610,Wetland,Wetland,Wetland,Water,Wetland,Cropland
611,Wetland,Wetland,Wetland,Water,Wetland,Wetland
612,Wetland,Wetland,Wetland,Water,Wetland,Water
613,Wetland,Wetland,Wetland,Water,Wetland,Forest
614,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
615,Wetland,Wetland,Built-up,NULL,Non_Wetland,Grassland
616,Wetland,Wetland,Built-up,NULL,Non_Wetland,Cropland
617,Wetland,Wetland,Built-up,NULL,Non_Wetland,Forest
618,Wetland,Wetland,Water,Non_Water,Water,Cropland
619,Wetland,Wetland,Water,Non_Water,Water,Wetland
620,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
621,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
622,Wetland,Wetland,Forest,NULL,Non_Wetland,Cropland
623,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
624,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
625,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
626,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
627,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
628,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
629,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
630,Wetland,Wetland,Forest,Water,Non_Wetland,Cropland
631,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland
632,Wetland,Bareland,Grassland,NULL,Non_Wetland,Grassland
633,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Forest
634,Wetland,Built-up,Grassland,NULL,Non_Wetland,Grassland
635,Wetland,Built-up,Grassland,NULL,Non_Wetland,Cropland
636,Wetland,Built-up,Grassland,NULL,Non_Wetland,Forest
637,Wetland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
638,Wetland,Built-up,Built-up,NULL,Non_Wetland,Cropland
639,Wetland,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
640,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
641,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
642,Wetland,Water,Grassland,NULL,Non_Wetland,Cropland
643,Wetland,Water,Grassland,Non_Water,Non_Wetland,Grassland
644,Wetland,Water,Grassland,Non_Water,Non_Wetland,Cropland
645,Wetland,Water,Grassland,Non_Water,Non_Wetland,Wetland
646,Wetland,Water,Grassland,Water,Non_Wetland,Wetland
647,Wetland,Water,Grassland,Water,Non_Wetland,Water
648,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
649,Wetland,Water,Cropland,Non_Water,Non_Wetland,Cropland
650,Wetland,Water,Cropland,Non_Water,Non_Wetland,Wetland
651,Wetland,Water,Cropland,Non_Water,Non_Wetland,Forest
652,Wetland,Water,Cropland,Water,Non_Wetland,Cropland
653,Wetland,Water,Cropland,Water,Non_Wetland,Wetland
654,Wetland,Water,Cropland,Water,Non_Wetland,Water
655,Wetland,Water,Wetland,Non_Water,Wetland,Cropland
656,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
657,Wetland,Water,Wetland,Water,Wetland,Grassland
658,Wetland,Water,Wetland,Water,Wetland,Cropland
659,Wetland,Water,Wetland,Water,Wetland,Wetland
660,Wetland,Water,Wetland,Water,Wetland,Water
661,Wetland,Water,Built-up,Non_Water,Non_Wetland,Grassland
662,Wetland,Water,Forest,Non_Water,Non_Wetland,Cropland
663,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
664,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
665,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
666,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
667,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
668,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
669,Bareland,NULL,NULL,Non_Water,Non_Wetland,Cropland
670,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
671,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
672,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
673,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
674,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
675,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
676,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
677,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
678,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
679,Bareland,NULL,Shrubland,Water,Non_Wetland,Cropland
680,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
681,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
682,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
683,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
684,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
685,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
686,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
687,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
688,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
689,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
690,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
691,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
692,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
693,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
694,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
695,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
696,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Built-up
697,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
698,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
699,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
700,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
701,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
702,Bareland,NULL,Grassland,Water,Non_Wetland,Water
703,Bareland,NULL,Grassland,Water,Non_Wetland,Forest
704,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
705,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
706,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
707,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
708,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
709,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
710,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
711,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
712,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water
713,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
714,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
715,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
716,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
717,Bareland,NULL,Cropland,Water,Non_Wetland,Water
718,Bareland,NULL,Wetland,Water,Wetland,Bareland
719,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
720,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
721,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
722,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
723,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
724,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
725,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
726,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
727,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
728,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
729,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
730,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
731,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
732,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
733,Bareland,NULL,Bareland,Water,Non_Wetland,Water
734,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
735,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
736,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
737,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
738,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
739,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
740,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
741,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
742,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
743,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Built-up
744,Bareland,NULL,Built-up,Water,Non_Wetland,Cropland
745,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
746,Bareland,NULL,Water,NULL,Water,Bareland
747,Bareland,NULL,Water,Water,Water,Bareland
748,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
749,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
750,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
751,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
752,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
753,Bareland,Cropland,Shrubland,Water,Non_Wetland,Cropland
754,Bareland,Cropland,Shrubland,Water,Non_Wetland,Wetland
755,Bareland,Cropland,Shrubland,Water,Non_Wetland,Forest
756,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
757,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
758,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
759,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
760,Bareland,Cropland,Grassland,NULL,Non_Wetland,Built-up
761,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
762,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
763,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
764,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
765,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
766,Bareland,Cropland,Grassland,Water,Non_Wetland,Grassland
767,Bareland,Cropland,Grassland,Water,Non_Wetland,Cropland
768,Bareland,Cropland,Grassland,Water,Non_Wetland,Wetland
769,Bareland,Cropland,Grassland,Water,Non_Wetland,Bareland
770,Bareland,Cropland,Grassland,Water,Non_Wetland,Forest
771,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
772,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
773,Bareland,Cropland,Cropland,NULL,Non_Wetland,Wetland
774,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
775,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
776,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
777,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
778,Bareland,Cropland,Cropland,Water,Non_Wetland,Grassland
779,Bareland,Cropland,Cropland,Water,Non_Wetland,Cropland
780,Bareland,Cropland,Cropland,Water,Non_Wetland,Wetland
781,Bareland,Cropland,Cropland,Water,Non_Wetland,Bareland
782,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
783,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
784,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
785,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
786,Bareland,Cropland,Bareland,Water,Non_Wetland,Cropland
787,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
788,Bareland,Cropland,Built-up,NULL,Non_Wetland,Cropland
789,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
790,Bareland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
791,Bareland,Cropland,Built-up,Water,Non_Wetland,Cropland
792,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
793,Bareland,Wetland,Grassland,NULL,Non_Wetland,Grassland
794,Bareland,Wetland,Grassland,NULL,Non_Wetland,Cropland
795,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland
796,Bareland,Wetland,Grassland,NULL,Non_Wetland,Forest
797,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
798,Bareland,Wetland,Cropland,NULL,Non_Wetland,Forest
799,Bareland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
800,Bareland,Wetland,Wetland,Non_Water,Wetland,Wetland
801,Bareland,Wetland,Built-up,NULL,Non_Wetland,Grassland
802,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
803,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
804,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
805,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
806,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
807,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
808,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
809,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
810,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
811,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
812,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
813,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
814,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
815,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
816,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
817,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
818,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
819,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
820,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
821,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
822,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
823,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
824,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
825,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
