Value,AFRICA_2024_DynamicWorld_2024_35PML_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PML_M_R,AFRICA_2024_GLC_FCS30D_2022_35PML_M_R,AFRICA_2024_GSW_Yearly_2021_35PML_M_R,AFRICA_2024_GWL_FCS30D_2022_35PML_M_R,AFRICA_2024_WorldCover_2021_35PML_M_R
438,NULL,Water,Water,Water,Water,Bareland
439,NULL,Water,Water,Water,Water,Water
440,NULL,Water,Water,Water,Water,Forest
441,NULL,Water,Forest,NULL,Non_Wetland,NULL
442,NULL,Water,Forest,NULL,Non_Wetland,Grassland
443,NULL,Water,Forest,NULL,Non_Wetland,Wetland
444,NULL,Water,Forest,NULL,Non_Wetland,Water
445,NULL,Water,Forest,NULL,Non_Wetland,Forest
446,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
447,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
448,NULL,Water,Forest,Non_Water,Non_Wetland,Water
449,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
450,NULL,Water,Forest,Water,Non_Wetland,NULL
451,NULL,Water,Forest,Water,Non_Wetland,Grassland
452,NULL,Water,Forest,Water,Non_Wetland,Wetland
453,NULL,Water,Forest,Water,Non_Wetland,Bareland
454,NULL,Water,Forest,Water,Non_Wetland,Water
455,NULL,Water,Forest,Water,Non_Wetland,Forest
456,NULL,Forest,NULL,NULL,Non_Wetland,NULL
457,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
458,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
459,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
460,NULL,Forest,NULL,NULL,Non_Wetland,Forest
461,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
462,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
463,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
464,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
465,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
466,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
467,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
468,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
469,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
470,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
471,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
472,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
473,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
474,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
475,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
476,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
477,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
478,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
479,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
480,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
481,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
482,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
483,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
484,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
485,NULL,Forest,Wetland,NULL,Wetland,NULL
486,NULL,Forest,Wetland,NULL,Wetland,Grassland
487,NULL,Forest,Wetland,NULL,Wetland,Wetland
488,NULL,Forest,Wetland,NULL,Wetland,Forest
489,NULL,Forest,Wetland,Non_Water,Wetland,NULL
490,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
491,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
492,NULL,Forest,Wetland,Non_Water,Wetland,Forest
493,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
494,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
495,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
496,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
497,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
498,NULL,Forest,Forest,NULL,Non_Wetland,NULL
499,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
500,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
501,NULL,Forest,Forest,NULL,Non_Wetland,Forest
502,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
503,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
504,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
505,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
506,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
507,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
508,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
509,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
510,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
511,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
512,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
513,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
514,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
515,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
516,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
517,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
518,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
519,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
520,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
521,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
522,Grassland,NULL,Wetland,NULL,Wetland,NULL
523,Grassland,NULL,Wetland,NULL,Wetland,Grassland
524,Grassland,NULL,Wetland,NULL,Wetland,Wetland
525,Grassland,NULL,Wetland,NULL,Wetland,Forest
526,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
527,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
528,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
529,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
530,Grassland,NULL,Wetland,Water,Wetland,Water
531,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
532,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
533,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
534,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
535,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
536,Grassland,NULL,Water,Water,Water,Wetland
537,Grassland,NULL,Water,Water,Water,Water
538,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
539,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
540,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
541,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
542,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
543,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
544,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
545,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
546,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
547,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
548,Grassland,Cropland,Wetland,NULL,Wetland,NULL
549,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
550,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
551,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
552,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
553,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
554,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
555,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
556,Grassland,Wetland,Wetland,NULL,Wetland,Forest
557,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
558,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
559,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
560,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
561,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
562,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
563,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
564,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
565,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
566,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
567,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
568,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
569,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
570,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
571,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
572,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
573,Grassland,Forest,Wetland,NULL,Wetland,NULL
574,Grassland,Forest,Wetland,NULL,Wetland,Grassland
575,Grassland,Forest,Wetland,NULL,Wetland,Wetland
576,Grassland,Forest,Wetland,NULL,Wetland,Forest
577,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
578,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
579,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
580,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
581,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
582,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
583,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
584,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
585,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
586,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
587,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
588,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
589,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
590,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
591,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
592,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
593,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
594,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
595,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
596,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
597,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
598,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
599,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
600,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
601,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
602,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
603,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
604,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
605,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
606,Cropland,NULL,Wetland,NULL,Wetland,NULL
607,Cropland,NULL,Wetland,NULL,Wetland,Grassland
608,Cropland,NULL,Wetland,NULL,Wetland,Wetland
609,Cropland,NULL,Wetland,NULL,Wetland,Forest
610,Cropland,NULL,Wetland,Non_Water,Wetland,Water
611,Cropland,NULL,Wetland,Water,Wetland,Forest
612,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
613,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
614,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
615,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
616,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
617,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
618,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
619,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
620,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
621,Cropland,NULL,Water,Non_Water,Water,Wetland
622,Cropland,NULL,Water,Water,Water,Wetland
623,Cropland,NULL,Water,Water,Water,Water
624,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
625,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
626,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
627,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
628,Cropland,NULL,Forest,Water,Non_Wetland,Forest
629,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
630,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
631,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
632,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
633,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
634,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
635,Cropland,Water,Shrubland,Water,Non_Wetland,Wetland
636,Cropland,Water,Shrubland,Water,Non_Wetland,Bareland
637,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
638,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
639,Cropland,Forest,Wetland,NULL,Wetland,Wetland
640,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
641,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
642,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
643,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
644,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
645,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
646,Wetland,NULL,NULL,Water,Non_Wetland,Forest
647,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
648,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
649,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
650,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
651,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
652,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
653,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
654,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
655,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
656,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
657,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
658,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
659,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
660,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
661,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
662,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
663,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
664,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
665,Wetland,NULL,Grassland,Water,Non_Wetland,Cropland
666,Wetland,NULL,Wetland,NULL,Wetland,NULL
667,Wetland,NULL,Wetland,NULL,Wetland,Grassland
668,Wetland,NULL,Wetland,NULL,Wetland,Wetland
669,Wetland,NULL,Wetland,NULL,Wetland,Forest
670,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
671,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
672,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
673,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
674,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
675,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
676,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
677,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
678,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
679,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
680,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
681,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
682,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
683,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
684,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
685,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
686,Wetland,Wetland,Wetland,NULL,Wetland,NULL
687,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
688,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
689,Wetland,Wetland,Wetland,NULL,Wetland,Forest
690,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
691,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
692,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
693,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
694,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
695,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
696,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
697,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
698,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
699,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
700,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
701,Wetland,Forest,Wetland,NULL,Wetland,NULL
702,Wetland,Forest,Wetland,NULL,Wetland,Grassland
703,Wetland,Forest,Wetland,NULL,Wetland,Wetland
704,Wetland,Forest,Wetland,NULL,Wetland,Forest
705,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
706,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
707,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
708,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
709,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
710,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
711,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
712,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
713,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
714,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
715,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
716,Bareland,NULL,NULL,Water,Non_Wetland,Water
717,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
718,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
719,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
720,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
721,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
722,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
723,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
724,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
725,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
726,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
727,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
728,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
729,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
730,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
731,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
732,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
733,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
734,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
735,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
736,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
737,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
738,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
739,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
740,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
741,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
742,Bareland,NULL,Cropland,Water,Non_Wetland,Water
743,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
744,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
745,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
746,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
747,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
748,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
749,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
750,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
751,Bareland,NULL,Built-up,Water,Non_Wetland,Wetland
752,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
753,Bareland,NULL,Water,Water,Water,Wetland
754,Bareland,NULL,Forest,Water,Non_Wetland,Wetland
755,Bareland,Bareland,Shrubland,Water,Non_Wetland,Wetland
756,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
757,Bareland,Bareland,Grassland,Water,Non_Wetland,Wetland
758,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
759,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
760,Bareland,Water,NULL,Water,Non_Wetland,Wetland
761,Bareland,Water,Shrubland,Water,Non_Wetland,Wetland
762,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
763,Bareland,Water,Grassland,Water,Non_Wetland,Wetland
764,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
765,Bareland,Water,Bareland,Water,Non_Wetland,Wetland
766,Water,NULL,NULL,NULL,Non_Wetland,Grassland
767,Water,NULL,NULL,NULL,Non_Wetland,Wetland
768,Water,NULL,NULL,Non_Water,Non_Wetland,Grassland
769,Water,NULL,NULL,Non_Water,Non_Wetland,Wetland
770,Water,NULL,NULL,Non_Water,Non_Wetland,Forest
771,Water,NULL,NULL,Water,Non_Wetland,Grassland
772,Water,NULL,NULL,Water,Non_Wetland,Cropland
773,Water,NULL,NULL,Water,Non_Wetland,Wetland
774,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
775,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
776,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
777,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
778,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
779,Water,NULL,Shrubland,NULL,Non_Wetland,Water
780,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
781,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL
782,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
783,Water,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
784,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
785,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
786,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water
787,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
788,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
789,Water,NULL,Shrubland,Water,Non_Wetland,Cropland
790,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
791,Water,NULL,Shrubland,Water,Non_Wetland,Bareland
792,Water,NULL,Shrubland,Water,Non_Wetland,Water
793,Water,NULL,Shrubland,Water,Non_Wetland,Forest
794,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
795,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
796,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
797,Water,NULL,Grassland,Non_Water,Non_Wetland,Wetland
798,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
799,Water,NULL,Grassland,Non_Water,Non_Wetland,Water
800,Water,NULL,Grassland,Water,Non_Wetland,Grassland
801,Water,NULL,Grassland,Water,Non_Wetland,Wetland
802,Water,NULL,Grassland,Water,Non_Wetland,Bareland
803,Water,NULL,Grassland,Water,Non_Wetland,Water
804,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
805,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
806,Water,NULL,Cropland,Water,Non_Wetland,Grassland
807,Water,NULL,Cropland,Water,Non_Wetland,Wetland
808,Water,NULL,Wetland,NULL,Wetland,Wetland
809,Water,NULL,Wetland,NULL,Wetland,Forest
810,Water,NULL,Wetland,Water,Wetland,Wetland
811,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
812,Water,NULL,Bareland,NULL,Non_Wetland,Water
813,Water,NULL,Bareland,Water,Non_Wetland,Grassland
814,Water,NULL,Bareland,Water,Non_Wetland,Wetland
815,Water,NULL,Bareland,Water,Non_Wetland,Bareland
816,Water,NULL,Bareland,Water,Non_Wetland,Forest
817,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
818,Water,NULL,Built-up,Water,Non_Wetland,Grassland
819,Water,NULL,Built-up,Water,Non_Wetland,Wetland
820,Water,NULL,Water,Water,Water,Grassland
821,Water,NULL,Water,Water,Water,Wetland
822,Water,NULL,Water,Water,Water,Bareland
823,Water,NULL,Water,Water,Water,Forest
824,Water,NULL,Forest,NULL,Non_Wetland,Wetland
825,Water,NULL,Forest,NULL,Non_Wetland,Forest
826,Water,NULL,Forest,Water,Non_Wetland,Wetland
827,Water,Bareland,NULL,Water,Non_Wetland,Bareland
828,Water,Bareland,NULL,Water,Non_Wetland,Water
829,Water,Bareland,Shrubland,NULL,Non_Wetland,Wetland
830,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
831,Water,Bareland,Shrubland,Water,Non_Wetland,Wetland
832,Water,Bareland,Shrubland,Water,Non_Wetland,Water
833,Water,Bareland,Grassland,Water,Non_Wetland,Wetland
834,Water,Bareland,Bareland,Water,Non_Wetland,Wetland
835,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
836,Water,Bareland,Water,Water,Water,Wetland
837,Water,Water,NULL,NULL,Non_Wetland,Grassland
838,Water,Water,NULL,NULL,Non_Wetland,Wetland
839,Water,Water,NULL,NULL,Non_Wetland,Bareland
840,Water,Water,NULL,NULL,Non_Wetland,Forest
841,Water,Water,NULL,Non_Water,Non_Wetland,Grassland
842,Water,Water,NULL,Non_Water,Non_Wetland,Wetland
843,Water,Water,NULL,Non_Water,Non_Wetland,Forest
844,Water,Water,NULL,Water,Non_Wetland,Grassland
845,Water,Water,NULL,Water,Non_Wetland,Cropland
846,Water,Water,NULL,Water,Non_Wetland,Wetland
847,Water,Water,NULL,Water,Non_Wetland,Bareland
848,Water,Water,NULL,Water,Non_Wetland,Water
849,Water,Water,Shrubland,NULL,Non_Wetland,NULL
850,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
851,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
852,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
853,Water,Water,Shrubland,NULL,Non_Wetland,Water
854,Water,Water,Shrubland,NULL,Non_Wetland,Forest
855,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
856,Water,Water,Shrubland,Non_Water,Non_Wetland,Cropland
857,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
858,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
859,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
860,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
861,Water,Water,Shrubland,Water,Non_Wetland,NULL
862,Water,Water,Shrubland,Water,Non_Wetland,Grassland
863,Water,Water,Shrubland,Water,Non_Wetland,Cropland
864,Water,Water,Shrubland,Water,Non_Wetland,Wetland
865,Water,Water,Shrubland,Water,Non_Wetland,Bareland
866,Water,Water,Shrubland,Water,Non_Wetland,Water
867,Water,Water,Shrubland,Water,Non_Wetland,Forest
868,Water,Water,Grassland,NULL,Non_Wetland,Grassland
869,Water,Water,Grassland,NULL,Non_Wetland,Wetland
870,Water,Water,Grassland,NULL,Non_Wetland,Bareland
871,Water,Water,Grassland,NULL,Non_Wetland,Water
872,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
873,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
874,Water,Water,Grassland,Water,Non_Wetland,Wetland
