Value,AFRICA_2024_DynamicWorld_2024_35NRH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NRH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NRH_M_R,AFRICA_2024_GSW_Yearly_2021_35NRH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NRH_M_R,AFRICA_2024_WorldCover_2021_35NRH_M_R
425,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
426,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
427,Grassland,Water,Cropland,Non_Water,Non_Wetland,Forest
428,Grassland,Water,Wetland,NULL,Wetland,Wetland
429,Grassland,Water,Wetland,NULL,Wetland,Forest
430,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
431,Grassland,Water,Wetland,Water,Wetland,Grassland
432,Grassland,Water,Wetland,Water,Wetland,Wetland
433,Grassland,Water,Bareland,NULL,Non_Wetland,NULL
434,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
435,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
436,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
437,Grassland,Water,Water,NULL,Water,Wetland
438,Grassland,Water,Water,Non_Water,Water,Forest
439,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
440,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
441,Grassland,Water,Forest,NULL,Non_Wetland,Forest
442,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
443,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
444,Grassland,Water,Forest,Water,Non_Wetland,Grassland
445,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
446,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
447,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
448,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
449,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
450,Grassland,Forest,NULL,Non_Water,Non_Wetland,Forest
451,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
452,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
453,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
454,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
455,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
456,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
457,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
458,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
459,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
460,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
461,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
462,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
463,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
464,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
465,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
466,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
467,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
468,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
469,Grassland,Forest,Wetland,NULL,Wetland,NULL
470,Grassland,Forest,Wetland,NULL,Wetland,Grassland
471,Grassland,Forest,Wetland,NULL,Wetland,Wetland
472,Grassland,Forest,Wetland,NULL,Wetland,Forest
473,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
474,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
475,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
476,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
477,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
478,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland
479,Grassland,Forest,Water,NULL,Water,Grassland
480,Grassland,Forest,Water,NULL,Water,Wetland
481,Grassland,Forest,Water,NULL,Water,Forest
482,Grassland,Forest,Water,Water,Water,Forest
483,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
484,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
485,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
486,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
487,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
488,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
489,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
490,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
491,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
492,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
493,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
494,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
495,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
496,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
497,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
498,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
499,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
500,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
501,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
502,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
503,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
504,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
505,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
506,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
507,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
508,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
509,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
510,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
511,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
512,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
513,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
514,Cropland,NULL,Cropland,Water,Non_Wetland,Water
515,Cropland,NULL,Wetland,NULL,Wetland,NULL
516,Cropland,NULL,Wetland,NULL,Wetland,Grassland
517,Cropland,NULL,Wetland,NULL,Wetland,Wetland
518,Cropland,NULL,Wetland,NULL,Wetland,Forest
519,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
520,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
521,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
522,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
523,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
524,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
525,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
526,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
527,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
528,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
529,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
530,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
531,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
532,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
533,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
534,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
535,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
536,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
537,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
538,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
539,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
540,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
541,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
542,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
543,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
544,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
545,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
546,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
547,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
548,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
549,Cropland,Cropland,Wetland,NULL,Wetland,NULL
550,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
551,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
552,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
553,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
554,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
555,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
556,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
557,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
558,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
559,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
560,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
561,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
562,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL
563,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
564,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
565,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
566,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
567,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
568,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
569,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
570,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
571,Cropland,Wetland,Shrubland,Water,Non_Wetland,Wetland
572,Cropland,Wetland,Cropland,NULL,Non_Wetland,Wetland
573,Cropland,Wetland,Cropland,Water,Non_Wetland,Wetland
574,Cropland,Wetland,Wetland,NULL,Wetland,NULL
575,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
576,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
577,Cropland,Wetland,Bareland,NULL,Non_Wetland,Wetland
578,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
579,Cropland,Wetland,Water,Water,Water,Wetland
580,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
581,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
582,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
583,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
584,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
585,Cropland,Wetland,Forest,Water,Non_Wetland,Wetland
586,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
587,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
588,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
589,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
590,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
591,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
592,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
593,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
594,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
595,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
596,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
597,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
598,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
599,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
600,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
601,Cropland,Water,Shrubland,NULL,Non_Wetland,Wetland
602,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
603,Cropland,Water,Shrubland,Water,Non_Wetland,Wetland
604,Cropland,Water,Wetland,NULL,Wetland,Wetland
605,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
606,Cropland,Water,Forest,NULL,Non_Wetland,Forest
607,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
608,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
609,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
610,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
611,Cropland,Forest,NULL,Non_Water,Non_Wetland,Wetland
612,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
613,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
614,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
615,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
616,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
617,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
618,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
619,Cropland,Forest,Wetland,NULL,Wetland,Grassland
620,Cropland,Forest,Wetland,NULL,Wetland,Wetland
621,Cropland,Forest,Wetland,NULL,Wetland,Forest
622,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
623,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
624,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
625,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
626,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
627,Cropland,Forest,Forest,Non_Water,Non_Wetland,Wetland
628,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
629,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
630,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
631,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
632,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
633,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
634,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
635,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
636,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
637,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
638,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
639,Wetland,NULL,Shrubland,NULL,Non_Wetland,Built-up
640,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
641,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
642,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
643,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
644,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
645,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
646,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
647,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
648,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
649,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
650,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
651,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
652,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
653,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
654,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
655,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
656,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
657,Wetland,NULL,Wetland,NULL,Wetland,NULL
658,Wetland,NULL,Wetland,NULL,Wetland,Grassland
659,Wetland,NULL,Wetland,NULL,Wetland,Cropland
660,Wetland,NULL,Wetland,NULL,Wetland,Wetland
661,Wetland,NULL,Wetland,NULL,Wetland,Forest
662,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
663,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
664,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
665,Wetland,NULL,Wetland,Water,Wetland,Grassland
666,Wetland,NULL,Wetland,Water,Wetland,Wetland
667,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
668,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
669,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
670,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
671,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
672,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
673,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Forest
674,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
675,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
676,Wetland,NULL,Water,NULL,Water,NULL
677,Wetland,NULL,Water,NULL,Water,Grassland
678,Wetland,NULL,Water,NULL,Water,Wetland
679,Wetland,NULL,Water,NULL,Water,Forest
680,Wetland,NULL,Water,Non_Water,Water,Grassland
681,Wetland,NULL,Water,Non_Water,Water,Wetland
682,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
683,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
684,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
685,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
686,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
687,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
688,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
689,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
690,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
691,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
692,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
693,Wetland,NULL,Forest,Water,Non_Wetland,Forest
694,Wetland,Cropland,NULL,NULL,Non_Wetland,NULL
695,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
696,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland
697,Wetland,Cropland,NULL,NULL,Non_Wetland,Forest
698,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
699,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
700,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
701,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Forest
702,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland
703,Wetland,Cropland,Wetland,NULL,Wetland,NULL
704,Wetland,Cropland,Wetland,NULL,Wetland,Grassland
705,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
706,Wetland,Cropland,Wetland,NULL,Wetland,Forest
707,Wetland,Cropland,Bareland,NULL,Non_Wetland,Forest
708,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
709,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
710,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland
711,Wetland,Cropland,Forest,NULL,Non_Wetland,Forest
712,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
713,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
714,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
715,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
716,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
717,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland
718,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
719,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
720,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
721,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
722,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
723,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
724,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
725,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
726,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
727,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL
728,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland
729,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland
730,Wetland,Wetland,Shrubland,Water,Non_Wetland,Forest
731,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
732,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
733,Wetland,Wetland,Cropland,Water,Non_Wetland,Wetland
734,Wetland,Wetland,Wetland,NULL,Wetland,NULL
735,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
736,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
737,Wetland,Wetland,Wetland,NULL,Wetland,Forest
738,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
739,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
740,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
741,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
742,Wetland,Wetland,Wetland,Water,Wetland,Grassland
743,Wetland,Wetland,Wetland,Water,Wetland,Wetland
744,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
745,Wetland,Wetland,Bareland,NULL,Non_Wetland,Grassland
746,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
747,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
748,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
749,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
750,Wetland,Wetland,Water,NULL,Water,Grassland
751,Wetland,Wetland,Water,NULL,Water,Wetland
752,Wetland,Wetland,Water,Non_Water,Water,Wetland
753,Wetland,Wetland,Water,Water,Water,Wetland
754,Wetland,Wetland,Water,Water,Water,Water
755,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
756,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
757,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
758,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
759,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
760,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
761,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
762,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
763,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
764,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland
765,Wetland,Wetland,Forest,Water,Non_Wetland,Forest
766,Wetland,Built-up,NULL,NULL,Non_Wetland,Grassland
767,Wetland,Built-up,NULL,NULL,Non_Wetland,Wetland
768,Wetland,Built-up,Shrubland,NULL,Non_Wetland,NULL
769,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
770,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
771,Wetland,Built-up,Shrubland,NULL,Non_Wetland,Forest
772,Wetland,Built-up,Forest,NULL,Non_Wetland,NULL
773,Wetland,Built-up,Forest,NULL,Non_Wetland,Grassland
774,Wetland,Built-up,Forest,NULL,Non_Wetland,Wetland
775,Wetland,Built-up,Forest,NULL,Non_Wetland,Forest
776,Wetland,Water,NULL,NULL,Non_Wetland,Grassland
777,Wetland,Water,NULL,NULL,Non_Wetland,Wetland
778,Wetland,Water,NULL,NULL,Non_Wetland,Forest
779,Wetland,Water,NULL,Non_Water,Non_Wetland,Wetland
780,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
781,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
782,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
783,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
784,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
785,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
786,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
787,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
788,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
789,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland
790,Wetland,Water,Shrubland,Water,Non_Wetland,Bareland
791,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
792,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
793,Wetland,Water,Cropland,Non_Water,Non_Wetland,Forest
794,Wetland,Water,Wetland,NULL,Wetland,NULL
795,Wetland,Water,Wetland,NULL,Wetland,Grassland
796,Wetland,Water,Wetland,NULL,Wetland,Wetland
797,Wetland,Water,Wetland,NULL,Wetland,Forest
798,Wetland,Water,Wetland,Non_Water,Wetland,NULL
799,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
800,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
801,Wetland,Water,Wetland,Non_Water,Wetland,Forest
802,Wetland,Water,Wetland,Water,Wetland,Grassland
803,Wetland,Water,Wetland,Water,Wetland,Wetland
804,Wetland,Water,Wetland,Water,Wetland,Forest
805,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
806,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
807,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
808,Wetland,Water,Bareland,Non_Water,Non_Wetland,Grassland
809,Wetland,Water,Bareland,Water,Non_Wetland,Grassland
810,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland
811,Wetland,Water,Water,NULL,Water,Grassland
812,Wetland,Water,Water,NULL,Water,Wetland
813,Wetland,Water,Water,NULL,Water,Forest
814,Wetland,Water,Water,Non_Water,Water,Wetland
815,Wetland,Water,Water,Water,Water,Wetland
816,Wetland,Water,Forest,NULL,Non_Wetland,NULL
817,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
818,Wetland,Water,Forest,NULL,Non_Wetland,Wetland
819,Wetland,Water,Forest,NULL,Non_Wetland,Forest
820,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL
821,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
822,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
823,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest
824,Wetland,Water,Forest,Water,Non_Wetland,Grassland
825,Wetland,Water,Forest,Water,Non_Wetland,Wetland
826,Wetland,Water,Forest,Water,Non_Wetland,Forest
827,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
828,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
829,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland
830,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
831,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland
832,Wetland,Forest,NULL,Non_Water,Non_Wetland,Wetland
833,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
834,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
835,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
836,Wetland,Forest,Shrubland,NULL,Non_Wetland,Bareland
837,Wetland,Forest,Shrubland,NULL,Non_Wetland,Built-up
838,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
839,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
840,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
841,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
842,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
843,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL
844,Wetland,Forest,Shrubland,Water,Non_Wetland,Wetland
845,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
846,Wetland,Forest,Wetland,NULL,Wetland,NULL
847,Wetland,Forest,Wetland,NULL,Wetland,Grassland
848,Wetland,Forest,Wetland,NULL,Wetland,Wetland
849,Wetland,Forest,Wetland,NULL,Wetland,Forest
850,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
851,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
852,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
853,Wetland,Forest,Wetland,Water,Wetland,Wetland
