Value,AFRICA_2024_DynamicWorld_2024_35PMK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PMK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PMK_M_R,AFRICA_2024_GSW_Yearly_2021_35PMK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PMK_M_R,AFRICA_2024_WorldCover_2021_35PMK_M_R
442,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
443,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
444,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
445,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
446,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
447,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
448,NULL,Forest,Grassland,Water,Non_Wetland,Forest
449,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
450,NULL,Forest,Wetland,NULL,Wetland,NULL
451,NULL,Forest,Wetland,NULL,Wetland,Grassland
452,NULL,Forest,Wetland,NULL,Wetland,Wetland
453,NULL,Forest,Wetland,NULL,Wetland,Forest
454,NULL,Forest,Wetland,Non_Water,Wetland,NULL
455,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
456,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
457,NULL,Forest,Wetland,Non_Water,Wetland,Forest
458,NULL,Forest,Wetland,Water,Wetland,Grassland
459,NULL,Forest,Wetland,Water,Wetland,Forest
460,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
461,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
462,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
463,NULL,Forest,Water,NULL,Water,Forest
464,NULL,Forest,Water,Non_Water,Water,Forest
465,NULL,Forest,Water,Water,Water,Forest
466,NULL,Forest,Forest,NULL,Non_Wetland,NULL
467,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
468,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
469,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
470,NULL,Forest,Forest,NULL,Non_Wetland,Forest
471,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
472,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
473,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
474,NULL,Forest,Forest,Water,Non_Wetland,NULL
475,NULL,Forest,Forest,Water,Non_Wetland,Grassland
476,NULL,Forest,Forest,Water,Non_Wetland,Forest
477,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
478,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
479,Grassland,NULL,Wetland,NULL,Wetland,Grassland
480,Grassland,NULL,Wetland,NULL,Wetland,Wetland
481,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
482,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
483,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
484,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
485,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
486,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
487,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
488,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
489,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
490,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
491,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
492,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
493,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
494,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
495,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
496,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
497,Water,NULL,Wetland,NULL,Wetland,Grassland
498,Water,Water,Shrubland,Water,Non_Wetland,Bareland
499,Water,Water,Wetland,Water,Wetland,Bareland
500,Water,Water,Water,Water,Water,Bareland
501,Forest,NULL,NULL,NULL,Non_Wetland,NULL
502,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
503,Forest,NULL,NULL,NULL,Non_Wetland,Forest
504,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
505,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
506,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
507,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
508,Forest,NULL,Wetland,NULL,Wetland,Grassland
509,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
510,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
511,Forest,NULL,Forest,NULL,Non_Wetland,NULL
512,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
513,Forest,NULL,Forest,NULL,Non_Wetland,Forest
514,Forest,Forest,NULL,NULL,Non_Wetland,NULL
515,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
516,Forest,Forest,NULL,NULL,Non_Wetland,Forest
517,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
518,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
519,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
520,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
521,Forest,Forest,Wetland,NULL,Wetland,Grassland
522,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
523,Forest,Forest,Forest,NULL,Non_Wetland,NULL
524,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
525,Forest,Forest,Forest,NULL,Non_Wetland,Forest
