Value,AFRICA_2024_DynamicWorld_2024_35PPK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPK_M_R,AFRICA_2024_GSW_Yearly_2021_35PPK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPK_M_R,AFRICA_2024_WorldCover_2021_35PPK_M_R
426,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
427,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
428,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
429,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
430,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
431,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
432,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
433,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
434,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
435,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
436,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
437,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
438,Grassland,Cropland,Wetland,NULL,Wetland,NULL
439,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
440,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
441,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
442,Grassland,Cropland,Wetland,Water,Wetland,Grassland
443,Grassland,Cropland,Wetland,Water,Wetland,Wetland
444,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
445,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
446,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
447,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
448,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
449,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
450,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
451,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
452,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
453,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
454,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
455,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
456,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
457,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
458,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
459,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
460,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
461,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
462,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
463,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
464,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
465,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
466,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland
467,Grassland,Wetland,Wetland,NULL,Wetland,NULL
468,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
469,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
470,Grassland,Wetland,Wetland,NULL,Wetland,Forest
471,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
472,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
473,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
474,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
475,Grassland,Wetland,Wetland,Water,Wetland,Grassland
476,Grassland,Wetland,Wetland,Water,Wetland,Wetland
477,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
478,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
479,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland
480,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
481,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
482,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
483,Grassland,Wetland,Water,NULL,Water,Wetland
484,Grassland,Wetland,Water,Non_Water,Water,Wetland
485,Grassland,Wetland,Water,Non_Water,Water,Water
486,Grassland,Wetland,Water,Water,Water,Wetland
487,Grassland,Wetland,Water,Water,Water,Water
488,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
489,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
490,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
491,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
492,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
493,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
494,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
495,Grassland,Bareland,Shrubland,Water,Non_Wetland,Wetland
496,Grassland,Bareland,Wetland,Non_Water,Wetland,Wetland
497,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
498,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
499,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland
500,Grassland,Water,NULL,Water,Non_Wetland,Wetland
501,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
502,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
503,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
504,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
505,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
506,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
507,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
508,Grassland,Water,Wetland,NULL,Wetland,Wetland
509,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
510,Grassland,Water,Wetland,Water,Wetland,Wetland
511,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
512,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
513,Grassland,Water,Bareland,Non_Water,Non_Wetland,Wetland
514,Grassland,Water,Water,NULL,Water,Wetland
515,Grassland,Water,Water,Non_Water,Water,Wetland
516,Grassland,Water,Water,Water,Water,Wetland
517,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
518,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
519,Grassland,Water,Forest,Water,Non_Wetland,Wetland
520,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
521,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
522,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
523,Grassland,Forest,NULL,Water,Non_Wetland,Wetland
524,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
525,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
526,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
527,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
528,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
529,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
530,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
531,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
532,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
533,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
534,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
535,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
536,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
537,Grassland,Forest,Wetland,NULL,Wetland,NULL
538,Grassland,Forest,Wetland,NULL,Wetland,Grassland
539,Grassland,Forest,Wetland,NULL,Wetland,Wetland
540,Grassland,Forest,Wetland,NULL,Wetland,Forest
541,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
542,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
543,Grassland,Forest,Wetland,Water,Wetland,Grassland
544,Grassland,Forest,Wetland,Water,Wetland,Wetland
545,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
546,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
547,Grassland,Forest,Water,NULL,Water,Wetland
548,Grassland,Forest,Water,Non_Water,Water,Wetland
549,Grassland,Forest,Water,Water,Water,Grassland
550,Grassland,Forest,Water,Water,Water,Wetland
551,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
552,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
553,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
554,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
555,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
556,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
557,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
558,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
559,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
560,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
561,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
562,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
563,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
564,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
565,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
566,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
567,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
568,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
569,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
570,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
571,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
572,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
573,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
574,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
575,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
576,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
577,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
578,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
579,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
580,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
581,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
582,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
583,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
584,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
585,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
586,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
587,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
588,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
589,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
590,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
591,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
592,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
593,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
594,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
595,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
596,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
597,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
598,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
599,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
600,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
601,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Built-up
602,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
603,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
604,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
605,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
606,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
607,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
608,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
609,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
610,Cropland,NULL,Wetland,NULL,Wetland,Grassland
611,Cropland,NULL,Wetland,NULL,Wetland,Wetland
612,Cropland,NULL,Wetland,NULL,Wetland,Forest
613,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
614,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
615,Cropland,NULL,Wetland,Water,Wetland,Grassland
616,Cropland,NULL,Wetland,Water,Wetland,Wetland
617,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
618,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
619,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
620,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
621,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
622,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
623,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
624,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
625,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
626,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
627,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
628,Cropland,NULL,Water,NULL,Water,Wetland
629,Cropland,NULL,Water,Water,Water,Grassland
630,Cropland,NULL,Water,Water,Water,Wetland
631,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
632,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
633,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
634,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
635,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
636,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
637,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
638,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
639,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
640,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
641,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
642,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
643,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
644,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
645,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
646,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
647,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
648,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
649,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
650,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
651,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
652,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
653,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
654,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
655,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
656,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
657,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
658,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
659,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
660,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
661,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
662,Cropland,Cropland,Built-up,NULL,Non_Wetland,Wetland
663,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
664,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
665,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
666,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
667,Cropland,Wetland,NULL,NULL,Non_Wetland,Cropland
668,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
669,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
670,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
671,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
672,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
673,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
674,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
675,Cropland,Wetland,Shrubland,Water,Non_Wetland,Grassland
676,Cropland,Wetland,Shrubland,Water,Non_Wetland,Wetland
677,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
678,Cropland,Wetland,Grassland,NULL,Non_Wetland,Cropland
679,Cropland,Wetland,Grassland,NULL,Non_Wetland,Wetland
680,Cropland,Wetland,Grassland,NULL,Non_Wetland,Bareland
681,Cropland,Wetland,Grassland,Water,Non_Wetland,Grassland
682,Cropland,Wetland,Cropland,NULL,Non_Wetland,Wetland
683,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
684,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
685,Cropland,Wetland,Wetland,NULL,Wetland,Forest
686,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland
687,Cropland,Wetland,Bareland,NULL,Non_Wetland,Wetland
688,Cropland,Wetland,Bareland,Water,Non_Wetland,Wetland
689,Cropland,Wetland,Built-up,NULL,Non_Wetland,Wetland
690,Cropland,Wetland,Water,Water,Water,Grassland
691,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
692,Cropland,Wetland,Forest,NULL,Non_Wetland,Cropland
693,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
694,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Wetland
695,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
696,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
697,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
698,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
699,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
700,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
701,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
702,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
703,Cropland,Built-up,Grassland,NULL,Non_Wetland,Wetland
704,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
705,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
706,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
707,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
708,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
709,Cropland,Water,Shrubland,NULL,Non_Wetland,Wetland
710,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
711,Cropland,Water,Shrubland,Water,Non_Wetland,Bareland
712,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
713,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
714,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
715,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
716,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
717,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
718,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
719,Cropland,Forest,Grassland,NULL,Non_Wetland,Wetland
720,Cropland,Forest,Wetland,NULL,Wetland,Wetland
721,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
722,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
723,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
724,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
725,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
726,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
727,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
728,Wetland,NULL,NULL,NULL,Non_Wetland,Built-up
729,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
730,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
731,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
732,Wetland,NULL,NULL,Non_Water,Non_Wetland,Cropland
733,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
734,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
735,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
736,Wetland,NULL,NULL,Water,Non_Wetland,Cropland
737,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
738,Wetland,NULL,NULL,Water,Non_Wetland,Bareland
739,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
740,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
741,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
742,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
743,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
744,Wetland,NULL,Shrubland,NULL,Non_Wetland,Built-up
745,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
746,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
747,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
748,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
749,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
750,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
751,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
752,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
753,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
754,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
755,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
756,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
757,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
758,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
759,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
760,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
761,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
762,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
763,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
764,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
765,Wetland,NULL,Grassland,NULL,Non_Wetland,Built-up
766,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
767,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
768,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
769,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
770,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
771,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
772,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
773,Wetland,NULL,Grassland,Water,Non_Wetland,Cropland
774,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
775,Wetland,NULL,Grassland,Water,Non_Wetland,Bareland
776,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
777,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
778,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
779,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
780,Wetland,NULL,Cropland,NULL,Non_Wetland,Built-up
781,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
782,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
783,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
784,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
785,Wetland,NULL,Cropland,Water,Non_Wetland,Cropland
786,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
787,Wetland,NULL,Cropland,Water,Non_Wetland,Bareland
788,Wetland,NULL,Wetland,NULL,Wetland,NULL
789,Wetland,NULL,Wetland,NULL,Wetland,Grassland
790,Wetland,NULL,Wetland,NULL,Wetland,Cropland
791,Wetland,NULL,Wetland,NULL,Wetland,Wetland
792,Wetland,NULL,Wetland,NULL,Wetland,Bareland
793,Wetland,NULL,Wetland,NULL,Wetland,Water
794,Wetland,NULL,Wetland,NULL,Wetland,Forest
795,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
796,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
797,Wetland,NULL,Wetland,Non_Water,Wetland,Cropland
798,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
799,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
800,Wetland,NULL,Wetland,Water,Wetland,NULL
801,Wetland,NULL,Wetland,Water,Wetland,Grassland
802,Wetland,NULL,Wetland,Water,Wetland,Wetland
803,Wetland,NULL,Wetland,Water,Wetland,Forest
804,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
805,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
806,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
807,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
808,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
809,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
810,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
811,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
812,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
813,Wetland,NULL,Bareland,Water,Non_Wetland,Cropland
814,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
815,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
816,Wetland,NULL,Bareland,Water,Non_Wetland,Forest
817,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
818,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
819,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
820,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
821,Wetland,NULL,Built-up,NULL,Non_Wetland,Built-up
822,Wetland,NULL,Built-up,NULL,Non_Wetland,Water
823,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
824,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
825,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
826,Wetland,NULL,Built-up,Water,Non_Wetland,Grassland
827,Wetland,NULL,Built-up,Water,Non_Wetland,Wetland
828,Wetland,NULL,Built-up,Water,Non_Wetland,Bareland
829,Wetland,NULL,Built-up,Water,Non_Wetland,Forest
830,Wetland,NULL,Water,NULL,Water,Grassland
831,Wetland,NULL,Water,NULL,Water,Wetland
832,Wetland,NULL,Water,NULL,Water,Forest
833,Wetland,NULL,Water,Non_Water,Water,Wetland
834,Wetland,NULL,Water,Water,Water,Grassland
835,Wetland,NULL,Water,Water,Water,Wetland
836,Wetland,NULL,Water,Water,Water,Bareland
837,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
838,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
839,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
840,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
841,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
842,Wetland,NULL,Forest,Non_Water,Non_Wetland,Cropland
843,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
844,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
845,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
846,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
847,Wetland,Cropland,NULL,NULL,Non_Wetland,Cropland
848,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland
