Value,AFRICA_2024_DynamicWorld_2024_36NYL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYL_M_R,AFRICA_2024_GSW_Yearly_2021_36NYL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYL_M_R,AFRICA_2024_WorldCover_2021_36NYL_M_R
416,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
417,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
418,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
419,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
420,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
421,Cropland,Cropland,Wetland,NULL,Wetland,Forest
422,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
423,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
424,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
425,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
426,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
427,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
428,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
429,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
430,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
431,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
432,Cropland,Cropland,Built-up,NULL,Non_Wetland,Wetland
433,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
434,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
435,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
436,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
437,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
438,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
439,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
440,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
441,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
442,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
443,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
444,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
445,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
446,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
447,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
448,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
449,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
450,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
451,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
452,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
453,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
454,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
455,Cropland,Water,Forest,NULL,Non_Wetland,Forest
456,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
457,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
458,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
459,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
460,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
461,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
462,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
463,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
464,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
465,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL
466,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
467,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
468,Cropland,Forest,Grassland,NULL,Non_Wetland,Wetland
469,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
470,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL
471,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
472,Cropland,Forest,Grassland,Water,Non_Wetland,Grassland
473,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
474,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
475,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
476,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
477,Cropland,Forest,Wetland,NULL,Wetland,NULL
478,Cropland,Forest,Wetland,NULL,Wetland,Grassland
479,Cropland,Forest,Wetland,NULL,Wetland,Wetland
480,Cropland,Forest,Wetland,NULL,Wetland,Forest
481,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
482,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
483,Cropland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
484,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
485,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
486,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
487,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
488,Cropland,Forest,Bareland,Non_Water,Non_Wetland,NULL
489,Cropland,Forest,Bareland,Water,Non_Wetland,NULL
490,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
491,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
492,Cropland,Forest,Built-up,NULL,Non_Wetland,Wetland
493,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
494,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
495,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
496,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
497,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
498,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
499,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
500,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
501,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
502,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
503,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
504,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
505,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
506,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
507,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
508,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
509,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
510,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
511,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
512,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
513,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
514,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
515,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
516,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
517,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
518,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
519,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
520,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
521,Wetland,NULL,Bareland,Water,Non_Wetland,NULL
522,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
523,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL
524,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
525,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
526,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
527,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland
528,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
529,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
530,Wetland,Forest,Grassland,Non_Water,Non_Wetland,NULL
531,Wetland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
532,Wetland,Forest,Grassland,Non_Water,Non_Wetland,Wetland
533,Wetland,Forest,Grassland,Water,Non_Wetland,Grassland
534,Wetland,Forest,Bareland,Non_Water,Non_Wetland,NULL
535,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
536,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
537,Wetland,Forest,Bareland,Water,Non_Wetland,Grassland
538,Wetland,Forest,Bareland,Water,Non_Wetland,Wetland
539,Wetland,Forest,Built-up,Non_Water,Non_Wetland,Grassland
540,Wetland,Forest,Built-up,Water,Non_Wetland,Grassland
541,Wetland,Forest,Built-up,Water,Non_Wetland,Wetland
542,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
543,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
544,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
545,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland
546,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
547,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
548,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
549,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
550,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
551,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
552,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
553,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
554,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
555,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
556,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
557,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
558,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
559,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
560,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
561,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
562,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
563,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
564,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
565,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
566,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
567,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
568,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
569,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
570,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
571,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
572,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
573,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
574,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
575,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
576,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
577,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
578,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
579,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Forest
580,Bareland,NULL,Wetland,NULL,Wetland,Bareland
581,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
582,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
583,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
584,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
585,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
586,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
587,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
588,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
589,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
590,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
591,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
592,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
593,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
594,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
595,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
596,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
597,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
598,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
599,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
600,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
601,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
602,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
603,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
604,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
605,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
606,Bareland,NULL,Built-up,Water,Non_Wetland,Wetland
607,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
608,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
609,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
610,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
611,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
612,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
613,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
614,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
615,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
616,Bareland,Cropland,Grassland,NULL,Non_Wetland,Wetland
617,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
618,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
619,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
620,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
621,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
622,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
623,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
624,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
625,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
626,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
627,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
628,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
629,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
630,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
631,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
632,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
633,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
634,Bareland,Bareland,Grassland,NULL,Non_Wetland,Forest
635,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
636,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
637,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
638,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
639,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
640,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
641,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
642,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
643,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
644,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
645,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
646,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
647,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
648,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
649,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
650,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
651,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
652,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
653,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
654,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
655,Bareland,Water,NULL,NULL,Non_Wetland,Bareland
656,Bareland,Water,NULL,NULL,Non_Wetland,Forest
657,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
658,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
659,Bareland,Water,Grassland,NULL,Non_Wetland,Forest
660,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
661,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
662,Bareland,Water,Bareland,NULL,Non_Wetland,Forest
663,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
664,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
665,Bareland,Water,Forest,NULL,Non_Wetland,Forest
666,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
667,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
668,Bareland,Forest,Grassland,NULL,Non_Wetland,Wetland
669,Bareland,Forest,Bareland,NULL,Non_Wetland,Grassland
670,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
671,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland
672,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
673,Water,NULL,NULL,NULL,Non_Wetland,Forest
674,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
675,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
676,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
677,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
678,Water,NULL,Grassland,NULL,Non_Wetland,NULL
679,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
680,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
681,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
682,Water,NULL,Grassland,NULL,Non_Wetland,Forest
683,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
684,Water,NULL,Grassland,Water,Non_Wetland,Grassland
685,Water,NULL,Grassland,Water,Non_Wetland,Bareland
686,Water,NULL,Grassland,Water,Non_Wetland,Water
687,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
688,Water,NULL,Wetland,Non_Water,Wetland,NULL
689,Water,NULL,Wetland,Water,Wetland,Water
690,Water,NULL,Bareland,NULL,Non_Wetland,NULL
691,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
692,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
693,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
694,Water,NULL,Bareland,NULL,Non_Wetland,Water
695,Water,NULL,Bareland,NULL,Non_Wetland,Forest
696,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
697,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
698,Water,NULL,Bareland,Water,Non_Wetland,Grassland
699,Water,NULL,Bareland,Water,Non_Wetland,Bareland
700,Water,NULL,Bareland,Water,Non_Wetland,Water
701,Water,NULL,Bareland,Water,Non_Wetland,Forest
702,Water,NULL,Built-up,NULL,Non_Wetland,NULL
703,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
704,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
705,Water,NULL,Forest,NULL,Non_Wetland,Grassland
706,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
707,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland
708,Water,Cropland,Grassland,NULL,Non_Wetland,Forest
709,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland
710,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
711,Water,Cropland,Forest,NULL,Non_Wetland,Forest
712,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland
713,Water,Bareland,Grassland,NULL,Non_Wetland,Forest
714,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
715,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
716,Water,Water,NULL,NULL,Non_Wetland,NULL
717,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
718,Water,Water,Grassland,NULL,Non_Wetland,Grassland
719,Water,Water,Grassland,NULL,Non_Wetland,Wetland
720,Water,Water,Grassland,NULL,Non_Wetland,Bareland
721,Water,Water,Grassland,NULL,Non_Wetland,Forest
722,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
723,Water,Water,Grassland,Water,Non_Wetland,Grassland
724,Water,Water,Grassland,Water,Non_Wetland,Bareland
725,Water,Water,Cropland,NULL,Non_Wetland,Grassland
726,Water,Water,Wetland,Non_Water,Wetland,Grassland
727,Water,Water,Wetland,Water,Wetland,Grassland
728,Water,Water,Wetland,Water,Wetland,Bareland
729,Water,Water,Bareland,NULL,Non_Wetland,Grassland
730,Water,Water,Bareland,NULL,Non_Wetland,Wetland
731,Water,Water,Bareland,NULL,Non_Wetland,Bareland
732,Water,Water,Bareland,NULL,Non_Wetland,Water
733,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland
734,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
735,Water,Water,Bareland,Water,Non_Wetland,Grassland
736,Water,Water,Bareland,Water,Non_Wetland,Bareland
737,Water,Water,Built-up,NULL,Non_Wetland,Forest
738,Water,Water,Forest,NULL,Non_Wetland,Forest
739,Water,Forest,NULL,NULL,Non_Wetland,Grassland
740,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
741,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
742,Water,Forest,Bareland,NULL,Non_Wetland,Grassland
743,Water,Forest,Bareland,NULL,Non_Wetland,Wetland
744,Water,Forest,Forest,NULL,Non_Wetland,NULL
745,Water,Forest,Forest,NULL,Non_Wetland,Grassland
746,Water,Forest,Forest,NULL,Non_Wetland,Forest
747,Forest,NULL,NULL,NULL,Non_Wetland,NULL
748,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
749,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
750,Forest,NULL,NULL,NULL,Non_Wetland,Forest
751,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
752,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
753,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
754,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
755,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
756,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
757,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
758,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
759,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
760,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
761,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
762,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
763,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
764,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
765,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
766,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
767,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
768,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
769,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
770,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
771,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
772,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
773,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
774,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland
775,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest
776,Forest,NULL,Grassland,Water,Non_Wetland,NULL
777,Forest,NULL,Grassland,Water,Non_Wetland,Grassland
778,Forest,NULL,Grassland,Water,Non_Wetland,Wetland
779,Forest,NULL,Grassland,Water,Non_Wetland,Forest
780,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
781,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
782,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
783,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
784,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL
785,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
786,Forest,NULL,Cropland,Non_Water,Non_Wetland,Wetland
787,Forest,NULL,Cropland,Water,Non_Wetland,NULL
788,Forest,NULL,Cropland,Water,Non_Wetland,Grassland
789,Forest,NULL,Cropland,Water,Non_Wetland,Forest
790,Forest,NULL,Wetland,NULL,Wetland,NULL
791,Forest,NULL,Wetland,NULL,Wetland,Grassland
792,Forest,NULL,Wetland,NULL,Wetland,Forest
793,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
794,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
795,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
796,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
797,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
798,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
799,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
800,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
801,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
802,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL
803,Forest,NULL,Bareland,Non_Water,Non_Wetland,Grassland
804,Forest,NULL,Bareland,Non_Water,Non_Wetland,Wetland
805,Forest,NULL,Bareland,Non_Water,Non_Wetland,Forest
806,Forest,NULL,Bareland,Water,Non_Wetland,NULL
807,Forest,NULL,Bareland,Water,Non_Wetland,Grassland
808,Forest,NULL,Bareland,Water,Non_Wetland,Wetland
809,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
810,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
811,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland
812,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
813,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL
814,Forest,NULL,Built-up,Non_Water,Non_Wetland,Grassland
815,Forest,NULL,Built-up,Non_Water,Non_Wetland,Wetland
816,Forest,NULL,Built-up,Water,Non_Wetland,NULL
817,Forest,NULL,Built-up,Water,Non_Wetland,Grassland
818,Forest,NULL,Built-up,Water,Non_Wetland,Wetland
819,Forest,NULL,Water,NULL,Water,NULL
820,Forest,NULL,Water,NULL,Water,Grassland
821,Forest,NULL,Water,NULL,Water,Forest
822,Forest,NULL,Water,Non_Water,Water,NULL
823,Forest,NULL,Forest,NULL,Non_Wetland,NULL
824,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
825,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
826,Forest,NULL,Forest,NULL,Non_Wetland,Forest
827,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
828,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
829,Forest,NULL,Forest,Water,Non_Wetland,NULL
830,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
831,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
832,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
833,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
834,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
835,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland
836,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
837,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
838,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
839,Forest,Cropland,Grassland,NULL,Non_Wetland,Wetland
840,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
