Value,AFRICA_2024_DynamicWorld_2024_37PDN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDN_M_R,AFRICA_2024_GSW_Yearly_2021_37PDN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDN_M_R,AFRICA_2024_WorldCover_2021_37PDN_M_R
426,Grassland,Cropland,Bareland,NULL,Non_Wetland,Water
427,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
428,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
429,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
430,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
431,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
432,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland
433,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
434,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
435,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
436,Grassland,Cropland,Water,Non_Water,Water,Cropland
437,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
438,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
439,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
440,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
441,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
442,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
443,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
444,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
445,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
446,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
447,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
448,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
449,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
450,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
451,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
452,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
453,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL
454,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
455,Grassland,Built-up,Grassland,NULL,Non_Wetland,Cropland
456,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
457,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
458,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
459,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
460,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
461,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland
462,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up
463,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
464,Grassland,Built-up,Bareland,NULL,Non_Wetland,Built-up
465,Grassland,Built-up,Bareland,NULL,Non_Wetland,Forest
466,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
467,Grassland,Built-up,Built-up,NULL,Non_Wetland,Cropland
468,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up
469,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest
470,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
471,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
472,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
473,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
474,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
475,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
476,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
477,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
478,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
479,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
480,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
481,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
482,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
483,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
484,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
485,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
486,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
487,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
488,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
489,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
490,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
491,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
492,Grassland,Forest,Water,NULL,Water,NULL
493,Grassland,Forest,Water,NULL,Water,Forest
494,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
495,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
496,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
497,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
498,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
499,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
500,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
501,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
502,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
503,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
504,Cropland,NULL,NULL,NULL,Non_Wetland,Water
505,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
506,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
507,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
508,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
509,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
510,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
511,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
512,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
513,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
514,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
515,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
516,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
517,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
518,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
519,Cropland,NULL,Grassland,Water,Non_Wetland,Water
520,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
521,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
522,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
523,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
524,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
525,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
526,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
527,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
528,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
529,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
530,Cropland,NULL,Wetland,NULL,Wetland,NULL
531,Cropland,NULL,Wetland,NULL,Wetland,Grassland
532,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
533,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
534,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
535,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
536,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
537,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
538,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
539,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
540,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
541,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
542,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
543,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
544,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
545,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
546,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
547,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
548,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
549,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
550,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
551,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
552,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
553,Cropland,NULL,Water,NULL,Water,Grassland
554,Cropland,NULL,Water,NULL,Water,Cropland
555,Cropland,NULL,Water,Water,Water,Grassland
556,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
557,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
558,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
559,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
560,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
561,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
562,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
563,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
564,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
565,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
566,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
567,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
568,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
569,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
570,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
571,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
572,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
573,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
574,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
575,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
576,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
577,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
578,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
579,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
580,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
581,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
582,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
583,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
584,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
585,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
586,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
587,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
588,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
589,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
590,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
591,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
592,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
593,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
594,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
595,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
596,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
597,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
598,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
599,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
600,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
601,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
602,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
603,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
604,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
605,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
606,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
607,Cropland,Cropland,Wetland,NULL,Wetland,Bareland
608,Cropland,Cropland,Wetland,NULL,Wetland,Water
609,Cropland,Cropland,Wetland,NULL,Wetland,Forest
610,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
611,Cropland,Cropland,Wetland,Water,Wetland,Cropland
612,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
613,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
614,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
615,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
616,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
617,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
618,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
619,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
620,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
621,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
622,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
623,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
624,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
625,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water
626,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
627,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
628,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
629,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
630,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
631,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
632,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
633,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
634,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
635,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
636,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
637,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
638,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
639,Cropland,Cropland,Built-up,Water,Non_Wetland,Cropland
640,Cropland,Cropland,Water,NULL,Water,Cropland
641,Cropland,Cropland,Water,Non_Water,Water,Cropland
642,Cropland,Cropland,Water,Water,Water,Cropland
643,Cropland,Cropland,Water,Water,Water,Water
644,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
645,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
646,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
647,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
648,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
649,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
650,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
651,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
652,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
653,Cropland,Cropland,Forest,Water,Non_Wetland,Cropland
654,Cropland,Cropland,Forest,Water,Non_Wetland,Bareland
655,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
656,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
657,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
658,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
659,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
660,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
661,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
662,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland
663,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
664,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
665,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
666,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
667,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
668,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
669,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
670,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
671,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
672,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
673,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
674,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
675,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
676,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
677,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
678,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
679,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
680,Cropland,Built-up,Cropland,NULL,Non_Wetland,Wetland
681,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
682,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
683,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
684,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
685,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
686,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
687,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
688,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
689,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
690,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
691,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
692,Cropland,Built-up,Bareland,NULL,Non_Wetland,Built-up
693,Cropland,Built-up,Bareland,NULL,Non_Wetland,Forest
694,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
695,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
696,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
697,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
698,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
699,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
700,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
701,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
702,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
703,Cropland,Built-up,Forest,NULL,Non_Wetland,Wetland
704,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
705,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
706,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
707,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
708,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
709,Cropland,Water,Cropland,Water,Non_Wetland,Cropland
710,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
711,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
712,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
713,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
714,Cropland,Forest,NULL,NULL,Non_Wetland,Built-up
715,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
716,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
717,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
718,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
719,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
720,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
721,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
722,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
723,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
724,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
725,Cropland,Forest,Grassland,NULL,Non_Wetland,Built-up
726,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
727,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
728,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
729,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
730,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
731,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
732,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
733,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
734,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
735,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
736,Cropland,Forest,Bareland,NULL,Non_Wetland,Built-up
737,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
738,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
739,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
740,Cropland,Forest,Built-up,NULL,Non_Wetland,Cropland
741,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up
742,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
743,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
744,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
745,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
746,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
747,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
748,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
749,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
750,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
751,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
752,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
753,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
754,Wetland,Water,Water,Water,Water,Forest
755,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
756,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
757,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
758,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
759,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
760,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
761,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
762,Bareland,NULL,NULL,NULL,Non_Wetland,Water
763,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
764,Bareland,NULL,NULL,Water,Non_Wetland,NULL
765,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
766,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
767,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
768,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
769,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
770,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
771,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
772,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
773,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
774,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
775,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
776,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
777,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
778,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
779,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
780,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
781,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
782,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
783,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
784,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
785,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
786,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
787,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
788,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
789,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
790,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water
791,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
792,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
793,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
794,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
795,Bareland,NULL,Cropland,Water,Non_Wetland,Water
796,Bareland,NULL,Cropland,Water,Non_Wetland,Forest
797,Bareland,NULL,Wetland,NULL,Wetland,NULL
798,Bareland,NULL,Wetland,NULL,Wetland,Grassland
799,Bareland,NULL,Wetland,NULL,Wetland,Cropland
800,Bareland,NULL,Wetland,NULL,Wetland,Bareland
801,Bareland,NULL,Wetland,NULL,Wetland,Water
802,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
803,Bareland,NULL,Wetland,Non_Water,Wetland,Water
804,Bareland,NULL,Wetland,Water,Wetland,NULL
805,Bareland,NULL,Wetland,Water,Wetland,Grassland
806,Bareland,NULL,Wetland,Water,Wetland,Cropland
807,Bareland,NULL,Wetland,Water,Wetland,Bareland
808,Bareland,NULL,Wetland,Water,Wetland,Water
809,Bareland,NULL,Wetland,Water,Wetland,Forest
810,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
811,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
812,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
813,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
814,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
815,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
816,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
817,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
818,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
819,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
820,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
821,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
822,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
823,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL
824,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
825,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
826,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
827,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
828,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
829,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
830,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
831,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
832,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
833,Bareland,NULL,Bareland,Water,Non_Wetland,Water
834,Bareland,NULL,Bareland,Water,Non_Wetland,Forest
835,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
836,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
837,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
838,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
839,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
840,Bareland,NULL,Built-up,NULL,Non_Wetland,Water
841,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
842,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
843,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
844,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
