Value,AFRICA_2024_DynamicWorld_2024_37NEH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NEH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NEH_M_R,AFRICA_2024_GSW_Yearly_2021_37NEH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NEH_M_R,AFRICA_2024_WorldCover_2021_37NEH_M_R
420,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
421,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
422,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
423,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
424,Grassland,Built-up,Grassland,NULL,Non_Wetland,Cropland
425,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland
426,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
427,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
428,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
429,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
430,Grassland,Built-up,Cropland,NULL,Non_Wetland,Wetland
431,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up
432,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
433,Grassland,Built-up,Bareland,NULL,Non_Wetland,Grassland
434,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL
435,Grassland,Built-up,Built-up,NULL,Non_Wetland,Cropland
436,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up
437,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
438,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
439,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
440,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland
441,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland
442,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
443,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
444,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
445,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
446,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
447,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
448,Grassland,Water,Shrubland,Water,Non_Wetland,Cropland
449,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
450,Grassland,Water,Grassland,Non_Water,Non_Wetland,Grassland
451,Grassland,Water,Grassland,Non_Water,Non_Wetland,Cropland
452,Grassland,Water,Grassland,Water,Non_Wetland,Cropland
453,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
454,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
455,Grassland,Water,Cropland,Non_Water,Non_Wetland,Grassland
456,Grassland,Water,Cropland,Non_Water,Non_Wetland,Cropland
457,Grassland,Water,Cropland,Non_Water,Non_Wetland,Wetland
458,Grassland,Water,Cropland,Water,Non_Wetland,Grassland
459,Grassland,Water,Cropland,Water,Non_Wetland,Cropland
460,Grassland,Water,Cropland,Water,Non_Wetland,Wetland
461,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
462,Grassland,Water,Wetland,Non_Water,Wetland,Cropland
463,Grassland,Water,Wetland,Water,Wetland,Grassland
464,Grassland,Water,Wetland,Water,Wetland,Cropland
465,Grassland,Water,Wetland,Water,Wetland,Wetland
466,Grassland,Water,Bareland,Non_Water,Non_Wetland,Grassland
467,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
468,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
469,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
470,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
471,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
472,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland
473,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up
474,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
475,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL
476,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
477,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
478,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
479,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland
480,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
481,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
482,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
483,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
484,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
485,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland
486,Grassland,Forest,Grassland,NULL,Non_Wetland,Built-up
487,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
488,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
489,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
490,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
491,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
492,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland
493,Grassland,Forest,Cropland,NULL,Non_Wetland,Built-up
494,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
495,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
496,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
497,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
498,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
499,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
500,Grassland,Forest,Built-up,NULL,Non_Wetland,Cropland
501,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
502,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
503,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
504,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
505,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
506,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland
507,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
508,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
509,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
510,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
511,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
512,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
513,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
514,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
515,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
516,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
517,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
518,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
519,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
520,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
521,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
522,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
523,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
524,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
525,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
526,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
527,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
528,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
529,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
530,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
531,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
532,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
533,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
534,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
535,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
536,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
537,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
538,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
539,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
540,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
541,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
542,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
543,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
544,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
545,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
546,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
547,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
548,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
549,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
550,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
551,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
552,Cropland,NULL,Wetland,NULL,Wetland,Cropland
553,Cropland,NULL,Wetland,NULL,Wetland,Forest
554,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
555,Cropland,NULL,Wetland,Water,Wetland,Grassland
556,Cropland,NULL,Wetland,Water,Wetland,Cropland
557,Cropland,NULL,Wetland,Water,Wetland,Wetland
558,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
559,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
560,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
561,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
562,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
563,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
564,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
565,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
566,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
567,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
568,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
569,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
570,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
571,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
572,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
573,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
574,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
575,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
576,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
577,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
578,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
579,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
580,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
581,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
582,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
583,Cropland,NULL,Forest,NULL,Non_Wetland,Water
584,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
585,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
586,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
587,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
588,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
589,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
590,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
591,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
592,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
593,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
594,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
595,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
596,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
597,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
598,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
599,Cropland,Cropland,NULL,Water,Non_Wetland,Wetland
600,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
601,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
602,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
603,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
604,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
605,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
606,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
607,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
608,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
609,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
610,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
611,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
612,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
613,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
614,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
615,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
616,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
617,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
618,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
619,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
620,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
621,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
622,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
623,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
624,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
625,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
626,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
627,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
628,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
629,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
630,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
631,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
632,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
633,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
634,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
635,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
636,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
637,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
638,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
639,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
640,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
641,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
642,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
643,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
644,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
645,Cropland,Cropland,Wetland,NULL,Wetland,Bareland
646,Cropland,Cropland,Wetland,NULL,Wetland,Forest
647,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
648,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
649,Cropland,Cropland,Wetland,Water,Wetland,Grassland
650,Cropland,Cropland,Wetland,Water,Wetland,Cropland
651,Cropland,Cropland,Wetland,Water,Wetland,Wetland
652,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
653,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
654,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
655,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
656,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
657,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
658,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
659,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
660,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
661,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
662,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
663,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
664,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
665,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
666,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
667,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
668,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
669,Cropland,Cropland,Bareland,Water,Non_Wetland,Wetland
670,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
671,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
672,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
673,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
674,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
675,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
676,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
677,Cropland,Cropland,Built-up,Water,Non_Wetland,Cropland
678,Cropland,Cropland,Water,NULL,Water,Grassland
679,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
680,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
681,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
682,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
683,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
684,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
685,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
686,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
687,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
688,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
689,Cropland,Cropland,Forest,Water,Non_Wetland,Cropland
690,Cropland,Cropland,Forest,Water,Non_Wetland,Wetland
691,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
692,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
693,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
694,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
695,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
696,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
697,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
698,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
699,Cropland,Bareland,Forest,NULL,Non_Wetland,Bareland
700,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
701,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
702,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
703,Cropland,Built-up,NULL,NULL,Non_Wetland,Wetland
704,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland
705,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
706,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
707,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
708,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
709,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
710,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
711,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
712,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
713,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
714,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
715,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
716,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
717,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
718,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
719,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
720,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
721,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
722,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
723,Cropland,Built-up,Cropland,NULL,Non_Wetland,Wetland
724,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
725,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
726,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
727,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
728,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
729,Cropland,Built-up,Cropland,Water,Non_Wetland,Cropland
730,Cropland,Built-up,Wetland,NULL,Wetland,Forest
731,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
732,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
733,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
734,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
735,Cropland,Built-up,Bareland,NULL,Non_Wetland,Built-up
736,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
737,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
738,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
739,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
740,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
741,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
742,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
743,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
744,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
745,Cropland,Built-up,Forest,NULL,Non_Wetland,Wetland
746,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland
747,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
748,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
749,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
750,Cropland,Water,NULL,Water,Non_Wetland,Cropland
751,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
752,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
753,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
754,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
755,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
756,Cropland,Water,Shrubland,Water,Non_Wetland,Grassland
757,Cropland,Water,Shrubland,Water,Non_Wetland,Cropland
758,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
759,Cropland,Water,Grassland,Non_Water,Non_Wetland,Cropland
760,Cropland,Water,Grassland,Water,Non_Wetland,Cropland
761,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
762,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
763,Cropland,Water,Cropland,Non_Water,Non_Wetland,Cropland
764,Cropland,Water,Cropland,Water,Non_Wetland,Grassland
765,Cropland,Water,Cropland,Water,Non_Wetland,Cropland
766,Cropland,Water,Wetland,NULL,Wetland,Grassland
767,Cropland,Water,Wetland,Non_Water,Wetland,Cropland
768,Cropland,Water,Wetland,Water,Wetland,Grassland
769,Cropland,Water,Wetland,Water,Wetland,Cropland
770,Cropland,Water,Wetland,Water,Wetland,Bareland
771,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
772,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
773,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
774,Cropland,Water,Bareland,Water,Non_Wetland,Cropland
775,Cropland,Water,Water,Water,Water,Grassland
776,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
777,Cropland,Water,Forest,NULL,Non_Wetland,Cropland
778,Cropland,Water,Forest,NULL,Non_Wetland,Forest
779,Cropland,Water,Forest,Water,Non_Wetland,Cropland
780,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
781,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
782,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
783,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland
784,Cropland,Forest,NULL,NULL,Non_Wetland,Built-up
785,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
786,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
787,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
788,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
789,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
790,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
791,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
792,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
793,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
794,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
795,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
796,Cropland,Forest,Grassland,NULL,Non_Wetland,Built-up
797,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
798,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
799,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
800,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
801,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
802,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
803,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
804,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
805,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
806,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
807,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
808,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
809,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
810,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
811,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
812,Cropland,Forest,Bareland,NULL,Non_Wetland,Bareland
813,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
814,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
815,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
816,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
817,Cropland,Forest,Built-up,NULL,Non_Wetland,Cropland
818,Cropland,Forest,Built-up,NULL,Non_Wetland,Bareland
819,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up
820,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
821,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
822,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
823,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
824,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
825,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
826,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
827,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
828,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
829,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
830,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
831,Wetland,NULL,Cropland,Water,Non_Wetland,Cropland
832,Wetland,NULL,Wetland,Water,Wetland,Cropland
833,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
834,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
835,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
