Value,AFRICA_2024_DynamicWorld_2024_35PNM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,AFRICA_2024_WorldCover_2021_35PNM_M_R
871,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
872,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
873,Forest,NULL,Forest,NULL,Non_Wetland,NULL
874,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
875,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
876,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
877,Forest,NULL,Forest,NULL,Non_Wetland,Forest
878,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
879,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
880,Forest,NULL,Forest,Water,Non_Wetland,Cropland
881,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
882,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
883,Forest,Cropland,NULL,NULL,Non_Wetland,Cropland
884,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
885,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
886,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
887,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
888,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
889,Forest,Cropland,Grassland,NULL,Non_Wetland,Cropland
890,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
891,Forest,Cropland,Wetland,NULL,Wetland,Grassland
892,Forest,Cropland,Wetland,NULL,Wetland,Cropland
893,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
894,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
895,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
896,Forest,Wetland,NULL,NULL,Non_Wetland,NULL
897,Forest,Wetland,NULL,NULL,Non_Wetland,Forest
898,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
899,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
900,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
901,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
902,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
903,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
904,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
905,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
906,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
907,Forest,Water,Wetland,NULL,Wetland,Forest
908,Forest,Water,Wetland,Non_Water,Wetland,Forest
909,Forest,Forest,NULL,NULL,Non_Wetland,NULL
910,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
911,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
912,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
913,Forest,Forest,NULL,NULL,Non_Wetland,Forest
914,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
915,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
916,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
917,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
918,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
919,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
920,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
921,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
922,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
923,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
924,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
925,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland
926,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
927,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
928,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
929,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
930,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland
931,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
932,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL
933,Forest,Forest,Grassland,Water,Non_Wetland,Wetland
934,Forest,Forest,Grassland,Water,Non_Wetland,Forest
935,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
936,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
937,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
938,Forest,Forest,Cropland,Water,Non_Wetland,Forest
939,Forest,Forest,Wetland,NULL,Wetland,NULL
940,Forest,Forest,Wetland,NULL,Wetland,Grassland
941,Forest,Forest,Wetland,NULL,Wetland,Cropland
942,Forest,Forest,Wetland,NULL,Wetland,Wetland
943,Forest,Forest,Wetland,NULL,Wetland,Forest
944,Forest,Forest,Wetland,Non_Water,Wetland,NULL
945,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
946,Forest,Forest,Wetland,Non_Water,Wetland,Cropland
947,Forest,Forest,Wetland,Non_Water,Wetland,Wetland
948,Forest,Forest,Wetland,Non_Water,Wetland,Forest
949,Forest,Forest,Wetland,Water,Wetland,NULL
950,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
951,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
952,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
953,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
954,Forest,Forest,Bareland,Water,Non_Wetland,Forest
955,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
956,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
957,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
958,Forest,Forest,Forest,NULL,Non_Wetland,NULL
959,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
960,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
961,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
962,Forest,Forest,Forest,NULL,Non_Wetland,Forest
963,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
964,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
965,Forest,Forest,Forest,Non_Water,Non_Wetland,Cropland
966,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
967,Forest,Forest,Forest,Water,Non_Wetland,Grassland
968,Forest,Forest,Forest,Water,Non_Wetland,Forest
