Value,AFRICA_2024_DynamicWorld_2024_35PNQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PNQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNQ_M_R,AFRICA_2024_WorldCover_2021_35PNQ_M_R
422,Water,NULL,Forest,Water,Non_Wetland,Wetland
423,Water,Water,Wetland,Water,Wetland,Water
424,Water,Water,Bareland,Water,Non_Wetland,Wetland
425,Forest,NULL,NULL,NULL,Non_Wetland,NULL
426,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
427,Forest,NULL,NULL,NULL,Non_Wetland,Forest
428,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
429,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
430,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
431,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
432,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
433,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
434,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
435,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
436,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
437,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
438,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
439,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest
440,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
441,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
442,Forest,NULL,Wetland,NULL,Wetland,Grassland
443,Forest,NULL,Wetland,NULL,Wetland,Forest
444,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
445,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
446,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
447,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
448,Forest,NULL,Forest,NULL,Non_Wetland,NULL
449,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
450,Forest,NULL,Forest,NULL,Non_Wetland,Forest
451,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
452,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
453,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
454,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
455,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
456,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
457,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
458,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
459,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
460,Forest,Cropland,Wetland,NULL,Wetland,NULL
461,Forest,Cropland,Wetland,NULL,Wetland,Forest
462,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
463,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
464,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
465,Forest,Wetland,Wetland,NULL,Wetland,Forest
466,Forest,Forest,NULL,NULL,Non_Wetland,NULL
467,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
468,Forest,Forest,NULL,NULL,Non_Wetland,Forest
469,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL
470,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
471,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
472,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
473,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
474,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
475,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
476,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
477,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
478,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
479,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL
480,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland
481,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
482,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
483,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
484,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
485,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
486,Forest,Forest,Wetland,NULL,Wetland,NULL
487,Forest,Forest,Wetland,NULL,Wetland,Grassland
488,Forest,Forest,Wetland,NULL,Wetland,Forest
489,Forest,Forest,Wetland,Non_Water,Wetland,NULL
490,Forest,Forest,Wetland,Non_Water,Wetland,Forest
491,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
492,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
493,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
494,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
495,Forest,Forest,Forest,NULL,Non_Wetland,NULL
496,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
497,Forest,Forest,Forest,NULL,Non_Wetland,Forest
498,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
499,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
