Value,AFRICA_2024_DynamicWorld_2024_37NBH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBH_M_R,AFRICA_2024_GSW_Yearly_2021_37NBH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBH_M_R,AFRICA_2024_WorldCover_2021_37NBH_M_R
422,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
423,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
424,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
425,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
426,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
427,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
428,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
429,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland
430,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
431,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
432,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
433,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
434,Grassland,Forest,Forest,Water,Non_Wetland,NULL
435,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
436,Grassland,Forest,Forest,Water,Non_Wetland,Forest
437,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
438,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
439,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
440,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
441,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
442,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
443,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
444,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
445,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
446,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
447,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
448,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
449,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
450,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
451,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
452,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
453,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
454,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
455,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
456,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
457,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
458,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
459,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
460,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
461,Cropland,NULL,Wetland,NULL,Wetland,Cropland
462,Cropland,NULL,Wetland,NULL,Wetland,Bareland
463,Cropland,NULL,Wetland,NULL,Wetland,Forest
464,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
465,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
466,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
467,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
468,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
469,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
470,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
471,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
472,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
473,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
474,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
475,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
476,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
477,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
478,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
479,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
480,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
481,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
482,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
483,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
484,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
485,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
486,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
487,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
488,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
489,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
490,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
491,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
492,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
493,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
494,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
495,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
496,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
497,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
498,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
499,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
500,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
501,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
502,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
503,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
504,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
505,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
506,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
507,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
508,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
509,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
510,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
511,Cropland,Cropland,Wetland,NULL,Wetland,NULL
512,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
513,Cropland,Cropland,Wetland,NULL,Wetland,Forest
514,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
515,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
516,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
517,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
518,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
519,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
520,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
521,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
522,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
523,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
524,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
525,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
526,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
527,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
528,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
529,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
530,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
531,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
532,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
533,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
534,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
535,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
536,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
537,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
538,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
539,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
540,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
541,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
542,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
543,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
544,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
545,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
546,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
547,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
548,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
549,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
550,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
551,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
552,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
553,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
554,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
555,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
556,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
557,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
558,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
559,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
560,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
561,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
562,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
563,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
564,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
565,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
566,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
567,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
568,Cropland,Built-up,Bareland,NULL,Non_Wetland,Forest
569,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
570,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
571,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
572,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
573,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
574,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
575,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
576,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
577,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
578,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland
579,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
580,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
581,Cropland,Water,NULL,NULL,Non_Wetland,Cropland
582,Cropland,Water,NULL,NULL,Non_Wetland,Forest
583,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
584,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
585,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
586,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
587,Cropland,Water,Wetland,NULL,Wetland,Grassland
588,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
589,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
590,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
591,Cropland,Water,Built-up,NULL,Non_Wetland,Grassland
592,Cropland,Water,Forest,NULL,Non_Wetland,NULL
593,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
594,Cropland,Water,Forest,NULL,Non_Wetland,Cropland
595,Cropland,Water,Forest,NULL,Non_Wetland,Forest
596,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
597,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
598,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
599,Cropland,Forest,NULL,NULL,Non_Wetland,Built-up
600,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
601,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
602,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
603,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
604,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
605,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
606,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
607,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
608,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
609,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
610,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
611,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
612,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
613,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
614,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
615,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
616,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
617,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
618,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
619,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
620,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
621,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
622,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
623,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
624,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
625,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
626,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
627,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
628,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
629,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
630,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
631,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
632,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
633,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
634,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
635,Wetland,NULL,Wetland,NULL,Wetland,Forest
636,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
637,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
638,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
639,Wetland,NULL,Bareland,Water,Non_Wetland,Forest
640,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
641,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
642,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
643,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
644,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
645,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland
646,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
647,Wetland,Cropland,Built-up,NULL,Non_Wetland,Bareland
648,Wetland,Bareland,Forest,NULL,Non_Wetland,Bareland
649,Wetland,Built-up,Cropland,NULL,Non_Wetland,NULL
650,Wetland,Built-up,Bareland,NULL,Non_Wetland,Forest
651,Wetland,Built-up,Forest,NULL,Non_Wetland,Forest
652,Wetland,Water,Wetland,NULL,Wetland,Wetland
653,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
654,Wetland,Water,Bareland,NULL,Non_Wetland,Water
655,Wetland,Water,Built-up,NULL,Non_Wetland,Forest
656,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
657,Wetland,Water,Forest,NULL,Non_Wetland,Forest
658,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
659,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
660,Wetland,Forest,Built-up,NULL,Non_Wetland,Forest
661,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
662,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
663,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
664,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
665,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
666,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
667,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
668,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
669,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
670,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
671,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
672,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
673,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
674,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
675,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
676,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
677,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
678,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
679,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
680,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
681,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
682,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
683,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
684,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
685,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
686,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
687,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
688,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
689,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
690,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
691,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
692,Bareland,NULL,Wetland,NULL,Wetland,Cropland
693,Bareland,NULL,Wetland,NULL,Wetland,Forest
694,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
695,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
696,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
697,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
698,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
699,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
700,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
701,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
702,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
703,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
704,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
705,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
706,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
707,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
708,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
709,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
710,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
711,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
712,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
713,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
714,Bareland,NULL,Forest,NULL,Non_Wetland,Built-up
715,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
716,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
717,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
718,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
719,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
720,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
721,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest
722,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
723,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
724,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
725,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
726,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
727,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest
728,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
729,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
730,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
731,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
732,Bareland,Cropland,Grassland,NULL,Non_Wetland,Built-up
733,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
734,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
735,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
736,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
737,Bareland,Cropland,Cropland,NULL,Non_Wetland,Built-up
738,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest
739,Bareland,Cropland,Wetland,NULL,Wetland,Forest
740,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
741,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
742,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
743,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
744,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
745,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
746,Bareland,Cropland,Bareland,NULL,Non_Wetland,Water
747,Bareland,Cropland,Bareland,NULL,Non_Wetland,Forest
748,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
749,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
750,Bareland,Cropland,Built-up,NULL,Non_Wetland,Cropland
751,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
752,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL
753,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
754,Bareland,Cropland,Forest,NULL,Non_Wetland,Cropland
755,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland
756,Bareland,Cropland,Forest,NULL,Non_Wetland,Built-up
757,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest
758,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
759,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
760,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
761,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Forest
762,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
763,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
764,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
765,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
766,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
767,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
768,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
769,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
770,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
771,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
772,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
773,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
774,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
775,Bareland,Bareland,Forest,NULL,Non_Wetland,Cropland
776,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
777,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest
778,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
779,Bareland,Built-up,NULL,NULL,Non_Wetland,Forest
780,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
781,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
782,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
783,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
784,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Forest
785,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
786,Bareland,Built-up,Shrubland,Water,Non_Wetland,Bareland
787,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
788,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
789,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
790,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
791,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
792,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
793,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
794,Bareland,Built-up,Cropland,NULL,Non_Wetland,Forest
795,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
796,Bareland,Built-up,Cropland,Water,Non_Wetland,Bareland
797,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
798,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
799,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
800,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
801,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
802,Bareland,Built-up,Bareland,NULL,Non_Wetland,Forest
803,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
804,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
805,Bareland,Built-up,Bareland,Water,Non_Wetland,Bareland
806,Bareland,Built-up,Bareland,Water,Non_Wetland,Water
807,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
808,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
809,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
810,Bareland,Built-up,Built-up,NULL,Non_Wetland,Forest
811,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL
812,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
813,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland
814,Bareland,Built-up,Forest,NULL,Non_Wetland,Built-up
815,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest
816,Bareland,Water,NULL,NULL,Non_Wetland,Cropland
817,Bareland,Water,NULL,NULL,Non_Wetland,Bareland
818,Bareland,Water,NULL,NULL,Non_Wetland,Forest
819,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
820,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
821,Bareland,Water,Shrubland,NULL,Non_Wetland,Cropland
822,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
823,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
824,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
825,Bareland,Water,Grassland,NULL,Non_Wetland,Forest
826,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
827,Bareland,Water,Cropland,NULL,Non_Wetland,Cropland
828,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
829,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
830,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
831,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
832,Bareland,Water,Bareland,NULL,Non_Wetland,Cropland
833,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
834,Bareland,Water,Bareland,NULL,Non_Wetland,Water
835,Bareland,Water,Bareland,NULL,Non_Wetland,Forest
836,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
837,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland
838,Bareland,Water,Built-up,NULL,Non_Wetland,Wetland
