Value,AFRICA_2024_DynamicWorld_2024_38NKL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKL_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKL_M_R,AFRICA_2024_GSW_Yearly_2021_38NKL_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKL_M_R,AFRICA_2024_WorldCover_2021_38NKL_M_R
418,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
419,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
420,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
421,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
422,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
423,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
424,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
425,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
426,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
427,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
428,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
429,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
430,Bareland,Water,Grassland,NULL,Non_Wetland,Cropland
431,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
432,Bareland,Water,Grassland,Non_Water,Non_Wetland,Grassland
433,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
434,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
435,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
436,Bareland,Water,Bareland,NULL,Non_Wetland,Cropland
437,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
438,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
439,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
440,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
441,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
442,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
443,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
444,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
445,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
446,Water,NULL,NULL,NULL,Non_Wetland,Grassland
447,Water,NULL,NULL,NULL,Non_Wetland,Bareland
448,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
449,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
450,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
451,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
452,Water,NULL,Grassland,NULL,Non_Wetland,NULL
453,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
454,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
455,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
456,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
457,Water,NULL,Grassland,Non_Water,Non_Wetland,Cropland
458,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
459,Water,NULL,Grassland,Water,Non_Wetland,Grassland
460,Water,NULL,Grassland,Water,Non_Wetland,Bareland
461,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
462,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
463,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
464,Water,NULL,Cropland,Water,Non_Wetland,Bareland
465,Water,NULL,Bareland,NULL,Non_Wetland,NULL
466,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
467,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
468,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
469,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
470,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
471,Water,NULL,Bareland,Water,Non_Wetland,Grassland
472,Water,NULL,Bareland,Water,Non_Wetland,Bareland
473,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
474,Water,NULL,Built-up,NULL,Non_Wetland,Cropland
475,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
476,Water,NULL,Water,NULL,Water,Cropland
477,Water,NULL,Water,NULL,Water,Bareland
478,Water,NULL,Water,Water,Water,Bareland
479,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
480,Water,Wetland,Grassland,NULL,Non_Wetland,NULL
481,Water,Wetland,Grassland,NULL,Non_Wetland,Grassland
482,Water,Wetland,Cropland,NULL,Non_Wetland,Grassland
483,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
484,Water,Bareland,Grassland,NULL,Non_Wetland,Grassland
485,Water,Bareland,Grassland,NULL,Non_Wetland,Cropland
486,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland
487,Water,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
488,Water,Bareland,Grassland,Water,Non_Wetland,Bareland
489,Water,Bareland,Cropland,NULL,Non_Wetland,Grassland
490,Water,Bareland,Bareland,NULL,Non_Wetland,Grassland
491,Water,Bareland,Bareland,NULL,Non_Wetland,Cropland
492,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
493,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
494,Water,Bareland,Bareland,Water,Non_Wetland,Grassland
495,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
496,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
497,Water,Bareland,Water,NULL,Water,Bareland
498,Water,Bareland,Water,Water,Water,Grassland
499,Water,Bareland,Water,Water,Water,Bareland
500,Water,Water,Shrubland,NULL,Non_Wetland,NULL
501,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
502,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
503,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
504,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
505,Water,Water,Grassland,NULL,Non_Wetland,NULL
506,Water,Water,Grassland,NULL,Non_Wetland,Grassland
507,Water,Water,Grassland,NULL,Non_Wetland,Cropland
508,Water,Water,Grassland,NULL,Non_Wetland,Bareland
509,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
510,Water,Water,Grassland,Non_Water,Non_Wetland,Cropland
511,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
512,Water,Water,Grassland,Water,Non_Wetland,Cropland
513,Water,Water,Grassland,Water,Non_Wetland,Bareland
514,Water,Water,Cropland,NULL,Non_Wetland,NULL
515,Water,Water,Cropland,NULL,Non_Wetland,Grassland
516,Water,Water,Cropland,Water,Non_Wetland,Bareland
517,Water,Water,Wetland,NULL,Wetland,Bareland
518,Water,Water,Wetland,Water,Wetland,Bareland
519,Water,Water,Bareland,NULL,Non_Wetland,Grassland
520,Water,Water,Bareland,NULL,Non_Wetland,Cropland
521,Water,Water,Bareland,NULL,Non_Wetland,Bareland
522,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland
523,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
524,Water,Water,Bareland,Water,Non_Wetland,Grassland
525,Water,Water,Bareland,Water,Non_Wetland,Bareland
526,Water,Water,Built-up,NULL,Non_Wetland,Grassland
527,Water,Water,Built-up,NULL,Non_Wetland,Cropland
528,Water,Water,Built-up,NULL,Non_Wetland,Bareland
529,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland
530,Water,Water,Water,NULL,Water,Grassland
531,Water,Water,Water,NULL,Water,Cropland
532,Forest,NULL,NULL,NULL,Non_Wetland,NULL
533,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
534,Forest,NULL,NULL,NULL,Non_Wetland,Forest
535,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
536,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
537,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
538,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
539,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
540,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
541,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
542,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
543,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
544,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
545,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
546,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
547,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
548,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
549,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
550,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
551,Forest,NULL,Wetland,NULL,Wetland,NULL
552,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
553,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
554,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
555,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
556,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
557,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
558,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
559,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
560,Forest,NULL,Forest,NULL,Non_Wetland,NULL
561,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
562,Forest,NULL,Forest,NULL,Non_Wetland,Forest
563,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
564,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
565,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
566,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
567,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL
568,Forest,Wetland,Grassland,NULL,Non_Wetland,Grassland
569,Forest,Wetland,Cropland,NULL,Non_Wetland,NULL
570,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL
571,Forest,Forest,NULL,NULL,Non_Wetland,NULL
572,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
573,Forest,Forest,NULL,NULL,Non_Wetland,Forest
574,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
575,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
576,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
577,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
578,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
579,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
580,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up
581,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
582,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
583,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
584,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland
585,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
586,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
587,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
588,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
589,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
590,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
591,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
592,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
593,Forest,Forest,Forest,NULL,Non_Wetland,NULL
594,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
595,Forest,Forest,Forest,NULL,Non_Wetland,Forest
