Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,SIBERIA_2024_WorldCover_2021_44WNA_M_R
467,Built-up,Grassland,NULL,Non_Wetland,Grassland
468,Built-up,Grassland,NULL,Non_Wetland,Wetland
469,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
470,Built-up,Grassland,NULL,Non_Wetland,Bareland
471,Built-up,Grassland,NULL,Non_Wetland,Built-up
472,Built-up,Grassland,NULL,Non_Wetland,Water
473,Built-up,Grassland,NULL,Non_Wetland,Forest
474,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
475,Built-up,Grassland,Non_Water,Non_Wetland,Wetland
476,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
477,Built-up,Grassland,Water,Non_Wetland,Lichens_and_Mosses
478,Built-up,Grassland,Water,Non_Wetland,Bareland
479,Built-up,Wetland,NULL,Wetland,Bareland
480,Built-up,Wetland,Water,Wetland,Bareland
481,Built-up,Wetland,Water,Wetland,Built-up
482,Built-up,Wetland,Water,Wetland,Forest
483,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
484,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
485,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
486,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
487,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
488,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
489,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
490,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
491,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
492,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Bareland
493,Built-up,Bareland,NULL,Non_Wetland,Grassland
494,Built-up,Bareland,NULL,Non_Wetland,Wetland
495,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
496,Built-up,Bareland,NULL,Non_Wetland,Bareland
497,Built-up,Bareland,NULL,Non_Wetland,Built-up
498,Built-up,Bareland,NULL,Non_Wetland,Water
499,Built-up,Bareland,NULL,Non_Wetland,Forest
500,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
501,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
502,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
503,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
504,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
505,Built-up,Bareland,Non_Water,Non_Wetland,Water
506,Built-up,Bareland,Water,Non_Wetland,Grassland
507,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
508,Built-up,Bareland,Water,Non_Wetland,Bareland
509,Built-up,Bareland,Water,Non_Wetland,Built-up
510,Built-up,Bareland,Water,Non_Wetland,Water
511,Built-up,Built-up,NULL,Non_Wetland,Grassland
512,Built-up,Built-up,NULL,Non_Wetland,Wetland
513,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
514,Built-up,Built-up,NULL,Non_Wetland,Bareland
515,Built-up,Built-up,NULL,Non_Wetland,Built-up
516,Built-up,Built-up,NULL,Non_Wetland,Water
517,Built-up,Built-up,NULL,Non_Wetland,Forest
518,Built-up,Built-up,Non_Water,Non_Wetland,Wetland
519,Built-up,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
520,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
521,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
522,Built-up,Built-up,Water,Non_Wetland,Lichens_and_Mosses
523,Built-up,Built-up,Water,Non_Wetland,Bareland
524,Built-up,Built-up,Water,Non_Wetland,Built-up
525,Built-up,Built-up,Water,Non_Wetland,Water
526,Built-up,Water,NULL,Water,Lichens_and_Mosses
527,Built-up,Water,NULL,Water,Bareland
528,Built-up,Water,Water,Water,Bareland
529,Built-up,Water,Water,Water,Built-up
530,Built-up,Water,Water,Water,Water
531,Built-up,Forest,NULL,Non_Wetland,Grassland
532,Built-up,Forest,NULL,Non_Wetland,Wetland
533,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
534,Built-up,Forest,NULL,Non_Wetland,Bareland
535,Built-up,Forest,NULL,Non_Wetland,Water
536,Built-up,Forest,NULL,Non_Wetland,Forest
537,Built-up,Forest,Non_Water,Non_Wetland,Grassland
538,Water,NULL,NULL,Non_Wetland,Grassland
539,Water,NULL,NULL,Non_Wetland,Wetland
540,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
541,Water,NULL,NULL,Non_Wetland,Bareland
542,Water,NULL,NULL,Non_Wetland,Water
543,Water,NULL,NULL,Non_Wetland,Forest
544,Water,NULL,Non_Water,Non_Wetland,Grassland
545,Water,NULL,Non_Water,Non_Wetland,Wetland
546,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
547,Water,NULL,Non_Water,Non_Wetland,Bareland
548,Water,NULL,Non_Water,Non_Wetland,Water
549,Water,NULL,Non_Water,Non_Wetland,Forest
550,Water,NULL,Water,Non_Wetland,Grassland
551,Water,NULL,Water,Non_Wetland,Wetland
552,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
553,Water,NULL,Water,Non_Wetland,Bareland
554,Water,NULL,Water,Non_Wetland,Water
555,Water,NULL,Water,Non_Wetland,Forest
556,Water,Shrubland,NULL,Non_Wetland,Grassland
557,Water,Shrubland,NULL,Non_Wetland,Wetland
558,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
559,Water,Shrubland,NULL,Non_Wetland,Bareland
560,Water,Shrubland,NULL,Non_Wetland,Water
561,Water,Shrubland,NULL,Non_Wetland,Forest
562,Water,Shrubland,Non_Water,Non_Wetland,Grassland
563,Water,Shrubland,Non_Water,Non_Wetland,Wetland
564,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
565,Water,Shrubland,Non_Water,Non_Wetland,Bareland
566,Water,Shrubland,Non_Water,Non_Wetland,Water
567,Water,Shrubland,Non_Water,Non_Wetland,Forest
568,Water,Shrubland,Water,Non_Wetland,Grassland
569,Water,Shrubland,Water,Non_Wetland,Wetland
570,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
571,Water,Shrubland,Water,Non_Wetland,Bareland
572,Water,Shrubland,Water,Non_Wetland,Water
573,Water,Shrubland,Water,Non_Wetland,Forest
574,Water,Grassland,NULL,Non_Wetland,Grassland
575,Water,Grassland,NULL,Non_Wetland,Wetland
576,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
577,Water,Grassland,NULL,Non_Wetland,Bareland
578,Water,Grassland,NULL,Non_Wetland,Water
579,Water,Grassland,NULL,Non_Wetland,Forest
580,Water,Grassland,Non_Water,Non_Wetland,Grassland
581,Water,Grassland,Non_Water,Non_Wetland,Wetland
582,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
583,Water,Grassland,Non_Water,Non_Wetland,Bareland
584,Water,Grassland,Non_Water,Non_Wetland,Water
585,Water,Grassland,Non_Water,Non_Wetland,Forest
586,Water,Grassland,Water,Non_Wetland,Grassland
587,Water,Grassland,Water,Non_Wetland,Wetland
588,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
589,Water,Grassland,Water,Non_Wetland,Bareland
590,Water,Grassland,Water,Non_Wetland,Water
591,Water,Grassland,Water,Non_Wetland,Forest
592,Water,Wetland,NULL,Wetland,Grassland
593,Water,Wetland,NULL,Wetland,Wetland
594,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
595,Water,Wetland,NULL,Wetland,Bareland
596,Water,Wetland,NULL,Wetland,Water
597,Water,Wetland,NULL,Wetland,Forest
598,Water,Wetland,Non_Water,Wetland,Grassland
599,Water,Wetland,Non_Water,Wetland,Wetland
600,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
601,Water,Wetland,Non_Water,Wetland,Bareland
602,Water,Wetland,Non_Water,Wetland,Water
603,Water,Wetland,Non_Water,Wetland,Forest
604,Water,Wetland,Water,Wetland,Grassland
605,Water,Wetland,Water,Wetland,Wetland
606,Water,Wetland,Water,Wetland,Lichens_and_Mosses
607,Water,Wetland,Water,Wetland,Bareland
608,Water,Wetland,Water,Wetland,Water
609,Water,Wetland,Water,Wetland,Forest
610,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
611,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
612,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
613,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
614,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
615,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
616,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
617,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
618,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
619,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
620,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
621,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
622,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
623,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
624,Water,Bareland,NULL,Non_Wetland,Grassland
625,Water,Bareland,NULL,Non_Wetland,Wetland
626,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
627,Water,Bareland,NULL,Non_Wetland,Bareland
628,Water,Bareland,NULL,Non_Wetland,Water
629,Water,Bareland,NULL,Non_Wetland,Forest
630,Water,Bareland,Non_Water,Non_Wetland,Grassland
631,Water,Bareland,Non_Water,Non_Wetland,Wetland
632,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
633,Water,Bareland,Non_Water,Non_Wetland,Bareland
634,Water,Bareland,Non_Water,Non_Wetland,Water
635,Water,Bareland,Non_Water,Non_Wetland,Forest
636,Water,Bareland,Water,Non_Wetland,Grassland
637,Water,Bareland,Water,Non_Wetland,Wetland
638,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
639,Water,Bareland,Water,Non_Wetland,Bareland
640,Water,Bareland,Water,Non_Wetland,Water
641,Water,Bareland,Water,Non_Wetland,Forest
642,Water,Built-up,NULL,Non_Wetland,Grassland
643,Water,Built-up,NULL,Non_Wetland,Wetland
644,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
645,Water,Built-up,NULL,Non_Wetland,Bareland
646,Water,Built-up,NULL,Non_Wetland,Water
647,Water,Built-up,NULL,Non_Wetland,Forest
648,Water,Built-up,Non_Water,Non_Wetland,Grassland
649,Water,Built-up,Non_Water,Non_Wetland,Wetland
650,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
651,Water,Built-up,Non_Water,Non_Wetland,Bareland
652,Water,Built-up,Non_Water,Non_Wetland,Water
653,Water,Built-up,Non_Water,Non_Wetland,Forest
654,Water,Built-up,Water,Non_Wetland,Grassland
655,Water,Built-up,Water,Non_Wetland,Wetland
656,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
657,Water,Built-up,Water,Non_Wetland,Bareland
658,Water,Built-up,Water,Non_Wetland,Water
659,Water,Built-up,Water,Non_Wetland,Forest
660,Water,Water,NULL,Water,Grassland
661,Water,Water,NULL,Water,Wetland
662,Water,Water,NULL,Water,Lichens_and_Mosses
663,Water,Water,NULL,Water,Bareland
664,Water,Water,NULL,Water,Built-up
665,Water,Water,NULL,Water,Water
666,Water,Water,NULL,Water,Forest
667,Water,Water,Non_Water,Water,Grassland
668,Water,Water,Non_Water,Water,Wetland
669,Water,Water,Non_Water,Water,Lichens_and_Mosses
670,Water,Water,Non_Water,Water,Bareland
671,Water,Water,Non_Water,Water,Water
672,Water,Water,Non_Water,Water,Forest
673,Water,Water,Water,Water,Grassland
674,Water,Water,Water,Water,Wetland
675,Water,Water,Water,Water,Lichens_and_Mosses
676,Water,Water,Water,Water,Bareland
677,Water,Water,Water,Water,Water
678,Water,Water,Water,Water,Forest
679,Water,Forest,NULL,Non_Wetland,Grassland
680,Water,Forest,NULL,Non_Wetland,Wetland
681,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
682,Water,Forest,NULL,Non_Wetland,Bareland
683,Water,Forest,NULL,Non_Wetland,Water
684,Water,Forest,NULL,Non_Wetland,Forest
685,Water,Forest,Non_Water,Non_Wetland,Grassland
686,Water,Forest,Non_Water,Non_Wetland,Wetland
687,Water,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
688,Water,Forest,Non_Water,Non_Wetland,Bareland
689,Water,Forest,Non_Water,Non_Wetland,Water
690,Water,Forest,Non_Water,Non_Wetland,Forest
691,Water,Forest,Water,Non_Wetland,Grassland
692,Water,Forest,Water,Non_Wetland,Wetland
693,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
694,Water,Forest,Water,Non_Wetland,Bareland
695,Water,Forest,Water,Non_Wetland,Water
696,Water,Forest,Water,Non_Wetland,Forest
697,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
698,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
699,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Lichens_and_Mosses
700,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
701,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
702,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
703,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Grassland
704,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
705,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
706,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Bareland
707,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Water
708,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
709,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
710,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
711,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Lichens_and_Mosses
712,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Bareland
713,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
714,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
715,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
716,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
717,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
718,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
719,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Built-up
720,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
721,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
722,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Grassland
723,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
724,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
725,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Bareland
726,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Built-up
727,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Water
728,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
729,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
730,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
731,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
732,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Bareland
733,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
734,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
735,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
736,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
737,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
738,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
739,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Built-up
740,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
741,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
742,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
743,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Wetland
744,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
745,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Bareland
746,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Water
747,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
748,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
749,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
750,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Lichens_and_Mosses
751,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Bareland
752,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Water
753,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
754,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
755,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
756,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
757,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
758,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
759,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
760,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
761,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
762,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
763,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
764,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
765,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
766,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
767,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
768,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
769,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
770,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
771,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
772,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
773,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
774,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
775,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
776,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Water
777,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
778,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
779,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
780,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
781,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
782,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
783,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Wetland
784,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
785,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Bareland
786,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Water
787,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Forest
788,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
789,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
790,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
791,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
792,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
793,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
794,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
795,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
796,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
797,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
798,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
799,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Built-up
800,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
801,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
802,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
803,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
804,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
805,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
806,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Built-up
807,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
808,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
809,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
810,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
811,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
812,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
813,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
814,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
815,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
816,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Grassland
817,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Wetland
818,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
819,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Bareland
820,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Water
821,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Forest
822,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
823,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Wetland
824,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Lichens_and_Mosses
825,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
826,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
827,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
828,Permanent_ice_and_snow,Water,NULL,Water,Grassland
829,Permanent_ice_and_snow,Water,NULL,Water,Wetland
830,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
831,Permanent_ice_and_snow,Water,NULL,Water,Bareland
832,Permanent_ice_and_snow,Water,NULL,Water,Water
833,Permanent_ice_and_snow,Water,NULL,Water,Forest
834,Permanent_ice_and_snow,Water,Non_Water,Water,Grassland
835,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
836,Permanent_ice_and_snow,Water,Non_Water,Water,Lichens_and_Mosses
837,Permanent_ice_and_snow,Water,Non_Water,Water,Bareland
838,Permanent_ice_and_snow,Water,Non_Water,Water,Water
839,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
840,Permanent_ice_and_snow,Water,Water,Water,Grassland
841,Permanent_ice_and_snow,Water,Water,Water,Wetland
842,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
843,Permanent_ice_and_snow,Water,Water,Water,Bareland
844,Permanent_ice_and_snow,Water,Water,Water,Water
845,Permanent_ice_and_snow,Water,Water,Water,Forest
846,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
847,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
848,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
849,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
850,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
851,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
852,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
853,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
854,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
855,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Bareland
856,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
857,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
858,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
859,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
860,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Lichens_and_Mosses
861,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Bareland
862,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
863,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
864,Forest,NULL,NULL,Non_Wetland,Grassland
865,Forest,NULL,NULL,Non_Wetland,Wetland
866,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
867,Forest,NULL,NULL,Non_Wetland,Bareland
868,Forest,NULL,NULL,Non_Wetland,Water
869,Forest,NULL,NULL,Non_Wetland,Forest
870,Forest,NULL,Non_Water,Non_Wetland,Grassland
871,Forest,NULL,Non_Water,Non_Wetland,Wetland
872,Forest,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
873,Forest,NULL,Non_Water,Non_Wetland,Bareland
874,Forest,NULL,Non_Water,Non_Wetland,Water
875,Forest,NULL,Non_Water,Non_Wetland,Forest
876,Forest,NULL,Water,Non_Wetland,Grassland
877,Forest,NULL,Water,Non_Wetland,Wetland
878,Forest,NULL,Water,Non_Wetland,Lichens_and_Mosses
879,Forest,NULL,Water,Non_Wetland,Bareland
880,Forest,NULL,Water,Non_Wetland,Water
881,Forest,NULL,Water,Non_Wetland,Forest
882,Forest,Shrubland,NULL,Non_Wetland,Grassland
883,Forest,Shrubland,NULL,Non_Wetland,Wetland
884,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
885,Forest,Shrubland,NULL,Non_Wetland,Bareland
886,Forest,Shrubland,NULL,Non_Wetland,Water
887,Forest,Shrubland,NULL,Non_Wetland,Forest
888,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
889,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
890,Forest,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
891,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
892,Forest,Shrubland,Non_Water,Non_Wetland,Water
893,Forest,Shrubland,Non_Water,Non_Wetland,Forest
894,Forest,Shrubland,Water,Non_Wetland,Grassland
895,Forest,Shrubland,Water,Non_Wetland,Wetland
896,Forest,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
897,Forest,Shrubland,Water,Non_Wetland,Bareland
898,Forest,Shrubland,Water,Non_Wetland,Water
899,Forest,Shrubland,Water,Non_Wetland,Forest
900,Forest,Grassland,NULL,Non_Wetland,Grassland
