Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPS_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,SIBERIA_2024_WorldCover_2021_44WPS_M_R
487,Forest,Wetland,Non_Water,Wetland,Wetland
488,Forest,Wetland,Non_Water,Wetland,Water
489,Forest,Wetland,Non_Water,Wetland,Forest
490,Forest,Wetland,Water,Wetland,Grassland
491,Forest,Wetland,Water,Wetland,Wetland
492,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
493,Forest,Wetland,Water,Wetland,Bareland
494,Forest,Wetland,Water,Wetland,Water
495,Forest,Wetland,Water,Wetland,Forest
496,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
497,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
498,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
499,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
500,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
501,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
502,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
503,Forest,Lichens_and_Mosses,Water,Non_Wetland,Wetland
504,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
505,Forest,Bareland,NULL,Non_Wetland,NULL
506,Forest,Bareland,NULL,Non_Wetland,Grassland
507,Forest,Bareland,NULL,Non_Wetland,Wetland
508,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
509,Forest,Bareland,NULL,Non_Wetland,Bareland
510,Forest,Bareland,NULL,Non_Wetland,Water
511,Forest,Bareland,NULL,Non_Wetland,Forest
512,Forest,Bareland,Non_Water,Non_Wetland,Grassland
513,Forest,Bareland,Non_Water,Non_Wetland,Wetland
514,Forest,Bareland,Non_Water,Non_Wetland,Water
515,Forest,Bareland,Non_Water,Non_Wetland,Forest
516,Forest,Bareland,Water,Non_Wetland,Grassland
517,Forest,Bareland,Water,Non_Wetland,Wetland
518,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
519,Forest,Bareland,Water,Non_Wetland,Bareland
520,Forest,Bareland,Water,Non_Wetland,Water
521,Forest,Bareland,Water,Non_Wetland,Forest
522,Forest,Built-up,NULL,Non_Wetland,Grassland
523,Forest,Built-up,NULL,Non_Wetland,Wetland
524,Forest,Built-up,NULL,Non_Wetland,Forest
525,Forest,Built-up,Non_Water,Non_Wetland,Forest
526,Forest,Built-up,Water,Non_Wetland,Grassland
527,Forest,Built-up,Water,Non_Wetland,Bareland
528,Forest,Built-up,Water,Non_Wetland,Forest
529,Forest,Water,NULL,Water,Grassland
530,Forest,Water,NULL,Water,Wetland
531,Forest,Water,NULL,Water,Water
532,Forest,Water,NULL,Water,Forest
533,Forest,Water,Non_Water,Water,Grassland
534,Forest,Water,Non_Water,Water,Wetland
535,Forest,Water,Non_Water,Water,Water
536,Forest,Water,Non_Water,Water,Forest
537,Forest,Water,Water,Water,Grassland
538,Forest,Water,Water,Water,Wetland
539,Forest,Water,Water,Water,Water
540,Forest,Water,Water,Water,Forest
541,Forest,Forest,NULL,Non_Wetland,NULL
542,Forest,Forest,NULL,Non_Wetland,Grassland
543,Forest,Forest,NULL,Non_Wetland,Wetland
544,Forest,Forest,NULL,Non_Wetland,Water
545,Forest,Forest,NULL,Non_Wetland,Forest
546,Forest,Forest,Non_Water,Non_Wetland,Grassland
547,Forest,Forest,Non_Water,Non_Wetland,Wetland
548,Forest,Forest,Non_Water,Non_Wetland,Water
549,Forest,Forest,Non_Water,Non_Wetland,Forest
550,Forest,Forest,Water,Non_Wetland,Grassland
551,Forest,Forest,Water,Non_Wetland,Wetland
552,Forest,Forest,Water,Non_Wetland,Water
553,Forest,Forest,Water,Non_Wetland,Forest
