Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,SIBERIA_2024_WorldCover_2021_45VUG_M_R
479,Forest,Shrubland,NULL,Non_Wetland,Water
480,Forest,Shrubland,NULL,Non_Wetland,Forest
481,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
482,Forest,Shrubland,Non_Water,Non_Wetland,Water
483,Forest,Shrubland,Non_Water,Non_Wetland,Forest
484,Forest,Shrubland,Water,Non_Wetland,Grassland
485,Forest,Shrubland,Water,Non_Wetland,Wetland
486,Forest,Shrubland,Water,Non_Wetland,Water
487,Forest,Shrubland,Water,Non_Wetland,Forest
488,Forest,Grassland,NULL,Non_Wetland,NULL
489,Forest,Grassland,NULL,Non_Wetland,Grassland
490,Forest,Grassland,NULL,Non_Wetland,Wetland
491,Forest,Grassland,NULL,Non_Wetland,Forest
492,Forest,Grassland,Water,Non_Wetland,Grassland
493,Forest,Grassland,Water,Non_Wetland,Forest
494,Forest,Cropland,NULL,Non_Wetland,NULL
495,Forest,Cropland,NULL,Non_Wetland,Grassland
496,Forest,Cropland,NULL,Non_Wetland,Wetland
497,Forest,Cropland,NULL,Non_Wetland,Water
498,Forest,Cropland,NULL,Non_Wetland,Forest
499,Forest,Cropland,Non_Water,Non_Wetland,Grassland
500,Forest,Cropland,Non_Water,Non_Wetland,Wetland
501,Forest,Cropland,Non_Water,Non_Wetland,Forest
502,Forest,Cropland,Water,Non_Wetland,Grassland
503,Forest,Cropland,Water,Non_Wetland,Forest
504,Forest,Wetland,NULL,Wetland,NULL
505,Forest,Wetland,NULL,Wetland,Grassland
506,Forest,Wetland,NULL,Wetland,Wetland
507,Forest,Wetland,NULL,Wetland,Bareland
508,Forest,Wetland,NULL,Wetland,Water
509,Forest,Wetland,NULL,Wetland,Forest
510,Forest,Wetland,Non_Water,Wetland,Grassland
511,Forest,Wetland,Non_Water,Wetland,Wetland
512,Forest,Wetland,Non_Water,Wetland,Water
513,Forest,Wetland,Non_Water,Wetland,Forest
514,Forest,Wetland,Water,Wetland,Grassland
515,Forest,Wetland,Water,Wetland,Wetland
516,Forest,Wetland,Water,Wetland,Bareland
517,Forest,Wetland,Water,Wetland,Water
518,Forest,Wetland,Water,Wetland,Forest
519,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
520,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Water
521,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
522,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
523,Forest,Bareland,NULL,Non_Wetland,NULL
524,Forest,Bareland,NULL,Non_Wetland,Grassland
525,Forest,Bareland,NULL,Non_Wetland,Wetland
526,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
527,Forest,Bareland,NULL,Non_Wetland,Bareland
528,Forest,Bareland,NULL,Non_Wetland,Water
529,Forest,Bareland,NULL,Non_Wetland,Forest
530,Forest,Bareland,Non_Water,Non_Wetland,Grassland
531,Forest,Bareland,Non_Water,Non_Wetland,Wetland
532,Forest,Bareland,Non_Water,Non_Wetland,Water
533,Forest,Bareland,Non_Water,Non_Wetland,Forest
534,Forest,Bareland,Water,Non_Wetland,Grassland
535,Forest,Bareland,Water,Non_Wetland,Wetland
536,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
537,Forest,Bareland,Water,Non_Wetland,Bareland
538,Forest,Bareland,Water,Non_Wetland,Water
539,Forest,Bareland,Water,Non_Wetland,Forest
540,Forest,Built-up,NULL,Non_Wetland,NULL
541,Forest,Built-up,NULL,Non_Wetland,Grassland
542,Forest,Built-up,NULL,Non_Wetland,Wetland
543,Forest,Built-up,NULL,Non_Wetland,Bareland
544,Forest,Built-up,NULL,Non_Wetland,Forest
545,Forest,Built-up,Water,Non_Wetland,Wetland
546,Forest,Built-up,Water,Non_Wetland,Water
547,Forest,Built-up,Water,Non_Wetland,Forest
548,Forest,Water,NULL,Water,Grassland
549,Forest,Water,NULL,Water,Wetland
550,Forest,Water,NULL,Water,Water
551,Forest,Water,NULL,Water,Forest
552,Forest,Water,Non_Water,Water,Wetland
553,Forest,Water,Non_Water,Water,Water
554,Forest,Water,Non_Water,Water,Forest
555,Forest,Water,Water,Water,Grassland
556,Forest,Water,Water,Water,Wetland
557,Forest,Water,Water,Water,Water
558,Forest,Water,Water,Water,Forest
559,Forest,Forest,NULL,Non_Wetland,NULL
560,Forest,Forest,NULL,Non_Wetland,Grassland
561,Forest,Forest,NULL,Non_Wetland,Wetland
562,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
563,Forest,Forest,NULL,Non_Wetland,Bareland
564,Forest,Forest,NULL,Non_Wetland,Water
565,Forest,Forest,NULL,Non_Wetland,Forest
566,Forest,Forest,Non_Water,Non_Wetland,Grassland
567,Forest,Forest,Non_Water,Non_Wetland,Wetland
568,Forest,Forest,Non_Water,Non_Wetland,Water
569,Forest,Forest,Non_Water,Non_Wetland,Forest
570,Forest,Forest,Water,Non_Wetland,Grassland
571,Forest,Forest,Water,Non_Wetland,Wetland
572,Forest,Forest,Water,Non_Wetland,Water
573,Forest,Forest,Water,Non_Wetland,Forest
