Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,SIBERIA_2024_WorldCover_2021_45WWM_M_R
493,Water,Water,Water,Water,Bareland
494,Water,Water,Water,Water,Water
495,Water,Water,Water,Water,Forest
496,Water,Forest,NULL,Non_Wetland,Grassland
497,Water,Forest,NULL,Non_Wetland,Wetland
498,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
499,Water,Forest,NULL,Non_Wetland,Bareland
500,Water,Forest,NULL,Non_Wetland,Water
501,Water,Forest,NULL,Non_Wetland,Forest
502,Water,Forest,Non_Water,Non_Wetland,Grassland
503,Water,Forest,Non_Water,Non_Wetland,Wetland
504,Water,Forest,Non_Water,Non_Wetland,Bareland
505,Water,Forest,Non_Water,Non_Wetland,Water
506,Water,Forest,Non_Water,Non_Wetland,Forest
507,Water,Forest,Water,Non_Wetland,Grassland
508,Water,Forest,Water,Non_Wetland,Wetland
509,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
510,Water,Forest,Water,Non_Wetland,Bareland
511,Water,Forest,Water,Non_Wetland,Water
512,Water,Forest,Water,Non_Wetland,Forest
513,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
514,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
515,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Lichens_and_Mosses
516,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
517,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
518,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
519,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
520,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
521,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
522,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
523,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
524,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
525,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
526,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
527,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
528,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
529,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
530,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
531,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
532,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Bareland
533,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
534,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
535,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
536,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
537,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
538,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
539,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
540,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
541,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
542,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
543,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
544,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
545,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Lichens_and_Mosses
546,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Bareland
547,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Water
548,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
549,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
550,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
551,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
552,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
553,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
554,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
555,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
556,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
557,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
558,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
559,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
560,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
561,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
562,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
563,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
564,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
565,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
566,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Wetland
567,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Bareland
568,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Water
569,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
570,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
571,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
572,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
573,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
574,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
575,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
576,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
577,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
578,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
579,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
580,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
581,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
582,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
583,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
584,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
585,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
586,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
587,Permanent_ice_and_snow,Water,NULL,Water,Grassland
588,Permanent_ice_and_snow,Water,NULL,Water,Wetland
589,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
590,Permanent_ice_and_snow,Water,NULL,Water,Bareland
591,Permanent_ice_and_snow,Water,NULL,Water,Water
592,Permanent_ice_and_snow,Water,NULL,Water,Forest
593,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
594,Permanent_ice_and_snow,Water,Non_Water,Water,Water
595,Permanent_ice_and_snow,Water,Water,Water,Grassland
596,Permanent_ice_and_snow,Water,Water,Water,Wetland
597,Permanent_ice_and_snow,Water,Water,Water,Bareland
598,Permanent_ice_and_snow,Water,Water,Water,Water
599,Permanent_ice_and_snow,Water,Water,Water,Forest
600,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
601,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
602,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
603,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
604,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
605,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
606,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
607,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
608,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
609,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
610,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
611,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
612,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Lichens_and_Mosses
613,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
614,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
615,Forest,NULL,NULL,Non_Wetland,NULL
616,Forest,NULL,NULL,Non_Wetland,Grassland
617,Forest,NULL,NULL,Non_Wetland,Wetland
618,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
619,Forest,NULL,NULL,Non_Wetland,Bareland
620,Forest,NULL,NULL,Non_Wetland,Water
621,Forest,NULL,NULL,Non_Wetland,Forest
622,Forest,NULL,Non_Water,Non_Wetland,Grassland
623,Forest,NULL,Non_Water,Non_Wetland,Wetland
624,Forest,NULL,Non_Water,Non_Wetland,Forest
625,Forest,NULL,Water,Non_Wetland,Grassland
626,Forest,NULL,Water,Non_Wetland,Wetland
627,Forest,NULL,Water,Non_Wetland,Lichens_and_Mosses
628,Forest,NULL,Water,Non_Wetland,Water
629,Forest,NULL,Water,Non_Wetland,Forest
630,Forest,Shrubland,NULL,Non_Wetland,NULL
631,Forest,Shrubland,NULL,Non_Wetland,Grassland
632,Forest,Shrubland,NULL,Non_Wetland,Wetland
633,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
634,Forest,Shrubland,NULL,Non_Wetland,Bareland
635,Forest,Shrubland,NULL,Non_Wetland,Water
636,Forest,Shrubland,NULL,Non_Wetland,Forest
637,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
638,Forest,Shrubland,Non_Water,Non_Wetland,Forest
639,Forest,Shrubland,Water,Non_Wetland,Grassland
640,Forest,Shrubland,Water,Non_Wetland,Wetland
641,Forest,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
642,Forest,Shrubland,Water,Non_Wetland,Bareland
643,Forest,Shrubland,Water,Non_Wetland,Water
644,Forest,Shrubland,Water,Non_Wetland,Forest
645,Forest,Grassland,NULL,Non_Wetland,NULL
646,Forest,Grassland,NULL,Non_Wetland,Grassland
647,Forest,Grassland,NULL,Non_Wetland,Wetland
648,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
649,Forest,Grassland,NULL,Non_Wetland,Bareland
650,Forest,Grassland,NULL,Non_Wetland,Forest
651,Forest,Grassland,Non_Water,Non_Wetland,Grassland
652,Forest,Grassland,Non_Water,Non_Wetland,Wetland
653,Forest,Grassland,Non_Water,Non_Wetland,Forest
654,Forest,Grassland,Water,Non_Wetland,Grassland
655,Forest,Grassland,Water,Non_Wetland,Wetland
656,Forest,Grassland,Water,Non_Wetland,Lichens_and_Mosses
657,Forest,Grassland,Water,Non_Wetland,Bareland
658,Forest,Grassland,Water,Non_Wetland,Water
659,Forest,Grassland,Water,Non_Wetland,Forest
660,Forest,Cropland,NULL,Non_Wetland,Forest
661,Forest,Wetland,NULL,Wetland,NULL
662,Forest,Wetland,NULL,Wetland,Grassland
663,Forest,Wetland,NULL,Wetland,Wetland
664,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
665,Forest,Wetland,NULL,Wetland,Water
666,Forest,Wetland,NULL,Wetland,Forest
667,Forest,Wetland,Non_Water,Wetland,Grassland
668,Forest,Wetland,Non_Water,Wetland,Wetland
669,Forest,Wetland,Non_Water,Wetland,Water
670,Forest,Wetland,Non_Water,Wetland,Forest
671,Forest,Wetland,Water,Wetland,Grassland
672,Forest,Wetland,Water,Wetland,Wetland
673,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
674,Forest,Wetland,Water,Wetland,Bareland
675,Forest,Wetland,Water,Wetland,Water
676,Forest,Wetland,Water,Wetland,Forest
677,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
678,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
679,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
680,Forest,Lichens_and_Mosses,Water,Non_Wetland,Wetland
681,Forest,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
682,Forest,Lichens_and_Mosses,Water,Non_Wetland,Bareland
683,Forest,Lichens_and_Mosses,Water,Non_Wetland,Water
684,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
685,Forest,Bareland,NULL,Non_Wetland,NULL
686,Forest,Bareland,NULL,Non_Wetland,Grassland
687,Forest,Bareland,NULL,Non_Wetland,Wetland
688,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
689,Forest,Bareland,NULL,Non_Wetland,Bareland
690,Forest,Bareland,NULL,Non_Wetland,Water
691,Forest,Bareland,NULL,Non_Wetland,Forest
692,Forest,Bareland,Non_Water,Non_Wetland,Grassland
693,Forest,Bareland,Non_Water,Non_Wetland,Wetland
694,Forest,Bareland,Non_Water,Non_Wetland,Water
695,Forest,Bareland,Non_Water,Non_Wetland,Forest
696,Forest,Bareland,Water,Non_Wetland,Grassland
697,Forest,Bareland,Water,Non_Wetland,Wetland
698,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
699,Forest,Bareland,Water,Non_Wetland,Bareland
700,Forest,Bareland,Water,Non_Wetland,Water
701,Forest,Bareland,Water,Non_Wetland,Forest
702,Forest,Built-up,NULL,Non_Wetland,Grassland
703,Forest,Built-up,NULL,Non_Wetland,Wetland
704,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
705,Forest,Built-up,NULL,Non_Wetland,Bareland
706,Forest,Built-up,NULL,Non_Wetland,Forest
707,Forest,Built-up,Non_Water,Non_Wetland,Forest
708,Forest,Built-up,Water,Non_Wetland,Grassland
709,Forest,Built-up,Water,Non_Wetland,Wetland
710,Forest,Built-up,Water,Non_Wetland,Forest
711,Forest,Water,NULL,Water,Grassland
712,Forest,Water,NULL,Water,Wetland
713,Forest,Water,NULL,Water,Lichens_and_Mosses
714,Forest,Water,NULL,Water,Water
715,Forest,Water,NULL,Water,Forest
716,Forest,Water,Non_Water,Water,Wetland
717,Forest,Water,Non_Water,Water,Water
718,Forest,Water,Non_Water,Water,Forest
719,Forest,Water,Water,Water,Grassland
720,Forest,Water,Water,Water,Wetland
721,Forest,Water,Water,Water,Lichens_and_Mosses
722,Forest,Water,Water,Water,Bareland
723,Forest,Water,Water,Water,Water
724,Forest,Water,Water,Water,Forest
725,Forest,Forest,NULL,Non_Wetland,NULL
726,Forest,Forest,NULL,Non_Wetland,Grassland
727,Forest,Forest,NULL,Non_Wetland,Wetland
728,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
729,Forest,Forest,NULL,Non_Wetland,Bareland
730,Forest,Forest,NULL,Non_Wetland,Water
731,Forest,Forest,NULL,Non_Wetland,Forest
732,Forest,Forest,Non_Water,Non_Wetland,Grassland
733,Forest,Forest,Non_Water,Non_Wetland,Wetland
734,Forest,Forest,Non_Water,Non_Wetland,Water
735,Forest,Forest,Non_Water,Non_Wetland,Forest
736,Forest,Forest,Water,Non_Wetland,Grassland
737,Forest,Forest,Water,Non_Wetland,Wetland
738,Forest,Forest,Water,Non_Wetland,Lichens_and_Mosses
739,Forest,Forest,Water,Non_Wetland,Bareland
740,Forest,Forest,Water,Non_Wetland,Water
741,Forest,Forest,Water,Non_Wetland,Forest
