Value,SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,SIBERIA_2024_WorldCover_2021_42WXD_M_R
418,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
419,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Wetland
420,NULL,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
421,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Grassland
422,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Wetland
423,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Bareland
424,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Water
425,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
426,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
427,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
428,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
429,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
430,NULL,Permanent_ice_and_snow,Wetland,Non_Water,NULL,Water
431,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
432,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
433,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
434,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
435,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
436,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,Bareland
437,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,Water
438,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
439,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
440,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
441,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
442,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
443,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Permanent_ice_and_snow
444,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
445,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
446,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
447,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
448,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Water
449,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
450,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
451,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
452,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
453,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
454,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Wetland
455,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
456,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Water
457,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
458,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
459,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
460,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
461,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
462,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
463,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
464,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
465,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
466,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
467,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
468,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
469,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
470,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
471,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
472,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
473,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
474,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
475,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Wetland
476,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Bareland
477,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
478,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Lichens_and_Mosses
479,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
480,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
481,NULL,Permanent_ice_and_snow,Water,NULL,Water,Grassland
482,NULL,Permanent_ice_and_snow,Water,NULL,Water,Wetland
483,NULL,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
484,NULL,Permanent_ice_and_snow,Water,NULL,Water,Bareland
485,NULL,Permanent_ice_and_snow,Water,NULL,Water,Water
486,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
487,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Water
488,NULL,Permanent_ice_and_snow,Water,Water,Water,Grassland
489,NULL,Permanent_ice_and_snow,Water,Water,Water,Wetland
490,NULL,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
491,NULL,Permanent_ice_and_snow,Water,Water,Water,Water
492,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
493,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
494,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
495,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
496,NULL,Forest,Grassland,NULL,Non_Wetland,Water
497,NULL,Forest,Wetland,NULL,Wetland,Wetland
498,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
499,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Water
500,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
501,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
502,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
503,NULL,Forest,Bareland,NULL,Non_Wetland,Water
504,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
505,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Grassland
506,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Wetland
507,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
508,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Water
509,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Forest
510,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
511,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
512,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Water
513,Shrubland,NULL,Shrubland,Water,Non_Wetland,Wetland
514,Shrubland,NULL,Shrubland,Water,Non_Wetland,Water
515,Shrubland,NULL,Grassland,NULL,Non_Wetland,Grassland
516,Shrubland,NULL,Grassland,NULL,Non_Wetland,Wetland
517,Shrubland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
518,Shrubland,NULL,Grassland,NULL,Non_Wetland,Bareland
519,Shrubland,NULL,Grassland,NULL,Non_Wetland,Water
520,Shrubland,NULL,Grassland,NULL,Non_Wetland,Forest
521,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
522,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
523,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
524,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
525,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Water
526,Shrubland,NULL,Grassland,Water,Non_Wetland,Grassland
527,Shrubland,NULL,Grassland,Water,Non_Wetland,Wetland
528,Shrubland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
529,Shrubland,NULL,Grassland,Water,Non_Wetland,Water
530,Shrubland,NULL,Wetland,NULL,Wetland,Grassland
531,Shrubland,NULL,Wetland,NULL,Wetland,Wetland
532,Shrubland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
533,Shrubland,NULL,Wetland,NULL,Wetland,Bareland
534,Shrubland,NULL,Wetland,NULL,Wetland,Water
535,Shrubland,NULL,Wetland,NULL,Wetland,Forest
536,Shrubland,NULL,Wetland,Non_Water,Wetland,Grassland
537,Shrubland,NULL,Wetland,Non_Water,Wetland,Wetland
538,Shrubland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
539,Shrubland,NULL,Wetland,Non_Water,Wetland,Bareland
540,Shrubland,NULL,Wetland,Non_Water,Wetland,Water
541,Shrubland,NULL,Wetland,Water,Wetland,Grassland
542,Shrubland,NULL,Wetland,Water,Wetland,Wetland
543,Shrubland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
544,Shrubland,NULL,Wetland,Water,Wetland,Water
545,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
546,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
547,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
548,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
549,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
550,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
551,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
552,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
553,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
554,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
555,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
556,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
557,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
558,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
559,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
560,Shrubland,NULL,Bareland,NULL,Non_Wetland,Grassland
561,Shrubland,NULL,Bareland,NULL,Non_Wetland,Wetland
562,Shrubland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
563,Shrubland,NULL,Bareland,NULL,Non_Wetland,Bareland
564,Shrubland,NULL,Bareland,NULL,Non_Wetland,Water
565,Shrubland,NULL,Bareland,NULL,Non_Wetland,Forest
566,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
567,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
568,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
569,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
570,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Water
571,Shrubland,NULL,Bareland,Water,Non_Wetland,Grassland
572,Shrubland,NULL,Bareland,Water,Non_Wetland,Wetland
573,Shrubland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
574,Shrubland,NULL,Bareland,Water,Non_Wetland,Bareland
575,Shrubland,NULL,Bareland,Water,Non_Wetland,Water
576,Shrubland,NULL,Built-up,NULL,Non_Wetland,Grassland
577,Shrubland,NULL,Built-up,NULL,Non_Wetland,Wetland
578,Shrubland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
579,Shrubland,NULL,Built-up,NULL,Non_Wetland,Bareland
580,Shrubland,NULL,Built-up,NULL,Non_Wetland,Water
581,Shrubland,NULL,Built-up,NULL,Non_Wetland,Forest
582,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
583,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
584,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
585,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
586,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Water
587,Shrubland,NULL,Built-up,Water,Non_Wetland,Grassland
588,Shrubland,NULL,Built-up,Water,Non_Wetland,Wetland
589,Shrubland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
590,Shrubland,NULL,Built-up,Water,Non_Wetland,Bareland
591,Shrubland,NULL,Built-up,Water,Non_Wetland,Water
592,Shrubland,NULL,Water,NULL,Water,Grassland
593,Shrubland,NULL,Water,NULL,Water,Wetland
594,Shrubland,NULL,Water,NULL,Water,Lichens_and_Mosses
595,Shrubland,NULL,Water,NULL,Water,Bareland
596,Shrubland,NULL,Water,NULL,Water,Water
597,Shrubland,NULL,Water,NULL,Water,Forest
598,Shrubland,NULL,Water,Non_Water,Water,Grassland
599,Shrubland,NULL,Water,Non_Water,Water,Wetland
600,Shrubland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
601,Shrubland,NULL,Water,Non_Water,Water,Water
602,Shrubland,NULL,Water,Water,Water,Grassland
603,Shrubland,NULL,Water,Water,Water,Wetland
604,Shrubland,NULL,Water,Water,Water,Lichens_and_Mosses
605,Shrubland,NULL,Water,Water,Water,Water
606,Shrubland,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Wetland
607,Shrubland,NULL,Forest,NULL,Non_Wetland,Grassland
608,Shrubland,NULL,Forest,NULL,Non_Wetland,Wetland
609,Shrubland,NULL,Forest,NULL,Non_Wetland,Forest
610,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Grassland
611,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Wetland
612,Shrubland,NULL,Forest,Water,Non_Wetland,Grassland
613,Shrubland,NULL,Forest,Water,Non_Wetland,Wetland
614,Shrubland,Cropland,Grassland,NULL,Non_Wetland,Grassland
615,Shrubland,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
616,Shrubland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
617,Shrubland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
618,Shrubland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
619,Shrubland,Cropland,Bareland,NULL,Non_Wetland,Grassland
620,Shrubland,Cropland,Bareland,NULL,Non_Wetland,Wetland
621,Shrubland,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
622,Shrubland,Cropland,Built-up,NULL,Non_Wetland,Grassland
623,Shrubland,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
624,Shrubland,Cropland,Built-up,NULL,Non_Wetland,Forest
625,Shrubland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
626,Shrubland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
627,Shrubland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
628,Shrubland,Wetland,Shrubland,NULL,Non_Wetland,Water
629,Shrubland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
630,Shrubland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
631,Shrubland,Wetland,Shrubland,Non_Water,Non_Wetland,Water
632,Shrubland,Wetland,Shrubland,Water,Non_Wetland,Grassland
633,Shrubland,Wetland,Shrubland,Water,Non_Wetland,Wetland
634,Shrubland,Wetland,Shrubland,Water,Non_Wetland,Water
635,Shrubland,Wetland,Grassland,NULL,Non_Wetland,Grassland
636,Shrubland,Wetland,Grassland,NULL,Non_Wetland,Wetland
637,Shrubland,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
638,Shrubland,Wetland,Grassland,NULL,Non_Wetland,Bareland
639,Shrubland,Wetland,Grassland,NULL,Non_Wetland,Water
640,Shrubland,Wetland,Grassland,NULL,Non_Wetland,Forest
641,Shrubland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
642,Shrubland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
643,Shrubland,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
644,Shrubland,Wetland,Grassland,Non_Water,Non_Wetland,Water
645,Shrubland,Wetland,Grassland,Water,Non_Wetland,Grassland
646,Shrubland,Wetland,Grassland,Water,Non_Wetland,Wetland
647,Shrubland,Wetland,Grassland,Water,Non_Wetland,Water
648,Shrubland,Wetland,Wetland,NULL,NULL,Grassland
649,Shrubland,Wetland,Wetland,NULL,NULL,Wetland
650,Shrubland,Wetland,Wetland,NULL,NULL,Water
651,Shrubland,Wetland,Wetland,NULL,Wetland,Grassland
652,Shrubland,Wetland,Wetland,NULL,Wetland,Wetland
653,Shrubland,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
654,Shrubland,Wetland,Wetland,NULL,Wetland,Bareland
655,Shrubland,Wetland,Wetland,NULL,Wetland,Built-up
656,Shrubland,Wetland,Wetland,NULL,Wetland,Water
657,Shrubland,Wetland,Wetland,Non_Water,NULL,Wetland
658,Shrubland,Wetland,Wetland,Non_Water,NULL,Water
659,Shrubland,Wetland,Wetland,Non_Water,Wetland,Grassland
660,Shrubland,Wetland,Wetland,Non_Water,Wetland,Wetland
661,Shrubland,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
662,Shrubland,Wetland,Wetland,Non_Water,Wetland,Bareland
663,Shrubland,Wetland,Wetland,Non_Water,Wetland,Water
664,Shrubland,Wetland,Wetland,Water,NULL,Wetland
665,Shrubland,Wetland,Wetland,Water,Wetland,Grassland
666,Shrubland,Wetland,Wetland,Water,Wetland,Wetland
667,Shrubland,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
668,Shrubland,Wetland,Wetland,Water,Wetland,Bareland
669,Shrubland,Wetland,Wetland,Water,Wetland,Water
670,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
671,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
672,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
673,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
674,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
675,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
676,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
677,Shrubland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
678,Shrubland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
679,Shrubland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
680,Shrubland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
681,Shrubland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
682,Shrubland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
683,Shrubland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
684,Shrubland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
685,Shrubland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
686,Shrubland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
687,Shrubland,Wetland,Bareland,NULL,Non_Wetland,Grassland
688,Shrubland,Wetland,Bareland,NULL,Non_Wetland,Wetland
689,Shrubland,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
690,Shrubland,Wetland,Bareland,NULL,Non_Wetland,Bareland
691,Shrubland,Wetland,Bareland,NULL,Non_Wetland,Water
692,Shrubland,Wetland,Bareland,NULL,Non_Wetland,Forest
693,Shrubland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
694,Shrubland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
695,Shrubland,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
696,Shrubland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
697,Shrubland,Wetland,Bareland,Non_Water,Non_Wetland,Water
698,Shrubland,Wetland,Bareland,Water,Non_Wetland,Grassland
699,Shrubland,Wetland,Bareland,Water,Non_Wetland,Wetland
700,Shrubland,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
701,Shrubland,Wetland,Bareland,Water,Non_Wetland,Bareland
702,Shrubland,Wetland,Bareland,Water,Non_Wetland,Water
703,Shrubland,Wetland,Built-up,NULL,Non_Wetland,Grassland
704,Shrubland,Wetland,Built-up,NULL,Non_Wetland,Wetland
705,Shrubland,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
706,Shrubland,Wetland,Built-up,NULL,Non_Wetland,Bareland
707,Shrubland,Wetland,Built-up,NULL,Non_Wetland,Water
708,Shrubland,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
709,Shrubland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
710,Shrubland,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
711,Shrubland,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
712,Shrubland,Wetland,Built-up,Non_Water,Non_Wetland,Water
713,Shrubland,Wetland,Built-up,Water,Non_Wetland,Grassland
714,Shrubland,Wetland,Built-up,Water,Non_Wetland,Wetland
715,Shrubland,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
716,Shrubland,Wetland,Built-up,Water,Non_Wetland,Bareland
717,Shrubland,Wetland,Built-up,Water,Non_Wetland,Water
718,Shrubland,Wetland,Water,NULL,NULL,Wetland
719,Shrubland,Wetland,Water,NULL,Water,Grassland
720,Shrubland,Wetland,Water,NULL,Water,Wetland
721,Shrubland,Wetland,Water,NULL,Water,Lichens_and_Mosses
722,Shrubland,Wetland,Water,NULL,Water,Bareland
723,Shrubland,Wetland,Water,NULL,Water,Water
724,Shrubland,Wetland,Water,Non_Water,Water,Grassland
725,Shrubland,Wetland,Water,Non_Water,Water,Wetland
726,Shrubland,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
727,Shrubland,Wetland,Water,Non_Water,Water,Bareland
728,Shrubland,Wetland,Water,Non_Water,Water,Water
729,Shrubland,Wetland,Water,Water,NULL,Water
730,Shrubland,Wetland,Water,Water,Water,Grassland
731,Shrubland,Wetland,Water,Water,Water,Wetland
732,Shrubland,Wetland,Water,Water,Water,Lichens_and_Mosses
733,Shrubland,Wetland,Water,Water,Water,Bareland
734,Shrubland,Wetland,Water,Water,Water,Water
735,Shrubland,Wetland,Permanent_ice_and_snow,NULL,Non_Wetland,Wetland
736,Shrubland,Wetland,Forest,NULL,Non_Wetland,Grassland
737,Shrubland,Wetland,Forest,NULL,Non_Wetland,Wetland
738,Shrubland,Wetland,Forest,NULL,Non_Wetland,Water
739,Shrubland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
740,Shrubland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
741,Shrubland,Wetland,Forest,Non_Water,Non_Wetland,Water
742,Shrubland,Wetland,Forest,Water,Non_Wetland,Wetland
743,Shrubland,Bareland,Wetland,Water,Wetland,Bareland
744,Shrubland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
745,Shrubland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
746,Shrubland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
747,Shrubland,Bareland,Bareland,NULL,Non_Wetland,Wetland
748,Shrubland,Bareland,Bareland,NULL,Non_Wetland,Bareland
749,Shrubland,Bareland,Built-up,NULL,Non_Wetland,Bareland
750,Shrubland,Built-up,Grassland,NULL,Non_Wetland,Grassland
751,Shrubland,Built-up,Grassland,NULL,Non_Wetland,Wetland
752,Shrubland,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
753,Shrubland,Built-up,Grassland,NULL,Non_Wetland,Bareland
754,Shrubland,Built-up,Wetland,NULL,Wetland,Grassland
755,Shrubland,Built-up,Wetland,NULL,Wetland,Wetland
756,Shrubland,Built-up,Wetland,NULL,Wetland,Bareland
757,Shrubland,Built-up,Wetland,NULL,Wetland,Water
758,Shrubland,Built-up,Wetland,NULL,Wetland,Forest
759,Shrubland,Built-up,Wetland,Water,Wetland,Bareland
760,Shrubland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
761,Shrubland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
762,Shrubland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
763,Shrubland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
764,Shrubland,Built-up,Bareland,NULL,Non_Wetland,Grassland
765,Shrubland,Built-up,Bareland,NULL,Non_Wetland,Wetland
766,Shrubland,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
767,Shrubland,Built-up,Bareland,NULL,Non_Wetland,Bareland
768,Shrubland,Built-up,Built-up,NULL,Non_Wetland,Grassland
769,Shrubland,Built-up,Built-up,NULL,Non_Wetland,Wetland
770,Shrubland,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
771,Shrubland,Built-up,Built-up,NULL,Non_Wetland,Bareland
772,Shrubland,Built-up,Built-up,NULL,Non_Wetland,Forest
773,Shrubland,Built-up,Water,NULL,Water,Wetland
774,Shrubland,Built-up,Water,Non_Water,Water,Wetland
775,Shrubland,Built-up,Water,Water,Water,Wetland
776,Shrubland,Built-up,Water,Water,Water,Water
777,Shrubland,Water,Shrubland,NULL,Non_Wetland,Grassland
778,Shrubland,Water,Shrubland,NULL,Non_Wetland,Wetland
779,Shrubland,Water,Shrubland,NULL,Non_Wetland,Water
780,Shrubland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
781,Shrubland,Water,Shrubland,Non_Water,Non_Wetland,Water
782,Shrubland,Water,Shrubland,Water,Non_Wetland,Wetland
783,Shrubland,Water,Shrubland,Water,Non_Wetland,Water
784,Shrubland,Water,Grassland,NULL,Non_Wetland,Grassland
785,Shrubland,Water,Grassland,NULL,Non_Wetland,Wetland
786,Shrubland,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
787,Shrubland,Water,Grassland,NULL,Non_Wetland,Water
788,Shrubland,Water,Grassland,Non_Water,Non_Wetland,Grassland
789,Shrubland,Water,Grassland,Non_Water,Non_Wetland,Wetland
790,Shrubland,Water,Grassland,Non_Water,Non_Wetland,Water
791,Shrubland,Water,Grassland,Water,Non_Wetland,Grassland
792,Shrubland,Water,Grassland,Water,Non_Wetland,Wetland
793,Shrubland,Water,Grassland,Water,Non_Wetland,Water
794,Shrubland,Water,Wetland,NULL,NULL,Wetland
795,Shrubland,Water,Wetland,NULL,NULL,Water
796,Shrubland,Water,Wetland,NULL,Wetland,Grassland
797,Shrubland,Water,Wetland,NULL,Wetland,Wetland
