Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,SIBERIA_2024_WorldCover_2021_41VPF_M_R
511,Forest,Forest,NULL,Non_Wetland,NULL
512,Forest,Forest,NULL,Non_Wetland,Grassland
513,Forest,Forest,NULL,Non_Wetland,Cropland
514,Forest,Forest,NULL,Non_Wetland,Wetland
515,Forest,Forest,NULL,Non_Wetland,Built-up
516,Forest,Forest,NULL,Non_Wetland,Water
517,Forest,Forest,NULL,Non_Wetland,Forest
518,Forest,Forest,Non_Water,Non_Wetland,Grassland
519,Forest,Forest,Non_Water,Non_Wetland,Wetland
520,Forest,Forest,Non_Water,Non_Wetland,Water
521,Forest,Forest,Non_Water,Non_Wetland,Forest
522,Forest,Forest,Water,Non_Wetland,Grassland
523,Forest,Forest,Water,Non_Wetland,Wetland
524,Forest,Forest,Water,Non_Wetland,Water
525,Forest,Forest,Water,Non_Wetland,Forest
