Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLR_M_R,SIBERIA_2024_WorldCover_2021_44VLR_M_R
482,Water,Shrubland,NULL,Non_Wetland,Forest
483,Water,Shrubland,Non_Water,Non_Wetland,Water
484,Water,Shrubland,Water,Non_Wetland,Grassland
485,Water,Shrubland,Water,Non_Wetland,Wetland
486,Water,Shrubland,Water,Non_Wetland,Water
487,Water,Shrubland,Water,Non_Wetland,Forest
488,Water,Grassland,Water,Non_Wetland,Grassland
489,Water,Wetland,NULL,Wetland,Grassland
490,Water,Wetland,NULL,Wetland,Wetland
491,Water,Wetland,NULL,Wetland,Bareland
492,Water,Wetland,NULL,Wetland,Water
493,Water,Wetland,NULL,Wetland,Forest
494,Water,Wetland,Non_Water,Wetland,Grassland
495,Water,Wetland,Non_Water,Wetland,Wetland
496,Water,Wetland,Non_Water,Wetland,Water
497,Water,Wetland,Non_Water,Wetland,Forest
498,Water,Wetland,Water,Wetland,Grassland
499,Water,Wetland,Water,Wetland,Wetland
500,Water,Wetland,Water,Wetland,Bareland
501,Water,Wetland,Water,Wetland,Water
502,Water,Wetland,Water,Wetland,Permanent_ice_and_snow
503,Water,Wetland,Water,Wetland,Forest
504,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
505,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
506,Water,Bareland,NULL,Non_Wetland,Grassland
507,Water,Bareland,NULL,Non_Wetland,Wetland
508,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
509,Water,Bareland,NULL,Non_Wetland,Bareland
510,Water,Bareland,NULL,Non_Wetland,Water
511,Water,Bareland,NULL,Non_Wetland,Forest
512,Water,Bareland,Non_Water,Non_Wetland,Wetland
513,Water,Bareland,Non_Water,Non_Wetland,Bareland
514,Water,Bareland,Non_Water,Non_Wetland,Water
515,Water,Bareland,Non_Water,Non_Wetland,Forest
516,Water,Bareland,Water,Non_Wetland,Grassland
517,Water,Bareland,Water,Non_Wetland,Wetland
518,Water,Bareland,Water,Non_Wetland,Bareland
519,Water,Bareland,Water,Non_Wetland,Water
520,Water,Bareland,Water,Non_Wetland,Forest
521,Water,Built-up,NULL,Non_Wetland,Grassland
522,Water,Built-up,NULL,Non_Wetland,Built-up
523,Water,Built-up,NULL,Non_Wetland,Water
524,Water,Built-up,Water,Non_Wetland,Water
525,Water,Water,NULL,Water,Grassland
526,Water,Water,NULL,Water,Wetland
527,Water,Water,NULL,Water,Lichens_and_Mosses
528,Water,Water,NULL,Water,Bareland
529,Water,Water,NULL,Water,Water
530,Water,Water,NULL,Water,Forest
531,Water,Water,Non_Water,Water,Grassland
532,Water,Water,Non_Water,Water,Wetland
533,Water,Water,Non_Water,Water,Lichens_and_Mosses
534,Water,Water,Non_Water,Water,Water
535,Water,Water,Non_Water,Water,Forest
536,Water,Water,Water,Water,Grassland
537,Water,Water,Water,Water,Wetland
538,Water,Water,Water,Water,Bareland
539,Water,Water,Water,Water,Water
540,Water,Water,Water,Water,Permanent_ice_and_snow
541,Water,Water,Water,Water,Forest
542,Water,Forest,NULL,Non_Wetland,Grassland
543,Water,Forest,NULL,Non_Wetland,Wetland
544,Water,Forest,NULL,Non_Wetland,Water
545,Water,Forest,NULL,Non_Wetland,Forest
546,Water,Forest,Non_Water,Non_Wetland,Grassland
547,Water,Forest,Non_Water,Non_Wetland,Wetland
548,Water,Forest,Non_Water,Non_Wetland,Water
549,Water,Forest,Non_Water,Non_Wetland,Forest
550,Water,Forest,Water,Non_Wetland,Grassland
551,Water,Forest,Water,Non_Wetland,Wetland
552,Water,Forest,Water,Non_Wetland,Water
553,Water,Forest,Water,Non_Wetland,Forest
554,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
555,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
556,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
557,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
558,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
559,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
560,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
561,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
562,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
563,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
564,Permanent_ice_and_snow,Wetland,NULL,Wetland,Built-up
565,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
566,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
567,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
568,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
569,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
570,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
571,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
572,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
573,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
574,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
575,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
576,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
577,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
578,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
579,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
580,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
581,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
582,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
583,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
584,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
585,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
586,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Forest
587,Permanent_ice_and_snow,Water,NULL,Water,Forest
588,Permanent_ice_and_snow,Water,Water,Water,Water
589,Permanent_ice_and_snow,Water,Water,Water,Forest
590,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
591,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
592,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
593,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
594,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
595,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
596,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
597,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
598,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
599,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
600,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
601,Forest,NULL,NULL,Non_Wetland,Grassland
602,Forest,NULL,NULL,Non_Wetland,Wetland
603,Forest,NULL,NULL,Non_Wetland,Built-up
604,Forest,NULL,NULL,Non_Wetland,Water
605,Forest,NULL,NULL,Non_Wetland,Forest
606,Forest,NULL,Non_Water,Non_Wetland,Forest
607,Forest,NULL,Water,Non_Wetland,Grassland
608,Forest,NULL,Water,Non_Wetland,Wetland
609,Forest,NULL,Water,Non_Wetland,Water
610,Forest,NULL,Water,Non_Wetland,Forest
611,Forest,Shrubland,NULL,Non_Wetland,NULL
612,Forest,Shrubland,NULL,Non_Wetland,Grassland
613,Forest,Shrubland,NULL,Non_Wetland,Wetland
614,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
615,Forest,Shrubland,NULL,Non_Wetland,Built-up
616,Forest,Shrubland,NULL,Non_Wetland,Forest
617,Forest,Shrubland,Non_Water,Non_Wetland,Forest
618,Forest,Shrubland,Water,Non_Wetland,Grassland
619,Forest,Shrubland,Water,Non_Wetland,Wetland
620,Forest,Shrubland,Water,Non_Wetland,Water
621,Forest,Shrubland,Water,Non_Wetland,Forest
622,Forest,Grassland,NULL,Non_Wetland,NULL
623,Forest,Grassland,NULL,Non_Wetland,Grassland
624,Forest,Grassland,NULL,Non_Wetland,Wetland
625,Forest,Grassland,NULL,Non_Wetland,Bareland
626,Forest,Grassland,NULL,Non_Wetland,Built-up
627,Forest,Grassland,NULL,Non_Wetland,Forest
628,Forest,Grassland,Water,Non_Wetland,Grassland
629,Forest,Cropland,NULL,Non_Wetland,Forest
630,Forest,Wetland,NULL,Wetland,NULL
631,Forest,Wetland,NULL,Wetland,Grassland
632,Forest,Wetland,NULL,Wetland,Wetland
633,Forest,Wetland,NULL,Wetland,Water
634,Forest,Wetland,NULL,Wetland,Forest
635,Forest,Wetland,Non_Water,Wetland,NULL
636,Forest,Wetland,Non_Water,Wetland,Grassland
637,Forest,Wetland,Non_Water,Wetland,Wetland
638,Forest,Wetland,Non_Water,Wetland,Water
639,Forest,Wetland,Non_Water,Wetland,Forest
640,Forest,Wetland,Water,Wetland,Grassland
641,Forest,Wetland,Water,Wetland,Wetland
642,Forest,Wetland,Water,Wetland,Water
643,Forest,Wetland,Water,Wetland,Forest
644,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
645,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
646,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
647,Forest,Bareland,NULL,Non_Wetland,NULL
648,Forest,Bareland,NULL,Non_Wetland,Grassland
649,Forest,Bareland,NULL,Non_Wetland,Wetland
650,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
651,Forest,Bareland,NULL,Non_Wetland,Bareland
652,Forest,Bareland,NULL,Non_Wetland,Built-up
653,Forest,Bareland,NULL,Non_Wetland,Water
654,Forest,Bareland,NULL,Non_Wetland,Forest
655,Forest,Bareland,Non_Water,Non_Wetland,Grassland
656,Forest,Bareland,Non_Water,Non_Wetland,Wetland
657,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
658,Forest,Bareland,Non_Water,Non_Wetland,Water
659,Forest,Bareland,Non_Water,Non_Wetland,Forest
660,Forest,Bareland,Water,Non_Wetland,Grassland
661,Forest,Bareland,Water,Non_Wetland,Wetland
662,Forest,Bareland,Water,Non_Wetland,Bareland
663,Forest,Bareland,Water,Non_Wetland,Water
664,Forest,Bareland,Water,Non_Wetland,Forest
665,Forest,Built-up,NULL,Non_Wetland,Grassland
666,Forest,Built-up,NULL,Non_Wetland,Wetland
667,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
668,Forest,Built-up,NULL,Non_Wetland,Bareland
669,Forest,Built-up,NULL,Non_Wetland,Built-up
670,Forest,Built-up,NULL,Non_Wetland,Water
671,Forest,Built-up,NULL,Non_Wetland,Forest
672,Forest,Built-up,Water,Non_Wetland,Forest
673,Forest,Water,NULL,Water,Grassland
674,Forest,Water,NULL,Water,Wetland
675,Forest,Water,NULL,Water,Water
676,Forest,Water,NULL,Water,Forest
677,Forest,Water,Non_Water,Water,Wetland
678,Forest,Water,Non_Water,Water,Water
679,Forest,Water,Non_Water,Water,Forest
680,Forest,Water,Water,Water,Grassland
681,Forest,Water,Water,Water,Wetland
682,Forest,Water,Water,Water,Water
683,Forest,Water,Water,Water,Forest
684,Forest,Forest,NULL,Non_Wetland,NULL
685,Forest,Forest,NULL,Non_Wetland,Grassland
686,Forest,Forest,NULL,Non_Wetland,Wetland
687,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
688,Forest,Forest,NULL,Non_Wetland,Bareland
689,Forest,Forest,NULL,Non_Wetland,Built-up
690,Forest,Forest,NULL,Non_Wetland,Water
691,Forest,Forest,NULL,Non_Wetland,Forest
692,Forest,Forest,Non_Water,Non_Wetland,Grassland
693,Forest,Forest,Non_Water,Non_Wetland,Wetland
694,Forest,Forest,Non_Water,Non_Wetland,Water
695,Forest,Forest,Non_Water,Non_Wetland,Forest
696,Forest,Forest,Water,Non_Wetland,Grassland
697,Forest,Forest,Water,Non_Wetland,Wetland
698,Forest,Forest,Water,Non_Wetland,Water
699,Forest,Forest,Water,Non_Wetland,Forest
