Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,SIBERIA_2024_WorldCover_2021_42VUN_M_R
491,Water,Bareland,Non_Water,Non_Wetland,Bareland
492,Water,Bareland,Non_Water,Non_Wetland,Water
493,Water,Bareland,Non_Water,Non_Wetland,Forest
494,Water,Bareland,Water,Non_Wetland,NULL
495,Water,Bareland,Water,Non_Wetland,Grassland
496,Water,Bareland,Water,Non_Wetland,Wetland
497,Water,Bareland,Water,Non_Wetland,Bareland
498,Water,Bareland,Water,Non_Wetland,Built-up
499,Water,Bareland,Water,Non_Wetland,Water
500,Water,Bareland,Water,Non_Wetland,Forest
501,Water,Built-up,NULL,Non_Wetland,Wetland
502,Water,Built-up,NULL,Non_Wetland,Bareland
503,Water,Built-up,NULL,Non_Wetland,Built-up
504,Water,Built-up,NULL,Non_Wetland,Water
505,Water,Built-up,Non_Water,Non_Wetland,Grassland
506,Water,Built-up,Non_Water,Non_Wetland,Bareland
507,Water,Built-up,Non_Water,Non_Wetland,Water
508,Water,Built-up,Water,Non_Wetland,Grassland
509,Water,Built-up,Water,Non_Wetland,Wetland
510,Water,Built-up,Water,Non_Wetland,Built-up
511,Water,Built-up,Water,Non_Wetland,Water
512,Water,Water,NULL,Water,NULL
513,Water,Water,NULL,Water,Grassland
514,Water,Water,NULL,Water,Wetland
515,Water,Water,NULL,Water,Bareland
516,Water,Water,NULL,Water,Water
517,Water,Water,NULL,Water,Forest
518,Water,Water,Non_Water,Water,NULL
519,Water,Water,Non_Water,Water,Grassland
520,Water,Water,Non_Water,Water,Wetland
521,Water,Water,Non_Water,Water,Water
522,Water,Water,Non_Water,Water,Forest
523,Water,Water,Water,Water,NULL
524,Water,Water,Water,Water,Grassland
525,Water,Water,Water,Water,Wetland
526,Water,Water,Water,Water,Lichens_and_Mosses
527,Water,Water,Water,Water,Bareland
528,Water,Water,Water,Water,Built-up
529,Water,Water,Water,Water,Water
530,Water,Water,Water,Water,Forest
531,Water,Forest,NULL,Non_Wetland,NULL
532,Water,Forest,NULL,Non_Wetland,Grassland
533,Water,Forest,NULL,Non_Wetland,Wetland
534,Water,Forest,NULL,Non_Wetland,Bareland
535,Water,Forest,NULL,Non_Wetland,Water
536,Water,Forest,NULL,Non_Wetland,Forest
537,Water,Forest,Non_Water,Non_Wetland,NULL
538,Water,Forest,Non_Water,Non_Wetland,Grassland
539,Water,Forest,Non_Water,Non_Wetland,Wetland
540,Water,Forest,Non_Water,Non_Wetland,Water
541,Water,Forest,Non_Water,Non_Wetland,Forest
542,Water,Forest,Water,Non_Wetland,NULL
543,Water,Forest,Water,Non_Wetland,Grassland
544,Water,Forest,Water,Non_Wetland,Wetland
545,Water,Forest,Water,Non_Wetland,Water
546,Water,Forest,Water,Non_Wetland,Forest
547,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
548,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Built-up
549,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
550,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
551,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
552,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
553,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
554,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
555,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
556,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
557,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
558,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
559,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
560,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
561,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
562,Permanent_ice_and_snow,Water,Water,Water,Water
563,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
564,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
565,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
566,Forest,NULL,NULL,Non_Wetland,NULL
567,Forest,NULL,NULL,Non_Wetland,Grassland
568,Forest,NULL,NULL,Non_Wetland,Wetland
569,Forest,NULL,NULL,Non_Wetland,Bareland
570,Forest,NULL,NULL,Non_Wetland,Built-up
571,Forest,NULL,NULL,Non_Wetland,Water
572,Forest,NULL,NULL,Non_Wetland,Forest
573,Forest,NULL,Non_Water,Non_Wetland,Grassland
574,Forest,NULL,Non_Water,Non_Wetland,Wetland
575,Forest,NULL,Non_Water,Non_Wetland,Water
576,Forest,NULL,Non_Water,Non_Wetland,Forest
577,Forest,NULL,Water,Non_Wetland,Grassland
578,Forest,NULL,Water,Non_Wetland,Wetland
579,Forest,NULL,Water,Non_Wetland,Water
580,Forest,NULL,Water,Non_Wetland,Forest
581,Forest,Shrubland,NULL,Non_Wetland,NULL
582,Forest,Shrubland,NULL,Non_Wetland,Grassland
583,Forest,Shrubland,NULL,Non_Wetland,Cropland
584,Forest,Shrubland,NULL,Non_Wetland,Wetland
585,Forest,Shrubland,NULL,Non_Wetland,Bareland
586,Forest,Shrubland,NULL,Non_Wetland,Built-up
587,Forest,Shrubland,NULL,Non_Wetland,Water
588,Forest,Shrubland,NULL,Non_Wetland,Forest
589,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
590,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
591,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
592,Forest,Shrubland,Non_Water,Non_Wetland,Forest
593,Forest,Shrubland,Water,Non_Wetland,Grassland
594,Forest,Shrubland,Water,Non_Wetland,Wetland
595,Forest,Shrubland,Water,Non_Wetland,Water
596,Forest,Shrubland,Water,Non_Wetland,Forest
597,Forest,Grassland,NULL,Non_Wetland,Grassland
598,Forest,Grassland,NULL,Non_Wetland,Wetland
599,Forest,Grassland,NULL,Non_Wetland,Built-up
600,Forest,Grassland,NULL,Non_Wetland,Forest
601,Forest,Grassland,Non_Water,Non_Wetland,Forest
602,Forest,Cropland,NULL,Non_Wetland,Grassland
603,Forest,Cropland,NULL,Non_Wetland,Cropland
604,Forest,Cropland,NULL,Non_Wetland,Wetland
605,Forest,Cropland,NULL,Non_Wetland,Bareland
606,Forest,Cropland,NULL,Non_Wetland,Built-up
607,Forest,Cropland,NULL,Non_Wetland,Forest
608,Forest,Cropland,Non_Water,Non_Wetland,Grassland
609,Forest,Cropland,Non_Water,Non_Wetland,Forest
610,Forest,Cropland,Water,Non_Wetland,Bareland
611,Forest,Wetland,NULL,Wetland,NULL
612,Forest,Wetland,NULL,Wetland,Grassland
613,Forest,Wetland,NULL,Wetland,Wetland
614,Forest,Wetland,NULL,Wetland,Bareland
615,Forest,Wetland,NULL,Wetland,Built-up
616,Forest,Wetland,NULL,Wetland,Water
617,Forest,Wetland,NULL,Wetland,Forest
618,Forest,Wetland,Non_Water,Wetland,Grassland
619,Forest,Wetland,Non_Water,Wetland,Wetland
620,Forest,Wetland,Non_Water,Wetland,Water
621,Forest,Wetland,Non_Water,Wetland,Forest
622,Forest,Wetland,Water,Wetland,NULL
623,Forest,Wetland,Water,Wetland,Grassland
624,Forest,Wetland,Water,Wetland,Wetland
625,Forest,Wetland,Water,Wetland,Water
626,Forest,Wetland,Water,Wetland,Forest
627,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
628,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
629,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
630,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
631,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
632,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
633,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
634,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
635,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
636,Forest,Lichens_and_Mosses,Water,Non_Wetland,Wetland
637,Forest,Bareland,NULL,Non_Wetland,NULL
638,Forest,Bareland,NULL,Non_Wetland,Grassland
639,Forest,Bareland,NULL,Non_Wetland,Cropland
640,Forest,Bareland,NULL,Non_Wetland,Wetland
641,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
642,Forest,Bareland,NULL,Non_Wetland,Bareland
643,Forest,Bareland,NULL,Non_Wetland,Built-up
644,Forest,Bareland,NULL,Non_Wetland,Water
645,Forest,Bareland,NULL,Non_Wetland,Forest
646,Forest,Bareland,Non_Water,Non_Wetland,NULL
647,Forest,Bareland,Non_Water,Non_Wetland,Grassland
648,Forest,Bareland,Non_Water,Non_Wetland,Wetland
649,Forest,Bareland,Non_Water,Non_Wetland,Bareland
650,Forest,Bareland,Non_Water,Non_Wetland,Water
651,Forest,Bareland,Non_Water,Non_Wetland,Forest
652,Forest,Bareland,Water,Non_Wetland,Grassland
653,Forest,Bareland,Water,Non_Wetland,Wetland
654,Forest,Bareland,Water,Non_Wetland,Bareland
655,Forest,Bareland,Water,Non_Wetland,Water
656,Forest,Bareland,Water,Non_Wetland,Forest
657,Forest,Built-up,NULL,Non_Wetland,NULL
658,Forest,Built-up,NULL,Non_Wetland,Grassland
659,Forest,Built-up,NULL,Non_Wetland,Cropland
660,Forest,Built-up,NULL,Non_Wetland,Wetland
661,Forest,Built-up,NULL,Non_Wetland,Bareland
662,Forest,Built-up,NULL,Non_Wetland,Built-up
663,Forest,Built-up,NULL,Non_Wetland,Forest
664,Forest,Built-up,Non_Water,Non_Wetland,Wetland
665,Forest,Built-up,Non_Water,Non_Wetland,Forest
666,Forest,Built-up,Water,Non_Wetland,Grassland
667,Forest,Built-up,Water,Non_Wetland,Built-up
668,Forest,Built-up,Water,Non_Wetland,Water
669,Forest,Built-up,Water,Non_Wetland,Forest
670,Forest,Water,NULL,Water,NULL
671,Forest,Water,NULL,Water,Grassland
672,Forest,Water,NULL,Water,Wetland
673,Forest,Water,NULL,Water,Water
674,Forest,Water,NULL,Water,Forest
675,Forest,Water,Non_Water,Water,Grassland
676,Forest,Water,Non_Water,Water,Wetland
677,Forest,Water,Non_Water,Water,Water
678,Forest,Water,Non_Water,Water,Forest
679,Forest,Water,Water,Water,NULL
680,Forest,Water,Water,Water,Grassland
681,Forest,Water,Water,Water,Wetland
682,Forest,Water,Water,Water,Water
683,Forest,Water,Water,Water,Forest
684,Forest,Forest,NULL,Non_Wetland,NULL
685,Forest,Forest,NULL,Non_Wetland,Grassland
686,Forest,Forest,NULL,Non_Wetland,Cropland
687,Forest,Forest,NULL,Non_Wetland,Wetland
688,Forest,Forest,NULL,Non_Wetland,Bareland
689,Forest,Forest,NULL,Non_Wetland,Built-up
690,Forest,Forest,NULL,Non_Wetland,Water
691,Forest,Forest,NULL,Non_Wetland,Forest
692,Forest,Forest,Non_Water,Non_Wetland,Grassland
693,Forest,Forest,Non_Water,Non_Wetland,Wetland
694,Forest,Forest,Non_Water,Non_Wetland,Water
695,Forest,Forest,Non_Water,Non_Wetland,Forest
696,Forest,Forest,Water,Non_Wetland,NULL
697,Forest,Forest,Water,Non_Wetland,Grassland
698,Forest,Forest,Water,Non_Wetland,Wetland
699,Forest,Forest,Water,Non_Wetland,Water
700,Forest,Forest,Water,Non_Wetland,Forest
