Value,SIBERIA_2024_ESA_CALU_2024_41WPV_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R,SIBERIA_2024_WorldCover_2021_41WPV_M_R
413,Bareland,Cropland,Wetland,NULL,Wetland,NULL
414,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
415,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
416,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL
417,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
418,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL
419,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL
420,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
421,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL
422,Bareland,Wetland,Wetland,NULL,Wetland,NULL
423,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL
424,Bareland,Wetland,Wetland,Water,Wetland,NULL
425,Bareland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
426,Bareland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
427,Bareland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
428,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
429,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
430,Bareland,Wetland,Bareland,Water,Non_Wetland,NULL
431,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL
432,Bareland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
433,Bareland,Wetland,Built-up,Water,Non_Wetland,NULL
434,Bareland,Wetland,Water,NULL,Water,NULL
435,Bareland,Wetland,Water,Non_Water,Water,NULL
436,Bareland,Wetland,Water,Water,Water,NULL
437,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
438,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
439,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL
440,Bareland,Bareland,Wetland,NULL,Wetland,NULL
441,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL
442,Bareland,Bareland,Wetland,Water,NULL,NULL
443,Bareland,Bareland,Wetland,Water,Wetland,NULL
444,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
445,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
446,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
447,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
448,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
449,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL
450,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
451,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL
452,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL
453,Bareland,Bareland,Water,NULL,Water,NULL
454,Bareland,Bareland,Water,Non_Water,Water,NULL
455,Bareland,Bareland,Water,Water,Water,NULL
456,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
457,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
458,Bareland,Built-up,Wetland,NULL,NULL,NULL
459,Bareland,Built-up,Wetland,NULL,Wetland,NULL
460,Bareland,Built-up,Wetland,Non_Water,NULL,NULL
461,Bareland,Built-up,Wetland,Non_Water,Wetland,NULL
462,Bareland,Built-up,Wetland,Water,NULL,NULL
463,Bareland,Built-up,Wetland,Water,Wetland,NULL
464,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
465,Bareland,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
466,Bareland,Built-up,Lichens_and_Mosses,Water,Non_Wetland,NULL
467,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
468,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,NULL
469,Bareland,Built-up,Bareland,Water,Non_Wetland,NULL
470,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
471,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,NULL
472,Bareland,Built-up,Built-up,Water,Non_Wetland,NULL
473,Bareland,Built-up,Water,NULL,Water,NULL
474,Bareland,Built-up,Water,Water,NULL,NULL
475,Bareland,Built-up,Water,Water,Water,NULL
476,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
477,Bareland,Water,Shrubland,Water,Non_Wetland,NULL
478,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
479,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL
480,Bareland,Water,Grassland,Water,Non_Wetland,NULL
481,Bareland,Water,Wetland,NULL,NULL,NULL
482,Bareland,Water,Wetland,NULL,Wetland,NULL
483,Bareland,Water,Wetland,Non_Water,Wetland,NULL
484,Bareland,Water,Wetland,Water,NULL,NULL
485,Bareland,Water,Wetland,Water,Wetland,NULL
486,Bareland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
487,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
488,Bareland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
489,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
490,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL
491,Bareland,Water,Bareland,Water,Non_Wetland,NULL
492,Bareland,Water,Built-up,NULL,Non_Wetland,NULL
493,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL
494,Bareland,Water,Built-up,Water,Non_Wetland,NULL
495,Bareland,Water,Water,NULL,NULL,NULL
496,Bareland,Water,Water,NULL,Water,NULL
497,Bareland,Water,Water,Non_Water,NULL,NULL
498,Bareland,Water,Water,Non_Water,Water,NULL
499,Bareland,Water,Water,Water,NULL,NULL
500,Bareland,Water,Water,Water,Water,NULL
501,Bareland,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
502,Bareland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
503,Bareland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
504,Bareland,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
505,Bareland,Permanent_ice_and_snow,Wetland,Water,NULL,NULL
506,Bareland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
507,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
508,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
509,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
510,Bareland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
511,Bareland,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
512,Bareland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
513,Bareland,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
514,Bareland,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,NULL
515,Bareland,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,NULL
516,Bareland,Permanent_ice_and_snow,Water,NULL,Water,NULL
517,Bareland,Permanent_ice_and_snow,Water,Water,NULL,NULL
518,Bareland,Permanent_ice_and_snow,Water,Water,Water,NULL
519,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
520,Bareland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
521,Bareland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
522,Bareland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
523,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
524,Bareland,Forest,Bareland,Non_Water,Non_Wetland,NULL
525,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL
526,Bareland,Forest,Built-up,Non_Water,Non_Wetland,NULL
527,Water,NULL,Water,Water,Water,NULL
528,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL
529,Water,Wetland,Shrubland,Water,Non_Wetland,NULL
530,Water,Wetland,Wetland,Non_Water,Wetland,NULL
531,Water,Wetland,Wetland,Water,Wetland,NULL
532,Water,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
533,Water,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
534,Water,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
535,Water,Wetland,Bareland,NULL,Non_Wetland,NULL
536,Water,Wetland,Bareland,Water,Non_Wetland,NULL
537,Water,Wetland,Water,NULL,Water,NULL
538,Water,Wetland,Water,Water,Water,NULL
539,Water,Bareland,Wetland,Water,Wetland,NULL
540,Water,Bareland,Water,Water,Water,NULL
541,Water,Water,Shrubland,NULL,Non_Wetland,NULL
542,Water,Water,Shrubland,Water,Non_Wetland,NULL
543,Water,Water,Grassland,NULL,Non_Wetland,NULL
544,Water,Water,Grassland,Water,Non_Wetland,NULL
545,Water,Water,Wetland,NULL,Wetland,NULL
546,Water,Water,Wetland,Non_Water,Wetland,NULL
547,Water,Water,Wetland,Water,NULL,NULL
548,Water,Water,Wetland,Water,Wetland,NULL
549,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
550,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
551,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
552,Water,Water,Bareland,NULL,Non_Wetland,NULL
553,Water,Water,Bareland,Non_Water,Non_Wetland,NULL
554,Water,Water,Bareland,Water,Non_Wetland,NULL
555,Water,Water,Built-up,NULL,Non_Wetland,NULL
556,Water,Water,Built-up,Water,Non_Wetland,NULL
557,Water,Water,Water,NULL,Water,NULL
558,Water,Water,Water,Non_Water,Water,NULL
559,Water,Water,Water,Water,NULL,NULL
560,Water,Water,Water,Water,Water,NULL
561,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL
562,Permanent_ice_and_snow,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
563,Permanent_ice_and_snow,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
564,Permanent_ice_and_snow,Water,Bareland,Water,Non_Wetland,NULL
565,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL
566,Permanent_ice_and_snow,Water,Water,Water,Water,NULL
567,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
568,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
569,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
570,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
571,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
572,Forest,NULL,Grassland,Water,Non_Wetland,NULL
573,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
574,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
575,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
576,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
577,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL
578,Forest,NULL,Bareland,Water,Non_Wetland,NULL
579,Forest,NULL,Water,Water,Water,NULL
580,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
581,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
582,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL
583,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL
584,Forest,Wetland,Grassland,Water,Non_Wetland,NULL
585,Forest,Wetland,Wetland,NULL,Wetland,NULL
586,Forest,Wetland,Wetland,Water,Wetland,NULL
587,Forest,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
588,Forest,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
589,Forest,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
590,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL
591,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL
592,Forest,Wetland,Bareland,Water,Non_Wetland,NULL
593,Forest,Wetland,Water,NULL,Water,NULL
594,Forest,Wetland,Water,Water,Water,NULL
595,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
596,Forest,Water,Wetland,Water,Wetland,NULL
597,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
598,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
599,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
600,Forest,Water,Bareland,NULL,Non_Wetland,NULL
601,Forest,Water,Bareland,Water,Non_Wetland,NULL
602,Forest,Water,Water,NULL,Water,NULL
603,Forest,Water,Water,Water,Water,NULL
604,Forest,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
605,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
606,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
607,Forest,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
608,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
609,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL
610,Forest,Forest,Bareland,Water,Non_Wetland,NULL
611,Forest,Forest,Water,Water,Water,NULL
