Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUH_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUH_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUH_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUH_M_R,SIBERIA_2024_WorldCover_2021_45VUH_M_R
482,Forest,Wetland,NULL,Wetland,Water
483,Forest,Wetland,NULL,Wetland,Forest
484,Forest,Wetland,Non_Water,Wetland,NULL
485,Forest,Wetland,Non_Water,Wetland,Grassland
486,Forest,Wetland,Non_Water,Wetland,Wetland
487,Forest,Wetland,Non_Water,Wetland,Water
488,Forest,Wetland,Non_Water,Wetland,Forest
489,Forest,Wetland,Water,Wetland,Grassland
490,Forest,Wetland,Water,Wetland,Wetland
491,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
492,Forest,Wetland,Water,Wetland,Bareland
493,Forest,Wetland,Water,Wetland,Water
494,Forest,Wetland,Water,Wetland,Forest
495,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
496,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
497,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Water
498,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
499,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
500,Forest,Bareland,NULL,Non_Wetland,NULL
501,Forest,Bareland,NULL,Non_Wetland,Grassland
502,Forest,Bareland,NULL,Non_Wetland,Wetland
503,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
504,Forest,Bareland,NULL,Non_Wetland,Bareland
505,Forest,Bareland,NULL,Non_Wetland,Water
506,Forest,Bareland,NULL,Non_Wetland,Forest
507,Forest,Bareland,Non_Water,Non_Wetland,Grassland
508,Forest,Bareland,Non_Water,Non_Wetland,Wetland
509,Forest,Bareland,Non_Water,Non_Wetland,Water
510,Forest,Bareland,Non_Water,Non_Wetland,Forest
511,Forest,Bareland,Water,Non_Wetland,Grassland
512,Forest,Bareland,Water,Non_Wetland,Wetland
513,Forest,Bareland,Water,Non_Wetland,Bareland
514,Forest,Bareland,Water,Non_Wetland,Water
515,Forest,Bareland,Water,Non_Wetland,Forest
516,Forest,Built-up,NULL,Non_Wetland,NULL
517,Forest,Built-up,NULL,Non_Wetland,Grassland
518,Forest,Built-up,NULL,Non_Wetland,Wetland
519,Forest,Built-up,NULL,Non_Wetland,Bareland
520,Forest,Built-up,NULL,Non_Wetland,Water
521,Forest,Built-up,NULL,Non_Wetland,Forest
522,Forest,Built-up,Non_Water,Non_Wetland,Forest
523,Forest,Built-up,Water,Non_Wetland,Wetland
524,Forest,Built-up,Water,Non_Wetland,Forest
525,Forest,Water,NULL,Water,Grassland
526,Forest,Water,NULL,Water,Wetland
527,Forest,Water,NULL,Water,Bareland
528,Forest,Water,NULL,Water,Water
529,Forest,Water,NULL,Water,Forest
530,Forest,Water,Non_Water,Water,Wetland
531,Forest,Water,Non_Water,Water,Water
532,Forest,Water,Non_Water,Water,Forest
533,Forest,Water,Water,Water,Grassland
534,Forest,Water,Water,Water,Wetland
535,Forest,Water,Water,Water,Bareland
536,Forest,Water,Water,Water,Water
537,Forest,Water,Water,Water,Forest
538,Forest,Forest,NULL,Non_Wetland,NULL
539,Forest,Forest,NULL,Non_Wetland,Grassland
540,Forest,Forest,NULL,Non_Wetland,Wetland
541,Forest,Forest,NULL,Non_Wetland,Water
542,Forest,Forest,NULL,Non_Wetland,Forest
543,Forest,Forest,Non_Water,Non_Wetland,Grassland
544,Forest,Forest,Non_Water,Non_Wetland,Wetland
545,Forest,Forest,Non_Water,Non_Wetland,Water
546,Forest,Forest,Non_Water,Non_Wetland,Forest
547,Forest,Forest,Water,Non_Wetland,Grassland
548,Forest,Forest,Water,Non_Wetland,Wetland
549,Forest,Forest,Water,Non_Wetland,Water
550,Forest,Forest,Water,Non_Wetland,Forest
