Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,SIBERIA_2024_WorldCover_2021_44VPQ_M_R
486,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
487,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
488,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
489,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
490,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
491,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
492,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
493,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
494,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
495,Permanent_ice_and_snow,Water,NULL,Water,Grassland
496,Permanent_ice_and_snow,Water,NULL,Water,Wetland
497,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
498,Permanent_ice_and_snow,Water,NULL,Water,Water
499,Permanent_ice_and_snow,Water,NULL,Water,Forest
500,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
501,Permanent_ice_and_snow,Water,Non_Water,Water,Water
502,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
503,Permanent_ice_and_snow,Water,Water,Water,NULL
504,Permanent_ice_and_snow,Water,Water,Water,Grassland
505,Permanent_ice_and_snow,Water,Water,Water,Wetland
506,Permanent_ice_and_snow,Water,Water,Water,Water
507,Permanent_ice_and_snow,Water,Water,Water,Forest
508,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
509,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
510,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
511,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
512,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
513,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
514,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
515,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
516,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
517,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
518,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
519,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
520,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
521,Forest,NULL,NULL,Non_Wetland,NULL
522,Forest,NULL,NULL,Non_Wetland,Grassland
523,Forest,NULL,NULL,Non_Wetland,Wetland
524,Forest,NULL,NULL,Non_Wetland,Bareland
525,Forest,NULL,NULL,Non_Wetland,Water
526,Forest,NULL,NULL,Non_Wetland,Forest
527,Forest,NULL,Non_Water,Non_Wetland,Grassland
528,Forest,NULL,Non_Water,Non_Wetland,Wetland
529,Forest,NULL,Non_Water,Non_Wetland,Water
530,Forest,NULL,Non_Water,Non_Wetland,Forest
531,Forest,NULL,Water,Non_Wetland,Grassland
532,Forest,NULL,Water,Non_Wetland,Wetland
533,Forest,NULL,Water,Non_Wetland,Water
534,Forest,NULL,Water,Non_Wetland,Forest
535,Forest,Shrubland,NULL,Non_Wetland,NULL
536,Forest,Shrubland,NULL,Non_Wetland,Grassland
537,Forest,Shrubland,NULL,Non_Wetland,Wetland
538,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
539,Forest,Shrubland,NULL,Non_Wetland,Bareland
540,Forest,Shrubland,NULL,Non_Wetland,Water
541,Forest,Shrubland,NULL,Non_Wetland,Forest
542,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
543,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
544,Forest,Shrubland,Non_Water,Non_Wetland,Water
545,Forest,Shrubland,Non_Water,Non_Wetland,Forest
546,Forest,Shrubland,Water,Non_Wetland,Grassland
547,Forest,Shrubland,Water,Non_Wetland,Wetland
548,Forest,Shrubland,Water,Non_Wetland,Water
549,Forest,Shrubland,Water,Non_Wetland,Forest
550,Forest,Grassland,NULL,Non_Wetland,NULL
551,Forest,Grassland,NULL,Non_Wetland,Grassland
552,Forest,Grassland,NULL,Non_Wetland,Wetland
553,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
554,Forest,Grassland,NULL,Non_Wetland,Forest
555,Forest,Grassland,Non_Water,Non_Wetland,Grassland
556,Forest,Grassland,Non_Water,Non_Wetland,Wetland
557,Forest,Grassland,Non_Water,Non_Wetland,Forest
558,Forest,Grassland,Water,Non_Wetland,Grassland
559,Forest,Grassland,Water,Non_Wetland,Forest
560,Forest,Cropland,NULL,Non_Wetland,Grassland
561,Forest,Cropland,NULL,Non_Wetland,Wetland
562,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
563,Forest,Cropland,NULL,Non_Wetland,Forest
564,Forest,Cropland,Non_Water,Non_Wetland,Forest
565,Forest,Cropland,Water,Non_Wetland,Forest
566,Forest,Wetland,NULL,Wetland,NULL
567,Forest,Wetland,NULL,Wetland,Grassland
568,Forest,Wetland,NULL,Wetland,Wetland
569,Forest,Wetland,NULL,Wetland,Bareland
570,Forest,Wetland,NULL,Wetland,Water
571,Forest,Wetland,NULL,Wetland,Forest
572,Forest,Wetland,Non_Water,Wetland,NULL
573,Forest,Wetland,Non_Water,Wetland,Grassland
574,Forest,Wetland,Non_Water,Wetland,Wetland
575,Forest,Wetland,Non_Water,Wetland,Lichens_and_Mosses
576,Forest,Wetland,Non_Water,Wetland,Water
577,Forest,Wetland,Non_Water,Wetland,Forest
578,Forest,Wetland,Water,Wetland,Grassland
579,Forest,Wetland,Water,Wetland,Wetland
580,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
581,Forest,Wetland,Water,Wetland,Water
582,Forest,Wetland,Water,Wetland,Forest
583,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
584,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
585,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
586,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
587,Forest,Bareland,NULL,Non_Wetland,NULL
588,Forest,Bareland,NULL,Non_Wetland,Grassland
589,Forest,Bareland,NULL,Non_Wetland,Wetland
590,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
591,Forest,Bareland,NULL,Non_Wetland,Bareland
592,Forest,Bareland,NULL,Non_Wetland,Water
593,Forest,Bareland,NULL,Non_Wetland,Forest
594,Forest,Bareland,Non_Water,Non_Wetland,Wetland
595,Forest,Bareland,Non_Water,Non_Wetland,Water
596,Forest,Bareland,Non_Water,Non_Wetland,Forest
597,Forest,Bareland,Water,Non_Wetland,Grassland
598,Forest,Bareland,Water,Non_Wetland,Wetland
599,Forest,Bareland,Water,Non_Wetland,Bareland
600,Forest,Bareland,Water,Non_Wetland,Water
601,Forest,Bareland,Water,Non_Wetland,Forest
602,Forest,Built-up,NULL,Non_Wetland,Grassland
603,Forest,Built-up,NULL,Non_Wetland,Wetland
604,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
605,Forest,Built-up,NULL,Non_Wetland,Water
606,Forest,Built-up,NULL,Non_Wetland,Forest
607,Forest,Built-up,Non_Water,Non_Wetland,Wetland
608,Forest,Built-up,Non_Water,Non_Wetland,Forest
609,Forest,Built-up,Water,Non_Wetland,Water
610,Forest,Built-up,Water,Non_Wetland,Forest
611,Forest,Water,NULL,Water,Grassland
612,Forest,Water,NULL,Water,Wetland
613,Forest,Water,NULL,Water,Water
614,Forest,Water,NULL,Water,Forest
615,Forest,Water,Non_Water,Water,Grassland
616,Forest,Water,Non_Water,Water,Wetland
617,Forest,Water,Non_Water,Water,Water
618,Forest,Water,Non_Water,Water,Forest
619,Forest,Water,Water,Water,Grassland
620,Forest,Water,Water,Water,Wetland
621,Forest,Water,Water,Water,Water
622,Forest,Water,Water,Water,Forest
623,Forest,Forest,NULL,Non_Wetland,NULL
624,Forest,Forest,NULL,Non_Wetland,Grassland
625,Forest,Forest,NULL,Non_Wetland,Wetland
626,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
627,Forest,Forest,NULL,Non_Wetland,Water
628,Forest,Forest,NULL,Non_Wetland,Forest
629,Forest,Forest,Non_Water,Non_Wetland,Grassland
630,Forest,Forest,Non_Water,Non_Wetland,Wetland
631,Forest,Forest,Non_Water,Non_Wetland,Water
632,Forest,Forest,Non_Water,Non_Wetland,Forest
633,Forest,Forest,Water,Non_Wetland,Grassland
634,Forest,Forest,Water,Non_Wetland,Wetland
635,Forest,Forest,Water,Non_Wetland,Water
636,Forest,Forest,Water,Non_Wetland,Forest
