Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWJ_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWJ_M_R,SIBERIA_2024_WorldCover_2021_45VWJ_M_R
490,Forest,Bareland,NULL,Non_Wetland,Water
491,Forest,Bareland,NULL,Non_Wetland,Forest
492,Forest,Bareland,Non_Water,Non_Wetland,Grassland
493,Forest,Bareland,Non_Water,Non_Wetland,Wetland
494,Forest,Bareland,Non_Water,Non_Wetland,Forest
495,Forest,Bareland,Water,Non_Wetland,Grassland
496,Forest,Bareland,Water,Non_Wetland,Wetland
497,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
498,Forest,Bareland,Water,Non_Wetland,Water
499,Forest,Bareland,Water,Non_Wetland,Forest
500,Forest,Built-up,NULL,Non_Wetland,Grassland
501,Forest,Built-up,NULL,Non_Wetland,Wetland
502,Forest,Built-up,NULL,Non_Wetland,Water
503,Forest,Built-up,NULL,Non_Wetland,Forest
504,Forest,Built-up,Non_Water,Non_Wetland,Forest
505,Forest,Built-up,Water,Non_Wetland,Grassland
506,Forest,Built-up,Water,Non_Wetland,Water
507,Forest,Built-up,Water,Non_Wetland,Forest
508,Forest,Water,NULL,Water,Grassland
509,Forest,Water,NULL,Water,Wetland
510,Forest,Water,NULL,Water,Water
511,Forest,Water,NULL,Water,Forest
512,Forest,Water,Non_Water,Water,Grassland
513,Forest,Water,Non_Water,Water,Wetland
514,Forest,Water,Non_Water,Water,Water
515,Forest,Water,Non_Water,Water,Forest
516,Forest,Water,Water,Water,Grassland
517,Forest,Water,Water,Water,Wetland
518,Forest,Water,Water,Water,Water
519,Forest,Water,Water,Water,Forest
520,Forest,Forest,NULL,Non_Wetland,NULL
521,Forest,Forest,NULL,Non_Wetland,Grassland
522,Forest,Forest,NULL,Non_Wetland,Wetland
523,Forest,Forest,NULL,Non_Wetland,Bareland
524,Forest,Forest,NULL,Non_Wetland,Water
525,Forest,Forest,NULL,Non_Wetland,Forest
526,Forest,Forest,Non_Water,Non_Wetland,NULL
527,Forest,Forest,Non_Water,Non_Wetland,Grassland
528,Forest,Forest,Non_Water,Non_Wetland,Wetland
529,Forest,Forest,Non_Water,Non_Wetland,Water
530,Forest,Forest,Non_Water,Non_Wetland,Forest
531,Forest,Forest,Water,Non_Wetland,Grassland
532,Forest,Forest,Water,Non_Wetland,Wetland
533,Forest,Forest,Water,Non_Wetland,Water
534,Forest,Forest,Water,Non_Wetland,Forest
