Value,SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,SIBERIA_2024_WorldCover_2021_43WEN_M_R
414,NULL,Bareland,Forest,NULL,Non_Wetland,Water
415,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
416,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
417,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
418,NULL,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
419,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
420,NULL,Bareland,Forest,Water,Non_Wetland,Water
421,NULL,Bareland,Forest,Water,Non_Wetland,Forest
422,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
423,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
424,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
425,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
426,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
427,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
428,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
429,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
430,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
431,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
432,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
433,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
434,NULL,Built-up,Wetland,NULL,Wetland,Grassland
435,NULL,Built-up,Wetland,NULL,Wetland,Wetland
436,NULL,Built-up,Wetland,NULL,Wetland,Bareland
437,NULL,Built-up,Wetland,NULL,Wetland,Water
438,NULL,Built-up,Wetland,NULL,Wetland,Forest
439,NULL,Built-up,Wetland,Water,Wetland,Water
440,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
441,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
442,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
443,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
444,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
445,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
446,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
447,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
448,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
449,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
450,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
451,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
452,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
453,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
454,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
455,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
456,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
457,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
458,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
459,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
460,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
461,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
462,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
463,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
464,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
465,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
466,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
467,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
468,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland
469,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
470,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
471,NULL,Built-up,Water,NULL,Water,Wetland
472,NULL,Built-up,Water,NULL,Water,Bareland
473,NULL,Built-up,Water,Water,Water,Wetland
474,NULL,Built-up,Water,Water,Water,Bareland
475,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
476,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
477,NULL,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
478,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
479,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
480,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
481,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
482,NULL,Water,NULL,NULL,Non_Wetland,Wetland
483,NULL,Water,NULL,NULL,Non_Wetland,Bareland
484,NULL,Water,NULL,NULL,Non_Wetland,Water
485,NULL,Water,NULL,NULL,Non_Wetland,Forest
486,NULL,Water,NULL,Non_Water,Non_Wetland,Water
487,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
488,NULL,Water,NULL,Water,Non_Wetland,Wetland
489,NULL,Water,NULL,Water,Non_Wetland,Water
490,NULL,Water,NULL,Water,Non_Wetland,Forest
491,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
492,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
493,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
494,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
495,NULL,Water,Shrubland,NULL,Non_Wetland,Water
496,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
497,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
498,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
499,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
500,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
501,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
502,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
503,NULL,Water,Shrubland,Water,Non_Wetland,Water
504,NULL,Water,Shrubland,Water,Non_Wetland,Forest
505,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
506,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
507,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
508,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
509,NULL,Water,Grassland,NULL,Non_Wetland,Water
510,NULL,Water,Grassland,NULL,Non_Wetland,Forest
511,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
512,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
513,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
514,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
515,NULL,Water,Grassland,Water,Non_Wetland,Grassland
516,NULL,Water,Grassland,Water,Non_Wetland,Wetland
517,NULL,Water,Grassland,Water,Non_Wetland,Water
518,NULL,Water,Grassland,Water,Non_Wetland,Forest
519,NULL,Water,Wetland,NULL,Wetland,Grassland
520,NULL,Water,Wetland,NULL,Wetland,Wetland
521,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
522,NULL,Water,Wetland,NULL,Wetland,Bareland
523,NULL,Water,Wetland,NULL,Wetland,Water
524,NULL,Water,Wetland,NULL,Wetland,Forest
525,NULL,Water,Wetland,Non_Water,Wetland,Grassland
526,NULL,Water,Wetland,Non_Water,Wetland,Wetland
527,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
528,NULL,Water,Wetland,Non_Water,Wetland,Bareland
529,NULL,Water,Wetland,Non_Water,Wetland,Water
530,NULL,Water,Wetland,Non_Water,Wetland,Forest
531,NULL,Water,Wetland,Water,Wetland,Grassland
532,NULL,Water,Wetland,Water,Wetland,Wetland
533,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
534,NULL,Water,Wetland,Water,Wetland,Bareland
535,NULL,Water,Wetland,Water,Wetland,Built-up
536,NULL,Water,Wetland,Water,Wetland,Water
537,NULL,Water,Wetland,Water,Wetland,Forest
538,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
539,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
540,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
541,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
542,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
543,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
544,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
545,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
546,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
547,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
548,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
549,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
550,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
551,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
552,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
553,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
554,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
555,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
556,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
557,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
558,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
559,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
560,NULL,Water,Bareland,NULL,Non_Wetland,Water
561,NULL,Water,Bareland,NULL,Non_Wetland,Forest
562,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
563,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
564,NULL,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
565,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
566,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
567,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
568,NULL,Water,Bareland,Water,Non_Wetland,Grassland
569,NULL,Water,Bareland,Water,Non_Wetland,Wetland
570,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
571,NULL,Water,Bareland,Water,Non_Wetland,Bareland
572,NULL,Water,Bareland,Water,Non_Wetland,Water
573,NULL,Water,Bareland,Water,Non_Wetland,Forest
574,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
575,NULL,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
576,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
577,NULL,Water,Built-up,NULL,Non_Wetland,Water
578,NULL,Water,Built-up,NULL,Non_Wetland,Forest
579,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
580,NULL,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
581,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
582,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
583,NULL,Water,Built-up,Water,Non_Wetland,Grassland
584,NULL,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
585,NULL,Water,Built-up,Water,Non_Wetland,Bareland
586,NULL,Water,Built-up,Water,Non_Wetland,Water
587,NULL,Water,Built-up,Water,Non_Wetland,Forest
588,NULL,Water,Water,NULL,Water,Grassland
589,NULL,Water,Water,NULL,Water,Wetland
590,NULL,Water,Water,NULL,Water,Lichens_and_Mosses
591,NULL,Water,Water,NULL,Water,Bareland
592,NULL,Water,Water,NULL,Water,Water
593,NULL,Water,Water,NULL,Water,Forest
594,NULL,Water,Water,Non_Water,Water,Grassland
595,NULL,Water,Water,Non_Water,Water,Wetland
596,NULL,Water,Water,Non_Water,Water,Lichens_and_Mosses
597,NULL,Water,Water,Non_Water,Water,Bareland
598,NULL,Water,Water,Non_Water,Water,Water
599,NULL,Water,Water,Non_Water,Water,Forest
600,NULL,Water,Water,Water,Water,Grassland
601,NULL,Water,Water,Water,Water,Wetland
602,NULL,Water,Water,Water,Water,Lichens_and_Mosses
603,NULL,Water,Water,Water,Water,Bareland
604,NULL,Water,Water,Water,Water,Water
605,NULL,Water,Water,Water,Water,Forest
606,NULL,Water,Forest,NULL,Non_Wetland,Grassland
607,NULL,Water,Forest,NULL,Non_Wetland,Wetland
608,NULL,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
609,NULL,Water,Forest,NULL,Non_Wetland,Bareland
610,NULL,Water,Forest,NULL,Non_Wetland,Water
611,NULL,Water,Forest,NULL,Non_Wetland,Forest
612,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
613,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
614,NULL,Water,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
615,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
616,NULL,Water,Forest,Non_Water,Non_Wetland,Water
617,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
618,NULL,Water,Forest,Water,Non_Wetland,Grassland
619,NULL,Water,Forest,Water,Non_Wetland,Wetland
620,NULL,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
621,NULL,Water,Forest,Water,Non_Wetland,Bareland
622,NULL,Water,Forest,Water,Non_Wetland,Water
623,NULL,Water,Forest,Water,Non_Wetland,Forest
624,NULL,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
625,NULL,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
626,NULL,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
627,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
628,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
629,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
630,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
631,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
632,NULL,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Water
633,NULL,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
634,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
635,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
636,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
637,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
638,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
639,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
640,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Wetland
641,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
642,NULL,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
643,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
644,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
645,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
646,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
647,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
648,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
649,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
650,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
651,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
652,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
653,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
654,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
655,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
656,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
657,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
658,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
659,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
660,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
661,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
662,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
663,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Water
664,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
665,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
666,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
667,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
668,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
669,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
670,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
671,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
672,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
673,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
674,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
675,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
676,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
677,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
678,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
679,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
680,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
681,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
682,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
683,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
684,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
685,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
686,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
687,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
688,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
689,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
690,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
691,NULL,Permanent_ice_and_snow,Water,NULL,Water,Grassland
692,NULL,Permanent_ice_and_snow,Water,NULL,Water,Wetland
693,NULL,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
694,NULL,Permanent_ice_and_snow,Water,NULL,Water,Bareland
695,NULL,Permanent_ice_and_snow,Water,NULL,Water,Water
696,NULL,Permanent_ice_and_snow,Water,NULL,Water,Forest
697,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Grassland
698,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
699,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Lichens_and_Mosses
700,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Water
701,NULL,Permanent_ice_and_snow,Water,Water,Water,Grassland
702,NULL,Permanent_ice_and_snow,Water,Water,Water,Wetland
703,NULL,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
704,NULL,Permanent_ice_and_snow,Water,Water,Water,Bareland
705,NULL,Permanent_ice_and_snow,Water,Water,Water,Water
706,NULL,Permanent_ice_and_snow,Water,Water,Water,Forest
707,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
708,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
709,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
710,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
711,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
712,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
713,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
714,NULL,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
715,NULL,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
716,NULL,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
717,NULL,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
718,NULL,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
719,NULL,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
720,NULL,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
721,NULL,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Bareland
722,NULL,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
723,NULL,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
724,NULL,Forest,NULL,NULL,Non_Wetland,NULL
725,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
726,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
727,NULL,Forest,NULL,NULL,Non_Wetland,Water
728,NULL,Forest,NULL,NULL,Non_Wetland,Forest
729,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
730,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
731,NULL,Forest,NULL,Non_Water,Non_Wetland,Water
732,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
733,NULL,Forest,NULL,Water,Non_Wetland,Grassland
734,NULL,Forest,NULL,Water,Non_Wetland,Wetland
735,NULL,Forest,NULL,Water,Non_Wetland,Water
736,NULL,Forest,NULL,Water,Non_Wetland,Forest
737,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
738,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
739,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
740,NULL,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
741,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
742,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
743,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
744,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
745,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
746,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
747,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
748,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water
749,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
750,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
751,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
752,NULL,Forest,Shrubland,Water,Non_Wetland,Water
753,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
754,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
755,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
756,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
757,NULL,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
758,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
759,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
760,NULL,Forest,Grassland,NULL,Non_Wetland,Water
761,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
762,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
763,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland
764,NULL,Forest,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
765,NULL,Forest,Grassland,Non_Water,Non_Wetland,Water
766,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
767,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
768,NULL,Forest,Grassland,Water,Non_Wetland,Wetland
769,NULL,Forest,Grassland,Water,Non_Wetland,Water
770,NULL,Forest,Grassland,Water,Non_Wetland,Forest
771,NULL,Forest,Wetland,NULL,Wetland,NULL
772,NULL,Forest,Wetland,NULL,Wetland,Grassland
773,NULL,Forest,Wetland,NULL,Wetland,Wetland
774,NULL,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
775,NULL,Forest,Wetland,NULL,Wetland,Bareland
776,NULL,Forest,Wetland,NULL,Wetland,Water
777,NULL,Forest,Wetland,NULL,Wetland,Forest
778,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
779,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
780,NULL,Forest,Wetland,Non_Water,Wetland,Lichens_and_Mosses
781,NULL,Forest,Wetland,Non_Water,Wetland,Bareland
782,NULL,Forest,Wetland,Non_Water,Wetland,Water
783,NULL,Forest,Wetland,Non_Water,Wetland,Forest
784,NULL,Forest,Wetland,Water,Wetland,Grassland
785,NULL,Forest,Wetland,Water,Wetland,Wetland
786,NULL,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
787,NULL,Forest,Wetland,Water,Wetland,Bareland
788,NULL,Forest,Wetland,Water,Wetland,Water
789,NULL,Forest,Wetland,Water,Wetland,Forest
790,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
791,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
792,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
793,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
794,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Water
795,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
796,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
797,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
798,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
799,NULL,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
800,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
801,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
802,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
803,NULL,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
804,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
805,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
806,NULL,Forest,Bareland,NULL,Non_Wetland,Water
807,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
808,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
809,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
810,NULL,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
811,NULL,Forest,Bareland,Non_Water,Non_Wetland,Bareland
812,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water
813,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
814,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
815,NULL,Forest,Bareland,Water,Non_Wetland,Wetland
816,NULL,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
