Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,SIBERIA_2024_WorldCover_2021_45VWF_M_R
500,Water,Forest,Non_Water,Non_Wetland,Forest
501,Water,Forest,Water,Non_Wetland,Grassland
502,Water,Forest,Water,Non_Wetland,Cropland
503,Water,Forest,Water,Non_Wetland,Wetland
504,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
505,Water,Forest,Water,Non_Wetland,Bareland
506,Water,Forest,Water,Non_Wetland,Water
507,Water,Forest,Water,Non_Wetland,Forest
508,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
509,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
510,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
511,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
512,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
513,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
514,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
515,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
516,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
517,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
518,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Cropland
519,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Bareland
520,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
521,Permanent_ice_and_snow,Cropland,Water,Non_Wetland,Grassland
522,Permanent_ice_and_snow,Cropland,Water,Non_Wetland,Cropland
523,Permanent_ice_and_snow,Cropland,Water,Non_Wetland,Lichens_and_Mosses
524,Permanent_ice_and_snow,Cropland,Water,Non_Wetland,Bareland
525,Permanent_ice_and_snow,Cropland,Water,Non_Wetland,Forest
526,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
527,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
528,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
529,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
530,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
531,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
532,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
533,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
534,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
535,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
536,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
537,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
538,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
539,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
540,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
541,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
542,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
543,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
544,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
545,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
546,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
547,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
548,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
549,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
550,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
551,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
552,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
553,Permanent_ice_and_snow,Water,NULL,Water,Wetland
554,Permanent_ice_and_snow,Water,NULL,Water,Water
555,Permanent_ice_and_snow,Water,NULL,Water,Forest
556,Permanent_ice_and_snow,Water,Water,Water,Grassland
557,Permanent_ice_and_snow,Water,Water,Water,Wetland
558,Permanent_ice_and_snow,Water,Water,Water,Water
559,Permanent_ice_and_snow,Water,Water,Water,Forest
560,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
561,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
562,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
563,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
564,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
565,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
566,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
567,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
568,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
569,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
570,Forest,NULL,NULL,Non_Wetland,NULL
571,Forest,NULL,NULL,Non_Wetland,Grassland
572,Forest,NULL,NULL,Non_Wetland,Wetland
573,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
574,Forest,NULL,NULL,Non_Wetland,Bareland
575,Forest,NULL,NULL,Non_Wetland,Built-up
576,Forest,NULL,NULL,Non_Wetland,Water
577,Forest,NULL,NULL,Non_Wetland,Forest
578,Forest,NULL,Non_Water,Non_Wetland,Wetland
579,Forest,NULL,Non_Water,Non_Wetland,Water
580,Forest,NULL,Non_Water,Non_Wetland,Forest
581,Forest,NULL,Water,Non_Wetland,NULL
582,Forest,NULL,Water,Non_Wetland,Grassland
583,Forest,NULL,Water,Non_Wetland,Wetland
584,Forest,NULL,Water,Non_Wetland,Water
585,Forest,NULL,Water,Non_Wetland,Forest
586,Forest,Shrubland,NULL,Non_Wetland,NULL
587,Forest,Shrubland,NULL,Non_Wetland,Grassland
588,Forest,Shrubland,NULL,Non_Wetland,Wetland
589,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
590,Forest,Shrubland,NULL,Non_Wetland,Forest
591,Forest,Shrubland,Non_Water,Non_Wetland,Forest
592,Forest,Shrubland,Water,Non_Wetland,Grassland
593,Forest,Shrubland,Water,Non_Wetland,Bareland
594,Forest,Shrubland,Water,Non_Wetland,Forest
595,Forest,Grassland,NULL,Non_Wetland,Grassland
596,Forest,Grassland,NULL,Non_Wetland,Cropland
597,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
598,Forest,Grassland,NULL,Non_Wetland,Bareland
599,Forest,Grassland,NULL,Non_Wetland,Built-up
600,Forest,Grassland,NULL,Non_Wetland,Forest
601,Forest,Grassland,Non_Water,Non_Wetland,Forest
602,Forest,Grassland,Water,Non_Wetland,Grassland
603,Forest,Grassland,Water,Non_Wetland,Cropland
604,Forest,Grassland,Water,Non_Wetland,Built-up
605,Forest,Grassland,Water,Non_Wetland,Forest
606,Forest,Cropland,NULL,Non_Wetland,Grassland
607,Forest,Cropland,NULL,Non_Wetland,Cropland
608,Forest,Cropland,NULL,Non_Wetland,Wetland
609,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
610,Forest,Cropland,NULL,Non_Wetland,Bareland
611,Forest,Cropland,NULL,Non_Wetland,Built-up
612,Forest,Cropland,NULL,Non_Wetland,Forest
613,Forest,Cropland,Non_Water,Non_Wetland,Forest
614,Forest,Cropland,Water,Non_Wetland,Grassland
615,Forest,Cropland,Water,Non_Wetland,Cropland
616,Forest,Cropland,Water,Non_Wetland,Wetland
617,Forest,Cropland,Water,Non_Wetland,Lichens_and_Mosses
618,Forest,Cropland,Water,Non_Wetland,Bareland
619,Forest,Cropland,Water,Non_Wetland,Water
620,Forest,Cropland,Water,Non_Wetland,Forest
621,Forest,Wetland,NULL,Wetland,NULL
622,Forest,Wetland,NULL,Wetland,Grassland
623,Forest,Wetland,NULL,Wetland,Cropland
624,Forest,Wetland,NULL,Wetland,Wetland
625,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
626,Forest,Wetland,NULL,Wetland,Bareland
627,Forest,Wetland,NULL,Wetland,Built-up
628,Forest,Wetland,NULL,Wetland,Water
629,Forest,Wetland,NULL,Wetland,Forest
630,Forest,Wetland,Non_Water,Wetland,Grassland
631,Forest,Wetland,Non_Water,Wetland,Wetland
632,Forest,Wetland,Non_Water,Wetland,Water
633,Forest,Wetland,Non_Water,Wetland,Forest
634,Forest,Wetland,Water,Wetland,NULL
635,Forest,Wetland,Water,Wetland,Grassland
636,Forest,Wetland,Water,Wetland,Cropland
637,Forest,Wetland,Water,Wetland,Wetland
638,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
639,Forest,Wetland,Water,Wetland,Bareland
640,Forest,Wetland,Water,Wetland,Built-up
641,Forest,Wetland,Water,Wetland,Water
642,Forest,Wetland,Water,Wetland,Forest
643,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
644,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
645,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
646,Forest,Bareland,NULL,Non_Wetland,NULL
647,Forest,Bareland,NULL,Non_Wetland,Grassland
648,Forest,Bareland,NULL,Non_Wetland,Cropland
649,Forest,Bareland,NULL,Non_Wetland,Wetland
650,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
651,Forest,Bareland,NULL,Non_Wetland,Bareland
652,Forest,Bareland,NULL,Non_Wetland,Built-up
653,Forest,Bareland,NULL,Non_Wetland,Water
654,Forest,Bareland,NULL,Non_Wetland,Forest
655,Forest,Bareland,Non_Water,Non_Wetland,Grassland
656,Forest,Bareland,Non_Water,Non_Wetland,Wetland
657,Forest,Bareland,Non_Water,Non_Wetland,Forest
658,Forest,Bareland,Water,Non_Wetland,Grassland
659,Forest,Bareland,Water,Non_Wetland,Cropland
660,Forest,Bareland,Water,Non_Wetland,Wetland
661,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
662,Forest,Bareland,Water,Non_Wetland,Water
663,Forest,Bareland,Water,Non_Wetland,Forest
664,Forest,Built-up,NULL,Non_Wetland,Grassland
665,Forest,Built-up,NULL,Non_Wetland,Wetland
666,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
667,Forest,Built-up,NULL,Non_Wetland,Bareland
668,Forest,Built-up,NULL,Non_Wetland,Built-up
669,Forest,Built-up,NULL,Non_Wetland,Water
670,Forest,Built-up,NULL,Non_Wetland,Forest
671,Forest,Built-up,Non_Water,Non_Wetland,Forest
672,Forest,Built-up,Water,Non_Wetland,Grassland
673,Forest,Built-up,Water,Non_Wetland,Bareland
674,Forest,Built-up,Water,Non_Wetland,Forest
675,Forest,Water,NULL,Water,Grassland
676,Forest,Water,NULL,Water,Wetland
677,Forest,Water,NULL,Water,Water
678,Forest,Water,NULL,Water,Forest
679,Forest,Water,Non_Water,Water,Wetland
680,Forest,Water,Non_Water,Water,Water
681,Forest,Water,Non_Water,Water,Forest
682,Forest,Water,Water,Water,Grassland
683,Forest,Water,Water,Water,Wetland
684,Forest,Water,Water,Water,Lichens_and_Mosses
685,Forest,Water,Water,Water,Bareland
686,Forest,Water,Water,Water,Water
687,Forest,Water,Water,Water,Forest
688,Forest,Forest,NULL,Non_Wetland,NULL
689,Forest,Forest,NULL,Non_Wetland,Grassland
690,Forest,Forest,NULL,Non_Wetland,Cropland
691,Forest,Forest,NULL,Non_Wetland,Wetland
692,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
693,Forest,Forest,NULL,Non_Wetland,Bareland
694,Forest,Forest,NULL,Non_Wetland,Built-up
695,Forest,Forest,NULL,Non_Wetland,Water
696,Forest,Forest,NULL,Non_Wetland,Forest
697,Forest,Forest,Non_Water,Non_Wetland,Grassland
698,Forest,Forest,Non_Water,Non_Wetland,Wetland
699,Forest,Forest,Non_Water,Non_Wetland,Water
700,Forest,Forest,Non_Water,Non_Wetland,Forest
701,Forest,Forest,Water,Non_Wetland,NULL
702,Forest,Forest,Water,Non_Wetland,Grassland
703,Forest,Forest,Water,Non_Wetland,Wetland
704,Forest,Forest,Water,Non_Wetland,Water
705,Forest,Forest,Water,Non_Wetland,Forest
