Value,SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVC_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,SIBERIA_2024_WorldCover_2021_42WVC_M_R
409,Wetland,NULL,Wetland,NULL,Wetland,Wetland
410,Wetland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
411,Wetland,NULL,Wetland,NULL,Wetland,Bareland
412,Wetland,NULL,Wetland,NULL,Wetland,Water
413,Wetland,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
414,Wetland,NULL,Wetland,NULL,Wetland,Forest
415,Wetland,NULL,Wetland,Non_Water,NULL,Wetland
416,Wetland,NULL,Wetland,Non_Water,NULL,Water
417,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
418,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
419,Wetland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
420,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
421,Wetland,NULL,Wetland,Non_Water,Wetland,Water
422,Wetland,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
423,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
424,Wetland,NULL,Wetland,Water,NULL,Grassland
425,Wetland,NULL,Wetland,Water,NULL,Wetland
426,Wetland,NULL,Wetland,Water,NULL,Lichens_and_Mosses
427,Wetland,NULL,Wetland,Water,NULL,Bareland
428,Wetland,NULL,Wetland,Water,NULL,Water
429,Wetland,NULL,Wetland,Water,Wetland,Grassland
430,Wetland,NULL,Wetland,Water,Wetland,Wetland
431,Wetland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
432,Wetland,NULL,Wetland,Water,Wetland,Bareland
433,Wetland,NULL,Wetland,Water,Wetland,Water
434,Wetland,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
435,Wetland,NULL,Wetland,Water,Wetland,Forest
436,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
437,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
438,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
439,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
440,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
441,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
442,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
443,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
444,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
445,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
446,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
447,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
448,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
449,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
450,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
451,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
452,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
453,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up
454,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
455,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Permanent_ice_and_snow
456,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
457,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
458,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
459,Wetland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
460,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
461,Wetland,NULL,Bareland,NULL,Non_Wetland,Built-up
462,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
463,Wetland,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
464,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
465,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
466,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
467,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
468,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
469,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
470,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
471,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
472,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
473,Wetland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
474,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
475,Wetland,NULL,Bareland,Water,Non_Wetland,Water
476,Wetland,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
477,Wetland,NULL,Bareland,Water,Non_Wetland,Forest
478,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
479,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
480,Wetland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
481,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
482,Wetland,NULL,Built-up,NULL,Non_Wetland,Built-up
483,Wetland,NULL,Built-up,NULL,Non_Wetland,Water
484,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
485,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
486,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
487,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
488,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Built-up
489,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Water
490,Wetland,NULL,Built-up,Water,Non_Wetland,Grassland
491,Wetland,NULL,Built-up,Water,Non_Wetland,Wetland
492,Wetland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
493,Wetland,NULL,Built-up,Water,Non_Wetland,Bareland
494,Wetland,NULL,Built-up,Water,Non_Wetland,Built-up
495,Wetland,NULL,Built-up,Water,Non_Wetland,Water
496,Wetland,NULL,Water,NULL,NULL,Wetland
497,Wetland,NULL,Water,NULL,NULL,Bareland
498,Wetland,NULL,Water,NULL,NULL,Water
499,Wetland,NULL,Water,NULL,Water,Grassland
500,Wetland,NULL,Water,NULL,Water,Wetland
501,Wetland,NULL,Water,NULL,Water,Lichens_and_Mosses
502,Wetland,NULL,Water,NULL,Water,Bareland
503,Wetland,NULL,Water,NULL,Water,Water
504,Wetland,NULL,Water,NULL,Water,Forest
505,Wetland,NULL,Water,Non_Water,NULL,Wetland
506,Wetland,NULL,Water,Non_Water,NULL,Water
507,Wetland,NULL,Water,Non_Water,Water,Grassland
508,Wetland,NULL,Water,Non_Water,Water,Wetland
509,Wetland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
510,Wetland,NULL,Water,Non_Water,Water,Bareland
511,Wetland,NULL,Water,Non_Water,Water,Water
512,Wetland,NULL,Water,Non_Water,Water,Permanent_ice_and_snow
513,Wetland,NULL,Water,Non_Water,Water,Forest
514,Wetland,NULL,Water,Water,NULL,Grassland
515,Wetland,NULL,Water,Water,NULL,Wetland
516,Wetland,NULL,Water,Water,NULL,Lichens_and_Mosses
517,Wetland,NULL,Water,Water,NULL,Bareland
518,Wetland,NULL,Water,Water,NULL,Water
519,Wetland,NULL,Water,Water,NULL,Permanent_ice_and_snow
520,Wetland,NULL,Water,Water,Water,Grassland
521,Wetland,NULL,Water,Water,Water,Wetland
522,Wetland,NULL,Water,Water,Water,Lichens_and_Mosses
523,Wetland,NULL,Water,Water,Water,Bareland
524,Wetland,NULL,Water,Water,Water,Water
525,Wetland,NULL,Water,Water,Water,Permanent_ice_and_snow
526,Wetland,NULL,Water,Water,Water,Forest
527,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
528,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
529,Wetland,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
530,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland
531,Wetland,NULL,Forest,NULL,Non_Wetland,Water
532,Wetland,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
533,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
534,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
535,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
536,Wetland,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
537,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland
538,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water
539,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
540,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
541,Wetland,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
542,Wetland,NULL,Forest,Water,Non_Wetland,Bareland
543,Wetland,NULL,Forest,Water,Non_Wetland,Water
544,Wetland,NULL,Forest,Water,Non_Wetland,Permanent_ice_and_snow
545,Wetland,NULL,Forest,Water,Non_Wetland,Forest
546,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
547,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland
548,Bareland,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
549,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
550,Bareland,NULL,NULL,NULL,Non_Wetland,Water
551,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
552,Bareland,NULL,NULL,Non_Water,Non_Wetland,Wetland
553,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
554,Bareland,NULL,NULL,Non_Water,Non_Wetland,Water
555,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
556,Bareland,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
557,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
558,Bareland,NULL,NULL,Water,Non_Wetland,Water
559,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
560,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
561,Bareland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
562,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
563,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
564,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
565,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
566,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
567,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
568,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Water
569,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Permanent_ice_and_snow
570,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
571,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
572,Bareland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
573,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
574,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
575,Bareland,NULL,Shrubland,Water,Non_Wetland,Permanent_ice_and_snow
576,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
577,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
578,Bareland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
579,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
580,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
581,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
582,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
583,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
584,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
585,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
586,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Water
587,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
588,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
589,Bareland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
590,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
591,Bareland,NULL,Grassland,Water,Non_Wetland,Water
592,Bareland,NULL,Wetland,NULL,NULL,Grassland
593,Bareland,NULL,Wetland,NULL,NULL,Wetland
594,Bareland,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
595,Bareland,NULL,Wetland,NULL,NULL,Bareland
596,Bareland,NULL,Wetland,NULL,NULL,Water
597,Bareland,NULL,Wetland,NULL,Wetland,Grassland
598,Bareland,NULL,Wetland,NULL,Wetland,Wetland
599,Bareland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
600,Bareland,NULL,Wetland,NULL,Wetland,Bareland
601,Bareland,NULL,Wetland,NULL,Wetland,Water
602,Bareland,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
603,Bareland,NULL,Wetland,NULL,Wetland,Forest
604,Bareland,NULL,Wetland,Non_Water,NULL,Wetland
605,Bareland,NULL,Wetland,Non_Water,NULL,Lichens_and_Mosses
606,Bareland,NULL,Wetland,Non_Water,NULL,Bareland
607,Bareland,NULL,Wetland,Non_Water,NULL,Water
608,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
609,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
610,Bareland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
611,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
612,Bareland,NULL,Wetland,Non_Water,Wetland,Water
613,Bareland,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
614,Bareland,NULL,Wetland,Water,NULL,Grassland
615,Bareland,NULL,Wetland,Water,NULL,Wetland
616,Bareland,NULL,Wetland,Water,NULL,Lichens_and_Mosses
617,Bareland,NULL,Wetland,Water,NULL,Bareland
618,Bareland,NULL,Wetland,Water,NULL,Water
619,Bareland,NULL,Wetland,Water,Wetland,Grassland
620,Bareland,NULL,Wetland,Water,Wetland,Wetland
621,Bareland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
622,Bareland,NULL,Wetland,Water,Wetland,Bareland
623,Bareland,NULL,Wetland,Water,Wetland,Water
624,Bareland,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
625,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
626,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
627,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
628,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
629,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
630,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
631,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
632,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
633,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
634,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
635,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
636,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
637,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
638,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
639,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
640,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
641,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
642,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
643,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Permanent_ice_and_snow
644,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
645,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
646,Bareland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
647,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
648,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
649,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
650,Bareland,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
651,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
652,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
653,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
654,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
655,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
656,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
657,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
658,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
659,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
660,Bareland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
661,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
662,Bareland,NULL,Bareland,Water,Non_Wetland,Built-up
663,Bareland,NULL,Bareland,Water,Non_Wetland,Water
664,Bareland,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
665,Bareland,NULL,Bareland,Water,Non_Wetland,Forest
666,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
667,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
668,Bareland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
669,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
670,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
671,Bareland,NULL,Built-up,NULL,Non_Wetland,Water
672,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
673,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
674,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
675,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
676,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
677,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Built-up
678,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Water
679,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
680,Bareland,NULL,Built-up,Water,Non_Wetland,Wetland
681,Bareland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
682,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
683,Bareland,NULL,Built-up,Water,Non_Wetland,Built-up
684,Bareland,NULL,Built-up,Water,Non_Wetland,Water
685,Bareland,NULL,Water,NULL,NULL,Wetland
686,Bareland,NULL,Water,NULL,NULL,Lichens_and_Mosses
687,Bareland,NULL,Water,NULL,NULL,Bareland
688,Bareland,NULL,Water,NULL,NULL,Water
689,Bareland,NULL,Water,NULL,Water,Grassland
690,Bareland,NULL,Water,NULL,Water,Wetland
691,Bareland,NULL,Water,NULL,Water,Lichens_and_Mosses
692,Bareland,NULL,Water,NULL,Water,Bareland
693,Bareland,NULL,Water,NULL,Water,Water
694,Bareland,NULL,Water,NULL,Water,Forest
695,Bareland,NULL,Water,Non_Water,NULL,Wetland
696,Bareland,NULL,Water,Non_Water,NULL,Bareland
697,Bareland,NULL,Water,Non_Water,Water,Grassland
698,Bareland,NULL,Water,Non_Water,Water,Wetland
699,Bareland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
700,Bareland,NULL,Water,Non_Water,Water,Bareland
701,Bareland,NULL,Water,Non_Water,Water,Water
702,Bareland,NULL,Water,Non_Water,Water,Permanent_ice_and_snow
703,Bareland,NULL,Water,Water,NULL,Grassland
704,Bareland,NULL,Water,Water,NULL,Wetland
705,Bareland,NULL,Water,Water,NULL,Lichens_and_Mosses
706,Bareland,NULL,Water,Water,NULL,Bareland
707,Bareland,NULL,Water,Water,NULL,Water
708,Bareland,NULL,Water,Water,Water,Grassland
709,Bareland,NULL,Water,Water,Water,Wetland
710,Bareland,NULL,Water,Water,Water,Lichens_and_Mosses
711,Bareland,NULL,Water,Water,Water,Bareland
712,Bareland,NULL,Water,Water,Water,Water
713,Bareland,NULL,Water,Water,Water,Permanent_ice_and_snow
714,Bareland,NULL,Water,Water,Water,Forest
715,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
716,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
717,Bareland,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
718,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
719,Bareland,NULL,Forest,NULL,Non_Wetland,Water
720,Bareland,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
721,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
722,Bareland,NULL,Forest,Non_Water,Non_Wetland,Grassland
723,Bareland,NULL,Forest,Non_Water,Non_Wetland,Wetland
724,Bareland,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
725,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
726,Bareland,NULL,Forest,Non_Water,Non_Wetland,Water
727,Bareland,NULL,Forest,Water,Non_Wetland,Grassland
728,Bareland,NULL,Forest,Water,Non_Wetland,Wetland
729,Bareland,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
730,Bareland,NULL,Forest,Water,Non_Wetland,Bareland
731,Bareland,NULL,Forest,Water,Non_Wetland,Water
732,Bareland,NULL,Forest,Water,Non_Wetland,Permanent_ice_and_snow
733,Water,NULL,NULL,NULL,Non_Wetland,Water
734,Water,NULL,NULL,Non_Water,Non_Wetland,Grassland
735,Water,NULL,NULL,Non_Water,Non_Wetland,Water
736,Water,NULL,NULL,Water,Non_Wetland,Wetland
737,Water,NULL,NULL,Water,Non_Wetland,Water
738,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
739,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
740,Water,NULL,Shrubland,NULL,Non_Wetland,Water
741,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
742,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water
743,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
744,Water,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
745,Water,NULL,Shrubland,Water,Non_Wetland,Water
746,Water,NULL,Grassland,NULL,Non_Wetland,Water
747,Water,NULL,Grassland,Water,Non_Wetland,Water
748,Water,NULL,Wetland,NULL,NULL,Wetland
749,Water,NULL,Wetland,NULL,NULL,Water
750,Water,NULL,Wetland,NULL,Wetland,Grassland
751,Water,NULL,Wetland,NULL,Wetland,Wetland
752,Water,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
753,Water,NULL,Wetland,NULL,Wetland,Water
754,Water,NULL,Wetland,Non_Water,Wetland,Grassland
755,Water,NULL,Wetland,Non_Water,Wetland,Wetland
756,Water,NULL,Wetland,Non_Water,Wetland,Water
757,Water,NULL,Wetland,Water,NULL,Lichens_and_Mosses
758,Water,NULL,Wetland,Water,NULL,Water
759,Water,NULL,Wetland,Water,Wetland,Grassland
760,Water,NULL,Wetland,Water,Wetland,Wetland
761,Water,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
762,Water,NULL,Wetland,Water,Wetland,Bareland
763,Water,NULL,Wetland,Water,Wetland,Water
764,Water,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
765,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
766,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
767,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
768,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
769,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
770,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
771,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
772,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
773,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
774,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
775,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
776,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
777,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
778,Water,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
779,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
780,Water,NULL,Bareland,NULL,Non_Wetland,Water
781,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland
782,Water,NULL,Bareland,Non_Water,Non_Wetland,Water
783,Water,NULL,Bareland,Water,Non_Wetland,Grassland
784,Water,NULL,Bareland,Water,Non_Wetland,Wetland
785,Water,NULL,Bareland,Water,Non_Wetland,Bareland
786,Water,NULL,Bareland,Water,Non_Wetland,Water
787,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
788,Water,NULL,Built-up,NULL,Non_Wetland,Water
789,Water,NULL,Built-up,Water,Non_Wetland,Water
790,Water,NULL,Water,NULL,NULL,Wetland
791,Water,NULL,Water,NULL,NULL,Water
792,Water,NULL,Water,NULL,Water,Grassland
793,Water,NULL,Water,NULL,Water,Wetland
794,Water,NULL,Water,NULL,Water,Lichens_and_Mosses
795,Water,NULL,Water,NULL,Water,Bareland
796,Water,NULL,Water,NULL,Water,Water
797,Water,NULL,Water,Non_Water,Water,Grassland
798,Water,NULL,Water,Non_Water,Water,Wetland
799,Water,NULL,Water,Non_Water,Water,Lichens_and_Mosses
800,Water,NULL,Water,Non_Water,Water,Water
801,Water,NULL,Water,Water,NULL,Wetland
802,Water,NULL,Water,Water,NULL,Bareland
803,Water,NULL,Water,Water,NULL,Water
804,Water,NULL,Water,Water,Water,Grassland
805,Water,NULL,Water,Water,Water,Wetland
806,Water,NULL,Water,Water,Water,Lichens_and_Mosses
807,Water,NULL,Water,Water,Water,Bareland
808,Water,NULL,Water,Water,Water,Water
809,Water,NULL,Water,Water,Water,Permanent_ice_and_snow
810,Water,NULL,Forest,NULL,Non_Wetland,Wetland
811,Water,NULL,Forest,NULL,Non_Wetland,Water
812,Water,NULL,Forest,Non_Water,Non_Wetland,Water
813,Water,NULL,Forest,Water,Non_Wetland,Wetland
814,Water,NULL,Forest,Water,Non_Wetland,Water
815,Permanent_ice_and_snow,NULL,Shrubland,Water,Non_Wetland,Water
816,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,Water
817,Permanent_ice_and_snow,NULL,Wetland,Non_Water,Wetland,Bareland
818,Permanent_ice_and_snow,NULL,Wetland,Non_Water,Wetland,Water
819,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
820,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Bareland
821,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Water
822,Permanent_ice_and_snow,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
823,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
824,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,Water
825,Permanent_ice_and_snow,NULL,Bareland,Water,Non_Wetland,Water
826,Permanent_ice_and_snow,NULL,Water,NULL,Water,Grassland
