Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,SIBERIA_2024_WorldCover_2021_44WNS_M_R
485,Water,Bareland,Non_Water,Non_Wetland,Wetland
486,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
487,Water,Bareland,Non_Water,Non_Wetland,Bareland
488,Water,Bareland,Non_Water,Non_Wetland,Water
489,Water,Bareland,Non_Water,Non_Wetland,Forest
490,Water,Bareland,Water,Non_Wetland,Grassland
491,Water,Bareland,Water,Non_Wetland,Wetland
492,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
493,Water,Bareland,Water,Non_Wetland,Bareland
494,Water,Bareland,Water,Non_Wetland,Water
495,Water,Bareland,Water,Non_Wetland,Forest
496,Water,Built-up,NULL,Non_Wetland,Grassland
497,Water,Built-up,NULL,Non_Wetland,Wetland
498,Water,Built-up,NULL,Non_Wetland,Bareland
499,Water,Built-up,NULL,Non_Wetland,Water
500,Water,Built-up,NULL,Non_Wetland,Forest
501,Water,Built-up,Non_Water,Non_Wetland,Grassland
502,Water,Built-up,Non_Water,Non_Wetland,Water
503,Water,Built-up,Water,Non_Wetland,Grassland
504,Water,Built-up,Water,Non_Wetland,Wetland
505,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
506,Water,Built-up,Water,Non_Wetland,Bareland
507,Water,Built-up,Water,Non_Wetland,Water
508,Water,Built-up,Water,Non_Wetland,Forest
509,Water,Water,NULL,Water,Grassland
510,Water,Water,NULL,Water,Wetland
511,Water,Water,NULL,Water,Lichens_and_Mosses
512,Water,Water,NULL,Water,Bareland
513,Water,Water,NULL,Water,Water
514,Water,Water,NULL,Water,Forest
515,Water,Water,Non_Water,Water,Grassland
516,Water,Water,Non_Water,Water,Wetland
517,Water,Water,Non_Water,Water,Lichens_and_Mosses
518,Water,Water,Non_Water,Water,Bareland
519,Water,Water,Non_Water,Water,Water
520,Water,Water,Non_Water,Water,Forest
521,Water,Water,Water,Water,Grassland
522,Water,Water,Water,Water,Wetland
523,Water,Water,Water,Water,Lichens_and_Mosses
524,Water,Water,Water,Water,Bareland
525,Water,Water,Water,Water,Water
526,Water,Water,Water,Water,Forest
527,Water,Forest,NULL,Non_Wetland,Grassland
528,Water,Forest,NULL,Non_Wetland,Wetland
529,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
530,Water,Forest,NULL,Non_Wetland,Bareland
531,Water,Forest,NULL,Non_Wetland,Water
532,Water,Forest,NULL,Non_Wetland,Forest
533,Water,Forest,Non_Water,Non_Wetland,Grassland
534,Water,Forest,Non_Water,Non_Wetland,Wetland
535,Water,Forest,Non_Water,Non_Wetland,Water
536,Water,Forest,Non_Water,Non_Wetland,Forest
537,Water,Forest,Water,Non_Wetland,Grassland
538,Water,Forest,Water,Non_Wetland,Wetland
539,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
540,Water,Forest,Water,Non_Wetland,Bareland
541,Water,Forest,Water,Non_Wetland,Water
542,Water,Forest,Water,Non_Wetland,Forest
543,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
544,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
545,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
546,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
547,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
548,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
549,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
550,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
551,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
552,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
553,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
554,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
555,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
556,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
557,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
558,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
559,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
560,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
561,Permanent_ice_and_snow,Water,Water,Water,Forest
562,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
563,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
564,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
565,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
566,Forest,NULL,NULL,Non_Wetland,NULL
567,Forest,NULL,NULL,Non_Wetland,Grassland
568,Forest,NULL,NULL,Non_Wetland,Wetland
569,Forest,NULL,NULL,Non_Wetland,Water
570,Forest,NULL,NULL,Non_Wetland,Forest
571,Forest,NULL,Non_Water,Non_Wetland,Grassland
572,Forest,NULL,Non_Water,Non_Wetland,Wetland
573,Forest,NULL,Non_Water,Non_Wetland,Water
574,Forest,NULL,Non_Water,Non_Wetland,Forest
575,Forest,NULL,Water,Non_Wetland,Grassland
576,Forest,NULL,Water,Non_Wetland,Wetland
577,Forest,NULL,Water,Non_Wetland,Bareland
578,Forest,NULL,Water,Non_Wetland,Water
579,Forest,NULL,Water,Non_Wetland,Forest
580,Forest,Shrubland,NULL,Non_Wetland,NULL
581,Forest,Shrubland,NULL,Non_Wetland,Grassland
582,Forest,Shrubland,NULL,Non_Wetland,Wetland
583,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
584,Forest,Shrubland,NULL,Non_Wetland,Bareland
585,Forest,Shrubland,NULL,Non_Wetland,Built-up
586,Forest,Shrubland,NULL,Non_Wetland,Water
587,Forest,Shrubland,NULL,Non_Wetland,Forest
588,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
589,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
590,Forest,Shrubland,Non_Water,Non_Wetland,Water
591,Forest,Shrubland,Non_Water,Non_Wetland,Forest
592,Forest,Shrubland,Water,Non_Wetland,Grassland
593,Forest,Shrubland,Water,Non_Wetland,Wetland
594,Forest,Shrubland,Water,Non_Wetland,Bareland
595,Forest,Shrubland,Water,Non_Wetland,Water
596,Forest,Shrubland,Water,Non_Wetland,Forest
597,Forest,Grassland,NULL,Non_Wetland,NULL
598,Forest,Grassland,NULL,Non_Wetland,Grassland
599,Forest,Grassland,NULL,Non_Wetland,Wetland
600,Forest,Grassland,NULL,Non_Wetland,Forest
601,Forest,Grassland,Non_Water,Non_Wetland,Grassland
602,Forest,Grassland,Non_Water,Non_Wetland,Wetland
603,Forest,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
604,Forest,Grassland,Non_Water,Non_Wetland,Forest
605,Forest,Grassland,Water,Non_Wetland,Grassland
606,Forest,Grassland,Water,Non_Wetland,Wetland
607,Forest,Grassland,Water,Non_Wetland,Lichens_and_Mosses
608,Forest,Grassland,Water,Non_Wetland,Bareland
609,Forest,Grassland,Water,Non_Wetland,Forest
610,Forest,Cropland,NULL,Non_Wetland,Grassland
611,Forest,Cropland,NULL,Non_Wetland,Wetland
612,Forest,Cropland,NULL,Non_Wetland,Forest
613,Forest,Cropland,Non_Water,Non_Wetland,Grassland
614,Forest,Cropland,Non_Water,Non_Wetland,Wetland
615,Forest,Cropland,Water,Non_Wetland,Wetland
616,Forest,Cropland,Water,Non_Wetland,Forest
617,Forest,Wetland,NULL,Wetland,NULL
618,Forest,Wetland,NULL,Wetland,Grassland
619,Forest,Wetland,NULL,Wetland,Wetland
620,Forest,Wetland,NULL,Wetland,Bareland
621,Forest,Wetland,NULL,Wetland,Water
622,Forest,Wetland,NULL,Wetland,Forest
623,Forest,Wetland,Non_Water,Wetland,Grassland
624,Forest,Wetland,Non_Water,Wetland,Wetland
625,Forest,Wetland,Non_Water,Wetland,Lichens_and_Mosses
626,Forest,Wetland,Non_Water,Wetland,Bareland
627,Forest,Wetland,Non_Water,Wetland,Water
628,Forest,Wetland,Non_Water,Wetland,Forest
629,Forest,Wetland,Water,Wetland,Grassland
630,Forest,Wetland,Water,Wetland,Wetland
631,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
632,Forest,Wetland,Water,Wetland,Bareland
633,Forest,Wetland,Water,Wetland,Water
634,Forest,Wetland,Water,Wetland,Forest
635,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
636,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
637,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
638,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
639,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
640,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
641,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
642,Forest,Lichens_and_Mosses,Water,Non_Wetland,Wetland
643,Forest,Lichens_and_Mosses,Water,Non_Wetland,Bareland
644,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
645,Forest,Bareland,NULL,Non_Wetland,NULL
646,Forest,Bareland,NULL,Non_Wetland,Grassland
647,Forest,Bareland,NULL,Non_Wetland,Wetland
648,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
649,Forest,Bareland,NULL,Non_Wetland,Bareland
650,Forest,Bareland,NULL,Non_Wetland,Built-up
651,Forest,Bareland,NULL,Non_Wetland,Water
652,Forest,Bareland,NULL,Non_Wetland,Forest
653,Forest,Bareland,Non_Water,Non_Wetland,Grassland
654,Forest,Bareland,Non_Water,Non_Wetland,Wetland
655,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
656,Forest,Bareland,Non_Water,Non_Wetland,Bareland
657,Forest,Bareland,Non_Water,Non_Wetland,Forest
658,Forest,Bareland,Water,Non_Wetland,Grassland
659,Forest,Bareland,Water,Non_Wetland,Wetland
660,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
661,Forest,Bareland,Water,Non_Wetland,Bareland
662,Forest,Bareland,Water,Non_Wetland,Water
663,Forest,Bareland,Water,Non_Wetland,Forest
664,Forest,Built-up,NULL,Non_Wetland,Grassland
665,Forest,Built-up,NULL,Non_Wetland,Wetland
666,Forest,Built-up,NULL,Non_Wetland,Bareland
667,Forest,Built-up,NULL,Non_Wetland,Built-up
668,Forest,Built-up,NULL,Non_Wetland,Water
669,Forest,Built-up,NULL,Non_Wetland,Forest
670,Forest,Built-up,Non_Water,Non_Wetland,Forest
671,Forest,Built-up,Water,Non_Wetland,Grassland
672,Forest,Built-up,Water,Non_Wetland,Wetland
673,Forest,Built-up,Water,Non_Wetland,Bareland
674,Forest,Built-up,Water,Non_Wetland,Forest
675,Forest,Water,NULL,Water,Grassland
676,Forest,Water,NULL,Water,Wetland
677,Forest,Water,NULL,Water,Water
678,Forest,Water,NULL,Water,Forest
679,Forest,Water,Non_Water,Water,Grassland
680,Forest,Water,Non_Water,Water,Wetland
681,Forest,Water,Non_Water,Water,Water
682,Forest,Water,Non_Water,Water,Forest
683,Forest,Water,Water,Water,Grassland
684,Forest,Water,Water,Water,Wetland
685,Forest,Water,Water,Water,Water
686,Forest,Water,Water,Water,Forest
687,Forest,Forest,NULL,Non_Wetland,NULL
688,Forest,Forest,NULL,Non_Wetland,Grassland
689,Forest,Forest,NULL,Non_Wetland,Wetland
690,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
691,Forest,Forest,NULL,Non_Wetland,Bareland
692,Forest,Forest,NULL,Non_Wetland,Water
693,Forest,Forest,NULL,Non_Wetland,Forest
694,Forest,Forest,Non_Water,Non_Wetland,Grassland
695,Forest,Forest,Non_Water,Non_Wetland,Wetland
696,Forest,Forest,Non_Water,Non_Wetland,Water
697,Forest,Forest,Non_Water,Non_Wetland,Forest
698,Forest,Forest,Water,Non_Wetland,Grassland
699,Forest,Forest,Water,Non_Wetland,Wetland
700,Forest,Forest,Water,Non_Wetland,Water
701,Forest,Forest,Water,Non_Wetland,Forest
