Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,SIBERIA_2024_WorldCover_2021_44WPA_M_R
467,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
468,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
469,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
470,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
471,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Bareland
472,Built-up,Bareland,NULL,Non_Wetland,Grassland
473,Built-up,Bareland,NULL,Non_Wetland,Wetland
474,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
475,Built-up,Bareland,NULL,Non_Wetland,Bareland
476,Built-up,Bareland,NULL,Non_Wetland,Built-up
477,Built-up,Bareland,NULL,Non_Wetland,Water
478,Built-up,Bareland,NULL,Non_Wetland,Forest
479,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
480,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
481,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
482,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
483,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
484,Built-up,Bareland,Non_Water,Non_Wetland,Water
485,Built-up,Bareland,Water,Non_Wetland,Grassland
486,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
487,Built-up,Bareland,Water,Non_Wetland,Bareland
488,Built-up,Bareland,Water,Non_Wetland,Built-up
489,Built-up,Bareland,Water,Non_Wetland,Water
490,Built-up,Built-up,NULL,Non_Wetland,Grassland
491,Built-up,Built-up,NULL,Non_Wetland,Wetland
492,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
493,Built-up,Built-up,NULL,Non_Wetland,Bareland
494,Built-up,Built-up,NULL,Non_Wetland,Built-up
495,Built-up,Built-up,NULL,Non_Wetland,Water
496,Built-up,Built-up,NULL,Non_Wetland,Forest
497,Built-up,Built-up,Non_Water,Non_Wetland,Wetland
498,Built-up,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
499,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
500,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
501,Built-up,Built-up,Non_Water,Non_Wetland,Water
502,Built-up,Built-up,Water,Non_Wetland,Grassland
503,Built-up,Built-up,Water,Non_Wetland,Lichens_and_Mosses
504,Built-up,Built-up,Water,Non_Wetland,Bareland
505,Built-up,Built-up,Water,Non_Wetland,Built-up
506,Built-up,Built-up,Water,Non_Wetland,Water
507,Built-up,Water,NULL,Water,Wetland
508,Built-up,Water,NULL,Water,Lichens_and_Mosses
509,Built-up,Water,NULL,Water,Bareland
510,Built-up,Water,NULL,Water,Built-up
511,Built-up,Water,Water,Water,Bareland
512,Built-up,Water,Water,Water,Built-up
513,Built-up,Water,Water,Water,Water
514,Built-up,Forest,NULL,Non_Wetland,Grassland
515,Built-up,Forest,NULL,Non_Wetland,Wetland
516,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
517,Built-up,Forest,NULL,Non_Wetland,Bareland
518,Built-up,Forest,NULL,Non_Wetland,Water
519,Built-up,Forest,NULL,Non_Wetland,Forest
520,Built-up,Forest,Non_Water,Non_Wetland,Grassland
521,Built-up,Forest,Non_Water,Non_Wetland,Bareland
522,Built-up,Forest,Water,Non_Wetland,Grassland
523,Built-up,Forest,Water,Non_Wetland,Bareland
524,Built-up,Forest,Water,Non_Wetland,Forest
525,Water,NULL,NULL,Non_Wetland,Grassland
526,Water,NULL,NULL,Non_Wetland,Wetland
527,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
528,Water,NULL,NULL,Non_Wetland,Bareland
529,Water,NULL,NULL,Non_Wetland,Water
530,Water,NULL,NULL,Non_Wetland,Forest
531,Water,NULL,Non_Water,Non_Wetland,Grassland
532,Water,NULL,Non_Water,Non_Wetland,Wetland
533,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
534,Water,NULL,Non_Water,Non_Wetland,Bareland
535,Water,NULL,Non_Water,Non_Wetland,Water
536,Water,NULL,Non_Water,Non_Wetland,Forest
537,Water,NULL,Water,Non_Wetland,Grassland
538,Water,NULL,Water,Non_Wetland,Wetland
539,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
540,Water,NULL,Water,Non_Wetland,Bareland
541,Water,NULL,Water,Non_Wetland,Water
542,Water,NULL,Water,Non_Wetland,Forest
543,Water,Shrubland,NULL,Non_Wetland,Grassland
544,Water,Shrubland,NULL,Non_Wetland,Wetland
545,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
546,Water,Shrubland,NULL,Non_Wetland,Bareland
547,Water,Shrubland,NULL,Non_Wetland,Water
548,Water,Shrubland,NULL,Non_Wetland,Forest
549,Water,Shrubland,Non_Water,Non_Wetland,Grassland
550,Water,Shrubland,Non_Water,Non_Wetland,Wetland
551,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
552,Water,Shrubland,Non_Water,Non_Wetland,Bareland
553,Water,Shrubland,Non_Water,Non_Wetland,Water
554,Water,Shrubland,Non_Water,Non_Wetland,Forest
555,Water,Shrubland,Water,Non_Wetland,Grassland
556,Water,Shrubland,Water,Non_Wetland,Wetland
557,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
558,Water,Shrubland,Water,Non_Wetland,Bareland
559,Water,Shrubland,Water,Non_Wetland,Water
560,Water,Shrubland,Water,Non_Wetland,Forest
561,Water,Grassland,NULL,Non_Wetland,Grassland
562,Water,Grassland,NULL,Non_Wetland,Wetland
563,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
564,Water,Grassland,NULL,Non_Wetland,Bareland
565,Water,Grassland,NULL,Non_Wetland,Water
566,Water,Grassland,NULL,Non_Wetland,Forest
567,Water,Grassland,Non_Water,Non_Wetland,Grassland
568,Water,Grassland,Non_Water,Non_Wetland,Wetland
569,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
570,Water,Grassland,Non_Water,Non_Wetland,Bareland
571,Water,Grassland,Non_Water,Non_Wetland,Water
572,Water,Grassland,Non_Water,Non_Wetland,Forest
573,Water,Grassland,Water,Non_Wetland,Grassland
574,Water,Grassland,Water,Non_Wetland,Wetland
575,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
576,Water,Grassland,Water,Non_Wetland,Bareland
577,Water,Grassland,Water,Non_Wetland,Water
578,Water,Grassland,Water,Non_Wetland,Forest
579,Water,Wetland,NULL,Wetland,Grassland
580,Water,Wetland,NULL,Wetland,Wetland
581,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
582,Water,Wetland,NULL,Wetland,Bareland
583,Water,Wetland,NULL,Wetland,Water
584,Water,Wetland,NULL,Wetland,Forest
585,Water,Wetland,Non_Water,Wetland,Grassland
586,Water,Wetland,Non_Water,Wetland,Wetland
587,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
588,Water,Wetland,Non_Water,Wetland,Bareland
589,Water,Wetland,Non_Water,Wetland,Water
590,Water,Wetland,Non_Water,Wetland,Forest
591,Water,Wetland,Water,Wetland,Grassland
592,Water,Wetland,Water,Wetland,Wetland
593,Water,Wetland,Water,Wetland,Lichens_and_Mosses
594,Water,Wetland,Water,Wetland,Bareland
595,Water,Wetland,Water,Wetland,Water
596,Water,Wetland,Water,Wetland,Forest
597,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
598,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
599,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
600,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
601,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
602,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
603,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
604,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
605,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
606,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
607,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
608,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
609,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
610,Water,Bareland,NULL,Non_Wetland,Grassland
611,Water,Bareland,NULL,Non_Wetland,Wetland
612,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
613,Water,Bareland,NULL,Non_Wetland,Bareland
614,Water,Bareland,NULL,Non_Wetland,Water
615,Water,Bareland,NULL,Non_Wetland,Forest
616,Water,Bareland,Non_Water,Non_Wetland,Grassland
617,Water,Bareland,Non_Water,Non_Wetland,Wetland
618,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
619,Water,Bareland,Non_Water,Non_Wetland,Bareland
620,Water,Bareland,Non_Water,Non_Wetland,Water
621,Water,Bareland,Non_Water,Non_Wetland,Forest
622,Water,Bareland,Water,Non_Wetland,Grassland
623,Water,Bareland,Water,Non_Wetland,Wetland
624,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
625,Water,Bareland,Water,Non_Wetland,Bareland
626,Water,Bareland,Water,Non_Wetland,Water
627,Water,Bareland,Water,Non_Wetland,Forest
628,Water,Built-up,NULL,Non_Wetland,Grassland
629,Water,Built-up,NULL,Non_Wetland,Wetland
630,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
631,Water,Built-up,NULL,Non_Wetland,Bareland
632,Water,Built-up,NULL,Non_Wetland,Water
633,Water,Built-up,NULL,Non_Wetland,Forest
634,Water,Built-up,Non_Water,Non_Wetland,Grassland
635,Water,Built-up,Non_Water,Non_Wetland,Wetland
636,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
637,Water,Built-up,Non_Water,Non_Wetland,Bareland
638,Water,Built-up,Non_Water,Non_Wetland,Water
639,Water,Built-up,Non_Water,Non_Wetland,Forest
640,Water,Built-up,Water,Non_Wetland,Grassland
641,Water,Built-up,Water,Non_Wetland,Wetland
642,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
643,Water,Built-up,Water,Non_Wetland,Bareland
644,Water,Built-up,Water,Non_Wetland,Water
645,Water,Built-up,Water,Non_Wetland,Forest
646,Water,Water,NULL,Water,Grassland
647,Water,Water,NULL,Water,Wetland
648,Water,Water,NULL,Water,Lichens_and_Mosses
649,Water,Water,NULL,Water,Bareland
650,Water,Water,NULL,Water,Built-up
651,Water,Water,NULL,Water,Water
652,Water,Water,NULL,Water,Permanent_ice_and_snow
653,Water,Water,NULL,Water,Forest
654,Water,Water,Non_Water,Water,Grassland
655,Water,Water,Non_Water,Water,Wetland
656,Water,Water,Non_Water,Water,Lichens_and_Mosses
657,Water,Water,Non_Water,Water,Bareland
658,Water,Water,Non_Water,Water,Water
659,Water,Water,Non_Water,Water,Forest
660,Water,Water,Water,Water,Grassland
661,Water,Water,Water,Water,Wetland
662,Water,Water,Water,Water,Lichens_and_Mosses
663,Water,Water,Water,Water,Bareland
664,Water,Water,Water,Water,Water
665,Water,Water,Water,Water,Forest
666,Water,Forest,NULL,Non_Wetland,Grassland
667,Water,Forest,NULL,Non_Wetland,Wetland
668,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
669,Water,Forest,NULL,Non_Wetland,Bareland
670,Water,Forest,NULL,Non_Wetland,Water
671,Water,Forest,NULL,Non_Wetland,Forest
672,Water,Forest,Non_Water,Non_Wetland,Grassland
673,Water,Forest,Non_Water,Non_Wetland,Wetland
674,Water,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
675,Water,Forest,Non_Water,Non_Wetland,Bareland
676,Water,Forest,Non_Water,Non_Wetland,Water
677,Water,Forest,Non_Water,Non_Wetland,Forest
678,Water,Forest,Water,Non_Wetland,Grassland
679,Water,Forest,Water,Non_Wetland,Wetland
680,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
681,Water,Forest,Water,Non_Wetland,Bareland
682,Water,Forest,Water,Non_Wetland,Water
683,Water,Forest,Water,Non_Wetland,Forest
684,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
685,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
686,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Lichens_and_Mosses
687,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
688,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
689,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
690,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Grassland
691,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
692,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
693,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Bareland
694,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Water
695,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
696,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
697,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
698,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Lichens_and_Mosses
699,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Bareland
700,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
701,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
702,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
703,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
704,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
705,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
706,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Built-up
707,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
708,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
709,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Grassland
710,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
711,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
712,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Bareland
713,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Built-up
714,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Water
715,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
716,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
717,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
718,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
719,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Bareland
720,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
721,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
722,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
723,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
724,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
725,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
726,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Built-up
727,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
728,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
729,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
730,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Wetland
731,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
732,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Bareland
733,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Water
734,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
735,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
736,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
737,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Lichens_and_Mosses
738,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Bareland
739,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Water
740,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
741,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
742,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
743,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
744,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
745,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
746,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
747,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
748,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
749,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
750,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
751,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
752,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
753,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
754,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
755,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
756,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
757,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
758,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
759,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
760,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
761,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
762,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
763,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Water
764,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
765,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
766,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
767,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
768,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
769,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Wetland
770,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
771,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Water
772,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
773,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
774,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
775,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
776,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
777,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
778,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
779,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
780,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
781,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
782,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
783,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Built-up
784,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
785,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
786,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
787,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
788,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
789,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
790,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Built-up
791,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
792,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
793,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
794,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
795,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
796,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
797,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
798,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
799,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
800,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Grassland
801,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Wetland
802,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
803,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Bareland
804,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Built-up
805,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Water
806,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Forest
807,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
808,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Wetland
809,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Lichens_and_Mosses
810,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
811,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
812,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
813,Permanent_ice_and_snow,Water,NULL,Water,Grassland
814,Permanent_ice_and_snow,Water,NULL,Water,Wetland
815,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
816,Permanent_ice_and_snow,Water,NULL,Water,Bareland
817,Permanent_ice_and_snow,Water,NULL,Water,Water
818,Permanent_ice_and_snow,Water,NULL,Water,Forest
819,Permanent_ice_and_snow,Water,Non_Water,Water,Grassland
820,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
821,Permanent_ice_and_snow,Water,Non_Water,Water,Lichens_and_Mosses
822,Permanent_ice_and_snow,Water,Non_Water,Water,Bareland
823,Permanent_ice_and_snow,Water,Non_Water,Water,Water
824,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
825,Permanent_ice_and_snow,Water,Water,Water,Grassland
826,Permanent_ice_and_snow,Water,Water,Water,Wetland
827,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
828,Permanent_ice_and_snow,Water,Water,Water,Bareland
829,Permanent_ice_and_snow,Water,Water,Water,Water
830,Permanent_ice_and_snow,Water,Water,Water,Forest
831,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
832,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
833,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
834,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
835,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
836,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
837,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
838,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
839,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
840,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
841,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Bareland
842,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Built-up
843,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
844,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
845,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
846,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
847,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Lichens_and_Mosses
848,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Bareland
849,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
850,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
851,Forest,NULL,NULL,Non_Wetland,Grassland
852,Forest,NULL,NULL,Non_Wetland,Wetland
853,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
854,Forest,NULL,NULL,Non_Wetland,Bareland
855,Forest,NULL,NULL,Non_Wetland,Water
856,Forest,NULL,NULL,Non_Wetland,Forest
857,Forest,NULL,Non_Water,Non_Wetland,Grassland
858,Forest,NULL,Non_Water,Non_Wetland,Wetland
859,Forest,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
860,Forest,NULL,Non_Water,Non_Wetland,Bareland
861,Forest,NULL,Non_Water,Non_Wetland,Water
862,Forest,NULL,Non_Water,Non_Wetland,Forest
863,Forest,NULL,Water,Non_Wetland,Grassland
864,Forest,NULL,Water,Non_Wetland,Wetland
865,Forest,NULL,Water,Non_Wetland,Lichens_and_Mosses
866,Forest,NULL,Water,Non_Wetland,Bareland
867,Forest,NULL,Water,Non_Wetland,Water
868,Forest,NULL,Water,Non_Wetland,Forest
869,Forest,Shrubland,NULL,Non_Wetland,Grassland
870,Forest,Shrubland,NULL,Non_Wetland,Wetland
871,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
872,Forest,Shrubland,NULL,Non_Wetland,Bareland
873,Forest,Shrubland,NULL,Non_Wetland,Water
874,Forest,Shrubland,NULL,Non_Wetland,Forest
875,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
876,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
877,Forest,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
878,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
879,Forest,Shrubland,Non_Water,Non_Wetland,Water
880,Forest,Shrubland,Non_Water,Non_Wetland,Forest
881,Forest,Shrubland,Water,Non_Wetland,Grassland
882,Forest,Shrubland,Water,Non_Wetland,Wetland
883,Forest,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
884,Forest,Shrubland,Water,Non_Wetland,Bareland
885,Forest,Shrubland,Water,Non_Wetland,Water
886,Forest,Shrubland,Water,Non_Wetland,Forest
887,Forest,Grassland,NULL,Non_Wetland,Grassland
888,Forest,Grassland,NULL,Non_Wetland,Wetland
889,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
890,Forest,Grassland,NULL,Non_Wetland,Bareland
891,Forest,Grassland,NULL,Non_Wetland,Water
892,Forest,Grassland,NULL,Non_Wetland,Forest
893,Forest,Grassland,Non_Water,Non_Wetland,Grassland
894,Forest,Grassland,Non_Water,Non_Wetland,Wetland
895,Forest,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
896,Forest,Grassland,Non_Water,Non_Wetland,Bareland
897,Forest,Grassland,Non_Water,Non_Wetland,Water
898,Forest,Grassland,Non_Water,Non_Wetland,Forest
899,Forest,Grassland,Water,Non_Wetland,Grassland
900,Forest,Grassland,Water,Non_Wetland,Wetland
901,Forest,Grassland,Water,Non_Wetland,Lichens_and_Mosses
902,Forest,Grassland,Water,Non_Wetland,Bareland
903,Forest,Grassland,Water,Non_Wetland,Water
