Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,SIBERIA_2024_WorldCover_2021_44VPN_M_R
482,Forest,Cropland,NULL,Non_Wetland,Forest
483,Forest,Cropland,Non_Water,Non_Wetland,Forest
484,Forest,Wetland,NULL,Wetland,NULL
485,Forest,Wetland,NULL,Wetland,Grassland
486,Forest,Wetland,NULL,Wetland,Wetland
487,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
488,Forest,Wetland,NULL,Wetland,Bareland
489,Forest,Wetland,NULL,Wetland,Water
490,Forest,Wetland,NULL,Wetland,Forest
491,Forest,Wetland,Non_Water,Wetland,Grassland
492,Forest,Wetland,Non_Water,Wetland,Wetland
493,Forest,Wetland,Non_Water,Wetland,Bareland
494,Forest,Wetland,Non_Water,Wetland,Water
495,Forest,Wetland,Non_Water,Wetland,Forest
496,Forest,Wetland,Water,Wetland,NULL
497,Forest,Wetland,Water,Wetland,Grassland
498,Forest,Wetland,Water,Wetland,Wetland
499,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
500,Forest,Wetland,Water,Wetland,Bareland
501,Forest,Wetland,Water,Wetland,Water
502,Forest,Wetland,Water,Wetland,Forest
503,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
504,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
505,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
506,Forest,Bareland,NULL,Non_Wetland,NULL
507,Forest,Bareland,NULL,Non_Wetland,Grassland
508,Forest,Bareland,NULL,Non_Wetland,Wetland
509,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
510,Forest,Bareland,NULL,Non_Wetland,Bareland
511,Forest,Bareland,NULL,Non_Wetland,Built-up
512,Forest,Bareland,NULL,Non_Wetland,Water
513,Forest,Bareland,NULL,Non_Wetland,Forest
514,Forest,Bareland,Non_Water,Non_Wetland,Grassland
515,Forest,Bareland,Non_Water,Non_Wetland,Wetland
516,Forest,Bareland,Non_Water,Non_Wetland,Bareland
517,Forest,Bareland,Non_Water,Non_Wetland,Water
518,Forest,Bareland,Non_Water,Non_Wetland,Forest
519,Forest,Bareland,Water,Non_Wetland,NULL
520,Forest,Bareland,Water,Non_Wetland,Grassland
521,Forest,Bareland,Water,Non_Wetland,Wetland
522,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
523,Forest,Bareland,Water,Non_Wetland,Bareland
524,Forest,Bareland,Water,Non_Wetland,Water
525,Forest,Bareland,Water,Non_Wetland,Forest
526,Forest,Built-up,NULL,Non_Wetland,Grassland
527,Forest,Built-up,NULL,Non_Wetland,Wetland
528,Forest,Built-up,NULL,Non_Wetland,Bareland
529,Forest,Built-up,NULL,Non_Wetland,Water
530,Forest,Built-up,NULL,Non_Wetland,Forest
531,Forest,Built-up,Non_Water,Non_Wetland,Water
532,Forest,Built-up,Non_Water,Non_Wetland,Forest
533,Forest,Built-up,Water,Non_Wetland,Grassland
534,Forest,Built-up,Water,Non_Wetland,Wetland
535,Forest,Built-up,Water,Non_Wetland,Water
536,Forest,Built-up,Water,Non_Wetland,Forest
537,Forest,Water,NULL,Water,Grassland
538,Forest,Water,NULL,Water,Wetland
539,Forest,Water,NULL,Water,Water
540,Forest,Water,NULL,Water,Forest
541,Forest,Water,Non_Water,Water,Grassland
542,Forest,Water,Non_Water,Water,Wetland
543,Forest,Water,Non_Water,Water,Water
544,Forest,Water,Non_Water,Water,Forest
545,Forest,Water,Water,Water,Grassland
546,Forest,Water,Water,Water,Wetland
547,Forest,Water,Water,Water,Bareland
548,Forest,Water,Water,Water,Water
549,Forest,Water,Water,Water,Forest
550,Forest,Forest,NULL,Non_Wetland,NULL
551,Forest,Forest,NULL,Non_Wetland,Grassland
552,Forest,Forest,NULL,Non_Wetland,Wetland
553,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
554,Forest,Forest,NULL,Non_Wetland,Bareland
555,Forest,Forest,NULL,Non_Wetland,Water
556,Forest,Forest,NULL,Non_Wetland,Forest
557,Forest,Forest,Non_Water,Non_Wetland,Grassland
558,Forest,Forest,Non_Water,Non_Wetland,Wetland
559,Forest,Forest,Non_Water,Non_Wetland,Water
560,Forest,Forest,Non_Water,Non_Wetland,Forest
561,Forest,Forest,Water,Non_Wetland,Grassland
562,Forest,Forest,Water,Non_Wetland,Wetland
563,Forest,Forest,Water,Non_Wetland,Water
564,Forest,Forest,Water,Non_Wetland,Forest
