Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVM_M_R,SIBERIA_2024_WorldCover_2021_42VVM_M_R
482,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
483,Bareland,Bareland,NULL,Non_Wetland,NULL
484,Bareland,Bareland,NULL,Non_Wetland,Grassland
485,Bareland,Bareland,NULL,Non_Wetland,Wetland
486,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
487,Bareland,Bareland,NULL,Non_Wetland,Bareland
488,Bareland,Bareland,NULL,Non_Wetland,Built-up
489,Bareland,Bareland,NULL,Non_Wetland,Water
490,Bareland,Bareland,NULL,Non_Wetland,Forest
491,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
492,Bareland,Bareland,Water,Non_Wetland,Grassland
493,Bareland,Bareland,Water,Non_Wetland,Bareland
494,Bareland,Bareland,Water,Non_Wetland,Water
495,Bareland,Built-up,NULL,Non_Wetland,NULL
496,Bareland,Built-up,NULL,Non_Wetland,Grassland
497,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
498,Bareland,Built-up,NULL,Non_Wetland,Bareland
499,Bareland,Built-up,NULL,Non_Wetland,Water
500,Bareland,Built-up,NULL,Non_Wetland,Forest
501,Bareland,Built-up,Water,Non_Wetland,Bareland
502,Bareland,Built-up,Water,Non_Wetland,Water
503,Bareland,Water,NULL,Water,Grassland
504,Bareland,Water,NULL,Water,Bareland
505,Bareland,Water,NULL,Water,Built-up
506,Bareland,Water,NULL,Water,Water
507,Bareland,Water,NULL,Water,Forest
508,Bareland,Water,Non_Water,Water,Wetland
509,Bareland,Water,Non_Water,Water,Bareland
510,Bareland,Water,Water,Water,Grassland
511,Bareland,Water,Water,Water,Bareland
512,Bareland,Water,Water,Water,Water
513,Bareland,Water,Water,Water,Forest
514,Bareland,Forest,NULL,Non_Wetland,NULL
515,Bareland,Forest,NULL,Non_Wetland,Grassland
516,Bareland,Forest,NULL,Non_Wetland,Cropland
517,Bareland,Forest,NULL,Non_Wetland,Bareland
518,Bareland,Forest,NULL,Non_Wetland,Water
519,Bareland,Forest,NULL,Non_Wetland,Forest
520,Bareland,Forest,Non_Water,Non_Wetland,Forest
521,Bareland,Forest,Water,Non_Wetland,Water
522,Bareland,Forest,Water,Non_Wetland,Forest
523,Built-up,NULL,NULL,Non_Wetland,Grassland
524,Built-up,NULL,NULL,Non_Wetland,Cropland
525,Built-up,NULL,NULL,Non_Wetland,Wetland
526,Built-up,NULL,NULL,Non_Wetland,Bareland
527,Built-up,NULL,NULL,Non_Wetland,Water
528,Built-up,NULL,NULL,Non_Wetland,Forest
529,Built-up,NULL,Non_Water,Non_Wetland,Grassland
530,Built-up,NULL,Non_Water,Non_Wetland,Cropland
531,Built-up,NULL,Non_Water,Non_Wetland,Wetland
532,Built-up,NULL,Non_Water,Non_Wetland,Forest
533,Built-up,Shrubland,NULL,Non_Wetland,Grassland
534,Built-up,Shrubland,NULL,Non_Wetland,Cropland
535,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
536,Built-up,Shrubland,NULL,Non_Wetland,Bareland
537,Built-up,Shrubland,NULL,Non_Wetland,Forest
538,Built-up,Shrubland,Water,Non_Wetland,Grassland
539,Built-up,Grassland,NULL,Non_Wetland,Grassland
540,Built-up,Grassland,NULL,Non_Wetland,Cropland
541,Built-up,Grassland,NULL,Non_Wetland,Wetland
542,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
543,Built-up,Grassland,NULL,Non_Wetland,Bareland
544,Built-up,Grassland,NULL,Non_Wetland,Built-up
545,Built-up,Grassland,NULL,Non_Wetland,Forest
546,Built-up,Cropland,NULL,Non_Wetland,NULL
547,Built-up,Cropland,NULL,Non_Wetland,Grassland
548,Built-up,Cropland,NULL,Non_Wetland,Cropland
549,Built-up,Cropland,NULL,Non_Wetland,Wetland
550,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
551,Built-up,Cropland,NULL,Non_Wetland,Bareland
552,Built-up,Cropland,NULL,Non_Wetland,Built-up
553,Built-up,Cropland,NULL,Non_Wetland,Water
554,Built-up,Cropland,NULL,Non_Wetland,Forest
555,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
556,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
557,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
558,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
559,Built-up,Cropland,Water,Non_Wetland,Water
560,Built-up,Wetland,NULL,Wetland,NULL
561,Built-up,Wetland,NULL,Wetland,Grassland
562,Built-up,Wetland,NULL,Wetland,Wetland
563,Built-up,Wetland,NULL,Wetland,Bareland
564,Built-up,Wetland,NULL,Wetland,Built-up
565,Built-up,Wetland,NULL,Wetland,Water
566,Built-up,Wetland,NULL,Wetland,Forest
567,Built-up,Wetland,Non_Water,Wetland,Grassland
568,Built-up,Wetland,Non_Water,Wetland,Wetland
569,Built-up,Wetland,Non_Water,Wetland,Lichens_and_Mosses
570,Built-up,Wetland,Non_Water,Wetland,Built-up
571,Built-up,Wetland,Non_Water,Wetland,Water
572,Built-up,Wetland,Non_Water,Wetland,Forest
573,Built-up,Wetland,Water,Wetland,Grassland
574,Built-up,Wetland,Water,Wetland,Water
575,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
576,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
577,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
578,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
579,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
580,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
581,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
582,Built-up,Bareland,NULL,Non_Wetland,NULL
583,Built-up,Bareland,NULL,Non_Wetland,Grassland
584,Built-up,Bareland,NULL,Non_Wetland,Cropland
585,Built-up,Bareland,NULL,Non_Wetland,Wetland
586,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
587,Built-up,Bareland,NULL,Non_Wetland,Bareland
588,Built-up,Bareland,NULL,Non_Wetland,Built-up
589,Built-up,Bareland,NULL,Non_Wetland,Water
590,Built-up,Bareland,NULL,Non_Wetland,Forest
591,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
592,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
593,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
594,Built-up,Bareland,Non_Water,Non_Wetland,Forest
595,Built-up,Bareland,Water,Non_Wetland,Grassland
596,Built-up,Bareland,Water,Non_Wetland,Cropland
597,Built-up,Bareland,Water,Non_Wetland,Bareland
598,Built-up,Bareland,Water,Non_Wetland,Built-up
599,Built-up,Bareland,Water,Non_Wetland,Forest
600,Built-up,Built-up,NULL,Non_Wetland,NULL
601,Built-up,Built-up,NULL,Non_Wetland,Grassland
602,Built-up,Built-up,NULL,Non_Wetland,Cropland
603,Built-up,Built-up,NULL,Non_Wetland,Wetland
604,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
605,Built-up,Built-up,NULL,Non_Wetland,Bareland
606,Built-up,Built-up,NULL,Non_Wetland,Built-up
607,Built-up,Built-up,NULL,Non_Wetland,Water
608,Built-up,Built-up,NULL,Non_Wetland,Forest
609,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
610,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
611,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
612,Built-up,Built-up,Water,Non_Wetland,Built-up
613,Built-up,Built-up,Water,Non_Wetland,Forest
614,Built-up,Water,NULL,Water,Grassland
615,Built-up,Water,NULL,Water,Wetland
616,Built-up,Water,NULL,Water,Bareland
617,Built-up,Water,NULL,Water,Built-up
618,Built-up,Water,NULL,Water,Water
619,Built-up,Water,NULL,Water,Forest
620,Built-up,Water,Non_Water,Water,Grassland
621,Built-up,Water,Non_Water,Water,Bareland
622,Built-up,Water,Non_Water,Water,Forest
623,Built-up,Water,Water,Water,Grassland
624,Built-up,Water,Water,Water,Bareland
625,Built-up,Water,Water,Water,Built-up
626,Built-up,Water,Water,Water,Water
627,Built-up,Forest,NULL,Non_Wetland,Grassland
628,Built-up,Forest,NULL,Non_Wetland,Cropland
629,Built-up,Forest,NULL,Non_Wetland,Wetland
630,Built-up,Forest,NULL,Non_Wetland,Bareland
631,Built-up,Forest,NULL,Non_Wetland,Built-up
632,Built-up,Forest,NULL,Non_Wetland,Forest
633,Built-up,Forest,Non_Water,Non_Wetland,Grassland
634,Built-up,Forest,Non_Water,Non_Wetland,Wetland
635,Built-up,Forest,Non_Water,Non_Wetland,Bareland
636,Built-up,Forest,Water,Non_Wetland,Grassland
637,Water,NULL,NULL,Non_Wetland,NULL
638,Water,NULL,NULL,Non_Wetland,Grassland
639,Water,NULL,NULL,Non_Wetland,Cropland
640,Water,NULL,NULL,Non_Wetland,Wetland
641,Water,NULL,NULL,Non_Wetland,Bareland
642,Water,NULL,NULL,Non_Wetland,Water
643,Water,NULL,NULL,Non_Wetland,Forest
644,Water,NULL,Non_Water,Non_Wetland,Grassland
645,Water,NULL,Non_Water,Non_Wetland,Wetland
646,Water,NULL,Non_Water,Non_Wetland,Water
647,Water,NULL,Non_Water,Non_Wetland,Forest
648,Water,NULL,Water,Non_Wetland,Grassland
649,Water,NULL,Water,Non_Wetland,Wetland
650,Water,NULL,Water,Non_Wetland,Water
651,Water,NULL,Water,Non_Wetland,Forest
652,Water,Shrubland,NULL,Non_Wetland,Grassland
653,Water,Shrubland,NULL,Non_Wetland,Wetland
654,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
655,Water,Shrubland,NULL,Non_Wetland,Bareland
656,Water,Shrubland,NULL,Non_Wetland,Water
657,Water,Shrubland,NULL,Non_Wetland,Forest
658,Water,Shrubland,Non_Water,Non_Wetland,Grassland
659,Water,Shrubland,Non_Water,Non_Wetland,Wetland
660,Water,Shrubland,Non_Water,Non_Wetland,Water
661,Water,Shrubland,Non_Water,Non_Wetland,Forest
662,Water,Shrubland,Water,Non_Wetland,Grassland
663,Water,Shrubland,Water,Non_Wetland,Wetland
664,Water,Shrubland,Water,Non_Wetland,Bareland
665,Water,Shrubland,Water,Non_Wetland,Water
666,Water,Shrubland,Water,Non_Wetland,Forest
667,Water,Grassland,NULL,Non_Wetland,Grassland
668,Water,Grassland,NULL,Non_Wetland,Bareland
669,Water,Grassland,NULL,Non_Wetland,Water
670,Water,Grassland,NULL,Non_Wetland,Forest
671,Water,Grassland,Non_Water,Non_Wetland,Grassland
672,Water,Grassland,Non_Water,Non_Wetland,Wetland
673,Water,Grassland,Water,Non_Wetland,Wetland
674,Water,Grassland,Water,Non_Wetland,Bareland
675,Water,Grassland,Water,Non_Wetland,Water
676,Water,Cropland,NULL,Non_Wetland,Grassland
677,Water,Cropland,NULL,Non_Wetland,Cropland
678,Water,Cropland,NULL,Non_Wetland,Wetland
679,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
680,Water,Cropland,NULL,Non_Wetland,Bareland
681,Water,Cropland,NULL,Non_Wetland,Water
682,Water,Cropland,NULL,Non_Wetland,Forest
683,Water,Cropland,Non_Water,Non_Wetland,Grassland
684,Water,Cropland,Non_Water,Non_Wetland,Wetland
685,Water,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
686,Water,Cropland,Non_Water,Non_Wetland,Bareland
687,Water,Cropland,Non_Water,Non_Wetland,Water
688,Water,Cropland,Non_Water,Non_Wetland,Forest
689,Water,Cropland,Water,Non_Wetland,Grassland
690,Water,Cropland,Water,Non_Wetland,Wetland
691,Water,Cropland,Water,Non_Wetland,Bareland
692,Water,Cropland,Water,Non_Wetland,Water
693,Water,Cropland,Water,Non_Wetland,Forest
694,Water,Wetland,NULL,Wetland,NULL
695,Water,Wetland,NULL,Wetland,Grassland
696,Water,Wetland,NULL,Wetland,Cropland
697,Water,Wetland,NULL,Wetland,Wetland
698,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
699,Water,Wetland,NULL,Wetland,Bareland
700,Water,Wetland,NULL,Wetland,Water
701,Water,Wetland,NULL,Wetland,Forest
702,Water,Wetland,Non_Water,Wetland,NULL
703,Water,Wetland,Non_Water,Wetland,Grassland
704,Water,Wetland,Non_Water,Wetland,Cropland
705,Water,Wetland,Non_Water,Wetland,Wetland
706,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
707,Water,Wetland,Non_Water,Wetland,Bareland
708,Water,Wetland,Non_Water,Wetland,Built-up
709,Water,Wetland,Non_Water,Wetland,Water
710,Water,Wetland,Non_Water,Wetland,Forest
711,Water,Wetland,Water,Wetland,NULL
712,Water,Wetland,Water,Wetland,Grassland
713,Water,Wetland,Water,Wetland,Cropland
714,Water,Wetland,Water,Wetland,Wetland
715,Water,Wetland,Water,Wetland,Lichens_and_Mosses
716,Water,Wetland,Water,Wetland,Bareland
717,Water,Wetland,Water,Wetland,Built-up
718,Water,Wetland,Water,Wetland,Water
719,Water,Wetland,Water,Wetland,Forest
720,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
721,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
722,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
723,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
724,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
725,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
726,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
727,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
728,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
729,Water,Bareland,NULL,Non_Wetland,NULL
730,Water,Bareland,NULL,Non_Wetland,Grassland
731,Water,Bareland,NULL,Non_Wetland,Cropland
732,Water,Bareland,NULL,Non_Wetland,Wetland
733,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
734,Water,Bareland,NULL,Non_Wetland,Bareland
735,Water,Bareland,NULL,Non_Wetland,Built-up
736,Water,Bareland,NULL,Non_Wetland,Water
737,Water,Bareland,NULL,Non_Wetland,Forest
738,Water,Bareland,Non_Water,Non_Wetland,Grassland
739,Water,Bareland,Non_Water,Non_Wetland,Cropland
740,Water,Bareland,Non_Water,Non_Wetland,Wetland
741,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
742,Water,Bareland,Non_Water,Non_Wetland,Bareland
743,Water,Bareland,Non_Water,Non_Wetland,Water
744,Water,Bareland,Non_Water,Non_Wetland,Forest
745,Water,Bareland,Water,Non_Wetland,NULL
746,Water,Bareland,Water,Non_Wetland,Grassland
747,Water,Bareland,Water,Non_Wetland,Cropland
748,Water,Bareland,Water,Non_Wetland,Wetland
749,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
750,Water,Bareland,Water,Non_Wetland,Bareland
751,Water,Bareland,Water,Non_Wetland,Water
752,Water,Bareland,Water,Non_Wetland,Forest
753,Water,Built-up,NULL,Non_Wetland,NULL
754,Water,Built-up,NULL,Non_Wetland,Grassland
755,Water,Built-up,NULL,Non_Wetland,Wetland
756,Water,Built-up,NULL,Non_Wetland,Bareland
757,Water,Built-up,NULL,Non_Wetland,Water
758,Water,Built-up,NULL,Non_Wetland,Forest
759,Water,Built-up,Non_Water,Non_Wetland,Grassland
760,Water,Built-up,Non_Water,Non_Wetland,Wetland
761,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
762,Water,Built-up,Non_Water,Non_Wetland,Bareland
763,Water,Built-up,Non_Water,Non_Wetland,Water
764,Water,Built-up,Non_Water,Non_Wetland,Forest
765,Water,Built-up,Water,Non_Wetland,Grassland
766,Water,Built-up,Water,Non_Wetland,Wetland
767,Water,Built-up,Water,Non_Wetland,Water
768,Water,Built-up,Water,Non_Wetland,Forest
769,Water,Water,NULL,Water,NULL
770,Water,Water,NULL,Water,Grassland
771,Water,Water,NULL,Water,Cropland
772,Water,Water,NULL,Water,Wetland
773,Water,Water,NULL,Water,Lichens_and_Mosses
774,Water,Water,NULL,Water,Bareland
775,Water,Water,NULL,Water,Water
776,Water,Water,NULL,Water,Forest
777,Water,Water,Non_Water,Water,NULL
778,Water,Water,Non_Water,Water,Grassland
779,Water,Water,Non_Water,Water,Cropland
780,Water,Water,Non_Water,Water,Wetland
781,Water,Water,Non_Water,Water,Lichens_and_Mosses
782,Water,Water,Non_Water,Water,Bareland
783,Water,Water,Non_Water,Water,Water
784,Water,Water,Non_Water,Water,Forest
785,Water,Water,Water,Water,NULL
786,Water,Water,Water,Water,Grassland
787,Water,Water,Water,Water,Cropland
788,Water,Water,Water,Water,Wetland
789,Water,Water,Water,Water,Lichens_and_Mosses
790,Water,Water,Water,Water,Bareland
791,Water,Water,Water,Water,Water
792,Water,Water,Water,Water,Forest
793,Water,Forest,NULL,Non_Wetland,NULL
794,Water,Forest,NULL,Non_Wetland,Grassland
795,Water,Forest,NULL,Non_Wetland,Cropland
796,Water,Forest,NULL,Non_Wetland,Wetland
797,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
798,Water,Forest,NULL,Non_Wetland,Bareland
799,Water,Forest,NULL,Non_Wetland,Water
800,Water,Forest,NULL,Non_Wetland,Forest
801,Water,Forest,Non_Water,Non_Wetland,Grassland
802,Water,Forest,Non_Water,Non_Wetland,Cropland
803,Water,Forest,Non_Water,Non_Wetland,Wetland
804,Water,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
805,Water,Forest,Non_Water,Non_Wetland,Bareland
806,Water,Forest,Non_Water,Non_Wetland,Water
807,Water,Forest,Non_Water,Non_Wetland,Forest
808,Water,Forest,Water,Non_Wetland,NULL
809,Water,Forest,Water,Non_Wetland,Grassland
810,Water,Forest,Water,Non_Wetland,Wetland
811,Water,Forest,Water,Non_Wetland,Bareland
812,Water,Forest,Water,Non_Wetland,Water
813,Water,Forest,Water,Non_Wetland,Forest
814,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
815,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
816,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
817,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
818,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
819,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Grassland
820,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
821,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
822,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
823,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
824,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
825,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
826,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Grassland
827,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
828,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
829,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
830,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
831,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
832,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
833,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Built-up
834,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
835,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,NULL
836,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
837,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Wetland
838,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
839,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Bareland
840,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Built-up
841,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Water
842,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
843,Permanent_ice_and_snow,Cropland,Non_Water,Non_Wetland,Grassland
844,Permanent_ice_and_snow,Cropland,Non_Water,Non_Wetland,Wetland
845,Permanent_ice_and_snow,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
846,Permanent_ice_and_snow,Cropland,Water,Non_Wetland,Bareland
847,Permanent_ice_and_snow,Cropland,Water,Non_Wetland,Forest
848,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
849,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
850,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
851,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
852,Permanent_ice_and_snow,Wetland,NULL,Wetland,Built-up
853,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
854,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
855,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
856,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
857,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
858,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
859,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
860,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
861,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
862,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
863,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
864,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
865,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
866,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
867,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
868,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
869,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
870,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
871,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Forest
872,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
873,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
874,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
875,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
876,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
877,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
878,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
879,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
880,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
881,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
882,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
883,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
884,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
885,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
886,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
887,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
888,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
889,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
890,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Cropland
891,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
892,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
893,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
894,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
895,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Grassland
896,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Water
897,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Wetland
898,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
899,Permanent_ice_and_snow,Water,NULL,Water,NULL
900,Permanent_ice_and_snow,Water,NULL,Water,Grassland
901,Permanent_ice_and_snow,Water,NULL,Water,Wetland
902,Permanent_ice_and_snow,Water,NULL,Water,Bareland
903,Permanent_ice_and_snow,Water,NULL,Water,Water
904,Permanent_ice_and_snow,Water,NULL,Water,Forest
905,Permanent_ice_and_snow,Water,Non_Water,Water,Grassland
906,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
907,Permanent_ice_and_snow,Water,Non_Water,Water,Bareland
908,Permanent_ice_and_snow,Water,Non_Water,Water,Water
909,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
910,Permanent_ice_and_snow,Water,Water,Water,NULL
911,Permanent_ice_and_snow,Water,Water,Water,Grassland
912,Permanent_ice_and_snow,Water,Water,Water,Wetland
913,Permanent_ice_and_snow,Water,Water,Water,Bareland
914,Permanent_ice_and_snow,Water,Water,Water,Water
915,Permanent_ice_and_snow,Water,Water,Water,Forest
916,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
917,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
918,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Cropland
919,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
920,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
921,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
922,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
923,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
924,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
925,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
926,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
927,Permanent_ice_and_snow,Forest,Water,Non_Wetland,NULL
928,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
929,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
930,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
931,Forest,NULL,NULL,Non_Wetland,NULL
932,Forest,NULL,NULL,Non_Wetland,Grassland
933,Forest,NULL,NULL,Non_Wetland,Cropland
934,Forest,NULL,NULL,Non_Wetland,Wetland
935,Forest,NULL,NULL,Non_Wetland,Bareland
936,Forest,NULL,NULL,Non_Wetland,Built-up
937,Forest,NULL,NULL,Non_Wetland,Water
938,Forest,NULL,NULL,Non_Wetland,Forest
939,Forest,NULL,Non_Water,Non_Wetland,Grassland
940,Forest,NULL,Non_Water,Non_Wetland,Wetland
941,Forest,NULL,Non_Water,Non_Wetland,Water
942,Forest,NULL,Non_Water,Non_Wetland,Forest
943,Forest,NULL,Water,Non_Wetland,Grassland
944,Forest,NULL,Water,Non_Wetland,Wetland
945,Forest,NULL,Water,Non_Wetland,Water
946,Forest,NULL,Water,Non_Wetland,Forest
947,Forest,Shrubland,NULL,Non_Wetland,NULL
948,Forest,Shrubland,NULL,Non_Wetland,Grassland
949,Forest,Shrubland,NULL,Non_Wetland,Wetland
950,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
951,Forest,Shrubland,NULL,Non_Wetland,Bareland
952,Forest,Shrubland,NULL,Non_Wetland,Built-up
953,Forest,Shrubland,NULL,Non_Wetland,Water
954,Forest,Shrubland,NULL,Non_Wetland,Forest
