Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNR_M_R,SIBERIA_2024_WorldCover_2021_44VNR_M_R
488,Water,Wetland,Water,Wetland,Forest
489,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
490,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
491,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
492,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
493,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
494,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
495,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
496,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
497,Water,Bareland,NULL,Non_Wetland,Grassland
498,Water,Bareland,NULL,Non_Wetland,Wetland
499,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
500,Water,Bareland,NULL,Non_Wetland,Bareland
501,Water,Bareland,NULL,Non_Wetland,Water
502,Water,Bareland,NULL,Non_Wetland,Forest
503,Water,Bareland,Non_Water,Non_Wetland,Grassland
504,Water,Bareland,Non_Water,Non_Wetland,Wetland
505,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
506,Water,Bareland,Non_Water,Non_Wetland,Bareland
507,Water,Bareland,Non_Water,Non_Wetland,Water
508,Water,Bareland,Non_Water,Non_Wetland,Forest
509,Water,Bareland,Water,Non_Wetland,Grassland
510,Water,Bareland,Water,Non_Wetland,Wetland
511,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
512,Water,Bareland,Water,Non_Wetland,Bareland
513,Water,Bareland,Water,Non_Wetland,Water
514,Water,Bareland,Water,Non_Wetland,Forest
515,Water,Built-up,NULL,Non_Wetland,Grassland
516,Water,Built-up,NULL,Non_Wetland,Wetland
517,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
518,Water,Built-up,NULL,Non_Wetland,Bareland
519,Water,Built-up,NULL,Non_Wetland,Water
520,Water,Built-up,NULL,Non_Wetland,Forest
521,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
522,Water,Built-up,Non_Water,Non_Wetland,Water
523,Water,Built-up,Non_Water,Non_Wetland,Forest
524,Water,Built-up,Water,Non_Wetland,Grassland
525,Water,Built-up,Water,Non_Wetland,Wetland
526,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
527,Water,Built-up,Water,Non_Wetland,Bareland
528,Water,Built-up,Water,Non_Wetland,Water
529,Water,Built-up,Water,Non_Wetland,Forest
530,Water,Water,NULL,Water,Grassland
531,Water,Water,NULL,Water,Wetland
532,Water,Water,NULL,Water,Lichens_and_Mosses
533,Water,Water,NULL,Water,Bareland
534,Water,Water,NULL,Water,Water
535,Water,Water,NULL,Water,Forest
536,Water,Water,Non_Water,Water,Grassland
537,Water,Water,Non_Water,Water,Wetland
538,Water,Water,Non_Water,Water,Lichens_and_Mosses
539,Water,Water,Non_Water,Water,Water
540,Water,Water,Non_Water,Water,Forest
541,Water,Water,Water,Water,Grassland
542,Water,Water,Water,Water,Wetland
543,Water,Water,Water,Water,Lichens_and_Mosses
544,Water,Water,Water,Water,Bareland
545,Water,Water,Water,Water,Water
546,Water,Water,Water,Water,Forest
547,Water,Forest,NULL,Non_Wetland,Grassland
548,Water,Forest,NULL,Non_Wetland,Wetland
549,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
550,Water,Forest,NULL,Non_Wetland,Bareland
551,Water,Forest,NULL,Non_Wetland,Water
552,Water,Forest,NULL,Non_Wetland,Forest
553,Water,Forest,Non_Water,Non_Wetland,Grassland
554,Water,Forest,Non_Water,Non_Wetland,Wetland
555,Water,Forest,Non_Water,Non_Wetland,Water
556,Water,Forest,Non_Water,Non_Wetland,Forest
557,Water,Forest,Water,Non_Wetland,Grassland
558,Water,Forest,Water,Non_Wetland,Wetland
559,Water,Forest,Water,Non_Wetland,Bareland
560,Water,Forest,Water,Non_Wetland,Water
561,Water,Forest,Water,Non_Wetland,Forest
562,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
563,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
564,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
565,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
566,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
567,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
568,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
569,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
570,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
571,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
572,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
573,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
574,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
575,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
576,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
577,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
578,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
579,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
580,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
581,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
582,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
583,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
584,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
585,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
586,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Lichens_and_Mosses
587,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Bareland
588,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
589,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
590,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Water
591,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
592,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
593,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
594,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
595,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
596,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
597,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
598,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
599,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
600,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
601,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
602,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
603,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
604,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
605,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
606,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
607,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
608,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
609,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
610,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
611,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
612,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
613,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
614,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
615,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
616,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
617,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
618,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
619,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
620,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
621,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
622,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
623,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
624,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
625,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
626,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
627,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
628,Permanent_ice_and_snow,Water,NULL,Water,Grassland
629,Permanent_ice_and_snow,Water,NULL,Water,Wetland
630,Permanent_ice_and_snow,Water,NULL,Water,Water
631,Permanent_ice_and_snow,Water,NULL,Water,Forest
632,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
633,Permanent_ice_and_snow,Water,Non_Water,Water,Water
634,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
635,Permanent_ice_and_snow,Water,Water,Water,Grassland
636,Permanent_ice_and_snow,Water,Water,Water,Wetland
637,Permanent_ice_and_snow,Water,Water,Water,Water
638,Permanent_ice_and_snow,Water,Water,Water,Forest
639,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
640,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
641,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
642,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
643,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
644,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
645,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
646,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
647,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
648,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
649,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
650,Forest,NULL,NULL,Non_Wetland,NULL
651,Forest,NULL,NULL,Non_Wetland,Grassland
652,Forest,NULL,NULL,Non_Wetland,Wetland
653,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
654,Forest,NULL,NULL,Non_Wetland,Bareland
655,Forest,NULL,NULL,Non_Wetland,Water
656,Forest,NULL,NULL,Non_Wetland,Forest
657,Forest,NULL,Non_Water,Non_Wetland,Grassland
658,Forest,NULL,Non_Water,Non_Wetland,Wetland
659,Forest,NULL,Non_Water,Non_Wetland,Water
660,Forest,NULL,Non_Water,Non_Wetland,Forest
661,Forest,NULL,Water,Non_Wetland,Grassland
662,Forest,NULL,Water,Non_Wetland,Wetland
663,Forest,NULL,Water,Non_Wetland,Water
664,Forest,NULL,Water,Non_Wetland,Forest
665,Forest,Shrubland,NULL,Non_Wetland,NULL
666,Forest,Shrubland,NULL,Non_Wetland,Grassland
667,Forest,Shrubland,NULL,Non_Wetland,Wetland
668,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
669,Forest,Shrubland,NULL,Non_Wetland,Bareland
670,Forest,Shrubland,NULL,Non_Wetland,Built-up
671,Forest,Shrubland,NULL,Non_Wetland,Water
672,Forest,Shrubland,NULL,Non_Wetland,Forest
673,Forest,Shrubland,Non_Water,Non_Wetland,NULL
674,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
675,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
676,Forest,Shrubland,Non_Water,Non_Wetland,Forest
677,Forest,Shrubland,Water,Non_Wetland,Grassland
678,Forest,Shrubland,Water,Non_Wetland,Wetland
679,Forest,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
680,Forest,Shrubland,Water,Non_Wetland,Bareland
681,Forest,Shrubland,Water,Non_Wetland,Water
682,Forest,Shrubland,Water,Non_Wetland,Forest
683,Forest,Grassland,NULL,Non_Wetland,NULL
684,Forest,Grassland,NULL,Non_Wetland,Grassland
685,Forest,Grassland,NULL,Non_Wetland,Wetland
686,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
687,Forest,Grassland,NULL,Non_Wetland,Bareland
688,Forest,Grassland,NULL,Non_Wetland,Water
689,Forest,Grassland,NULL,Non_Wetland,Forest
690,Forest,Grassland,Non_Water,Non_Wetland,Grassland
691,Forest,Grassland,Non_Water,Non_Wetland,Wetland
692,Forest,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
693,Forest,Grassland,Non_Water,Non_Wetland,Bareland
694,Forest,Grassland,Non_Water,Non_Wetland,Forest
695,Forest,Grassland,Water,Non_Wetland,Grassland
696,Forest,Grassland,Water,Non_Wetland,Wetland
697,Forest,Grassland,Water,Non_Wetland,Bareland
698,Forest,Grassland,Water,Non_Wetland,Forest
699,Forest,Cropland,NULL,Non_Wetland,Grassland
700,Forest,Cropland,NULL,Non_Wetland,Wetland
701,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
702,Forest,Cropland,NULL,Non_Wetland,Forest
703,Forest,Cropland,Non_Water,Non_Wetland,Grassland
704,Forest,Cropland,Non_Water,Non_Wetland,Forest
705,Forest,Cropland,Water,Non_Wetland,Forest
706,Forest,Wetland,NULL,Wetland,NULL
707,Forest,Wetland,NULL,Wetland,Grassland
708,Forest,Wetland,NULL,Wetland,Wetland
709,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
710,Forest,Wetland,NULL,Wetland,Bareland
711,Forest,Wetland,NULL,Wetland,Water
712,Forest,Wetland,NULL,Wetland,Forest
713,Forest,Wetland,Non_Water,Wetland,Grassland
714,Forest,Wetland,Non_Water,Wetland,Wetland
715,Forest,Wetland,Non_Water,Wetland,Water
716,Forest,Wetland,Non_Water,Wetland,Forest
717,Forest,Wetland,Water,Wetland,Grassland
718,Forest,Wetland,Water,Wetland,Wetland
719,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
720,Forest,Wetland,Water,Wetland,Bareland
721,Forest,Wetland,Water,Wetland,Water
722,Forest,Wetland,Water,Wetland,Forest
723,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
724,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
725,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
726,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
727,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
728,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
729,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
730,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
731,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
732,Forest,Lichens_and_Mosses,Water,Non_Wetland,Wetland
733,Forest,Lichens_and_Mosses,Water,Non_Wetland,Water
734,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
735,Forest,Bareland,NULL,Non_Wetland,NULL
736,Forest,Bareland,NULL,Non_Wetland,Grassland
737,Forest,Bareland,NULL,Non_Wetland,Wetland
738,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
739,Forest,Bareland,NULL,Non_Wetland,Bareland
740,Forest,Bareland,NULL,Non_Wetland,Built-up
741,Forest,Bareland,NULL,Non_Wetland,Water
742,Forest,Bareland,NULL,Non_Wetland,Forest
743,Forest,Bareland,Non_Water,Non_Wetland,Grassland
744,Forest,Bareland,Non_Water,Non_Wetland,Wetland
745,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
746,Forest,Bareland,Non_Water,Non_Wetland,Bareland
747,Forest,Bareland,Non_Water,Non_Wetland,Water
748,Forest,Bareland,Non_Water,Non_Wetland,Forest
749,Forest,Bareland,Water,Non_Wetland,Grassland
750,Forest,Bareland,Water,Non_Wetland,Wetland
751,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
752,Forest,Bareland,Water,Non_Wetland,Bareland
753,Forest,Bareland,Water,Non_Wetland,Water
754,Forest,Bareland,Water,Non_Wetland,Forest
755,Forest,Built-up,NULL,Non_Wetland,Grassland
756,Forest,Built-up,NULL,Non_Wetland,Wetland
757,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
758,Forest,Built-up,NULL,Non_Wetland,Bareland
759,Forest,Built-up,NULL,Non_Wetland,Built-up
760,Forest,Built-up,NULL,Non_Wetland,Forest
761,Forest,Built-up,Non_Water,Non_Wetland,Grassland
762,Forest,Built-up,Non_Water,Non_Wetland,Wetland
763,Forest,Built-up,Non_Water,Non_Wetland,Forest
764,Forest,Built-up,Water,Non_Wetland,Grassland
765,Forest,Built-up,Water,Non_Wetland,Wetland
766,Forest,Built-up,Water,Non_Wetland,Lichens_and_Mosses
767,Forest,Built-up,Water,Non_Wetland,Bareland
768,Forest,Built-up,Water,Non_Wetland,Water
769,Forest,Built-up,Water,Non_Wetland,Forest
770,Forest,Water,NULL,Water,Grassland
771,Forest,Water,NULL,Water,Wetland
772,Forest,Water,NULL,Water,Water
773,Forest,Water,NULL,Water,Forest
774,Forest,Water,Non_Water,Water,Grassland
775,Forest,Water,Non_Water,Water,Wetland
776,Forest,Water,Non_Water,Water,Water
777,Forest,Water,Non_Water,Water,Forest
778,Forest,Water,Water,Water,Grassland
779,Forest,Water,Water,Water,Wetland
780,Forest,Water,Water,Water,Water
781,Forest,Water,Water,Water,Forest
782,Forest,Forest,NULL,Non_Wetland,NULL
783,Forest,Forest,NULL,Non_Wetland,Grassland
784,Forest,Forest,NULL,Non_Wetland,Wetland
785,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
786,Forest,Forest,NULL,Non_Wetland,Bareland
787,Forest,Forest,NULL,Non_Wetland,Water
788,Forest,Forest,NULL,Non_Wetland,Forest
789,Forest,Forest,Non_Water,Non_Wetland,Grassland
790,Forest,Forest,Non_Water,Non_Wetland,Wetland
791,Forest,Forest,Non_Water,Non_Wetland,Water
792,Forest,Forest,Non_Water,Non_Wetland,Forest
793,Forest,Forest,Water,Non_Wetland,Grassland
794,Forest,Forest,Water,Non_Wetland,Wetland
795,Forest,Forest,Water,Non_Wetland,Bareland
796,Forest,Forest,Water,Non_Wetland,Water
797,Forest,Forest,Water,Non_Wetland,Forest
