Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,SIBERIA_2024_WorldCover_2021_42VUL_M_R
508,Forest,Cropland,Water,Non_Wetland,Grassland
509,Forest,Cropland,Water,Non_Wetland,Forest
510,Forest,Wetland,NULL,Wetland,NULL
511,Forest,Wetland,NULL,Wetland,Grassland
512,Forest,Wetland,NULL,Wetland,Cropland
513,Forest,Wetland,NULL,Wetland,Wetland
514,Forest,Wetland,NULL,Wetland,Bareland
515,Forest,Wetland,NULL,Wetland,Built-up
516,Forest,Wetland,NULL,Wetland,Water
517,Forest,Wetland,NULL,Wetland,Forest
518,Forest,Wetland,Non_Water,Wetland,NULL
519,Forest,Wetland,Non_Water,Wetland,Grassland
520,Forest,Wetland,Non_Water,Wetland,Cropland
521,Forest,Wetland,Non_Water,Wetland,Wetland
522,Forest,Wetland,Non_Water,Wetland,Water
523,Forest,Wetland,Non_Water,Wetland,Forest
524,Forest,Wetland,Water,Wetland,Grassland
525,Forest,Wetland,Water,Wetland,Wetland
526,Forest,Wetland,Water,Wetland,Water
527,Forest,Wetland,Water,Wetland,Forest
528,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
529,Forest,Bareland,NULL,Non_Wetland,NULL
530,Forest,Bareland,NULL,Non_Wetland,Grassland
531,Forest,Bareland,NULL,Non_Wetland,Cropland
532,Forest,Bareland,NULL,Non_Wetland,Wetland
533,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
534,Forest,Bareland,NULL,Non_Wetland,Bareland
535,Forest,Bareland,NULL,Non_Wetland,Built-up
536,Forest,Bareland,NULL,Non_Wetland,Water
537,Forest,Bareland,NULL,Non_Wetland,Forest
538,Forest,Bareland,Non_Water,Non_Wetland,Grassland
539,Forest,Bareland,Non_Water,Non_Wetland,Cropland
540,Forest,Bareland,Non_Water,Non_Wetland,Wetland
541,Forest,Bareland,Non_Water,Non_Wetland,Water
542,Forest,Bareland,Non_Water,Non_Wetland,Forest
543,Forest,Bareland,Water,Non_Wetland,Grassland
544,Forest,Bareland,Water,Non_Wetland,Wetland
545,Forest,Bareland,Water,Non_Wetland,Water
546,Forest,Bareland,Water,Non_Wetland,Forest
547,Forest,Built-up,NULL,Non_Wetland,Grassland
548,Forest,Built-up,NULL,Non_Wetland,Cropland
549,Forest,Built-up,NULL,Non_Wetland,Bareland
550,Forest,Built-up,NULL,Non_Wetland,Built-up
551,Forest,Built-up,NULL,Non_Wetland,Water
552,Forest,Built-up,NULL,Non_Wetland,Forest
553,Forest,Built-up,Non_Water,Non_Wetland,Forest
554,Forest,Built-up,Water,Non_Wetland,Grassland
555,Forest,Built-up,Water,Non_Wetland,Built-up
556,Forest,Built-up,Water,Non_Wetland,Water
557,Forest,Water,NULL,Water,Grassland
558,Forest,Water,NULL,Water,Wetland
559,Forest,Water,NULL,Water,Bareland
560,Forest,Water,NULL,Water,Water
561,Forest,Water,NULL,Water,Forest
562,Forest,Water,Non_Water,Water,Grassland
563,Forest,Water,Non_Water,Water,Wetland
564,Forest,Water,Non_Water,Water,Forest
565,Forest,Water,Water,Water,Grassland
566,Forest,Water,Water,Water,Wetland
567,Forest,Water,Water,Water,Built-up
568,Forest,Water,Water,Water,Water
569,Forest,Water,Water,Water,Forest
570,Forest,Forest,NULL,Non_Wetland,NULL
571,Forest,Forest,NULL,Non_Wetland,Grassland
572,Forest,Forest,NULL,Non_Wetland,Cropland
573,Forest,Forest,NULL,Non_Wetland,Wetland
574,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
575,Forest,Forest,NULL,Non_Wetland,Bareland
576,Forest,Forest,NULL,Non_Wetland,Built-up
577,Forest,Forest,NULL,Non_Wetland,Water
578,Forest,Forest,NULL,Non_Wetland,Forest
579,Forest,Forest,Non_Water,Non_Wetland,NULL
580,Forest,Forest,Non_Water,Non_Wetland,Grassland
581,Forest,Forest,Non_Water,Non_Wetland,Wetland
582,Forest,Forest,Non_Water,Non_Wetland,Water
583,Forest,Forest,Non_Water,Non_Wetland,Forest
584,Forest,Forest,Water,Non_Wetland,Grassland
585,Forest,Forest,Water,Non_Wetland,Wetland
586,Forest,Forest,Water,Non_Wetland,Water
587,Forest,Forest,Water,Non_Wetland,Forest
