Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,SIBERIA_2024_WorldCover_2021_45VWK_M_R
490,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
491,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
492,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
493,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
494,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
495,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
496,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
497,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
498,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Lichens_and_Mosses
499,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Bareland
500,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Water
501,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
502,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
503,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
504,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
505,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
506,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
507,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
508,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
509,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
510,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
511,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
512,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
513,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
514,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
515,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
516,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
517,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
518,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
519,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
520,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
521,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Water
522,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
523,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
524,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Wetland
525,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
526,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Bareland
527,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Water
528,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Forest
529,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
530,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
531,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
532,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
533,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
534,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
535,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
536,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
537,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
538,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
539,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
540,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
541,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
542,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
543,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
544,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
545,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
546,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
547,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
548,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
549,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Wetland
550,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
551,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
552,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
553,Permanent_ice_and_snow,Water,NULL,Water,Grassland
554,Permanent_ice_and_snow,Water,NULL,Water,Wetland
555,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
556,Permanent_ice_and_snow,Water,NULL,Water,Bareland
557,Permanent_ice_and_snow,Water,NULL,Water,Water
558,Permanent_ice_and_snow,Water,NULL,Water,Forest
559,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
560,Permanent_ice_and_snow,Water,Water,Water,Grassland
561,Permanent_ice_and_snow,Water,Water,Water,Wetland
562,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
563,Permanent_ice_and_snow,Water,Water,Water,Bareland
564,Permanent_ice_and_snow,Water,Water,Water,Water
565,Permanent_ice_and_snow,Water,Water,Water,Forest
566,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
567,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
568,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
569,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
570,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
571,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
572,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
573,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
574,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
575,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
576,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
577,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
578,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Lichens_and_Mosses
579,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Bareland
580,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
581,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
582,Forest,NULL,NULL,Non_Wetland,NULL
583,Forest,NULL,NULL,Non_Wetland,Grassland
584,Forest,NULL,NULL,Non_Wetland,Wetland
585,Forest,NULL,NULL,Non_Wetland,Water
586,Forest,NULL,NULL,Non_Wetland,Forest
587,Forest,NULL,Non_Water,Non_Wetland,Water
588,Forest,NULL,Non_Water,Non_Wetland,Forest
589,Forest,NULL,Water,Non_Wetland,Grassland
590,Forest,NULL,Water,Non_Wetland,Wetland
591,Forest,NULL,Water,Non_Wetland,Water
592,Forest,NULL,Water,Non_Wetland,Forest
593,Forest,Shrubland,NULL,Non_Wetland,NULL
594,Forest,Shrubland,NULL,Non_Wetland,Grassland
595,Forest,Shrubland,NULL,Non_Wetland,Wetland
596,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
597,Forest,Shrubland,NULL,Non_Wetland,Bareland
598,Forest,Shrubland,NULL,Non_Wetland,Water
599,Forest,Shrubland,NULL,Non_Wetland,Forest
600,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
601,Forest,Shrubland,Non_Water,Non_Wetland,Forest
602,Forest,Shrubland,Water,Non_Wetland,Grassland
603,Forest,Shrubland,Water,Non_Wetland,Wetland
604,Forest,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
605,Forest,Shrubland,Water,Non_Wetland,Bareland
606,Forest,Shrubland,Water,Non_Wetland,Water
607,Forest,Shrubland,Water,Non_Wetland,Forest
608,Forest,Grassland,NULL,Non_Wetland,NULL
609,Forest,Grassland,NULL,Non_Wetland,Grassland
610,Forest,Grassland,NULL,Non_Wetland,Wetland
611,Forest,Grassland,NULL,Non_Wetland,Water
612,Forest,Grassland,NULL,Non_Wetland,Forest
613,Forest,Grassland,Non_Water,Non_Wetland,Grassland
614,Forest,Grassland,Non_Water,Non_Wetland,Wetland
615,Forest,Grassland,Non_Water,Non_Wetland,Forest
616,Forest,Grassland,Water,Non_Wetland,Grassland
617,Forest,Grassland,Water,Non_Wetland,Wetland
618,Forest,Grassland,Water,Non_Wetland,Bareland
619,Forest,Grassland,Water,Non_Wetland,Water
620,Forest,Grassland,Water,Non_Wetland,Forest
621,Forest,Cropland,NULL,Non_Wetland,Forest
622,Forest,Wetland,NULL,Wetland,NULL
623,Forest,Wetland,NULL,Wetland,Grassland
624,Forest,Wetland,NULL,Wetland,Wetland
625,Forest,Wetland,NULL,Wetland,Water
626,Forest,Wetland,NULL,Wetland,Forest
627,Forest,Wetland,Non_Water,Wetland,Grassland
628,Forest,Wetland,Non_Water,Wetland,Wetland
629,Forest,Wetland,Non_Water,Wetland,Water
630,Forest,Wetland,Non_Water,Wetland,Forest
631,Forest,Wetland,Water,Wetland,Grassland
632,Forest,Wetland,Water,Wetland,Wetland
633,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
634,Forest,Wetland,Water,Wetland,Bareland
635,Forest,Wetland,Water,Wetland,Water
636,Forest,Wetland,Water,Wetland,Forest
637,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
638,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
639,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
640,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
641,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
642,Forest,Lichens_and_Mosses,Water,Non_Wetland,Wetland
643,Forest,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
644,Forest,Lichens_and_Mosses,Water,Non_Wetland,Bareland
645,Forest,Lichens_and_Mosses,Water,Non_Wetland,Water
646,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
647,Forest,Bareland,NULL,Non_Wetland,NULL
648,Forest,Bareland,NULL,Non_Wetland,Grassland
649,Forest,Bareland,NULL,Non_Wetland,Wetland
650,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
651,Forest,Bareland,NULL,Non_Wetland,Bareland
652,Forest,Bareland,NULL,Non_Wetland,Water
653,Forest,Bareland,NULL,Non_Wetland,Forest
654,Forest,Bareland,Non_Water,Non_Wetland,Grassland
655,Forest,Bareland,Non_Water,Non_Wetland,Wetland
656,Forest,Bareland,Non_Water,Non_Wetland,Forest
657,Forest,Bareland,Water,Non_Wetland,Grassland
658,Forest,Bareland,Water,Non_Wetland,Wetland
659,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
660,Forest,Bareland,Water,Non_Wetland,Bareland
661,Forest,Bareland,Water,Non_Wetland,Water
662,Forest,Bareland,Water,Non_Wetland,Forest
663,Forest,Built-up,NULL,Non_Wetland,NULL
664,Forest,Built-up,NULL,Non_Wetland,Grassland
665,Forest,Built-up,NULL,Non_Wetland,Wetland
666,Forest,Built-up,NULL,Non_Wetland,Forest
667,Forest,Built-up,Non_Water,Non_Wetland,Forest
668,Forest,Built-up,Water,Non_Wetland,Wetland
669,Forest,Built-up,Water,Non_Wetland,Forest
670,Forest,Water,NULL,Water,Grassland
671,Forest,Water,NULL,Water,Wetland
672,Forest,Water,NULL,Water,Water
673,Forest,Water,NULL,Water,Forest
674,Forest,Water,Non_Water,Water,Wetland
675,Forest,Water,Non_Water,Water,Water
676,Forest,Water,Non_Water,Water,Forest
677,Forest,Water,Water,Water,Grassland
678,Forest,Water,Water,Water,Wetland
679,Forest,Water,Water,Water,Lichens_and_Mosses
680,Forest,Water,Water,Water,Water
681,Forest,Water,Water,Water,Forest
682,Forest,Forest,NULL,Non_Wetland,NULL
683,Forest,Forest,NULL,Non_Wetland,Grassland
684,Forest,Forest,NULL,Non_Wetland,Wetland
685,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
686,Forest,Forest,NULL,Non_Wetland,Bareland
687,Forest,Forest,NULL,Non_Wetland,Water
688,Forest,Forest,NULL,Non_Wetland,Forest
689,Forest,Forest,Non_Water,Non_Wetland,Grassland
690,Forest,Forest,Non_Water,Non_Wetland,Wetland
691,Forest,Forest,Non_Water,Non_Wetland,Water
692,Forest,Forest,Non_Water,Non_Wetland,Forest
693,Forest,Forest,Water,Non_Wetland,Grassland
694,Forest,Forest,Water,Non_Wetland,Wetland
695,Forest,Forest,Water,Non_Wetland,Bareland
696,Forest,Forest,Water,Non_Wetland,Water
697,Forest,Forest,Water,Non_Wetland,Forest
