Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,SIBERIA_2024_WorldCover_2021_45VVH_M_R
482,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
483,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Forest
484,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
485,Permanent_ice_and_snow,Water,NULL,Water,NULL
486,Permanent_ice_and_snow,Water,NULL,Water,Grassland
487,Permanent_ice_and_snow,Water,NULL,Water,Wetland
488,Permanent_ice_and_snow,Water,NULL,Water,Bareland
489,Permanent_ice_and_snow,Water,NULL,Water,Water
490,Permanent_ice_and_snow,Water,NULL,Water,Forest
491,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
492,Permanent_ice_and_snow,Water,Non_Water,Water,Water
493,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
494,Permanent_ice_and_snow,Water,Water,Water,NULL
495,Permanent_ice_and_snow,Water,Water,Water,Grassland
496,Permanent_ice_and_snow,Water,Water,Water,Wetland
497,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
498,Permanent_ice_and_snow,Water,Water,Water,Bareland
499,Permanent_ice_and_snow,Water,Water,Water,Water
500,Permanent_ice_and_snow,Water,Water,Water,Forest
501,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
502,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
503,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
504,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
505,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
506,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
507,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
508,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
509,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
510,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
511,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
512,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
513,Forest,NULL,NULL,Non_Wetland,NULL
514,Forest,NULL,NULL,Non_Wetland,Grassland
515,Forest,NULL,NULL,Non_Wetland,Wetland
516,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
517,Forest,NULL,NULL,Non_Wetland,Water
518,Forest,NULL,NULL,Non_Wetland,Forest
519,Forest,NULL,Non_Water,Non_Wetland,Grassland
520,Forest,NULL,Non_Water,Non_Wetland,Water
521,Forest,NULL,Non_Water,Non_Wetland,Forest
522,Forest,NULL,Water,Non_Wetland,Grassland
523,Forest,NULL,Water,Non_Wetland,Wetland
524,Forest,NULL,Water,Non_Wetland,Water
525,Forest,NULL,Water,Non_Wetland,Forest
526,Forest,Shrubland,NULL,Non_Wetland,NULL
527,Forest,Shrubland,NULL,Non_Wetland,Grassland
528,Forest,Shrubland,NULL,Non_Wetland,Wetland
529,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
530,Forest,Shrubland,NULL,Non_Wetland,Water
531,Forest,Shrubland,NULL,Non_Wetland,Forest
532,Forest,Shrubland,Non_Water,Non_Wetland,Forest
533,Forest,Shrubland,Water,Non_Wetland,Grassland
534,Forest,Shrubland,Water,Non_Wetland,Bareland
535,Forest,Shrubland,Water,Non_Wetland,Water
536,Forest,Shrubland,Water,Non_Wetland,Forest
537,Forest,Grassland,NULL,Non_Wetland,NULL
538,Forest,Grassland,NULL,Non_Wetland,Grassland
539,Forest,Grassland,NULL,Non_Wetland,Wetland
540,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
541,Forest,Grassland,NULL,Non_Wetland,Forest
542,Forest,Grassland,Non_Water,Non_Wetland,Grassland
543,Forest,Grassland,Non_Water,Non_Wetland,Forest
544,Forest,Grassland,Water,Non_Wetland,Grassland
545,Forest,Grassland,Water,Non_Wetland,Forest
546,Forest,Cropland,NULL,Non_Wetland,Forest
547,Forest,Wetland,NULL,Wetland,NULL
548,Forest,Wetland,NULL,Wetland,Grassland
549,Forest,Wetland,NULL,Wetland,Wetland
550,Forest,Wetland,NULL,Wetland,Water
551,Forest,Wetland,NULL,Wetland,Forest
552,Forest,Wetland,Non_Water,Wetland,NULL
553,Forest,Wetland,Non_Water,Wetland,Grassland
554,Forest,Wetland,Non_Water,Wetland,Wetland
555,Forest,Wetland,Non_Water,Wetland,Water
556,Forest,Wetland,Non_Water,Wetland,Forest
557,Forest,Wetland,Water,Wetland,Grassland
558,Forest,Wetland,Water,Wetland,Wetland
559,Forest,Wetland,Water,Wetland,Bareland
560,Forest,Wetland,Water,Wetland,Water
561,Forest,Wetland,Water,Wetland,Forest
562,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
563,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
564,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
565,Forest,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
566,Forest,Lichens_and_Mosses,Water,Non_Wetland,Bareland
567,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
568,Forest,Bareland,NULL,Non_Wetland,NULL
569,Forest,Bareland,NULL,Non_Wetland,Grassland
570,Forest,Bareland,NULL,Non_Wetland,Wetland
571,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
572,Forest,Bareland,NULL,Non_Wetland,Bareland
573,Forest,Bareland,NULL,Non_Wetland,Water
574,Forest,Bareland,NULL,Non_Wetland,Forest
575,Forest,Bareland,Non_Water,Non_Wetland,Grassland
576,Forest,Bareland,Non_Water,Non_Wetland,Wetland
577,Forest,Bareland,Non_Water,Non_Wetland,Water
578,Forest,Bareland,Non_Water,Non_Wetland,Forest
579,Forest,Bareland,Water,Non_Wetland,Grassland
580,Forest,Bareland,Water,Non_Wetland,Wetland
581,Forest,Bareland,Water,Non_Wetland,Bareland
582,Forest,Bareland,Water,Non_Wetland,Water
583,Forest,Bareland,Water,Non_Wetland,Forest
584,Forest,Built-up,NULL,Non_Wetland,Grassland
585,Forest,Built-up,NULL,Non_Wetland,Wetland
586,Forest,Built-up,NULL,Non_Wetland,Bareland
587,Forest,Built-up,NULL,Non_Wetland,Forest
588,Forest,Built-up,Non_Water,Non_Wetland,Wetland
589,Forest,Built-up,Non_Water,Non_Wetland,Forest
590,Forest,Built-up,Water,Non_Wetland,Wetland
591,Forest,Built-up,Water,Non_Wetland,Water
592,Forest,Built-up,Water,Non_Wetland,Forest
593,Forest,Water,NULL,Water,Grassland
594,Forest,Water,NULL,Water,Wetland
595,Forest,Water,NULL,Water,Bareland
596,Forest,Water,NULL,Water,Water
597,Forest,Water,NULL,Water,Forest
598,Forest,Water,Non_Water,Water,Wetland
599,Forest,Water,Non_Water,Water,Water
600,Forest,Water,Non_Water,Water,Forest
601,Forest,Water,Water,Water,Grassland
602,Forest,Water,Water,Water,Wetland
603,Forest,Water,Water,Water,Bareland
604,Forest,Water,Water,Water,Water
605,Forest,Water,Water,Water,Forest
606,Forest,Forest,NULL,Non_Wetland,NULL
607,Forest,Forest,NULL,Non_Wetland,Grassland
608,Forest,Forest,NULL,Non_Wetland,Wetland
609,Forest,Forest,NULL,Non_Wetland,Bareland
610,Forest,Forest,NULL,Non_Wetland,Water
611,Forest,Forest,NULL,Non_Wetland,Forest
612,Forest,Forest,Non_Water,Non_Wetland,Grassland
613,Forest,Forest,Non_Water,Non_Wetland,Wetland
614,Forest,Forest,Non_Water,Non_Wetland,Water
615,Forest,Forest,Non_Water,Non_Wetland,Forest
616,Forest,Forest,Water,Non_Wetland,Grassland
617,Forest,Forest,Water,Non_Wetland,Wetland
618,Forest,Forest,Water,Non_Wetland,Water
619,Forest,Forest,Water,Non_Wetland,Forest
