Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,SIBERIA_2024_WorldCover_2021_44VNN_M_R
484,Forest,NULL,NULL,Non_Wetland,Grassland
485,Forest,NULL,NULL,Non_Wetland,Wetland
486,Forest,NULL,NULL,Non_Wetland,Water
487,Forest,NULL,NULL,Non_Wetland,Forest
488,Forest,NULL,Non_Water,Non_Wetland,Grassland
489,Forest,NULL,Non_Water,Non_Wetland,Wetland
490,Forest,NULL,Non_Water,Non_Wetland,Water
491,Forest,NULL,Non_Water,Non_Wetland,Forest
492,Forest,NULL,Water,Non_Wetland,Grassland
493,Forest,NULL,Water,Non_Wetland,Wetland
494,Forest,NULL,Water,Non_Wetland,Water
495,Forest,NULL,Water,Non_Wetland,Forest
496,Forest,Shrubland,NULL,Non_Wetland,NULL
497,Forest,Shrubland,NULL,Non_Wetland,Grassland
498,Forest,Shrubland,NULL,Non_Wetland,Wetland
499,Forest,Shrubland,NULL,Non_Wetland,Water
500,Forest,Shrubland,NULL,Non_Wetland,Forest
501,Forest,Shrubland,Non_Water,Non_Wetland,Forest
502,Forest,Shrubland,Water,Non_Wetland,Grassland
503,Forest,Shrubland,Water,Non_Wetland,Water
504,Forest,Shrubland,Water,Non_Wetland,Forest
505,Forest,Grassland,NULL,Non_Wetland,NULL
506,Forest,Grassland,NULL,Non_Wetland,Grassland
507,Forest,Grassland,NULL,Non_Wetland,Wetland
508,Forest,Grassland,NULL,Non_Wetland,Forest
509,Forest,Grassland,Non_Water,Non_Wetland,Forest
510,Forest,Grassland,Water,Non_Wetland,Forest
511,Forest,Cropland,NULL,Non_Wetland,Grassland
512,Forest,Cropland,NULL,Non_Wetland,Forest
513,Forest,Cropland,Water,Non_Wetland,Forest
514,Forest,Wetland,NULL,Wetland,NULL
515,Forest,Wetland,NULL,Wetland,Grassland
516,Forest,Wetland,NULL,Wetland,Wetland
517,Forest,Wetland,NULL,Wetland,Water
518,Forest,Wetland,NULL,Wetland,Forest
519,Forest,Wetland,Non_Water,Wetland,Grassland
520,Forest,Wetland,Non_Water,Wetland,Wetland
521,Forest,Wetland,Non_Water,Wetland,Water
522,Forest,Wetland,Non_Water,Wetland,Forest
523,Forest,Wetland,Water,Wetland,Grassland
524,Forest,Wetland,Water,Wetland,Wetland
525,Forest,Wetland,Water,Wetland,Bareland
526,Forest,Wetland,Water,Wetland,Water
527,Forest,Wetland,Water,Wetland,Forest
528,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
529,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
530,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
531,Forest,Bareland,NULL,Non_Wetland,NULL
532,Forest,Bareland,NULL,Non_Wetland,Grassland
533,Forest,Bareland,NULL,Non_Wetland,Wetland
534,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
535,Forest,Bareland,NULL,Non_Wetland,Water
536,Forest,Bareland,NULL,Non_Wetland,Forest
537,Forest,Bareland,Non_Water,Non_Wetland,Grassland
538,Forest,Bareland,Non_Water,Non_Wetland,Wetland
539,Forest,Bareland,Non_Water,Non_Wetland,Forest
540,Forest,Bareland,Water,Non_Wetland,Grassland
541,Forest,Bareland,Water,Non_Wetland,Wetland
542,Forest,Bareland,Water,Non_Wetland,Water
543,Forest,Bareland,Water,Non_Wetland,Forest
544,Forest,Built-up,NULL,Non_Wetland,Grassland
545,Forest,Built-up,NULL,Non_Wetland,Wetland
546,Forest,Built-up,NULL,Non_Wetland,Water
547,Forest,Built-up,NULL,Non_Wetland,Forest
548,Forest,Built-up,Non_Water,Non_Wetland,Forest
549,Forest,Built-up,Water,Non_Wetland,Forest
550,Forest,Water,NULL,Water,Grassland
551,Forest,Water,NULL,Water,Wetland
552,Forest,Water,NULL,Water,Water
553,Forest,Water,NULL,Water,Forest
554,Forest,Water,Non_Water,Water,Grassland
555,Forest,Water,Non_Water,Water,Wetland
556,Forest,Water,Non_Water,Water,Water
557,Forest,Water,Non_Water,Water,Forest
558,Forest,Water,Water,Water,Grassland
559,Forest,Water,Water,Water,Wetland
560,Forest,Water,Water,Water,Water
561,Forest,Water,Water,Water,Forest
562,Forest,Forest,NULL,Non_Wetland,NULL
563,Forest,Forest,NULL,Non_Wetland,Grassland
564,Forest,Forest,NULL,Non_Wetland,Wetland
565,Forest,Forest,NULL,Non_Wetland,Water
566,Forest,Forest,NULL,Non_Wetland,Forest
567,Forest,Forest,Non_Water,Non_Wetland,NULL
568,Forest,Forest,Non_Water,Non_Wetland,Grassland
569,Forest,Forest,Non_Water,Non_Wetland,Wetland
570,Forest,Forest,Non_Water,Non_Wetland,Water
571,Forest,Forest,Non_Water,Non_Wetland,Forest
572,Forest,Forest,Water,Non_Wetland,NULL
573,Forest,Forest,Water,Non_Wetland,Grassland
574,Forest,Forest,Water,Non_Wetland,Wetland
575,Forest,Forest,Water,Non_Wetland,Water
576,Forest,Forest,Water,Non_Wetland,Forest
