Value,SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDV_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,SIBERIA_2024_WorldCover_2021_43WDV_M_R
406,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
407,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
408,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
409,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
410,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
411,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
412,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
413,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
414,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
415,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
416,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
417,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
418,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
419,Bareland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
420,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
421,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
422,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
423,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
424,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
425,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
426,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
427,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
428,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
429,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
430,Bareland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
431,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
432,Bareland,NULL,Bareland,Water,Non_Wetland,Water
433,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
434,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
435,Bareland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
436,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
437,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
438,Bareland,NULL,Built-up,NULL,Non_Wetland,Water
439,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
440,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
441,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
442,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Water
443,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
444,Bareland,NULL,Built-up,Water,Non_Wetland,Wetland
445,Bareland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
446,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
447,Bareland,NULL,Built-up,Water,Non_Wetland,Water
448,Bareland,NULL,Water,NULL,NULL,Water
449,Bareland,NULL,Water,NULL,Water,Grassland
450,Bareland,NULL,Water,NULL,Water,Wetland
451,Bareland,NULL,Water,NULL,Water,Lichens_and_Mosses
452,Bareland,NULL,Water,NULL,Water,Bareland
453,Bareland,NULL,Water,NULL,Water,Water
454,Bareland,NULL,Water,Non_Water,Water,Grassland
455,Bareland,NULL,Water,Non_Water,Water,Wetland
456,Bareland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
457,Bareland,NULL,Water,Non_Water,Water,Bareland
458,Bareland,NULL,Water,Non_Water,Water,Water
459,Bareland,NULL,Water,Water,NULL,Water
460,Bareland,NULL,Water,Water,Water,Grassland
461,Bareland,NULL,Water,Water,Water,Wetland
462,Bareland,NULL,Water,Water,Water,Lichens_and_Mosses
463,Bareland,NULL,Water,Water,Water,Bareland
464,Bareland,NULL,Water,Water,Water,Water
465,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
466,Water,NULL,Shrubland,NULL,Non_Wetland,Water
467,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
468,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water
469,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
470,Water,NULL,Shrubland,Water,Non_Wetland,Water
471,Water,NULL,Grassland,NULL,Non_Wetland,Water
472,Water,NULL,Wetland,NULL,Wetland,Wetland
473,Water,NULL,Wetland,NULL,Wetland,Water
474,Water,NULL,Wetland,Non_Water,Wetland,Wetland
475,Water,NULL,Wetland,Non_Water,Wetland,Water
476,Water,NULL,Wetland,Water,Wetland,Wetland
477,Water,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
478,Water,NULL,Wetland,Water,Wetland,Bareland
479,Water,NULL,Wetland,Water,Wetland,Water
480,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
481,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
482,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
483,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
484,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
485,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
486,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
487,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
488,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
489,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
490,Water,NULL,Bareland,NULL,Non_Wetland,Water
491,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland
492,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
493,Water,NULL,Bareland,Non_Water,Non_Wetland,Water
494,Water,NULL,Bareland,Water,Non_Wetland,Wetland
495,Water,NULL,Bareland,Water,Non_Wetland,Bareland
496,Water,NULL,Bareland,Water,Non_Wetland,Water
497,Water,NULL,Built-up,Water,Non_Wetland,Water
498,Water,NULL,Water,NULL,Water,Wetland
499,Water,NULL,Water,NULL,Water,Lichens_and_Mosses
500,Water,NULL,Water,NULL,Water,Water
501,Water,NULL,Water,Non_Water,Water,Wetland
502,Water,NULL,Water,Non_Water,Water,Water
503,Water,NULL,Water,Water,NULL,Water
504,Water,NULL,Water,Water,Water,Grassland
505,Water,NULL,Water,Water,Water,Wetland
506,Water,NULL,Water,Water,Water,Water
507,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
508,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Water
509,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,Grassland
510,Permanent_ice_and_snow,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
511,Permanent_ice_and_snow,NULL,Water,Water,Water,Water
512,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
513,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
514,Forest,NULL,Shrubland,NULL,Non_Wetland,Water
515,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
516,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water
517,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
518,Forest,NULL,Shrubland,Water,Non_Wetland,Water
519,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
520,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
521,Forest,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
522,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland
523,Forest,NULL,Wetland,NULL,Wetland,Wetland
524,Forest,NULL,Wetland,NULL,Wetland,Water
525,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
526,Forest,NULL,Wetland,Non_Water,Wetland,Water
527,Forest,NULL,Wetland,Water,Wetland,Wetland
528,Forest,NULL,Wetland,Water,Wetland,Water
529,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
530,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
531,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
532,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
533,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
534,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
535,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
536,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
537,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
538,Forest,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
539,Forest,NULL,Bareland,NULL,Non_Wetland,Water
540,Forest,NULL,Bareland,Non_Water,Non_Wetland,Wetland
541,Forest,NULL,Bareland,Water,Non_Wetland,Wetland
542,Forest,NULL,Bareland,Water,Non_Wetland,Water
543,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland
544,Forest,NULL,Water,NULL,Water,Wetland
545,Forest,NULL,Water,NULL,Water,Water
546,Forest,NULL,Water,Non_Water,Water,Wetland
547,Forest,NULL,Water,Non_Water,Water,Water
548,Forest,NULL,Water,Water,Water,Wetland
549,Forest,NULL,Water,Water,Water,Water
550,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
551,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
552,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
