Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,SIBERIA_2024_WorldCover_2021_43VEF_M_R
499,Forest,Grassland,NULL,Non_Wetland,Wetland
500,Forest,Grassland,NULL,Non_Wetland,Bareland
501,Forest,Grassland,NULL,Non_Wetland,Built-up
502,Forest,Grassland,NULL,Non_Wetland,Forest
503,Forest,Grassland,Non_Water,Non_Wetland,Forest
504,Forest,Grassland,Water,Non_Wetland,Forest
505,Forest,Cropland,NULL,Non_Wetland,Grassland
506,Forest,Cropland,NULL,Non_Wetland,Cropland
507,Forest,Cropland,NULL,Non_Wetland,Wetland
508,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
509,Forest,Cropland,NULL,Non_Wetland,Bareland
510,Forest,Cropland,NULL,Non_Wetland,Built-up
511,Forest,Cropland,NULL,Non_Wetland,Water
512,Forest,Cropland,NULL,Non_Wetland,Forest
513,Forest,Cropland,Non_Water,Non_Wetland,Grassland
514,Forest,Cropland,Non_Water,Non_Wetland,Wetland
515,Forest,Cropland,Non_Water,Non_Wetland,Forest
516,Forest,Cropland,Water,Non_Wetland,Forest
517,Forest,Wetland,NULL,Wetland,NULL
518,Forest,Wetland,NULL,Wetland,Grassland
519,Forest,Wetland,NULL,Wetland,Wetland
520,Forest,Wetland,NULL,Wetland,Built-up
521,Forest,Wetland,NULL,Wetland,Water
522,Forest,Wetland,NULL,Wetland,Forest
523,Forest,Wetland,Non_Water,Wetland,NULL
524,Forest,Wetland,Non_Water,Wetland,Grassland
525,Forest,Wetland,Non_Water,Wetland,Wetland
526,Forest,Wetland,Non_Water,Wetland,Water
527,Forest,Wetland,Non_Water,Wetland,Forest
528,Forest,Wetland,Water,Wetland,NULL
529,Forest,Wetland,Water,Wetland,Grassland
530,Forest,Wetland,Water,Wetland,Wetland
531,Forest,Wetland,Water,Wetland,Water
532,Forest,Wetland,Water,Wetland,Forest
533,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
534,Forest,Bareland,NULL,Non_Wetland,NULL
535,Forest,Bareland,NULL,Non_Wetland,Grassland
536,Forest,Bareland,NULL,Non_Wetland,Cropland
537,Forest,Bareland,NULL,Non_Wetland,Wetland
538,Forest,Bareland,NULL,Non_Wetland,Bareland
539,Forest,Bareland,NULL,Non_Wetland,Built-up
540,Forest,Bareland,NULL,Non_Wetland,Water
541,Forest,Bareland,NULL,Non_Wetland,Forest
542,Forest,Bareland,Non_Water,Non_Wetland,Wetland
543,Forest,Bareland,Non_Water,Non_Wetland,Forest
544,Forest,Bareland,Water,Non_Wetland,Grassland
545,Forest,Bareland,Water,Non_Wetland,Water
546,Forest,Bareland,Water,Non_Wetland,Forest
547,Forest,Built-up,NULL,Non_Wetland,Grassland
548,Forest,Built-up,NULL,Non_Wetland,Wetland
549,Forest,Built-up,NULL,Non_Wetland,Bareland
550,Forest,Built-up,NULL,Non_Wetland,Built-up
551,Forest,Built-up,NULL,Non_Wetland,Forest
552,Forest,Built-up,Non_Water,Non_Wetland,Built-up
553,Forest,Built-up,Non_Water,Non_Wetland,Forest
554,Forest,Water,NULL,Water,Grassland
555,Forest,Water,NULL,Water,Wetland
556,Forest,Water,NULL,Water,Water
557,Forest,Water,NULL,Water,Forest
558,Forest,Water,Non_Water,Water,Wetland
559,Forest,Water,Non_Water,Water,Water
560,Forest,Water,Non_Water,Water,Forest
561,Forest,Water,Water,Water,Grassland
562,Forest,Water,Water,Water,Wetland
563,Forest,Water,Water,Water,Water
564,Forest,Water,Water,Water,Forest
565,Forest,Forest,NULL,Non_Wetland,NULL
566,Forest,Forest,NULL,Non_Wetland,Grassland
567,Forest,Forest,NULL,Non_Wetland,Cropland
568,Forest,Forest,NULL,Non_Wetland,Wetland
569,Forest,Forest,NULL,Non_Wetland,Bareland
570,Forest,Forest,NULL,Non_Wetland,Built-up
571,Forest,Forest,NULL,Non_Wetland,Water
572,Forest,Forest,NULL,Non_Wetland,Forest
573,Forest,Forest,Non_Water,Non_Wetland,Grassland
574,Forest,Forest,Non_Water,Non_Wetland,Wetland
575,Forest,Forest,Non_Water,Non_Wetland,Water
576,Forest,Forest,Non_Water,Non_Wetland,Forest
577,Forest,Forest,Water,Non_Wetland,Grassland
578,Forest,Forest,Water,Non_Wetland,Wetland
579,Forest,Forest,Water,Non_Wetland,Water
580,Forest,Forest,Water,Non_Wetland,Forest
