Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,SIBERIA_2024_WorldCover_2021_43VEG_M_R
497,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
498,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
499,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
500,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
501,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
502,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
503,Forest,NULL,NULL,Non_Wetland,NULL
504,Forest,NULL,NULL,Non_Wetland,Grassland
505,Forest,NULL,NULL,Non_Wetland,Wetland
506,Forest,NULL,NULL,Non_Wetland,Bareland
507,Forest,NULL,NULL,Non_Wetland,Built-up
508,Forest,NULL,NULL,Non_Wetland,Water
509,Forest,NULL,NULL,Non_Wetland,Forest
510,Forest,NULL,Non_Water,Non_Wetland,Grassland
511,Forest,NULL,Non_Water,Non_Wetland,Wetland
512,Forest,NULL,Non_Water,Non_Wetland,Water
513,Forest,NULL,Non_Water,Non_Wetland,Forest
514,Forest,NULL,Water,Non_Wetland,Grassland
515,Forest,NULL,Water,Non_Wetland,Wetland
516,Forest,NULL,Water,Non_Wetland,Water
517,Forest,NULL,Water,Non_Wetland,Forest
518,Forest,Shrubland,NULL,Non_Wetland,NULL
519,Forest,Shrubland,NULL,Non_Wetland,Grassland
520,Forest,Shrubland,NULL,Non_Wetland,Wetland
521,Forest,Shrubland,NULL,Non_Wetland,Bareland
522,Forest,Shrubland,NULL,Non_Wetland,Built-up
523,Forest,Shrubland,NULL,Non_Wetland,Water
524,Forest,Shrubland,NULL,Non_Wetland,Forest
525,Forest,Shrubland,Non_Water,Non_Wetland,Forest
526,Forest,Shrubland,Water,Non_Wetland,Grassland
527,Forest,Shrubland,Water,Non_Wetland,Forest
528,Forest,Grassland,NULL,Non_Wetland,NULL
529,Forest,Grassland,NULL,Non_Wetland,Grassland
530,Forest,Grassland,NULL,Non_Wetland,Wetland
531,Forest,Grassland,NULL,Non_Wetland,Bareland
532,Forest,Grassland,NULL,Non_Wetland,Water
533,Forest,Grassland,NULL,Non_Wetland,Forest
534,Forest,Grassland,Non_Water,Non_Wetland,Grassland
535,Forest,Grassland,Non_Water,Non_Wetland,Forest
536,Forest,Grassland,Water,Non_Wetland,Forest
537,Forest,Cropland,NULL,Non_Wetland,NULL
538,Forest,Cropland,NULL,Non_Wetland,Grassland
539,Forest,Cropland,NULL,Non_Wetland,Wetland
540,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
541,Forest,Cropland,NULL,Non_Wetland,Bareland
542,Forest,Cropland,NULL,Non_Wetland,Built-up
543,Forest,Cropland,NULL,Non_Wetland,Forest
544,Forest,Cropland,Non_Water,Non_Wetland,Grassland
545,Forest,Cropland,Non_Water,Non_Wetland,Forest
546,Forest,Cropland,Water,Non_Wetland,Forest
547,Forest,Wetland,NULL,Wetland,NULL
548,Forest,Wetland,NULL,Wetland,Grassland
549,Forest,Wetland,NULL,Wetland,Wetland
550,Forest,Wetland,NULL,Wetland,Built-up
551,Forest,Wetland,NULL,Wetland,Water
552,Forest,Wetland,NULL,Wetland,Forest
553,Forest,Wetland,Non_Water,Wetland,Grassland
554,Forest,Wetland,Non_Water,Wetland,Wetland
555,Forest,Wetland,Non_Water,Wetland,Water
556,Forest,Wetland,Non_Water,Wetland,Forest
557,Forest,Wetland,Water,Wetland,Grassland
558,Forest,Wetland,Water,Wetland,Wetland
559,Forest,Wetland,Water,Wetland,Water
560,Forest,Wetland,Water,Wetland,Forest
561,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
562,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
563,Forest,Bareland,NULL,Non_Wetland,NULL
564,Forest,Bareland,NULL,Non_Wetland,Grassland
565,Forest,Bareland,NULL,Non_Wetland,Wetland
566,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
567,Forest,Bareland,NULL,Non_Wetland,Bareland
568,Forest,Bareland,NULL,Non_Wetland,Built-up
569,Forest,Bareland,NULL,Non_Wetland,Water
570,Forest,Bareland,NULL,Non_Wetland,Forest
571,Forest,Bareland,Non_Water,Non_Wetland,Grassland
572,Forest,Bareland,Non_Water,Non_Wetland,Wetland
573,Forest,Bareland,Non_Water,Non_Wetland,Bareland
574,Forest,Bareland,Non_Water,Non_Wetland,Built-up
575,Forest,Bareland,Non_Water,Non_Wetland,Water
576,Forest,Bareland,Non_Water,Non_Wetland,Forest
577,Forest,Bareland,Water,Non_Wetland,Wetland
578,Forest,Bareland,Water,Non_Wetland,Bareland
579,Forest,Bareland,Water,Non_Wetland,Water
580,Forest,Bareland,Water,Non_Wetland,Forest
581,Forest,Built-up,NULL,Non_Wetland,Grassland
582,Forest,Built-up,NULL,Non_Wetland,Wetland
583,Forest,Built-up,NULL,Non_Wetland,Bareland
584,Forest,Built-up,NULL,Non_Wetland,Built-up
585,Forest,Built-up,NULL,Non_Wetland,Forest
586,Forest,Built-up,Non_Water,Non_Wetland,Built-up
587,Forest,Built-up,Water,Non_Wetland,Built-up
588,Forest,Water,NULL,Water,Grassland
589,Forest,Water,NULL,Water,Wetland
590,Forest,Water,NULL,Water,Water
591,Forest,Water,NULL,Water,Forest
592,Forest,Water,Non_Water,Water,Grassland
593,Forest,Water,Non_Water,Water,Water
594,Forest,Water,Non_Water,Water,Forest
595,Forest,Water,Water,Water,Grassland
596,Forest,Water,Water,Water,Wetland
597,Forest,Water,Water,Water,Bareland
598,Forest,Water,Water,Water,Water
599,Forest,Water,Water,Water,Forest
600,Forest,Forest,NULL,Non_Wetland,NULL
601,Forest,Forest,NULL,Non_Wetland,Grassland
602,Forest,Forest,NULL,Non_Wetland,Cropland
603,Forest,Forest,NULL,Non_Wetland,Wetland
604,Forest,Forest,NULL,Non_Wetland,Bareland
605,Forest,Forest,NULL,Non_Wetland,Built-up
606,Forest,Forest,NULL,Non_Wetland,Water
607,Forest,Forest,NULL,Non_Wetland,Forest
608,Forest,Forest,Non_Water,Non_Wetland,Grassland
609,Forest,Forest,Non_Water,Non_Wetland,Wetland
610,Forest,Forest,Non_Water,Non_Wetland,Water
611,Forest,Forest,Non_Water,Non_Wetland,Forest
612,Forest,Forest,Water,Non_Wetland,Grassland
613,Forest,Forest,Water,Non_Wetland,Wetland
614,Forest,Forest,Water,Non_Wetland,Water
615,Forest,Forest,Water,Non_Wetland,Forest
