Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMU_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMU_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMU_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMU_M_R,SIBERIA_2024_WorldCover_2021_44WMU_M_R
472,Built-up,Shrubland,NULL,Non_Wetland,Water
473,Built-up,Shrubland,NULL,Non_Wetland,Forest
474,Built-up,Grassland,NULL,Non_Wetland,Grassland
475,Built-up,Grassland,NULL,Non_Wetland,Wetland
476,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
477,Built-up,Grassland,NULL,Non_Wetland,Bareland
478,Built-up,Grassland,NULL,Non_Wetland,Built-up
479,Built-up,Grassland,NULL,Non_Wetland,Forest
480,Built-up,Grassland,Non_Water,Non_Wetland,Forest
481,Built-up,Grassland,Water,Non_Wetland,Bareland
482,Built-up,Wetland,NULL,Wetland,Grassland
483,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
484,Built-up,Wetland,NULL,Wetland,Forest
485,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
486,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
487,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
488,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
489,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
490,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
491,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
492,Built-up,Bareland,NULL,Non_Wetland,Grassland
493,Built-up,Bareland,NULL,Non_Wetland,Wetland
494,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
495,Built-up,Bareland,NULL,Non_Wetland,Bareland
496,Built-up,Bareland,NULL,Non_Wetland,Built-up
497,Built-up,Bareland,NULL,Non_Wetland,Water
498,Built-up,Bareland,NULL,Non_Wetland,Forest
499,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
500,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
501,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
502,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
503,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
504,Built-up,Bareland,Non_Water,Non_Wetland,Water
505,Built-up,Bareland,Non_Water,Non_Wetland,Forest
506,Built-up,Bareland,Water,Non_Wetland,Grassland
507,Built-up,Bareland,Water,Non_Wetland,Bareland
508,Built-up,Bareland,Water,Non_Wetland,Built-up
509,Built-up,Bareland,Water,Non_Wetland,Water
510,Built-up,Bareland,Water,Non_Wetland,Forest
511,Built-up,Built-up,NULL,Non_Wetland,Grassland
512,Built-up,Built-up,NULL,Non_Wetland,Wetland
513,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
514,Built-up,Built-up,NULL,Non_Wetland,Bareland
515,Built-up,Built-up,NULL,Non_Wetland,Built-up
516,Built-up,Built-up,NULL,Non_Wetland,Water
517,Built-up,Built-up,NULL,Non_Wetland,Forest
518,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
519,Built-up,Built-up,Non_Water,Non_Wetland,Wetland
520,Built-up,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
521,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
522,Built-up,Built-up,Non_Water,Non_Wetland,Forest
523,Built-up,Built-up,Water,Non_Wetland,Grassland
524,Built-up,Built-up,Water,Non_Wetland,Bareland
525,Built-up,Built-up,Water,Non_Wetland,Built-up
526,Built-up,Built-up,Water,Non_Wetland,Water
527,Built-up,Water,NULL,Water,Bareland
528,Built-up,Water,NULL,Water,Water
529,Built-up,Water,Water,Water,Bareland
530,Built-up,Water,Water,Water,Water
531,Built-up,Forest,NULL,Non_Wetland,Grassland
532,Built-up,Forest,NULL,Non_Wetland,Wetland
533,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
534,Built-up,Forest,NULL,Non_Wetland,Bareland
535,Built-up,Forest,NULL,Non_Wetland,Built-up
536,Built-up,Forest,NULL,Non_Wetland,Forest
537,Water,NULL,NULL,Non_Wetland,Grassland
538,Water,NULL,NULL,Non_Wetland,Wetland
539,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
540,Water,NULL,NULL,Non_Wetland,Bareland
541,Water,NULL,NULL,Non_Wetland,Water
542,Water,NULL,NULL,Non_Wetland,Forest
543,Water,NULL,Non_Water,Non_Wetland,Grassland
544,Water,NULL,Non_Water,Non_Wetland,Wetland
545,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
546,Water,NULL,Non_Water,Non_Wetland,Bareland
547,Water,NULL,Non_Water,Non_Wetland,Water
548,Water,NULL,Non_Water,Non_Wetland,Forest
549,Water,NULL,Water,Non_Wetland,Grassland
550,Water,NULL,Water,Non_Wetland,Wetland
551,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
552,Water,NULL,Water,Non_Wetland,Bareland
553,Water,NULL,Water,Non_Wetland,Water
554,Water,NULL,Water,Non_Wetland,Forest
555,Water,Shrubland,NULL,Non_Wetland,Grassland
556,Water,Shrubland,NULL,Non_Wetland,Wetland
557,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
558,Water,Shrubland,NULL,Non_Wetland,Bareland
559,Water,Shrubland,NULL,Non_Wetland,Water
560,Water,Shrubland,NULL,Non_Wetland,Forest
561,Water,Shrubland,Non_Water,Non_Wetland,Grassland
562,Water,Shrubland,Non_Water,Non_Wetland,Wetland
563,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
564,Water,Shrubland,Non_Water,Non_Wetland,Bareland
565,Water,Shrubland,Non_Water,Non_Wetland,Water
566,Water,Shrubland,Non_Water,Non_Wetland,Forest
567,Water,Shrubland,Water,Non_Wetland,Grassland
568,Water,Shrubland,Water,Non_Wetland,Wetland
569,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
570,Water,Shrubland,Water,Non_Wetland,Bareland
571,Water,Shrubland,Water,Non_Wetland,Water
572,Water,Shrubland,Water,Non_Wetland,Forest
573,Water,Grassland,NULL,Non_Wetland,Grassland
574,Water,Grassland,NULL,Non_Wetland,Wetland
575,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
576,Water,Grassland,NULL,Non_Wetland,Bareland
577,Water,Grassland,NULL,Non_Wetland,Water
578,Water,Grassland,NULL,Non_Wetland,Forest
579,Water,Grassland,Non_Water,Non_Wetland,Grassland
580,Water,Grassland,Non_Water,Non_Wetland,Wetland
581,Water,Grassland,Non_Water,Non_Wetland,Bareland
582,Water,Grassland,Non_Water,Non_Wetland,Water
583,Water,Grassland,Non_Water,Non_Wetland,Forest
584,Water,Grassland,Water,Non_Wetland,Grassland
585,Water,Grassland,Water,Non_Wetland,Wetland
586,Water,Grassland,Water,Non_Wetland,Water
587,Water,Grassland,Water,Non_Wetland,Forest
588,Water,Wetland,NULL,Wetland,Grassland
589,Water,Wetland,NULL,Wetland,Wetland
590,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
591,Water,Wetland,NULL,Wetland,Bareland
592,Water,Wetland,NULL,Wetland,Water
593,Water,Wetland,NULL,Wetland,Forest
594,Water,Wetland,Non_Water,Wetland,Grassland
595,Water,Wetland,Non_Water,Wetland,Wetland
596,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
597,Water,Wetland,Non_Water,Wetland,Bareland
598,Water,Wetland,Non_Water,Wetland,Water
599,Water,Wetland,Non_Water,Wetland,Forest
600,Water,Wetland,Water,Wetland,Grassland
601,Water,Wetland,Water,Wetland,Wetland
602,Water,Wetland,Water,Wetland,Lichens_and_Mosses
603,Water,Wetland,Water,Wetland,Bareland
604,Water,Wetland,Water,Wetland,Water
605,Water,Wetland,Water,Wetland,Forest
606,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
607,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
608,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
609,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
610,Water,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
611,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
612,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
613,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
614,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
615,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
616,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
617,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
618,Water,Bareland,NULL,Non_Wetland,Grassland
619,Water,Bareland,NULL,Non_Wetland,Wetland
620,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
621,Water,Bareland,NULL,Non_Wetland,Bareland
622,Water,Bareland,NULL,Non_Wetland,Water
623,Water,Bareland,NULL,Non_Wetland,Forest
624,Water,Bareland,Non_Water,Non_Wetland,Grassland
625,Water,Bareland,Non_Water,Non_Wetland,Wetland
626,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
627,Water,Bareland,Non_Water,Non_Wetland,Bareland
628,Water,Bareland,Non_Water,Non_Wetland,Water
629,Water,Bareland,Non_Water,Non_Wetland,Forest
630,Water,Bareland,Water,Non_Wetland,Grassland
631,Water,Bareland,Water,Non_Wetland,Wetland
632,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
633,Water,Bareland,Water,Non_Wetland,Bareland
634,Water,Bareland,Water,Non_Wetland,Water
635,Water,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
636,Water,Bareland,Water,Non_Wetland,Forest
637,Water,Built-up,NULL,Non_Wetland,Grassland
638,Water,Built-up,NULL,Non_Wetland,Wetland
639,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
640,Water,Built-up,NULL,Non_Wetland,Bareland
641,Water,Built-up,NULL,Non_Wetland,Water
642,Water,Built-up,NULL,Non_Wetland,Forest
643,Water,Built-up,Non_Water,Non_Wetland,Grassland
644,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
645,Water,Built-up,Non_Water,Non_Wetland,Bareland
646,Water,Built-up,Non_Water,Non_Wetland,Water
647,Water,Built-up,Water,Non_Wetland,Grassland
648,Water,Built-up,Water,Non_Wetland,Wetland
649,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
650,Water,Built-up,Water,Non_Wetland,Bareland
651,Water,Built-up,Water,Non_Wetland,Water
652,Water,Built-up,Water,Non_Wetland,Forest
653,Water,Water,NULL,Water,Grassland
654,Water,Water,NULL,Water,Wetland
655,Water,Water,NULL,Water,Lichens_and_Mosses
656,Water,Water,NULL,Water,Bareland
657,Water,Water,NULL,Water,Water
658,Water,Water,NULL,Water,Forest
659,Water,Water,Non_Water,Water,Grassland
660,Water,Water,Non_Water,Water,Wetland
661,Water,Water,Non_Water,Water,Lichens_and_Mosses
662,Water,Water,Non_Water,Water,Bareland
663,Water,Water,Non_Water,Water,Water
664,Water,Water,Non_Water,Water,Forest
665,Water,Water,Water,Water,Grassland
666,Water,Water,Water,Water,Wetland
667,Water,Water,Water,Water,Lichens_and_Mosses
668,Water,Water,Water,Water,Bareland
669,Water,Water,Water,Water,Water
670,Water,Water,Water,Water,Forest
671,Water,Forest,NULL,Non_Wetland,Grassland
672,Water,Forest,NULL,Non_Wetland,Wetland
673,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
674,Water,Forest,NULL,Non_Wetland,Bareland
675,Water,Forest,NULL,Non_Wetland,Water
676,Water,Forest,NULL,Non_Wetland,Forest
677,Water,Forest,Non_Water,Non_Wetland,Grassland
678,Water,Forest,Non_Water,Non_Wetland,Wetland
679,Water,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
680,Water,Forest,Non_Water,Non_Wetland,Bareland
681,Water,Forest,Non_Water,Non_Wetland,Water
682,Water,Forest,Non_Water,Non_Wetland,Forest
683,Water,Forest,Water,Non_Wetland,Grassland
684,Water,Forest,Water,Non_Wetland,Wetland
685,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
686,Water,Forest,Water,Non_Wetland,Bareland
687,Water,Forest,Water,Non_Wetland,Water
688,Water,Forest,Water,Non_Wetland,Forest
689,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
690,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
691,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
692,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
693,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Grassland
694,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
695,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Water
696,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
697,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
698,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
699,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
700,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
701,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
702,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
703,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
704,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
705,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Grassland
706,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
707,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Water
708,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
709,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
710,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
711,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
712,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
713,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
714,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
715,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
716,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
717,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
718,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
719,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
720,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Wetland
721,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Water
722,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
723,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
724,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
725,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Lichens_and_Mosses
726,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Water
727,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
728,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
729,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
730,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
731,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
732,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
733,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
734,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
735,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
736,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
737,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
738,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
739,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
740,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
741,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
742,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
743,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
744,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
745,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
746,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
747,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
748,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
749,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
750,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
751,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
752,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
753,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
754,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
755,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
756,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
757,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
758,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
759,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
760,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
761,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
762,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
763,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
764,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
765,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
766,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
767,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
768,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
769,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
770,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
771,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Built-up
772,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
773,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
774,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
775,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
776,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
777,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
778,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
779,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
780,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
781,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Bareland
782,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
783,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Lichens_and_Mosses
784,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
785,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
786,Permanent_ice_and_snow,Water,NULL,Water,Grassland
787,Permanent_ice_and_snow,Water,NULL,Water,Wetland
788,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
789,Permanent_ice_and_snow,Water,NULL,Water,Bareland
790,Permanent_ice_and_snow,Water,NULL,Water,Water
791,Permanent_ice_and_snow,Water,NULL,Water,Forest
792,Permanent_ice_and_snow,Water,Non_Water,Water,Grassland
793,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
794,Permanent_ice_and_snow,Water,Non_Water,Water,Lichens_and_Mosses
795,Permanent_ice_and_snow,Water,Non_Water,Water,Bareland
796,Permanent_ice_and_snow,Water,Non_Water,Water,Water
797,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
798,Permanent_ice_and_snow,Water,Water,Water,Grassland
799,Permanent_ice_and_snow,Water,Water,Water,Wetland
800,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
801,Permanent_ice_and_snow,Water,Water,Water,Water
802,Permanent_ice_and_snow,Water,Water,Water,Forest
803,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
804,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
805,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
806,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
807,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
808,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
809,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
810,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
811,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
812,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
813,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
814,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
815,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
816,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
817,Forest,NULL,NULL,Non_Wetland,Grassland
818,Forest,NULL,NULL,Non_Wetland,Wetland
819,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
820,Forest,NULL,NULL,Non_Wetland,Bareland
821,Forest,NULL,NULL,Non_Wetland,Built-up
822,Forest,NULL,NULL,Non_Wetland,Water
823,Forest,NULL,NULL,Non_Wetland,Forest
824,Forest,NULL,Non_Water,Non_Wetland,Grassland
825,Forest,NULL,Non_Water,Non_Wetland,Wetland
826,Forest,NULL,Non_Water,Non_Wetland,Water
827,Forest,NULL,Non_Water,Non_Wetland,Forest
828,Forest,NULL,Water,Non_Wetland,Grassland
829,Forest,NULL,Water,Non_Wetland,Wetland
830,Forest,NULL,Water,Non_Wetland,Water
831,Forest,NULL,Water,Non_Wetland,Forest
832,Forest,Shrubland,NULL,Non_Wetland,Grassland
833,Forest,Shrubland,NULL,Non_Wetland,Wetland
834,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
835,Forest,Shrubland,NULL,Non_Wetland,Bareland
836,Forest,Shrubland,NULL,Non_Wetland,Built-up
837,Forest,Shrubland,NULL,Non_Wetland,Water
838,Forest,Shrubland,NULL,Non_Wetland,Forest
839,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
840,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
841,Forest,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
842,Forest,Shrubland,Non_Water,Non_Wetland,Water
843,Forest,Shrubland,Non_Water,Non_Wetland,Forest
844,Forest,Shrubland,Water,Non_Wetland,Grassland
845,Forest,Shrubland,Water,Non_Wetland,Wetland
846,Forest,Shrubland,Water,Non_Wetland,Bareland
847,Forest,Shrubland,Water,Non_Wetland,Water
848,Forest,Shrubland,Water,Non_Wetland,Forest
849,Forest,Grassland,NULL,Non_Wetland,Grassland
850,Forest,Grassland,NULL,Non_Wetland,Wetland
851,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
852,Forest,Grassland,NULL,Non_Wetland,Bareland
853,Forest,Grassland,NULL,Non_Wetland,Built-up
854,Forest,Grassland,NULL,Non_Wetland,Water
855,Forest,Grassland,NULL,Non_Wetland,Forest
856,Forest,Grassland,Non_Water,Non_Wetland,Grassland
857,Forest,Grassland,Non_Water,Non_Wetland,Wetland
858,Forest,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
859,Forest,Grassland,Non_Water,Non_Wetland,Forest
860,Forest,Grassland,Water,Non_Wetland,Grassland
861,Forest,Grassland,Water,Non_Wetland,Wetland
862,Forest,Grassland,Water,Non_Wetland,Lichens_and_Mosses
863,Forest,Grassland,Water,Non_Wetland,Water
864,Forest,Grassland,Water,Non_Wetland,Forest
865,Forest,Wetland,NULL,Wetland,Grassland
866,Forest,Wetland,NULL,Wetland,Wetland
867,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
868,Forest,Wetland,NULL,Wetland,Bareland
869,Forest,Wetland,NULL,Wetland,Built-up
870,Forest,Wetland,NULL,Wetland,Water
871,Forest,Wetland,NULL,Wetland,Forest
872,Forest,Wetland,Non_Water,Wetland,Grassland
873,Forest,Wetland,Non_Water,Wetland,Wetland
874,Forest,Wetland,Non_Water,Wetland,Lichens_and_Mosses
875,Forest,Wetland,Non_Water,Wetland,Bareland
876,Forest,Wetland,Non_Water,Wetland,Water
877,Forest,Wetland,Non_Water,Wetland,Forest
878,Forest,Wetland,Water,Wetland,Grassland
879,Forest,Wetland,Water,Wetland,Wetland
880,Forest,Wetland,Water,Wetland,Lichens_and_Mosses
881,Forest,Wetland,Water,Wetland,Bareland
882,Forest,Wetland,Water,Wetland,Water
883,Forest,Wetland,Water,Wetland,Forest
884,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
885,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
886,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
887,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
888,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
889,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
890,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
891,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
892,Forest,Bareland,NULL,Non_Wetland,Grassland
893,Forest,Bareland,NULL,Non_Wetland,Wetland
894,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
895,Forest,Bareland,NULL,Non_Wetland,Bareland
896,Forest,Bareland,NULL,Non_Wetland,Built-up
897,Forest,Bareland,NULL,Non_Wetland,Water
898,Forest,Bareland,NULL,Non_Wetland,Forest
899,Forest,Bareland,Non_Water,Non_Wetland,Grassland
900,Forest,Bareland,Non_Water,Non_Wetland,Wetland
901,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
902,Forest,Bareland,Non_Water,Non_Wetland,Bareland
903,Forest,Bareland,Non_Water,Non_Wetland,Built-up
904,Forest,Bareland,Non_Water,Non_Wetland,Water
905,Forest,Bareland,Non_Water,Non_Wetland,Forest
906,Forest,Bareland,Water,Non_Wetland,Grassland
907,Forest,Bareland,Water,Non_Wetland,Wetland
908,Forest,Bareland,Water,Non_Wetland,Lichens_and_Mosses
909,Forest,Bareland,Water,Non_Wetland,Bareland
910,Forest,Bareland,Water,Non_Wetland,Built-up
911,Forest,Bareland,Water,Non_Wetland,Water
912,Forest,Bareland,Water,Non_Wetland,Forest
913,Forest,Built-up,NULL,Non_Wetland,Grassland
914,Forest,Built-up,NULL,Non_Wetland,Wetland
915,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
916,Forest,Built-up,NULL,Non_Wetland,Bareland
917,Forest,Built-up,NULL,Non_Wetland,Built-up
918,Forest,Built-up,NULL,Non_Wetland,Water
919,Forest,Built-up,NULL,Non_Wetland,Forest
920,Forest,Built-up,Non_Water,Non_Wetland,Grassland
921,Forest,Built-up,Non_Water,Non_Wetland,Wetland
922,Forest,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
923,Forest,Built-up,Non_Water,Non_Wetland,Bareland
