Value,SIBERIA_2024_ESA_CALU_2024_42WVE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVE_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVE_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVE_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVE_M_R,SIBERIA_2024_WorldCover_2021_42WVE_M_R
404,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
405,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
406,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
407,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
408,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
409,Bareland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
410,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
411,Bareland,NULL,Bareland,Water,Non_Wetland,Water
412,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
413,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
414,Bareland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
415,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
416,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
417,Bareland,NULL,Built-up,NULL,Non_Wetland,Water
418,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
419,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
420,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
421,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
422,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
423,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Built-up
424,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Water
425,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Forest
426,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
427,Bareland,NULL,Built-up,Water,Non_Wetland,Wetland
428,Bareland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
429,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
430,Bareland,NULL,Built-up,Water,Non_Wetland,Built-up
431,Bareland,NULL,Built-up,Water,Non_Wetland,Water
432,Bareland,NULL,Built-up,Water,Non_Wetland,Forest
433,Bareland,NULL,Water,NULL,Water,Grassland
434,Bareland,NULL,Water,NULL,Water,Wetland
435,Bareland,NULL,Water,NULL,Water,Lichens_and_Mosses
436,Bareland,NULL,Water,NULL,Water,Bareland
437,Bareland,NULL,Water,NULL,Water,Water
438,Bareland,NULL,Water,Non_Water,Water,Wetland
439,Bareland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
440,Bareland,NULL,Water,Non_Water,Water,Bareland
441,Bareland,NULL,Water,Non_Water,Water,Water
442,Bareland,NULL,Water,Water,Water,Grassland
443,Bareland,NULL,Water,Water,Water,Wetland
444,Bareland,NULL,Water,Water,Water,Lichens_and_Mosses
445,Bareland,NULL,Water,Water,Water,Bareland
446,Bareland,NULL,Water,Water,Water,Built-up
447,Bareland,NULL,Water,Water,Water,Water
448,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
449,Water,NULL,Shrubland,NULL,Non_Wetland,Water
450,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
451,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water
452,Water,NULL,Shrubland,Water,Non_Wetland,Water
453,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
454,Water,NULL,Wetland,NULL,Wetland,Wetland
455,Water,NULL,Wetland,NULL,Wetland,Water
456,Water,NULL,Wetland,Non_Water,Wetland,Water
457,Water,NULL,Wetland,Water,Wetland,Grassland
458,Water,NULL,Wetland,Water,Wetland,Wetland
459,Water,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
460,Water,NULL,Wetland,Water,Wetland,Bareland
461,Water,NULL,Wetland,Water,Wetland,Water
462,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
463,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
464,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
465,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
466,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
467,Water,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
468,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
469,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
470,Water,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
471,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
472,Water,NULL,Bareland,NULL,Non_Wetland,Water
473,Water,NULL,Bareland,Non_Water,Non_Wetland,Wetland
474,Water,NULL,Bareland,Non_Water,Non_Wetland,Water
475,Water,NULL,Bareland,Water,Non_Wetland,Grassland
476,Water,NULL,Bareland,Water,Non_Wetland,Wetland
477,Water,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
478,Water,NULL,Bareland,Water,Non_Wetland,Bareland
479,Water,NULL,Bareland,Water,Non_Wetland,Water
480,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
481,Water,NULL,Built-up,Water,Non_Wetland,Water
482,Water,NULL,Water,NULL,Water,Grassland
483,Water,NULL,Water,NULL,Water,Wetland
484,Water,NULL,Water,NULL,Water,Water
485,Water,NULL,Water,Non_Water,Water,Wetland
486,Water,NULL,Water,Non_Water,Water,Water
487,Water,NULL,Water,Water,Water,Grassland
488,Water,NULL,Water,Water,Water,Wetland
489,Water,NULL,Water,Water,Water,Lichens_and_Mosses
490,Water,NULL,Water,Water,Water,Bareland
491,Water,NULL,Water,Water,Water,Water
492,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Bareland
493,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Water
494,Permanent_ice_and_snow,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
495,Permanent_ice_and_snow,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
496,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,Water
497,Permanent_ice_and_snow,NULL,Bareland,Water,Non_Wetland,Water
498,Permanent_ice_and_snow,NULL,Water,Water,Water,Bareland
499,Permanent_ice_and_snow,NULL,Water,Water,Water,Water
500,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
501,Forest,NULL,Shrubland,NULL,Non_Wetland,Water
502,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
503,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
504,Forest,NULL,Shrubland,Water,Non_Wetland,Water
505,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
506,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
507,Forest,NULL,Grassland,NULL,Non_Wetland,Water
508,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland
509,Forest,NULL,Grassland,Water,Non_Wetland,Wetland
510,Forest,NULL,Wetland,NULL,Wetland,Wetland
511,Forest,NULL,Wetland,Water,Wetland,Wetland
512,Forest,NULL,Wetland,Water,Wetland,Water
513,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
514,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
515,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
516,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
517,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
518,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
519,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
520,Forest,NULL,Bareland,NULL,Non_Wetland,Water
521,Forest,NULL,Bareland,Non_Water,Non_Wetland,Wetland
522,Forest,NULL,Bareland,Water,Non_Wetland,Grassland
523,Forest,NULL,Bareland,Water,Non_Wetland,Wetland
524,Forest,NULL,Bareland,Water,Non_Wetland,Water
525,Forest,NULL,Water,NULL,Water,Wetland
526,Forest,NULL,Water,NULL,Water,Water
527,Forest,NULL,Water,Water,Water,Grassland
528,Forest,NULL,Water,Water,Water,Wetland
529,Forest,NULL,Water,Water,Water,Water
