Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEJ_M_R,SIBERIA_2024_WorldCover_2021_43VEJ_M_R
482,Bareland,Wetland,Non_Water,Wetland,Wetland
483,Bareland,Wetland,Non_Water,Wetland,Bareland
484,Bareland,Wetland,Non_Water,Wetland,Forest
485,Bareland,Wetland,Water,Wetland,Grassland
486,Bareland,Wetland,Water,Wetland,Wetland
487,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
488,Bareland,Wetland,Water,Wetland,Bareland
489,Bareland,Wetland,Water,Wetland,Built-up
490,Bareland,Wetland,Water,Wetland,Water
491,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
492,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
493,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
494,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
495,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
496,Bareland,Bareland,NULL,Non_Wetland,NULL
497,Bareland,Bareland,NULL,Non_Wetland,Grassland
498,Bareland,Bareland,NULL,Non_Wetland,Cropland
499,Bareland,Bareland,NULL,Non_Wetland,Wetland
500,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
501,Bareland,Bareland,NULL,Non_Wetland,Bareland
502,Bareland,Bareland,NULL,Non_Wetland,Built-up
503,Bareland,Bareland,NULL,Non_Wetland,Water
504,Bareland,Bareland,NULL,Non_Wetland,Forest
505,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
506,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
507,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
508,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
509,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
510,Bareland,Bareland,Non_Water,Non_Wetland,Water
511,Bareland,Bareland,Non_Water,Non_Wetland,Forest
512,Bareland,Bareland,Water,Non_Wetland,Grassland
513,Bareland,Bareland,Water,Non_Wetland,Wetland
514,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
515,Bareland,Bareland,Water,Non_Wetland,Bareland
516,Bareland,Bareland,Water,Non_Wetland,Built-up
517,Bareland,Bareland,Water,Non_Wetland,Water
518,Bareland,Bareland,Water,Non_Wetland,Forest
519,Bareland,Built-up,NULL,Non_Wetland,Grassland
520,Bareland,Built-up,NULL,Non_Wetland,Wetland
521,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
522,Bareland,Built-up,NULL,Non_Wetland,Bareland
523,Bareland,Built-up,NULL,Non_Wetland,Built-up
524,Bareland,Built-up,NULL,Non_Wetland,Forest
525,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
526,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
527,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
528,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
529,Bareland,Built-up,Non_Water,Non_Wetland,Water
530,Bareland,Built-up,Non_Water,Non_Wetland,Forest
531,Bareland,Built-up,Water,Non_Wetland,Grassland
532,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
533,Bareland,Built-up,Water,Non_Wetland,Bareland
534,Bareland,Built-up,Water,Non_Wetland,Built-up
535,Bareland,Built-up,Water,Non_Wetland,Water
536,Bareland,Water,NULL,Water,NULL
537,Bareland,Water,NULL,Water,Wetland
538,Bareland,Water,NULL,Water,Bareland
539,Bareland,Water,NULL,Water,Water
540,Bareland,Water,NULL,Water,Forest
541,Bareland,Water,Non_Water,Water,Bareland
542,Bareland,Water,Non_Water,Water,Forest
543,Bareland,Water,Water,Water,Grassland
544,Bareland,Water,Water,Water,Wetland
545,Bareland,Water,Water,Water,Lichens_and_Mosses
546,Bareland,Water,Water,Water,Bareland
547,Bareland,Water,Water,Water,Built-up
548,Bareland,Water,Water,Water,Water
549,Bareland,Water,Water,Water,Forest
550,Bareland,Forest,NULL,Non_Wetland,NULL
551,Bareland,Forest,NULL,Non_Wetland,Grassland
552,Bareland,Forest,NULL,Non_Wetland,Wetland
553,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
554,Bareland,Forest,NULL,Non_Wetland,Bareland
555,Bareland,Forest,NULL,Non_Wetland,Built-up
556,Bareland,Forest,NULL,Non_Wetland,Water
557,Bareland,Forest,NULL,Non_Wetland,Forest
558,Bareland,Forest,Non_Water,Non_Wetland,Grassland
559,Bareland,Forest,Non_Water,Non_Wetland,Bareland
560,Bareland,Forest,Non_Water,Non_Wetland,Built-up
561,Bareland,Forest,Non_Water,Non_Wetland,Forest
562,Bareland,Forest,Water,Non_Wetland,Wetland
563,Bareland,Forest,Water,Non_Wetland,Bareland
564,Bareland,Forest,Water,Non_Wetland,Water
565,Bareland,Forest,Water,Non_Wetland,Forest
566,Built-up,NULL,NULL,Non_Wetland,Grassland
567,Built-up,NULL,NULL,Non_Wetland,Wetland
568,Built-up,NULL,NULL,Non_Wetland,Bareland
569,Built-up,NULL,NULL,Non_Wetland,Built-up
570,Built-up,NULL,NULL,Non_Wetland,Forest
571,Built-up,NULL,Non_Water,Non_Wetland,Forest
572,Built-up,Shrubland,NULL,Non_Wetland,NULL
573,Built-up,Shrubland,NULL,Non_Wetland,Grassland
574,Built-up,Shrubland,NULL,Non_Wetland,Wetland
575,Built-up,Shrubland,NULL,Non_Wetland,Bareland
576,Built-up,Shrubland,NULL,Non_Wetland,Built-up
577,Built-up,Shrubland,NULL,Non_Wetland,Forest
578,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
579,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
580,Built-up,Shrubland,Water,Non_Wetland,Bareland
581,Built-up,Shrubland,Water,Non_Wetland,Forest
582,Built-up,Grassland,NULL,Non_Wetland,NULL
583,Built-up,Grassland,NULL,Non_Wetland,Grassland
584,Built-up,Grassland,NULL,Non_Wetland,Wetland
585,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
586,Built-up,Grassland,NULL,Non_Wetland,Bareland
587,Built-up,Grassland,NULL,Non_Wetland,Built-up
588,Built-up,Grassland,NULL,Non_Wetland,Forest
589,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
590,Built-up,Wetland,NULL,Wetland,NULL
591,Built-up,Wetland,NULL,Wetland,Grassland
592,Built-up,Wetland,NULL,Wetland,Wetland
593,Built-up,Wetland,NULL,Wetland,Bareland
594,Built-up,Wetland,NULL,Wetland,Built-up
595,Built-up,Wetland,NULL,Wetland,Water
596,Built-up,Wetland,NULL,Wetland,Forest
597,Built-up,Wetland,Non_Water,Wetland,Wetland
598,Built-up,Wetland,Non_Water,Wetland,Water
599,Built-up,Wetland,Non_Water,Wetland,Forest
600,Built-up,Wetland,Water,Wetland,Grassland
601,Built-up,Wetland,Water,Wetland,Wetland
602,Built-up,Wetland,Water,Wetland,Water
603,Built-up,Wetland,Water,Wetland,Forest
604,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
605,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
606,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
607,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
608,Built-up,Bareland,NULL,Non_Wetland,NULL
609,Built-up,Bareland,NULL,Non_Wetland,Grassland
610,Built-up,Bareland,NULL,Non_Wetland,Cropland
611,Built-up,Bareland,NULL,Non_Wetland,Wetland
612,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
613,Built-up,Bareland,NULL,Non_Wetland,Bareland
614,Built-up,Bareland,NULL,Non_Wetland,Built-up
615,Built-up,Bareland,NULL,Non_Wetland,Water
616,Built-up,Bareland,NULL,Non_Wetland,Forest
617,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
618,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
619,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
620,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
621,Built-up,Bareland,Non_Water,Non_Wetland,Water
622,Built-up,Bareland,Non_Water,Non_Wetland,Forest
623,Built-up,Bareland,Water,Non_Wetland,Grassland
624,Built-up,Bareland,Water,Non_Wetland,Wetland
625,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
626,Built-up,Bareland,Water,Non_Wetland,Bareland
627,Built-up,Bareland,Water,Non_Wetland,Built-up
628,Built-up,Bareland,Water,Non_Wetland,Water
629,Built-up,Bareland,Water,Non_Wetland,Forest
630,Built-up,Built-up,NULL,Non_Wetland,Grassland
631,Built-up,Built-up,NULL,Non_Wetland,Wetland
632,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
633,Built-up,Built-up,NULL,Non_Wetland,Bareland
634,Built-up,Built-up,NULL,Non_Wetland,Built-up
635,Built-up,Built-up,NULL,Non_Wetland,Water
636,Built-up,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
637,Built-up,Built-up,NULL,Non_Wetland,Forest
638,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
639,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
640,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
641,Built-up,Built-up,Non_Water,Non_Wetland,Water
642,Built-up,Built-up,Non_Water,Non_Wetland,Forest
643,Built-up,Built-up,Water,Non_Wetland,Bareland
644,Built-up,Built-up,Water,Non_Wetland,Built-up
645,Built-up,Built-up,Water,Non_Wetland,Forest
646,Built-up,Water,NULL,Water,NULL
647,Built-up,Water,NULL,Water,Grassland
648,Built-up,Water,NULL,Water,Wetland
649,Built-up,Water,NULL,Water,Bareland
650,Built-up,Water,NULL,Water,Built-up
651,Built-up,Water,NULL,Water,Water
652,Built-up,Water,NULL,Water,Forest
653,Built-up,Water,Non_Water,Water,Wetland
654,Built-up,Water,Non_Water,Water,Bareland
655,Built-up,Water,Non_Water,Water,Water
656,Built-up,Water,Non_Water,Water,Forest
657,Built-up,Water,Water,Water,Grassland
658,Built-up,Water,Water,Water,Wetland
659,Built-up,Water,Water,Water,Bareland
660,Built-up,Water,Water,Water,Built-up
661,Built-up,Water,Water,Water,Water
662,Built-up,Water,Water,Water,Forest
663,Built-up,Forest,NULL,Non_Wetland,NULL
664,Built-up,Forest,NULL,Non_Wetland,Grassland
665,Built-up,Forest,NULL,Non_Wetland,Wetland
666,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
667,Built-up,Forest,NULL,Non_Wetland,Bareland
668,Built-up,Forest,NULL,Non_Wetland,Built-up
669,Built-up,Forest,NULL,Non_Wetland,Water
670,Built-up,Forest,NULL,Non_Wetland,Forest
671,Built-up,Forest,Non_Water,Non_Wetland,Grassland
672,Built-up,Forest,Non_Water,Non_Wetland,Wetland
673,Built-up,Forest,Non_Water,Non_Wetland,Water
674,Built-up,Forest,Non_Water,Non_Wetland,Forest
675,Built-up,Forest,Water,Non_Wetland,Grassland
676,Built-up,Forest,Water,Non_Wetland,Wetland
677,Built-up,Forest,Water,Non_Wetland,Built-up
678,Built-up,Forest,Water,Non_Wetland,Water
679,Built-up,Forest,Water,Non_Wetland,Forest
680,Water,NULL,NULL,Non_Wetland,Grassland
681,Water,NULL,NULL,Non_Wetland,Wetland
682,Water,NULL,NULL,Non_Wetland,Water
683,Water,NULL,NULL,Non_Wetland,Forest
684,Water,NULL,Non_Water,Non_Wetland,Grassland
685,Water,NULL,Non_Water,Non_Wetland,Wetland
686,Water,NULL,Non_Water,Non_Wetland,Water
687,Water,NULL,Non_Water,Non_Wetland,Forest
688,Water,NULL,Water,Non_Wetland,Grassland
689,Water,NULL,Water,Non_Wetland,Wetland
690,Water,NULL,Water,Non_Wetland,Water
691,Water,NULL,Water,Non_Wetland,Forest
692,Water,Shrubland,NULL,Non_Wetland,Grassland
693,Water,Shrubland,NULL,Non_Wetland,Wetland
694,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
695,Water,Shrubland,NULL,Non_Wetland,Bareland
696,Water,Shrubland,NULL,Non_Wetland,Water
697,Water,Shrubland,NULL,Non_Wetland,Forest
698,Water,Shrubland,Non_Water,Non_Wetland,Grassland
699,Water,Shrubland,Non_Water,Non_Wetland,Wetland
700,Water,Shrubland,Non_Water,Non_Wetland,Water
701,Water,Shrubland,Non_Water,Non_Wetland,Forest
702,Water,Shrubland,Water,Non_Wetland,Grassland
703,Water,Shrubland,Water,Non_Wetland,Wetland
704,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
705,Water,Shrubland,Water,Non_Wetland,Bareland
706,Water,Shrubland,Water,Non_Wetland,Water
707,Water,Shrubland,Water,Non_Wetland,Forest
708,Water,Grassland,NULL,Non_Wetland,Grassland
709,Water,Grassland,NULL,Non_Wetland,Wetland
710,Water,Grassland,NULL,Non_Wetland,Bareland
711,Water,Grassland,NULL,Non_Wetland,Water
712,Water,Grassland,NULL,Non_Wetland,Forest
713,Water,Grassland,Non_Water,Non_Wetland,Grassland
714,Water,Grassland,Non_Water,Non_Wetland,Forest
715,Water,Grassland,Water,Non_Wetland,Grassland
716,Water,Grassland,Water,Non_Wetland,Wetland
717,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
718,Water,Grassland,Water,Non_Wetland,Water
719,Water,Grassland,Water,Non_Wetland,Forest
720,Water,Wetland,NULL,Wetland,NULL
721,Water,Wetland,NULL,Wetland,Grassland
722,Water,Wetland,NULL,Wetland,Wetland
723,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
724,Water,Wetland,NULL,Wetland,Bareland
725,Water,Wetland,NULL,Wetland,Water
726,Water,Wetland,NULL,Wetland,Forest
727,Water,Wetland,Non_Water,Wetland,NULL
728,Water,Wetland,Non_Water,Wetland,Grassland
729,Water,Wetland,Non_Water,Wetland,Wetland
730,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
731,Water,Wetland,Non_Water,Wetland,Bareland
732,Water,Wetland,Non_Water,Wetland,Water
733,Water,Wetland,Non_Water,Wetland,Forest
734,Water,Wetland,Water,Wetland,NULL
735,Water,Wetland,Water,Wetland,Grassland
736,Water,Wetland,Water,Wetland,Cropland
737,Water,Wetland,Water,Wetland,Wetland
738,Water,Wetland,Water,Wetland,Lichens_and_Mosses
739,Water,Wetland,Water,Wetland,Bareland
740,Water,Wetland,Water,Wetland,Built-up
741,Water,Wetland,Water,Wetland,Water
742,Water,Wetland,Water,Wetland,Forest
743,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
744,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
745,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
746,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
747,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
748,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
749,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
750,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
751,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
752,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
753,Water,Bareland,NULL,Non_Wetland,NULL
754,Water,Bareland,NULL,Non_Wetland,Grassland
755,Water,Bareland,NULL,Non_Wetland,Wetland
756,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
757,Water,Bareland,NULL,Non_Wetland,Bareland
758,Water,Bareland,NULL,Non_Wetland,Built-up
759,Water,Bareland,NULL,Non_Wetland,Water
760,Water,Bareland,NULL,Non_Wetland,Forest
761,Water,Bareland,Non_Water,Non_Wetland,Grassland
762,Water,Bareland,Non_Water,Non_Wetland,Wetland
763,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
764,Water,Bareland,Non_Water,Non_Wetland,Bareland
765,Water,Bareland,Non_Water,Non_Wetland,Built-up
766,Water,Bareland,Non_Water,Non_Wetland,Water
767,Water,Bareland,Non_Water,Non_Wetland,Forest
768,Water,Bareland,Water,Non_Wetland,Grassland
769,Water,Bareland,Water,Non_Wetland,Wetland
770,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
771,Water,Bareland,Water,Non_Wetland,Bareland
772,Water,Bareland,Water,Non_Wetland,Built-up
773,Water,Bareland,Water,Non_Wetland,Water
774,Water,Bareland,Water,Non_Wetland,Forest
775,Water,Built-up,NULL,Non_Wetland,Grassland
776,Water,Built-up,NULL,Non_Wetland,Wetland
777,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
778,Water,Built-up,NULL,Non_Wetland,Bareland
779,Water,Built-up,NULL,Non_Wetland,Built-up
780,Water,Built-up,NULL,Non_Wetland,Water
781,Water,Built-up,NULL,Non_Wetland,Forest
782,Water,Built-up,Non_Water,Non_Wetland,Grassland
783,Water,Built-up,Non_Water,Non_Wetland,Wetland
784,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
785,Water,Built-up,Non_Water,Non_Wetland,Bareland
786,Water,Built-up,Non_Water,Non_Wetland,Water
787,Water,Built-up,Water,Non_Wetland,Grassland
788,Water,Built-up,Water,Non_Wetland,Wetland
789,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
790,Water,Built-up,Water,Non_Wetland,Bareland
791,Water,Built-up,Water,Non_Wetland,Built-up
792,Water,Built-up,Water,Non_Wetland,Water
793,Water,Built-up,Water,Non_Wetland,Forest
794,Water,Water,NULL,Water,NULL
795,Water,Water,NULL,Water,Grassland
796,Water,Water,NULL,Water,Wetland
797,Water,Water,NULL,Water,Lichens_and_Mosses
798,Water,Water,NULL,Water,Bareland
799,Water,Water,NULL,Water,Built-up
800,Water,Water,NULL,Water,Water
801,Water,Water,NULL,Water,Forest
802,Water,Water,Non_Water,Water,NULL
803,Water,Water,Non_Water,Water,Grassland
804,Water,Water,Non_Water,Water,Wetland
805,Water,Water,Non_Water,Water,Lichens_and_Mosses
806,Water,Water,Non_Water,Water,Bareland
807,Water,Water,Non_Water,Water,Water
808,Water,Water,Non_Water,Water,Forest
809,Water,Water,Water,Water,NULL
810,Water,Water,Water,Water,Grassland
811,Water,Water,Water,Water,Cropland
812,Water,Water,Water,Water,Wetland
813,Water,Water,Water,Water,Lichens_and_Mosses
814,Water,Water,Water,Water,Bareland
815,Water,Water,Water,Water,Built-up
816,Water,Water,Water,Water,Water
817,Water,Water,Water,Water,Forest
818,Water,Forest,NULL,Non_Wetland,NULL
819,Water,Forest,NULL,Non_Wetland,Grassland
820,Water,Forest,NULL,Non_Wetland,Wetland
821,Water,Forest,NULL,Non_Wetland,Bareland
822,Water,Forest,NULL,Non_Wetland,Built-up
823,Water,Forest,NULL,Non_Wetland,Water
824,Water,Forest,NULL,Non_Wetland,Forest
825,Water,Forest,Non_Water,Non_Wetland,NULL
826,Water,Forest,Non_Water,Non_Wetland,Grassland
827,Water,Forest,Non_Water,Non_Wetland,Wetland
828,Water,Forest,Non_Water,Non_Wetland,Bareland
829,Water,Forest,Non_Water,Non_Wetland,Water
830,Water,Forest,Non_Water,Non_Wetland,Forest
831,Water,Forest,Water,Non_Wetland,NULL
832,Water,Forest,Water,Non_Wetland,Grassland
833,Water,Forest,Water,Non_Wetland,Wetland
834,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
835,Water,Forest,Water,Non_Wetland,Bareland
836,Water,Forest,Water,Non_Wetland,Water
837,Water,Forest,Water,Non_Wetland,Forest
838,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
839,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
840,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
841,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
842,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Built-up
843,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
844,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
845,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
846,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
847,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
848,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
849,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
850,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Built-up
851,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
852,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Grassland
853,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Water
854,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
855,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
856,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
857,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
858,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
859,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
860,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
861,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Built-up
862,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
863,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
864,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
865,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
866,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
867,Permanent_ice_and_snow,Wetland,NULL,Wetland,Built-up
868,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
869,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
870,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
871,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
872,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
873,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
874,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
875,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
876,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
877,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
878,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
879,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
880,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
881,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
882,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
883,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
884,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
885,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
886,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
887,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
888,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
889,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
890,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
891,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
892,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Built-up
893,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
894,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
895,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
896,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
897,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
898,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
899,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Built-up
900,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
901,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
902,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
903,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
904,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
905,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
906,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
907,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Grassland
908,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
909,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Built-up
910,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
911,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
912,Permanent_ice_and_snow,Water,NULL,Water,Grassland
913,Permanent_ice_and_snow,Water,NULL,Water,Wetland
914,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
915,Permanent_ice_and_snow,Water,NULL,Water,Bareland
916,Permanent_ice_and_snow,Water,NULL,Water,Water
917,Permanent_ice_and_snow,Water,NULL,Water,Forest
918,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
919,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
920,Permanent_ice_and_snow,Water,Water,Water,NULL
921,Permanent_ice_and_snow,Water,Water,Water,Grassland
922,Permanent_ice_and_snow,Water,Water,Water,Wetland
923,Permanent_ice_and_snow,Water,Water,Water,Bareland
924,Permanent_ice_and_snow,Water,Water,Water,Water
925,Permanent_ice_and_snow,Water,Water,Water,Forest
926,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
927,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
928,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
929,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
930,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
931,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
932,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
933,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
934,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
935,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Bareland
936,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
937,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
938,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
939,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Bareland
940,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
941,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
942,Forest,NULL,NULL,Non_Wetland,NULL
943,Forest,NULL,NULL,Non_Wetland,Grassland
944,Forest,NULL,NULL,Non_Wetland,Wetland
945,Forest,NULL,NULL,Non_Wetland,Bareland
946,Forest,NULL,NULL,Non_Wetland,Built-up
947,Forest,NULL,NULL,Non_Wetland,Water
948,Forest,NULL,NULL,Non_Wetland,Forest
949,Forest,NULL,Non_Water,Non_Wetland,Grassland
950,Forest,NULL,Non_Water,Non_Wetland,Wetland
951,Forest,NULL,Non_Water,Non_Wetland,Forest
952,Forest,NULL,Water,Non_Wetland,Grassland
953,Forest,NULL,Water,Non_Wetland,Wetland
954,Forest,NULL,Water,Non_Wetland,Water
955,Forest,NULL,Water,Non_Wetland,Forest
956,Forest,Shrubland,NULL,Non_Wetland,NULL
