Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFJ_M_R,SIBERIA_2024_WorldCover_2021_43VFJ_M_R
492,Built-up,Built-up,Water,Non_Wetland,Built-up
493,Built-up,Built-up,Water,Non_Wetland,Forest
494,Built-up,Water,NULL,Water,Grassland
495,Built-up,Water,NULL,Water,Wetland
496,Built-up,Water,NULL,Water,Bareland
497,Built-up,Water,NULL,Water,Built-up
498,Built-up,Water,NULL,Water,Water
499,Built-up,Water,NULL,Water,Forest
500,Built-up,Water,Water,Water,Wetland
501,Built-up,Water,Water,Water,Built-up
502,Built-up,Water,Water,Water,Water
503,Built-up,Water,Water,Water,Forest
504,Built-up,Forest,NULL,Non_Wetland,NULL
505,Built-up,Forest,NULL,Non_Wetland,Grassland
506,Built-up,Forest,NULL,Non_Wetland,Wetland
507,Built-up,Forest,NULL,Non_Wetland,Bareland
508,Built-up,Forest,NULL,Non_Wetland,Built-up
509,Built-up,Forest,NULL,Non_Wetland,Water
510,Built-up,Forest,NULL,Non_Wetland,Forest
511,Built-up,Forest,Non_Water,Non_Wetland,Grassland
512,Built-up,Forest,Non_Water,Non_Wetland,Forest
513,Built-up,Forest,Water,Non_Wetland,Grassland
514,Built-up,Forest,Water,Non_Wetland,Wetland
515,Built-up,Forest,Water,Non_Wetland,Forest
516,Water,NULL,NULL,Non_Wetland,Grassland
517,Water,NULL,NULL,Non_Wetland,Wetland
518,Water,NULL,NULL,Non_Wetland,Water
519,Water,NULL,NULL,Non_Wetland,Forest
520,Water,NULL,Non_Water,Non_Wetland,Water
521,Water,NULL,Non_Water,Non_Wetland,Forest
522,Water,NULL,Water,Non_Wetland,Grassland
523,Water,NULL,Water,Non_Wetland,Wetland
524,Water,NULL,Water,Non_Wetland,Water
525,Water,NULL,Water,Non_Wetland,Forest
526,Water,Shrubland,NULL,Non_Wetland,Grassland
527,Water,Shrubland,NULL,Non_Wetland,Wetland
528,Water,Shrubland,NULL,Non_Wetland,Water
529,Water,Shrubland,NULL,Non_Wetland,Forest
530,Water,Shrubland,Non_Water,Non_Wetland,Grassland
531,Water,Shrubland,Non_Water,Non_Wetland,Forest
532,Water,Shrubland,Water,Non_Wetland,Grassland
533,Water,Shrubland,Water,Non_Wetland,Wetland
534,Water,Shrubland,Water,Non_Wetland,Water
535,Water,Shrubland,Water,Non_Wetland,Forest
536,Water,Grassland,NULL,Non_Wetland,Grassland
537,Water,Grassland,NULL,Non_Wetland,Water
538,Water,Grassland,NULL,Non_Wetland,Forest
539,Water,Grassland,Water,Non_Wetland,Grassland
540,Water,Grassland,Water,Non_Wetland,Water
541,Water,Wetland,NULL,Wetland,NULL
542,Water,Wetland,NULL,Wetland,Grassland
543,Water,Wetland,NULL,Wetland,Wetland
544,Water,Wetland,NULL,Wetland,Water
545,Water,Wetland,NULL,Wetland,Permanent_ice_and_snow
546,Water,Wetland,NULL,Wetland,Forest
547,Water,Wetland,Non_Water,Wetland,Grassland
548,Water,Wetland,Non_Water,Wetland,Wetland
549,Water,Wetland,Non_Water,Wetland,Water
550,Water,Wetland,Non_Water,Wetland,Forest
551,Water,Wetland,Water,Wetland,NULL
552,Water,Wetland,Water,Wetland,Grassland
553,Water,Wetland,Water,Wetland,Wetland
554,Water,Wetland,Water,Wetland,Lichens_and_Mosses
555,Water,Wetland,Water,Wetland,Bareland
556,Water,Wetland,Water,Wetland,Water
557,Water,Wetland,Water,Wetland,Forest
558,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
559,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
560,Water,Bareland,NULL,Non_Wetland,NULL
561,Water,Bareland,NULL,Non_Wetland,Grassland
562,Water,Bareland,NULL,Non_Wetland,Wetland
563,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
564,Water,Bareland,NULL,Non_Wetland,Bareland
565,Water,Bareland,NULL,Non_Wetland,Built-up
566,Water,Bareland,NULL,Non_Wetland,Water
567,Water,Bareland,NULL,Non_Wetland,Forest
568,Water,Bareland,Non_Water,Non_Wetland,Wetland
569,Water,Bareland,Non_Water,Non_Wetland,Bareland
570,Water,Bareland,Non_Water,Non_Wetland,Built-up
571,Water,Bareland,Non_Water,Non_Wetland,Water
572,Water,Bareland,Non_Water,Non_Wetland,Forest
573,Water,Bareland,Water,Non_Wetland,Grassland
574,Water,Bareland,Water,Non_Wetland,Wetland
575,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
576,Water,Bareland,Water,Non_Wetland,Bareland
577,Water,Bareland,Water,Non_Wetland,Built-up
578,Water,Bareland,Water,Non_Wetland,Water
579,Water,Bareland,Water,Non_Wetland,Forest
580,Water,Built-up,NULL,Non_Wetland,Grassland
581,Water,Built-up,NULL,Non_Wetland,Wetland
582,Water,Built-up,NULL,Non_Wetland,Bareland
583,Water,Built-up,NULL,Non_Wetland,Built-up
584,Water,Built-up,NULL,Non_Wetland,Water
585,Water,Built-up,NULL,Non_Wetland,Forest
586,Water,Built-up,Non_Water,Non_Wetland,Grassland
587,Water,Built-up,Non_Water,Non_Wetland,Bareland
588,Water,Built-up,Non_Water,Non_Wetland,Water
589,Water,Built-up,Water,Non_Wetland,Bareland
590,Water,Built-up,Water,Non_Wetland,Water
591,Water,Water,NULL,Water,NULL
592,Water,Water,NULL,Water,Grassland
593,Water,Water,NULL,Water,Wetland
594,Water,Water,NULL,Water,Bareland
595,Water,Water,NULL,Water,Water
596,Water,Water,NULL,Water,Forest
597,Water,Water,Non_Water,Water,Grassland
598,Water,Water,Non_Water,Water,Wetland
599,Water,Water,Non_Water,Water,Bareland
600,Water,Water,Non_Water,Water,Water
601,Water,Water,Non_Water,Water,Forest
602,Water,Water,Water,Water,NULL
603,Water,Water,Water,Water,Grassland
604,Water,Water,Water,Water,Wetland
605,Water,Water,Water,Water,Bareland
606,Water,Water,Water,Water,Water
607,Water,Water,Water,Water,Permanent_ice_and_snow
608,Water,Water,Water,Water,Forest
609,Water,Forest,NULL,Non_Wetland,NULL
610,Water,Forest,NULL,Non_Wetland,Grassland
611,Water,Forest,NULL,Non_Wetland,Wetland
612,Water,Forest,NULL,Non_Wetland,Bareland
613,Water,Forest,NULL,Non_Wetland,Built-up
614,Water,Forest,NULL,Non_Wetland,Water
615,Water,Forest,NULL,Non_Wetland,Forest
616,Water,Forest,Non_Water,Non_Wetland,NULL
617,Water,Forest,Non_Water,Non_Wetland,Grassland
618,Water,Forest,Non_Water,Non_Wetland,Wetland
619,Water,Forest,Non_Water,Non_Wetland,Water
620,Water,Forest,Non_Water,Non_Wetland,Forest
621,Water,Forest,Water,Non_Wetland,NULL
622,Water,Forest,Water,Non_Wetland,Grassland
623,Water,Forest,Water,Non_Wetland,Wetland
624,Water,Forest,Water,Non_Wetland,Bareland
625,Water,Forest,Water,Non_Wetland,Water
626,Water,Forest,Water,Non_Wetland,Forest
627,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
628,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
629,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
630,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
631,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
632,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
633,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
634,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
635,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
636,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Built-up
637,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
638,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
639,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
640,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
641,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
642,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
643,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
644,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
645,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
646,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Built-up
647,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
648,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
649,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
650,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
651,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
652,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
653,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
654,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
655,Permanent_ice_and_snow,Wetland,NULL,Wetland,Built-up
656,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
657,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
658,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
659,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
660,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
661,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
662,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
663,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
664,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
665,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
666,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
667,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
668,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
669,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
670,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
671,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
672,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
673,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
674,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
675,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
676,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
677,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
678,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
679,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Built-up
680,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
681,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
682,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
683,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
684,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
685,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
686,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Built-up
687,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
688,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
689,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
690,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
691,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
692,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
693,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
694,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
695,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
696,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Grassland
697,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Wetland
698,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Bareland
699,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Forest
700,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Wetland
701,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
702,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Built-up
703,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
704,Permanent_ice_and_snow,Water,NULL,Water,Grassland
705,Permanent_ice_and_snow,Water,NULL,Water,Wetland
706,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
707,Permanent_ice_and_snow,Water,NULL,Water,Bareland
708,Permanent_ice_and_snow,Water,NULL,Water,Built-up
709,Permanent_ice_and_snow,Water,NULL,Water,Water
710,Permanent_ice_and_snow,Water,NULL,Water,Forest
711,Permanent_ice_and_snow,Water,Non_Water,Water,Grassland
712,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
713,Permanent_ice_and_snow,Water,Non_Water,Water,Bareland
714,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
715,Permanent_ice_and_snow,Water,Water,Water,NULL
716,Permanent_ice_and_snow,Water,Water,Water,Grassland
717,Permanent_ice_and_snow,Water,Water,Water,Wetland
718,Permanent_ice_and_snow,Water,Water,Water,Bareland
719,Permanent_ice_and_snow,Water,Water,Water,Water
720,Permanent_ice_and_snow,Water,Water,Water,Forest
721,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
722,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
723,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
724,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
725,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
726,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
727,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
728,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
729,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
730,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
731,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
732,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
733,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
734,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
735,Forest,NULL,NULL,Non_Wetland,NULL
736,Forest,NULL,NULL,Non_Wetland,Grassland
737,Forest,NULL,NULL,Non_Wetland,Wetland
738,Forest,NULL,NULL,Non_Wetland,Built-up
739,Forest,NULL,NULL,Non_Wetland,Water
740,Forest,NULL,NULL,Non_Wetland,Forest
741,Forest,NULL,Non_Water,Non_Wetland,Grassland
742,Forest,NULL,Non_Water,Non_Wetland,Wetland
743,Forest,NULL,Non_Water,Non_Wetland,Water
744,Forest,NULL,Non_Water,Non_Wetland,Forest
745,Forest,NULL,Water,Non_Wetland,Grassland
746,Forest,NULL,Water,Non_Wetland,Wetland
747,Forest,NULL,Water,Non_Wetland,Water
748,Forest,NULL,Water,Non_Wetland,Forest
749,Forest,Shrubland,NULL,Non_Wetland,NULL
750,Forest,Shrubland,NULL,Non_Wetland,Grassland
751,Forest,Shrubland,NULL,Non_Wetland,Wetland
752,Forest,Shrubland,NULL,Non_Wetland,Bareland
753,Forest,Shrubland,NULL,Non_Wetland,Built-up
754,Forest,Shrubland,NULL,Non_Wetland,Water
755,Forest,Shrubland,NULL,Non_Wetland,Forest
756,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
757,Forest,Shrubland,Non_Water,Non_Wetland,Built-up
758,Forest,Shrubland,Non_Water,Non_Wetland,Forest
759,Forest,Shrubland,Water,Non_Wetland,Grassland
760,Forest,Shrubland,Water,Non_Wetland,Wetland
761,Forest,Shrubland,Water,Non_Wetland,Forest
762,Forest,Grassland,NULL,Non_Wetland,NULL
763,Forest,Grassland,NULL,Non_Wetland,Grassland
764,Forest,Grassland,NULL,Non_Wetland,Wetland
765,Forest,Grassland,NULL,Non_Wetland,Bareland
766,Forest,Grassland,NULL,Non_Wetland,Built-up
767,Forest,Grassland,NULL,Non_Wetland,Forest
768,Forest,Grassland,Non_Water,Non_Wetland,Grassland
769,Forest,Grassland,Non_Water,Non_Wetland,Forest
770,Forest,Grassland,Water,Non_Wetland,Grassland
771,Forest,Grassland,Water,Non_Wetland,Forest
772,Forest,Cropland,NULL,Non_Wetland,Forest
773,Forest,Wetland,NULL,Wetland,NULL
774,Forest,Wetland,NULL,Wetland,Grassland
775,Forest,Wetland,NULL,Wetland,Wetland
776,Forest,Wetland,NULL,Wetland,Built-up
777,Forest,Wetland,NULL,Wetland,Water
778,Forest,Wetland,NULL,Wetland,Forest
779,Forest,Wetland,Non_Water,Wetland,NULL
780,Forest,Wetland,Non_Water,Wetland,Grassland
781,Forest,Wetland,Non_Water,Wetland,Wetland
782,Forest,Wetland,Non_Water,Wetland,Built-up
783,Forest,Wetland,Non_Water,Wetland,Water
784,Forest,Wetland,Non_Water,Wetland,Forest
785,Forest,Wetland,Water,Wetland,NULL
786,Forest,Wetland,Water,Wetland,Grassland
787,Forest,Wetland,Water,Wetland,Wetland
788,Forest,Wetland,Water,Wetland,Water
789,Forest,Wetland,Water,Wetland,Forest
790,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
791,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
792,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
793,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
794,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
795,Forest,Bareland,NULL,Non_Wetland,NULL
796,Forest,Bareland,NULL,Non_Wetland,Grassland
797,Forest,Bareland,NULL,Non_Wetland,Wetland
798,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
799,Forest,Bareland,NULL,Non_Wetland,Bareland
800,Forest,Bareland,NULL,Non_Wetland,Built-up
801,Forest,Bareland,NULL,Non_Wetland,Water
802,Forest,Bareland,NULL,Non_Wetland,Forest
803,Forest,Bareland,Non_Water,Non_Wetland,Grassland
804,Forest,Bareland,Non_Water,Non_Wetland,Wetland
805,Forest,Bareland,Non_Water,Non_Wetland,Bareland
806,Forest,Bareland,Non_Water,Non_Wetland,Built-up
807,Forest,Bareland,Non_Water,Non_Wetland,Water
808,Forest,Bareland,Non_Water,Non_Wetland,Forest
809,Forest,Bareland,Water,Non_Wetland,Grassland
810,Forest,Bareland,Water,Non_Wetland,Wetland
811,Forest,Bareland,Water,Non_Wetland,Bareland
812,Forest,Bareland,Water,Non_Wetland,Built-up
813,Forest,Bareland,Water,Non_Wetland,Water
814,Forest,Bareland,Water,Non_Wetland,Forest
815,Forest,Built-up,NULL,Non_Wetland,Grassland
816,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
817,Forest,Built-up,NULL,Non_Wetland,Bareland
818,Forest,Built-up,NULL,Non_Wetland,Built-up
819,Forest,Built-up,NULL,Non_Wetland,Forest
820,Forest,Built-up,Non_Water,Non_Wetland,Built-up
821,Forest,Built-up,Non_Water,Non_Wetland,Forest
822,Forest,Water,NULL,Water,Grassland
823,Forest,Water,NULL,Water,Wetland
824,Forest,Water,NULL,Water,Water
825,Forest,Water,NULL,Water,Forest
826,Forest,Water,Non_Water,Water,Wetland
827,Forest,Water,Non_Water,Water,Water
828,Forest,Water,Non_Water,Water,Forest
829,Forest,Water,Water,Water,Grassland
830,Forest,Water,Water,Water,Wetland
831,Forest,Water,Water,Water,Bareland
832,Forest,Water,Water,Water,Water
833,Forest,Water,Water,Water,Forest
834,Forest,Forest,NULL,Non_Wetland,NULL
835,Forest,Forest,NULL,Non_Wetland,Grassland
836,Forest,Forest,NULL,Non_Wetland,Wetland
837,Forest,Forest,NULL,Non_Wetland,Bareland
838,Forest,Forest,NULL,Non_Wetland,Built-up
839,Forest,Forest,NULL,Non_Wetland,Water
840,Forest,Forest,NULL,Non_Wetland,Forest
841,Forest,Forest,Non_Water,Non_Wetland,NULL
842,Forest,Forest,Non_Water,Non_Wetland,Grassland
843,Forest,Forest,Non_Water,Non_Wetland,Wetland
844,Forest,Forest,Non_Water,Non_Wetland,Water
845,Forest,Forest,Non_Water,Non_Wetland,Forest
846,Forest,Forest,Water,Non_Wetland,NULL
847,Forest,Forest,Water,Non_Wetland,Grassland
848,Forest,Forest,Water,Non_Wetland,Wetland
849,Forest,Forest,Water,Non_Wetland,Bareland
850,Forest,Forest,Water,Non_Wetland,Water
851,Forest,Forest,Water,Non_Wetland,Forest
