Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,SIBERIA_2024_WorldCover_2021_43VFF_M_R
500,Forest,Cropland,NULL,Non_Wetland,Built-up
501,Forest,Cropland,NULL,Non_Wetland,Forest
502,Forest,Cropland,Non_Water,Non_Wetland,Grassland
503,Forest,Cropland,Non_Water,Non_Wetland,Forest
504,Forest,Cropland,Water,Non_Wetland,Forest
505,Forest,Wetland,NULL,Wetland,NULL
506,Forest,Wetland,NULL,Wetland,Grassland
507,Forest,Wetland,NULL,Wetland,Wetland
508,Forest,Wetland,NULL,Wetland,Built-up
509,Forest,Wetland,NULL,Wetland,Water
510,Forest,Wetland,NULL,Wetland,Forest
511,Forest,Wetland,Non_Water,Wetland,NULL
512,Forest,Wetland,Non_Water,Wetland,Grassland
513,Forest,Wetland,Non_Water,Wetland,Wetland
514,Forest,Wetland,Non_Water,Wetland,Forest
515,Forest,Wetland,Water,Wetland,NULL
516,Forest,Wetland,Water,Wetland,Grassland
517,Forest,Wetland,Water,Wetland,Wetland
518,Forest,Wetland,Water,Wetland,Water
519,Forest,Wetland,Water,Wetland,Forest
520,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
521,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
522,Forest,Bareland,NULL,Non_Wetland,NULL
523,Forest,Bareland,NULL,Non_Wetland,Grassland
524,Forest,Bareland,NULL,Non_Wetland,Cropland
525,Forest,Bareland,NULL,Non_Wetland,Wetland
526,Forest,Bareland,NULL,Non_Wetland,Bareland
527,Forest,Bareland,NULL,Non_Wetland,Built-up
528,Forest,Bareland,NULL,Non_Wetland,Water
529,Forest,Bareland,NULL,Non_Wetland,Forest
530,Forest,Bareland,Non_Water,Non_Wetland,Grassland
531,Forest,Bareland,Non_Water,Non_Wetland,Wetland
532,Forest,Bareland,Non_Water,Non_Wetland,Water
533,Forest,Bareland,Non_Water,Non_Wetland,Forest
534,Forest,Bareland,Water,Non_Wetland,Grassland
535,Forest,Bareland,Water,Non_Wetland,Wetland
536,Forest,Bareland,Water,Non_Wetland,Water
537,Forest,Bareland,Water,Non_Wetland,Forest
538,Forest,Built-up,NULL,Non_Wetland,Grassland
539,Forest,Built-up,NULL,Non_Wetland,Cropland
540,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
541,Forest,Built-up,NULL,Non_Wetland,Bareland
542,Forest,Built-up,NULL,Non_Wetland,Built-up
543,Forest,Built-up,NULL,Non_Wetland,Forest
544,Forest,Built-up,Non_Water,Non_Wetland,Grassland
545,Forest,Water,NULL,Water,Grassland
546,Forest,Water,NULL,Water,Wetland
547,Forest,Water,NULL,Water,Water
548,Forest,Water,NULL,Water,Forest
549,Forest,Water,Non_Water,Water,Water
550,Forest,Water,Non_Water,Water,Forest
551,Forest,Water,Water,Water,Grassland
552,Forest,Water,Water,Water,Wetland
553,Forest,Water,Water,Water,Water
554,Forest,Water,Water,Water,Forest
555,Forest,Forest,NULL,Non_Wetland,NULL
556,Forest,Forest,NULL,Non_Wetland,Grassland
557,Forest,Forest,NULL,Non_Wetland,Cropland
558,Forest,Forest,NULL,Non_Wetland,Wetland
559,Forest,Forest,NULL,Non_Wetland,Bareland
560,Forest,Forest,NULL,Non_Wetland,Built-up
561,Forest,Forest,NULL,Non_Wetland,Water
562,Forest,Forest,NULL,Non_Wetland,Forest
563,Forest,Forest,Non_Water,Non_Wetland,NULL
564,Forest,Forest,Non_Water,Non_Wetland,Grassland
565,Forest,Forest,Non_Water,Non_Wetland,Wetland
566,Forest,Forest,Non_Water,Non_Wetland,Water
567,Forest,Forest,Non_Water,Non_Wetland,Forest
568,Forest,Forest,Water,Non_Wetland,NULL
569,Forest,Forest,Water,Non_Wetland,Grassland
570,Forest,Forest,Water,Non_Wetland,Wetland
571,Forest,Forest,Water,Non_Wetland,Water
572,Forest,Forest,Water,Non_Wetland,Forest
