Value,SIBERIA_2024_ESA_CALU_2024_43XDB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43XDB_M_R,SIBERIA_2024_GLC_FCS30D_2022_43XDB_M_R,SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,SIBERIA_2024_WorldCover_2021_43XDB_M_R
399,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
400,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
401,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
402,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
403,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water
404,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
405,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
406,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
407,NULL,Forest,Grassland,NULL,Non_Wetland,Water
408,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland
409,NULL,Forest,Wetland,NULL,Wetland,Wetland
410,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
411,NULL,Forest,Wetland,Non_Water,Wetland,Water
412,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
413,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Water
414,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
415,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
416,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
417,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
418,NULL,Forest,Bareland,NULL,Non_Wetland,Water
419,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
420,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water
421,NULL,Forest,Bareland,Water,Non_Wetland,Wetland
422,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
423,NULL,Forest,Water,NULL,Water,Wetland
424,NULL,Forest,Water,Non_Water,Water,Wetland
425,NULL,Forest,Water,Water,Water,Wetland
426,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
427,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
