Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLM_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLM_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLM_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLM_M_R,SIBERIA_2024_WorldCover_2021_44VLM_M_R
488,Water,Bareland,Non_Water,Non_Wetland,Bareland
489,Water,Bareland,Non_Water,Non_Wetland,Water
490,Water,Bareland,Non_Water,Non_Wetland,Forest
491,Water,Bareland,Water,Non_Wetland,Grassland
492,Water,Bareland,Water,Non_Wetland,Wetland
493,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
494,Water,Bareland,Water,Non_Wetland,Bareland
495,Water,Bareland,Water,Non_Wetland,Built-up
496,Water,Bareland,Water,Non_Wetland,Water
497,Water,Bareland,Water,Non_Wetland,Forest
498,Water,Built-up,NULL,Non_Wetland,Grassland
499,Water,Built-up,NULL,Non_Wetland,Built-up
500,Water,Built-up,NULL,Non_Wetland,Water
501,Water,Built-up,NULL,Non_Wetland,Forest
502,Water,Built-up,Non_Water,Non_Wetland,Grassland
503,Water,Built-up,Non_Water,Non_Wetland,Built-up
504,Water,Built-up,Non_Water,Non_Wetland,Forest
505,Water,Built-up,Water,Non_Wetland,Grassland
506,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
507,Water,Built-up,Water,Non_Wetland,Bareland
508,Water,Built-up,Water,Non_Wetland,Built-up
509,Water,Built-up,Water,Non_Wetland,Water
510,Water,Built-up,Water,Non_Wetland,Forest
511,Water,Water,NULL,Water,Grassland
512,Water,Water,NULL,Water,Wetland
513,Water,Water,NULL,Water,Lichens_and_Mosses
514,Water,Water,NULL,Water,Built-up
515,Water,Water,NULL,Water,Water
516,Water,Water,NULL,Water,Forest
517,Water,Water,Non_Water,Water,Grassland
518,Water,Water,Non_Water,Water,Wetland
519,Water,Water,Non_Water,Water,Lichens_and_Mosses
520,Water,Water,Non_Water,Water,Water
521,Water,Water,Non_Water,Water,Forest
522,Water,Water,Water,Water,NULL
523,Water,Water,Water,Water,Grassland
524,Water,Water,Water,Water,Wetland
525,Water,Water,Water,Water,Lichens_and_Mosses
526,Water,Water,Water,Water,Bareland
527,Water,Water,Water,Water,Water
528,Water,Water,Water,Water,Forest
529,Water,Forest,NULL,Non_Wetland,NULL
530,Water,Forest,NULL,Non_Wetland,Grassland
531,Water,Forest,NULL,Non_Wetland,Wetland
532,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
533,Water,Forest,NULL,Non_Wetland,Bareland
534,Water,Forest,NULL,Non_Wetland,Water
535,Water,Forest,NULL,Non_Wetland,Forest
536,Water,Forest,Non_Water,Non_Wetland,Grassland
537,Water,Forest,Non_Water,Non_Wetland,Wetland
538,Water,Forest,Non_Water,Non_Wetland,Water
539,Water,Forest,Non_Water,Non_Wetland,Forest
540,Water,Forest,Water,Non_Wetland,Grassland
541,Water,Forest,Water,Non_Wetland,Wetland
542,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
543,Water,Forest,Water,Non_Wetland,Bareland
544,Water,Forest,Water,Non_Wetland,Water
545,Water,Forest,Water,Non_Wetland,Forest
546,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
547,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
548,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
549,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
550,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
551,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
552,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
553,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
554,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
555,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
556,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
557,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
558,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
559,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
560,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
561,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
562,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
563,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
564,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
565,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
566,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
567,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
568,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
569,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
570,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
571,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
572,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
573,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
574,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
575,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
576,Permanent_ice_and_snow,Water,NULL,Water,Wetland
577,Permanent_ice_and_snow,Water,NULL,Water,Forest
578,Permanent_ice_and_snow,Water,Water,Water,NULL
579,Permanent_ice_and_snow,Water,Water,Water,Wetland
580,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
581,Permanent_ice_and_snow,Water,Water,Water,Water
582,Permanent_ice_and_snow,Water,Water,Water,Forest
583,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
584,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
585,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
586,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
587,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
588,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
589,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
590,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
591,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
592,Forest,NULL,NULL,Non_Wetland,NULL
593,Forest,NULL,NULL,Non_Wetland,Grassland
594,Forest,NULL,NULL,Non_Wetland,Wetland
595,Forest,NULL,NULL,Non_Wetland,Water
596,Forest,NULL,NULL,Non_Wetland,Forest
597,Forest,NULL,Non_Water,Non_Wetland,Grassland
598,Forest,NULL,Non_Water,Non_Wetland,Wetland
599,Forest,NULL,Non_Water,Non_Wetland,Water
600,Forest,NULL,Non_Water,Non_Wetland,Forest
601,Forest,NULL,Water,Non_Wetland,Grassland
602,Forest,NULL,Water,Non_Wetland,Wetland
603,Forest,NULL,Water,Non_Wetland,Water
604,Forest,NULL,Water,Non_Wetland,Forest
605,Forest,Shrubland,NULL,Non_Wetland,NULL
606,Forest,Shrubland,NULL,Non_Wetland,Grassland
607,Forest,Shrubland,NULL,Non_Wetland,Wetland
608,Forest,Shrubland,NULL,Non_Wetland,Built-up
609,Forest,Shrubland,NULL,Non_Wetland,Forest
610,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
611,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
612,Forest,Shrubland,Non_Water,Non_Wetland,Forest
613,Forest,Shrubland,Water,Non_Wetland,Grassland
614,Forest,Shrubland,Water,Non_Wetland,Forest
615,Forest,Grassland,NULL,Non_Wetland,NULL
616,Forest,Grassland,NULL,Non_Wetland,Grassland
617,Forest,Grassland,NULL,Non_Wetland,Wetland
618,Forest,Grassland,NULL,Non_Wetland,Built-up
619,Forest,Grassland,NULL,Non_Wetland,Forest
620,Forest,Grassland,Non_Water,Non_Wetland,Grassland
621,Forest,Grassland,Non_Water,Non_Wetland,Forest
622,Forest,Grassland,Water,Non_Wetland,Grassland
623,Forest,Grassland,Water,Non_Wetland,Forest
624,Forest,Cropland,NULL,Non_Wetland,Grassland
625,Forest,Cropland,NULL,Non_Wetland,Wetland
626,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
627,Forest,Cropland,NULL,Non_Wetland,Forest
628,Forest,Cropland,Non_Water,Non_Wetland,Grassland
629,Forest,Cropland,Non_Water,Non_Wetland,Wetland
630,Forest,Cropland,Non_Water,Non_Wetland,Forest
631,Forest,Cropland,Water,Non_Wetland,Grassland
632,Forest,Cropland,Water,Non_Wetland,Wetland
633,Forest,Cropland,Water,Non_Wetland,Forest
634,Forest,Wetland,NULL,Wetland,NULL
635,Forest,Wetland,NULL,Wetland,Grassland
636,Forest,Wetland,NULL,Wetland,Wetland
637,Forest,Wetland,NULL,Wetland,Water
638,Forest,Wetland,NULL,Wetland,Forest
639,Forest,Wetland,Non_Water,Wetland,NULL
640,Forest,Wetland,Non_Water,Wetland,Grassland
641,Forest,Wetland,Non_Water,Wetland,Wetland
642,Forest,Wetland,Non_Water,Wetland,Water
643,Forest,Wetland,Non_Water,Wetland,Forest
644,Forest,Wetland,Water,Wetland,NULL
645,Forest,Wetland,Water,Wetland,Grassland
646,Forest,Wetland,Water,Wetland,Wetland
647,Forest,Wetland,Water,Wetland,Water
648,Forest,Wetland,Water,Wetland,Forest
649,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
650,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
651,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
652,Forest,Bareland,NULL,Non_Wetland,NULL
653,Forest,Bareland,NULL,Non_Wetland,Grassland
654,Forest,Bareland,NULL,Non_Wetland,Wetland
655,Forest,Bareland,NULL,Non_Wetland,Bareland
656,Forest,Bareland,NULL,Non_Wetland,Built-up
657,Forest,Bareland,NULL,Non_Wetland,Water
658,Forest,Bareland,NULL,Non_Wetland,Forest
659,Forest,Bareland,Non_Water,Non_Wetland,Grassland
660,Forest,Bareland,Non_Water,Non_Wetland,Wetland
661,Forest,Bareland,Non_Water,Non_Wetland,Forest
662,Forest,Bareland,Water,Non_Wetland,Grassland
663,Forest,Bareland,Water,Non_Wetland,Wetland
664,Forest,Bareland,Water,Non_Wetland,Forest
665,Forest,Built-up,NULL,Non_Wetland,Grassland
666,Forest,Built-up,NULL,Non_Wetland,Built-up
667,Forest,Built-up,NULL,Non_Wetland,Forest
668,Forest,Water,NULL,Water,Wetland
669,Forest,Water,NULL,Water,Water
670,Forest,Water,NULL,Water,Forest
671,Forest,Water,Non_Water,Water,Grassland
672,Forest,Water,Non_Water,Water,Water
673,Forest,Water,Non_Water,Water,Forest
674,Forest,Water,Water,Water,Grassland
675,Forest,Water,Water,Water,Wetland
676,Forest,Water,Water,Water,Water
677,Forest,Water,Water,Water,Forest
678,Forest,Forest,NULL,Non_Wetland,NULL
679,Forest,Forest,NULL,Non_Wetland,Grassland
680,Forest,Forest,NULL,Non_Wetland,Wetland
681,Forest,Forest,NULL,Non_Wetland,Bareland
682,Forest,Forest,NULL,Non_Wetland,Built-up
683,Forest,Forest,NULL,Non_Wetland,Water
684,Forest,Forest,NULL,Non_Wetland,Forest
685,Forest,Forest,Non_Water,Non_Wetland,NULL
686,Forest,Forest,Non_Water,Non_Wetland,Grassland
687,Forest,Forest,Non_Water,Non_Wetland,Wetland
688,Forest,Forest,Non_Water,Non_Wetland,Water
689,Forest,Forest,Non_Water,Non_Wetland,Forest
690,Forest,Forest,Water,Non_Wetland,Grassland
691,Forest,Forest,Water,Non_Wetland,Wetland
692,Forest,Forest,Water,Non_Wetland,Water
693,Forest,Forest,Water,Non_Wetland,Forest
