Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPG_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPG_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPG_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPG_M_R,SIBERIA_2024_WorldCover_2021_41VPG_M_R
485,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
486,Bareland,Bareland,NULL,Non_Wetland,Grassland
487,Bareland,Bareland,NULL,Non_Wetland,Bareland
488,Bareland,Bareland,NULL,Non_Wetland,Built-up
489,Bareland,Bareland,NULL,Non_Wetland,Forest
490,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
491,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
492,Bareland,Bareland,Non_Water,Non_Wetland,Water
493,Bareland,Bareland,Water,Non_Wetland,Bareland
494,Bareland,Bareland,Water,Non_Wetland,Forest
495,Bareland,Built-up,NULL,Non_Wetland,Grassland
496,Bareland,Built-up,NULL,Non_Wetland,Cropland
497,Bareland,Built-up,NULL,Non_Wetland,Bareland
498,Bareland,Built-up,NULL,Non_Wetland,Built-up
499,Bareland,Built-up,NULL,Non_Wetland,Forest
500,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
501,Bareland,Built-up,Water,Non_Wetland,Cropland
502,Bareland,Built-up,Water,Non_Wetland,Forest
503,Bareland,Water,NULL,Water,Grassland
504,Bareland,Water,NULL,Water,Water
505,Bareland,Water,NULL,Water,Forest
506,Bareland,Water,Non_Water,Water,Forest
507,Bareland,Water,Water,Water,Wetland
508,Bareland,Water,Water,Water,Bareland
509,Bareland,Water,Water,Water,Water
510,Bareland,Water,Water,Water,Forest
511,Bareland,Forest,NULL,Non_Wetland,Grassland
512,Bareland,Forest,NULL,Non_Wetland,Cropland
513,Bareland,Forest,NULL,Non_Wetland,Wetland
514,Bareland,Forest,NULL,Non_Wetland,Built-up
515,Bareland,Forest,NULL,Non_Wetland,Water
516,Bareland,Forest,NULL,Non_Wetland,Forest
517,Bareland,Forest,Non_Water,Non_Wetland,Water
518,Bareland,Forest,Non_Water,Non_Wetland,Forest
519,Bareland,Forest,Water,Non_Wetland,Wetland
520,Bareland,Forest,Water,Non_Wetland,Water
521,Bareland,Forest,Water,Non_Wetland,Forest
522,Built-up,NULL,NULL,Non_Wetland,Grassland
523,Built-up,NULL,NULL,Non_Wetland,Cropland
524,Built-up,NULL,NULL,Non_Wetland,Bareland
525,Built-up,NULL,NULL,Non_Wetland,Built-up
526,Built-up,NULL,NULL,Non_Wetland,Forest
527,Built-up,NULL,Water,Non_Wetland,Forest
528,Built-up,Shrubland,NULL,Non_Wetland,Grassland
529,Built-up,Shrubland,NULL,Non_Wetland,Cropland
530,Built-up,Shrubland,NULL,Non_Wetland,Bareland
531,Built-up,Shrubland,NULL,Non_Wetland,Built-up
532,Built-up,Shrubland,NULL,Non_Wetland,Water
533,Built-up,Shrubland,NULL,Non_Wetland,Forest
534,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
535,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
536,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
537,Built-up,Shrubland,Water,Non_Wetland,Built-up
538,Built-up,Shrubland,Water,Non_Wetland,Water
539,Built-up,Shrubland,Water,Non_Wetland,Forest
540,Built-up,Grassland,NULL,Non_Wetland,Grassland
541,Built-up,Grassland,NULL,Non_Wetland,Cropland
542,Built-up,Grassland,NULL,Non_Wetland,Built-up
543,Built-up,Grassland,NULL,Non_Wetland,Forest
544,Built-up,Cropland,NULL,Non_Wetland,Grassland
545,Built-up,Cropland,NULL,Non_Wetland,Cropland
546,Built-up,Cropland,NULL,Non_Wetland,Wetland
547,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
548,Built-up,Cropland,NULL,Non_Wetland,Bareland
549,Built-up,Cropland,NULL,Non_Wetland,Built-up
550,Built-up,Cropland,NULL,Non_Wetland,Water
551,Built-up,Cropland,NULL,Non_Wetland,Forest
552,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
553,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
554,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
555,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
556,Built-up,Cropland,Non_Water,Non_Wetland,Forest
557,Built-up,Cropland,Water,Non_Wetland,Grassland
558,Built-up,Cropland,Water,Non_Wetland,Water
559,Built-up,Cropland,Water,Non_Wetland,Forest
560,Built-up,Wetland,NULL,Wetland,Grassland
561,Built-up,Wetland,NULL,Wetland,Cropland
562,Built-up,Wetland,NULL,Wetland,Wetland
563,Built-up,Wetland,NULL,Wetland,Built-up
564,Built-up,Wetland,NULL,Wetland,Water
565,Built-up,Wetland,NULL,Wetland,Forest
566,Built-up,Wetland,Non_Water,Wetland,Grassland
567,Built-up,Wetland,Non_Water,Wetland,Cropland
568,Built-up,Wetland,Non_Water,Wetland,Bareland
569,Built-up,Wetland,Non_Water,Wetland,Water
570,Built-up,Wetland,Non_Water,Wetland,Forest
571,Built-up,Wetland,Water,Wetland,Grassland
572,Built-up,Wetland,Water,Wetland,Wetland
573,Built-up,Wetland,Water,Wetland,Built-up
574,Built-up,Wetland,Water,Wetland,Water
575,Built-up,Wetland,Water,Wetland,Forest
576,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
577,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
578,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
579,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
580,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
581,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
582,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
583,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Forest
584,Built-up,Bareland,NULL,Non_Wetland,Grassland
585,Built-up,Bareland,NULL,Non_Wetland,Cropland
586,Built-up,Bareland,NULL,Non_Wetland,Wetland
587,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
588,Built-up,Bareland,NULL,Non_Wetland,Bareland
589,Built-up,Bareland,NULL,Non_Wetland,Built-up
590,Built-up,Bareland,NULL,Non_Wetland,Water
591,Built-up,Bareland,NULL,Non_Wetland,Forest
592,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
593,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
594,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
595,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
596,Built-up,Bareland,Non_Water,Non_Wetland,Water
597,Built-up,Bareland,Non_Water,Non_Wetland,Forest
598,Built-up,Bareland,Water,Non_Wetland,Grassland
599,Built-up,Bareland,Water,Non_Wetland,Wetland
600,Built-up,Bareland,Water,Non_Wetland,Built-up
601,Built-up,Bareland,Water,Non_Wetland,Water
602,Built-up,Bareland,Water,Non_Wetland,Forest
603,Built-up,Built-up,NULL,Non_Wetland,Grassland
604,Built-up,Built-up,NULL,Non_Wetland,Cropland
605,Built-up,Built-up,NULL,Non_Wetland,Wetland
606,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
607,Built-up,Built-up,NULL,Non_Wetland,Bareland
608,Built-up,Built-up,NULL,Non_Wetland,Built-up
609,Built-up,Built-up,NULL,Non_Wetland,Water
610,Built-up,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
611,Built-up,Built-up,NULL,Non_Wetland,Forest
612,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
613,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
614,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
615,Built-up,Built-up,Non_Water,Non_Wetland,Water
616,Built-up,Built-up,Non_Water,Non_Wetland,Forest
617,Built-up,Built-up,Water,Non_Wetland,Grassland
618,Built-up,Built-up,Water,Non_Wetland,Built-up
619,Built-up,Built-up,Water,Non_Wetland,Water
620,Built-up,Built-up,Water,Non_Wetland,Forest
621,Built-up,Water,NULL,Water,Grassland
622,Built-up,Water,NULL,Water,Bareland
623,Built-up,Water,NULL,Water,Built-up
624,Built-up,Water,NULL,Water,Water
625,Built-up,Water,NULL,Water,Permanent_ice_and_snow
626,Built-up,Water,NULL,Water,Forest
627,Built-up,Water,Water,Water,Grassland
628,Built-up,Water,Water,Water,Wetland
629,Built-up,Water,Water,Water,Bareland
630,Built-up,Water,Water,Water,Water
631,Built-up,Water,Water,Water,Forest
632,Built-up,Forest,NULL,Non_Wetland,Grassland
633,Built-up,Forest,NULL,Non_Wetland,Cropland
634,Built-up,Forest,NULL,Non_Wetland,Wetland
635,Built-up,Forest,NULL,Non_Wetland,Bareland
636,Built-up,Forest,NULL,Non_Wetland,Built-up
637,Built-up,Forest,NULL,Non_Wetland,Forest
638,Built-up,Forest,Non_Water,Non_Wetland,Grassland
639,Built-up,Forest,Non_Water,Non_Wetland,Forest
640,Built-up,Forest,Water,Non_Wetland,Grassland
641,Built-up,Forest,Water,Non_Wetland,Water
642,Built-up,Forest,Water,Non_Wetland,Forest
643,Water,NULL,NULL,Non_Wetland,NULL
644,Water,NULL,NULL,Non_Wetland,Grassland
645,Water,NULL,NULL,Non_Wetland,Wetland
646,Water,NULL,NULL,Non_Wetland,Water
647,Water,NULL,NULL,Non_Wetland,Forest
648,Water,NULL,Non_Water,Non_Wetland,Grassland
649,Water,NULL,Non_Water,Non_Wetland,Cropland
650,Water,NULL,Non_Water,Non_Wetland,Wetland
651,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
652,Water,NULL,Non_Water,Non_Wetland,Water
653,Water,NULL,Non_Water,Non_Wetland,Forest
654,Water,NULL,Water,Non_Wetland,Grassland
655,Water,NULL,Water,Non_Wetland,Wetland
656,Water,NULL,Water,Non_Wetland,Bareland
657,Water,NULL,Water,Non_Wetland,Water
658,Water,NULL,Water,Non_Wetland,Forest
659,Water,Shrubland,NULL,Non_Wetland,Grassland
660,Water,Shrubland,NULL,Non_Wetland,Wetland
661,Water,Shrubland,NULL,Non_Wetland,Water
662,Water,Shrubland,NULL,Non_Wetland,Forest
663,Water,Shrubland,Non_Water,Non_Wetland,Grassland
664,Water,Shrubland,Non_Water,Non_Wetland,Cropland
665,Water,Shrubland,Non_Water,Non_Wetland,Wetland
666,Water,Shrubland,Non_Water,Non_Wetland,Water
667,Water,Shrubland,Non_Water,Non_Wetland,Forest
668,Water,Shrubland,Water,Non_Wetland,Grassland
669,Water,Shrubland,Water,Non_Wetland,Wetland
670,Water,Shrubland,Water,Non_Wetland,Water
671,Water,Shrubland,Water,Non_Wetland,Forest
672,Water,Grassland,NULL,Non_Wetland,Bareland
673,Water,Grassland,NULL,Non_Wetland,Water
674,Water,Cropland,NULL,Non_Wetland,Grassland
675,Water,Cropland,NULL,Non_Wetland,Cropland
676,Water,Cropland,NULL,Non_Wetland,Wetland
677,Water,Cropland,NULL,Non_Wetland,Bareland
678,Water,Cropland,NULL,Non_Wetland,Built-up
679,Water,Cropland,NULL,Non_Wetland,Water
680,Water,Cropland,NULL,Non_Wetland,Forest
681,Water,Cropland,Non_Water,Non_Wetland,Grassland
682,Water,Cropland,Non_Water,Non_Wetland,Cropland
683,Water,Cropland,Non_Water,Non_Wetland,Wetland
684,Water,Cropland,Non_Water,Non_Wetland,Water
685,Water,Cropland,Non_Water,Non_Wetland,Forest
686,Water,Cropland,Water,Non_Wetland,Grassland
687,Water,Cropland,Water,Non_Wetland,Cropland
688,Water,Cropland,Water,Non_Wetland,Wetland
689,Water,Cropland,Water,Non_Wetland,Bareland
690,Water,Cropland,Water,Non_Wetland,Water
691,Water,Cropland,Water,Non_Wetland,Forest
692,Water,Wetland,NULL,Wetland,NULL
693,Water,Wetland,NULL,Wetland,Grassland
694,Water,Wetland,NULL,Wetland,Cropland
695,Water,Wetland,NULL,Wetland,Wetland
696,Water,Wetland,NULL,Wetland,Bareland
697,Water,Wetland,NULL,Wetland,Water
698,Water,Wetland,NULL,Wetland,Forest
699,Water,Wetland,Non_Water,Wetland,NULL
700,Water,Wetland,Non_Water,Wetland,Grassland
701,Water,Wetland,Non_Water,Wetland,Cropland
702,Water,Wetland,Non_Water,Wetland,Wetland
703,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
704,Water,Wetland,Non_Water,Wetland,Bareland
705,Water,Wetland,Non_Water,Wetland,Water
706,Water,Wetland,Non_Water,Wetland,Forest
707,Water,Wetland,Water,Wetland,NULL
708,Water,Wetland,Water,Wetland,Grassland
709,Water,Wetland,Water,Wetland,Cropland
710,Water,Wetland,Water,Wetland,Wetland
711,Water,Wetland,Water,Wetland,Lichens_and_Mosses
712,Water,Wetland,Water,Wetland,Bareland
713,Water,Wetland,Water,Wetland,Built-up
714,Water,Wetland,Water,Wetland,Water
715,Water,Wetland,Water,Wetland,Forest
716,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
717,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
718,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
719,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
720,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
721,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
722,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
723,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
724,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
725,Water,Bareland,NULL,Non_Wetland,NULL
726,Water,Bareland,NULL,Non_Wetland,Grassland
727,Water,Bareland,NULL,Non_Wetland,Wetland
728,Water,Bareland,NULL,Non_Wetland,Bareland
729,Water,Bareland,NULL,Non_Wetland,Built-up
730,Water,Bareland,NULL,Non_Wetland,Water
731,Water,Bareland,NULL,Non_Wetland,Forest
732,Water,Bareland,Non_Water,Non_Wetland,Grassland
733,Water,Bareland,Non_Water,Non_Wetland,Cropland
734,Water,Bareland,Non_Water,Non_Wetland,Wetland
735,Water,Bareland,Non_Water,Non_Wetland,Bareland
736,Water,Bareland,Non_Water,Non_Wetland,Built-up
737,Water,Bareland,Non_Water,Non_Wetland,Water
738,Water,Bareland,Non_Water,Non_Wetland,Forest
739,Water,Bareland,Water,Non_Wetland,Grassland
740,Water,Bareland,Water,Non_Wetland,Cropland
741,Water,Bareland,Water,Non_Wetland,Wetland
742,Water,Bareland,Water,Non_Wetland,Bareland
743,Water,Bareland,Water,Non_Wetland,Built-up
744,Water,Bareland,Water,Non_Wetland,Water
745,Water,Bareland,Water,Non_Wetland,Forest
746,Water,Built-up,NULL,Non_Wetland,Grassland
747,Water,Built-up,NULL,Non_Wetland,Wetland
748,Water,Built-up,NULL,Non_Wetland,Bareland
749,Water,Built-up,NULL,Non_Wetland,Built-up
750,Water,Built-up,NULL,Non_Wetland,Water
751,Water,Built-up,NULL,Non_Wetland,Forest
752,Water,Built-up,Non_Water,Non_Wetland,Grassland
753,Water,Built-up,Non_Water,Non_Wetland,Cropland
754,Water,Built-up,Non_Water,Non_Wetland,Wetland
755,Water,Built-up,Non_Water,Non_Wetland,Bareland
756,Water,Built-up,Non_Water,Non_Wetland,Built-up
757,Water,Built-up,Non_Water,Non_Wetland,Water
758,Water,Built-up,Non_Water,Non_Wetland,Forest
759,Water,Built-up,Water,Non_Wetland,Grassland
760,Water,Built-up,Water,Non_Wetland,Cropland
761,Water,Built-up,Water,Non_Wetland,Wetland
762,Water,Built-up,Water,Non_Wetland,Bareland
763,Water,Built-up,Water,Non_Wetland,Built-up
764,Water,Built-up,Water,Non_Wetland,Water
765,Water,Built-up,Water,Non_Wetland,Forest
766,Water,Water,NULL,Water,NULL
767,Water,Water,NULL,Water,Grassland
768,Water,Water,NULL,Water,Wetland
769,Water,Water,NULL,Water,Bareland
770,Water,Water,NULL,Water,Water
771,Water,Water,NULL,Water,Forest
772,Water,Water,Non_Water,Water,Grassland
773,Water,Water,Non_Water,Water,Wetland
774,Water,Water,Non_Water,Water,Bareland
775,Water,Water,Non_Water,Water,Water
776,Water,Water,Non_Water,Water,Forest
777,Water,Water,Water,Water,NULL
778,Water,Water,Water,Water,Grassland
779,Water,Water,Water,Water,Cropland
780,Water,Water,Water,Water,Wetland
781,Water,Water,Water,Water,Bareland
782,Water,Water,Water,Water,Built-up
783,Water,Water,Water,Water,Water
784,Water,Water,Water,Water,Forest
785,Water,Forest,NULL,Non_Wetland,NULL
786,Water,Forest,NULL,Non_Wetland,Grassland
787,Water,Forest,NULL,Non_Wetland,Cropland
788,Water,Forest,NULL,Non_Wetland,Wetland
789,Water,Forest,NULL,Non_Wetland,Bareland
790,Water,Forest,NULL,Non_Wetland,Water
791,Water,Forest,NULL,Non_Wetland,Forest
792,Water,Forest,Non_Water,Non_Wetland,Grassland
793,Water,Forest,Non_Water,Non_Wetland,Cropland
794,Water,Forest,Non_Water,Non_Wetland,Wetland
795,Water,Forest,Non_Water,Non_Wetland,Water
796,Water,Forest,Non_Water,Non_Wetland,Forest
797,Water,Forest,Water,Non_Wetland,NULL
798,Water,Forest,Water,Non_Wetland,Grassland
799,Water,Forest,Water,Non_Wetland,Cropland
800,Water,Forest,Water,Non_Wetland,Wetland
801,Water,Forest,Water,Non_Wetland,Water
802,Water,Forest,Water,Non_Wetland,Forest
803,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
804,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
805,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
806,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
807,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
808,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
809,Permanent_ice_and_snow,Cropland,Non_Water,Non_Wetland,Grassland
810,Permanent_ice_and_snow,Cropland,Water,Non_Wetland,Grassland
811,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
812,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
813,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
814,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
815,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
816,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
817,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
818,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
819,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
820,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
821,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
822,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
823,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
824,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
825,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
826,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
827,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
828,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
829,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
830,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
831,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
832,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
833,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
834,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
835,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
836,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
837,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
838,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Grassland
839,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
840,Permanent_ice_and_snow,Water,NULL,Water,Grassland
841,Permanent_ice_and_snow,Water,NULL,Water,Wetland
842,Permanent_ice_and_snow,Water,NULL,Water,Water
843,Permanent_ice_and_snow,Water,NULL,Water,Forest
844,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
845,Permanent_ice_and_snow,Water,Water,Water,Grassland
846,Permanent_ice_and_snow,Water,Water,Water,Wetland
847,Permanent_ice_and_snow,Water,Water,Water,Forest
848,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
849,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
850,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Cropland
851,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
852,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
853,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
854,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
855,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
856,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
857,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
858,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
859,Forest,NULL,NULL,Non_Wetland,NULL
860,Forest,NULL,NULL,Non_Wetland,Grassland
861,Forest,NULL,NULL,Non_Wetland,Cropland
862,Forest,NULL,NULL,Non_Wetland,Wetland
863,Forest,NULL,NULL,Non_Wetland,Bareland
864,Forest,NULL,NULL,Non_Wetland,Built-up
865,Forest,NULL,NULL,Non_Wetland,Water
866,Forest,NULL,NULL,Non_Wetland,Forest
867,Forest,NULL,Non_Water,Non_Wetland,Grassland
868,Forest,NULL,Non_Water,Non_Wetland,Wetland
869,Forest,NULL,Non_Water,Non_Wetland,Water
870,Forest,NULL,Non_Water,Non_Wetland,Forest
871,Forest,NULL,Water,Non_Wetland,Grassland
872,Forest,NULL,Water,Non_Wetland,Wetland
873,Forest,NULL,Water,Non_Wetland,Water
874,Forest,NULL,Water,Non_Wetland,Forest
875,Forest,Shrubland,NULL,Non_Wetland,NULL
876,Forest,Shrubland,NULL,Non_Wetland,Grassland
877,Forest,Shrubland,NULL,Non_Wetland,Cropland
878,Forest,Shrubland,NULL,Non_Wetland,Wetland
879,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
880,Forest,Shrubland,NULL,Non_Wetland,Bareland
881,Forest,Shrubland,NULL,Non_Wetland,Built-up
882,Forest,Shrubland,NULL,Non_Wetland,Water
883,Forest,Shrubland,NULL,Non_Wetland,Forest
884,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
885,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
886,Forest,Shrubland,Non_Water,Non_Wetland,Water
887,Forest,Shrubland,Non_Water,Non_Wetland,Forest
888,Forest,Shrubland,Water,Non_Wetland,Grassland
889,Forest,Shrubland,Water,Non_Wetland,Wetland
890,Forest,Shrubland,Water,Non_Wetland,Forest
891,Forest,Grassland,NULL,Non_Wetland,Grassland
892,Forest,Grassland,NULL,Non_Wetland,Wetland
893,Forest,Grassland,NULL,Non_Wetland,Forest
894,Forest,Cropland,NULL,Non_Wetland,NULL
895,Forest,Cropland,NULL,Non_Wetland,Grassland
896,Forest,Cropland,NULL,Non_Wetland,Cropland
897,Forest,Cropland,NULL,Non_Wetland,Wetland
898,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
899,Forest,Cropland,NULL,Non_Wetland,Bareland
900,Forest,Cropland,NULL,Non_Wetland,Built-up
901,Forest,Cropland,NULL,Non_Wetland,Water
902,Forest,Cropland,NULL,Non_Wetland,Forest
903,Forest,Cropland,Non_Water,Non_Wetland,Grassland
904,Forest,Cropland,Non_Water,Non_Wetland,Cropland
905,Forest,Cropland,Non_Water,Non_Wetland,Wetland
906,Forest,Cropland,Non_Water,Non_Wetland,Forest
907,Forest,Cropland,Water,Non_Wetland,Grassland
908,Forest,Cropland,Water,Non_Wetland,Wetland
909,Forest,Cropland,Water,Non_Wetland,Water
910,Forest,Cropland,Water,Non_Wetland,Forest
911,Forest,Wetland,NULL,Wetland,NULL
912,Forest,Wetland,NULL,Wetland,Grassland
913,Forest,Wetland,NULL,Wetland,Cropland
914,Forest,Wetland,NULL,Wetland,Wetland
915,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
916,Forest,Wetland,NULL,Wetland,Bareland
917,Forest,Wetland,NULL,Wetland,Built-up
918,Forest,Wetland,NULL,Wetland,Water
919,Forest,Wetland,NULL,Wetland,Forest
920,Forest,Wetland,Non_Water,Wetland,NULL
921,Forest,Wetland,Non_Water,Wetland,Grassland
922,Forest,Wetland,Non_Water,Wetland,Cropland
923,Forest,Wetland,Non_Water,Wetland,Wetland
924,Forest,Wetland,Non_Water,Wetland,Water
925,Forest,Wetland,Non_Water,Wetland,Forest
926,Forest,Wetland,Water,Wetland,NULL
927,Forest,Wetland,Water,Wetland,Grassland
928,Forest,Wetland,Water,Wetland,Cropland
929,Forest,Wetland,Water,Wetland,Wetland
930,Forest,Wetland,Water,Wetland,Water
931,Forest,Wetland,Water,Wetland,Forest
932,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
933,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
934,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
935,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
936,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
937,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
938,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Water
939,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
940,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
941,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
942,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
943,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
944,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
945,Forest,Bareland,NULL,Non_Wetland,NULL
946,Forest,Bareland,NULL,Non_Wetland,Grassland
947,Forest,Bareland,NULL,Non_Wetland,Cropland
948,Forest,Bareland,NULL,Non_Wetland,Wetland
949,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
950,Forest,Bareland,NULL,Non_Wetland,Bareland
951,Forest,Bareland,NULL,Non_Wetland,Built-up
952,Forest,Bareland,NULL,Non_Wetland,Water
953,Forest,Bareland,NULL,Non_Wetland,Forest
954,Forest,Bareland,Non_Water,Non_Wetland,Grassland
955,Forest,Bareland,Non_Water,Non_Wetland,Cropland
956,Forest,Bareland,Non_Water,Non_Wetland,Wetland
957,Forest,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
958,Forest,Bareland,Non_Water,Non_Wetland,Water
959,Forest,Bareland,Non_Water,Non_Wetland,Forest
960,Forest,Bareland,Water,Non_Wetland,Grassland
961,Forest,Bareland,Water,Non_Wetland,Wetland
962,Forest,Bareland,Water,Non_Wetland,Water
963,Forest,Bareland,Water,Non_Wetland,Forest
964,Forest,Built-up,NULL,Non_Wetland,NULL
965,Forest,Built-up,NULL,Non_Wetland,Grassland
966,Forest,Built-up,NULL,Non_Wetland,Cropland
967,Forest,Built-up,NULL,Non_Wetland,Wetland
968,Forest,Built-up,NULL,Non_Wetland,Bareland
969,Forest,Built-up,NULL,Non_Wetland,Built-up
970,Forest,Built-up,NULL,Non_Wetland,Water
971,Forest,Built-up,NULL,Non_Wetland,Forest
972,Forest,Built-up,Non_Water,Non_Wetland,Grassland
973,Forest,Built-up,Non_Water,Non_Wetland,Forest
974,Forest,Built-up,Water,Non_Wetland,Grassland
