Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVP_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVP_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVP_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVP_M_R,SIBERIA_2024_WorldCover_2021_45WVP_M_R
495,Water,Water,Water,Water,Forest
496,Water,Forest,NULL,Non_Wetland,Grassland
497,Water,Forest,NULL,Non_Wetland,Wetland
498,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
499,Water,Forest,NULL,Non_Wetland,Bareland
500,Water,Forest,NULL,Non_Wetland,Water
501,Water,Forest,NULL,Non_Wetland,Forest
502,Water,Forest,Non_Water,Non_Wetland,Grassland
503,Water,Forest,Non_Water,Non_Wetland,Wetland
504,Water,Forest,Non_Water,Non_Wetland,Water
505,Water,Forest,Non_Water,Non_Wetland,Forest
506,Water,Forest,Water,Non_Wetland,Grassland
507,Water,Forest,Water,Non_Wetland,Wetland
508,Water,Forest,Water,Non_Wetland,Bareland
509,Water,Forest,Water,Non_Wetland,Water
510,Water,Forest,Water,Non_Wetland,Forest
511,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
512,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
513,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Lichens_and_Mosses
514,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
515,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
516,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
517,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
518,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
519,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
520,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
521,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
522,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
523,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
524,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
525,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
526,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
527,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
528,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
529,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
530,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Water
531,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
532,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
533,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
534,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
535,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Bareland
536,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
537,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
538,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
539,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
540,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
541,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
542,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
543,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
544,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Lichens_and_Mosses
545,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Bareland
546,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
547,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
548,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
549,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
550,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
551,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
552,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
553,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
554,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
555,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
556,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
557,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
558,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
559,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
560,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
561,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
562,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
563,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
564,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
565,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
566,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
567,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
568,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
569,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
570,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
571,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
572,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
573,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
574,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
575,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
576,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
577,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
578,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
579,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
580,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
581,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
582,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
583,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
584,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
585,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
586,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Water
587,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
588,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Wetland
589,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
590,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
591,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
592,Permanent_ice_and_snow,Water,NULL,Water,Grassland
593,Permanent_ice_and_snow,Water,NULL,Water,Wetland
594,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
595,Permanent_ice_and_snow,Water,NULL,Water,Water
596,Permanent_ice_and_snow,Water,NULL,Water,Forest
597,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
598,Permanent_ice_and_snow,Water,Non_Water,Water,Water
599,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
600,Permanent_ice_and_snow,Water,Water,Water,Grassland
601,Permanent_ice_and_snow,Water,Water,Water,Wetland
602,Permanent_ice_and_snow,Water,Water,Water,Water
603,Permanent_ice_and_snow,Water,Water,Water,Forest
604,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
605,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
606,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
607,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
608,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
609,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
610,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
611,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
612,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
613,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
614,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
615,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
616,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
617,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
618,Forest,NULL,NULL,Non_Wetland,Grassland
619,Forest,NULL,NULL,Non_Wetland,Wetland
620,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
621,Forest,NULL,NULL,Non_Wetland,Bareland
622,Forest,NULL,NULL,Non_Wetland,Water
623,Forest,NULL,NULL,Non_Wetland,Forest
624,Forest,NULL,Non_Water,Non_Wetland,Grassland
625,Forest,NULL,Non_Water,Non_Wetland,Wetland
626,Forest,NULL,Non_Water,Non_Wetland,Water
627,Forest,NULL,Non_Water,Non_Wetland,Forest
628,Forest,NULL,Water,Non_Wetland,Grassland
629,Forest,NULL,Water,Non_Wetland,Wetland
630,Forest,NULL,Water,Non_Wetland,Bareland
631,Forest,NULL,Water,Non_Wetland,Water
632,Forest,NULL,Water,Non_Wetland,Forest
633,Forest,Shrubland,NULL,Non_Wetland,NULL
634,Forest,Shrubland,NULL,Non_Wetland,Grassland
635,Forest,Shrubland,NULL,Non_Wetland,Wetland
636,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
637,Forest,Shrubland,NULL,Non_Wetland,Bareland
638,Forest,Shrubland,NULL,Non_Wetland,Water
639,Forest,Shrubland,NULL,Non_Wetland,Forest
640,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
641,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
642,Forest,Shrubland,Non_Water,Non_Wetland,Water
643,Forest,Shrubland,Non_Water,Non_Wetland,Forest
644,Forest,Shrubland,Water,Non_Wetland,Grassland
645,Forest,Shrubland,Water,Non_Wetland,Wetland
646,Forest,Shrubland,Water,Non_Wetland,Bareland
647,Forest,Shrubland,Water,Non_Wetland,Water
648,Forest,Shrubland,Water,Non_Wetland,Forest
649,Forest,Grassland,NULL,Non_Wetland,Grassland
650,Forest,Grassland,NULL,Non_Wetland,Wetland
651,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
652,Forest,Grassland,NULL,Non_Wetland,Bareland
653,Forest,Grassland,NULL,Non_Wetland,Forest
654,Forest,Grassland,Non_Water,Non_Wetland,Grassland
655,Forest,Grassland,Non_Water,Non_Wetland,Wetland
656,Forest,Grassland,Non_Water,Non_Wetland,Forest
657,Forest,Grassland,Water,Non_Wetland,Grassland
658,Forest,Grassland,Water,Non_Wetland,Wetland
659,Forest,Grassland,Water,Non_Wetland,Water
660,Forest,Grassland,Water,Non_Wetland,Forest
661,Forest,Wetland,NULL,Wetland,Grassland
662,Forest,Wetland,NULL,Wetland,Wetland
663,Forest,Wetland,NULL,Wetland,Lichens_and_Mosses
664,Forest,Wetland,NULL,Wetland,Water
665,Forest,Wetland,NULL,Wetland,Forest
666,Forest,Wetland,Non_Water,Wetland,Grassland
667,Forest,Wetland,Non_Water,Wetland,Wetland
668,Forest,Wetland,Non_Water,Wetland,Water
669,Forest,Wetland,Non_Water,Wetland,Forest
670,Forest,Wetland,Water,Wetland,Grassland
671,Forest,Wetland,Water,Wetland,Wetland
672,Forest,Wetland,Water,Wetland,Bareland
673,Forest,Wetland,Water,Wetland,Water
674,Forest,Wetland,Water,Wetland,Forest
675,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
676,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
677,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
678,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
679,Forest,Lichens_and_Mosses,Water,Non_Wetland,Grassland
680,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
681,Forest,Bareland,NULL,Non_Wetland,Grassland
682,Forest,Bareland,NULL,Non_Wetland,Wetland
683,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
684,Forest,Bareland,NULL,Non_Wetland,Bareland
685,Forest,Bareland,NULL,Non_Wetland,Water
686,Forest,Bareland,NULL,Non_Wetland,Forest
687,Forest,Bareland,Non_Water,Non_Wetland,Grassland
688,Forest,Bareland,Non_Water,Non_Wetland,Wetland
689,Forest,Bareland,Non_Water,Non_Wetland,Forest
690,Forest,Bareland,Water,Non_Wetland,Grassland
691,Forest,Bareland,Water,Non_Wetland,Wetland
692,Forest,Bareland,Water,Non_Wetland,Bareland
693,Forest,Bareland,Water,Non_Wetland,Water
694,Forest,Bareland,Water,Non_Wetland,Forest
695,Forest,Built-up,NULL,Non_Wetland,Grassland
696,Forest,Built-up,NULL,Non_Wetland,Wetland
697,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
698,Forest,Built-up,NULL,Non_Wetland,Bareland
699,Forest,Built-up,NULL,Non_Wetland,Water
700,Forest,Built-up,NULL,Non_Wetland,Forest
701,Forest,Built-up,Non_Water,Non_Wetland,Wetland
702,Forest,Built-up,Non_Water,Non_Wetland,Forest
703,Forest,Built-up,Water,Non_Wetland,Grassland
704,Forest,Built-up,Water,Non_Wetland,Wetland
705,Forest,Built-up,Water,Non_Wetland,Bareland
706,Forest,Built-up,Water,Non_Wetland,Water
707,Forest,Built-up,Water,Non_Wetland,Forest
708,Forest,Water,NULL,Water,Grassland
709,Forest,Water,NULL,Water,Wetland
710,Forest,Water,NULL,Water,Water
711,Forest,Water,NULL,Water,Forest
712,Forest,Water,Non_Water,Water,Wetland
713,Forest,Water,Non_Water,Water,Water
714,Forest,Water,Non_Water,Water,Forest
715,Forest,Water,Water,Water,Grassland
716,Forest,Water,Water,Water,Wetland
717,Forest,Water,Water,Water,Water
718,Forest,Water,Water,Water,Forest
719,Forest,Forest,NULL,Non_Wetland,NULL
720,Forest,Forest,NULL,Non_Wetland,Grassland
721,Forest,Forest,NULL,Non_Wetland,Wetland
722,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
723,Forest,Forest,NULL,Non_Wetland,Bareland
724,Forest,Forest,NULL,Non_Wetland,Water
725,Forest,Forest,NULL,Non_Wetland,Forest
726,Forest,Forest,Non_Water,Non_Wetland,Grassland
727,Forest,Forest,Non_Water,Non_Wetland,Wetland
728,Forest,Forest,Non_Water,Non_Wetland,Water
729,Forest,Forest,Non_Water,Non_Wetland,Forest
730,Forest,Forest,Water,Non_Wetland,Grassland
731,Forest,Forest,Water,Non_Wetland,Wetland
732,Forest,Forest,Water,Non_Wetland,Bareland
733,Forest,Forest,Water,Non_Wetland,Water
734,Forest,Forest,Water,Non_Wetland,Forest
